Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-08-15,6.885,6.885,6.885,6.885,6.885,1233,0.0,0.0
2024-08-16,7.26,7.509,7.26,7.509,7.509,17567,0.0,0.0
2024-08-19,7.56,7.56,7.5,7.5,7.5,1833,0.0,0.0
2024-08-20,7.5,7.98,7.5,7.854,7.854,4967,0.0,0.0
2024-08-21,7.704,7.764,7.704,7.764,7.764,2433,0.0,0.0
2024-08-22,7.431,7.686,7.431,7.686,7.686,1500,0.0,0.0
2024-08-23,7.686,7.686,7.686,7.686,7.686,367,0.0,0.0
2024-08-26,7.155,7.155,7.155,7.155,7.155,533,0.0,0.0
2024-08-27,7.155,7.155,7.155,7.155,7.155,133,0.0,0.0
2024-08-28,6.9,6.9,6.84,6.84,6.84,3500,0.0,0.0
2024-08-29,6.75,7.002,6.75,7.002,7.002,467,0.0,0.0
2024-08-30,6.9,6.9,6.9,6.9,6.9,1167,0.0,0.0
2024-09-03,6.42,6.525,6.384,6.48,6.48,12700,0.0,0.0
2024-09-04,6.21,6.219,6.15,6.219,6.219,9900,0.0,0.0
2024-09-05,6.24,6.24,6.24,6.24,6.24,1300,0.0,0.0
2024-09-06,6.21,7.2,6.09,6.09,6.09,3467,0.0,0.0
2024-09-09,6.09,6.09,6.09,6.09,6.09,0,0.0,0.0
2024-09-10,6.3,6.3,6.3,6.3,6.3,6000,0.0,0.0
2024-09-11,6.336,6.69,6.336,6.69,6.69,118100,0.0,0.0
2024-09-12,6.93,6.93,6.75,6.87,6.87,2133,0.0,0.0
2024-09-13,6.87,6.87,6.87,6.87,6.87,20433,0.0,0.0
2024-09-16,7.71,7.71,7.455,7.53,7.53,82233,0.0,0.0
2024-09-17,7.53,7.53,7.53,7.53,7.53,5800,0.0,0.0
2024-09-18,7.41,7.41,7.41,7.41,7.41,1500,0.0,0.0
2024-09-19,7.41,7.41,7.41,7.41,7.41,4233,0.0,0.0
2024-09-20,7.56,7.8,7.56,7.8,7.8,933,0.0,0.0
2024-09-23,7.74,7.74,7.56,7.56,7.56,4567,0.0,0.0
2024-09-24,7.5,7.59,7.497,7.59,7.59,15133,0.0,0.0
2024-09-25,7.56,7.575,7.56,7.575,7.575,9667,0.0,0.0
2024-09-26,7.2,7.53,7.2,7.32,7.32,37833,0.0,0.0
2024-09-27,7.305,7.38,7.23,7.23,7.23,29933,0.0,0.0
2024-09-30,7.65,7.65,7.05,7.11,7.11,94367,0.0,0.0
2024-10-01,7.23,7.65,7.23,7.47,7.47,46700,0.0,0.0
2024-10-02,7.65,7.875,7.65,7.875,7.875,3900,0.0,0.0
2024-10-03,7.14,7.35,6.9,6.99,6.99,58200,0.0,0.0
2024-10-04,7.017,7.38,6.93,7.17,7.17,14000,0.0,0.0
2024-10-07,7.23,7.35,6.72,6.84,6.84,23367,0.0,0.0
2024-10-08,6.75,6.78,6.72,6.75,6.75,17533,0.0,0.0
2024-10-09,6.816,7.2,6.714,6.72,6.72,40900,0.0,0.0
2024-10-10,6.78,6.909,6.78,6.84,6.84,84667,0.0,0.0
2024-10-11,6.936,7.128,6.87,7.05,7.05,63967,0.0,0.0
2024-10-14,7.5,7.5,7.17,7.323,7.323,2000,0.0,0.0
2024-10-15,7.32,7.32,7.038,7.155,7.155,19833,0.0,0.0
2024-10-16,7.23,7.359,7.23,7.338,7.338,21733,0.0,0.0
2024-10-17,7.29,7.41,7.29,7.35,7.35,10067,0.0,0.0
2024-10-18,7.38,7.86,7.35,7.86,7.86,78233,0.0,0.0
2024-10-21,8.01,8.25,7.695,7.98,7.98,33567,0.0,0.0
2024-10-22,7.98,8.625,7.89,8.532,8.532,25333,0.0,0.0
2024-10-23,8.268,8.64,8.19,8.598,8.598,38433,0.0,0.0
2024-10-24,8.4,8.838,8.4,8.838,8.838,19100,0.0,0.0
2024-10-25,8.73,8.844,8.64,8.76,8.76,18000,0.0,0.0
2024-10-28,8.529,8.55,8.25,8.25,8.25,3033,0.0,0.0
2024-10-29,8.31,8.37,8.22,8.37,8.37,12767,0.0,0.0
2024-10-30,8.25,8.316,8.19,8.316,8.316,4200,0.0,0.0
2024-10-31,8.19,8.19,7.761,7.923,7.923,16033,0.0,0.0
2024-11-01,8.04,8.1,8.04,8.091,8.091,8433,0.0,0.0
2024-11-04,8.1,8.1,7.98,7.98,7.98,4600,0.0,0.0
2024-11-05,8.16,8.16,8.01,8.01,8.01,3567,0.0,0.0
2024-11-06,7.83,7.86,7.68,7.86,7.86,10133,0.0,0.0
2024-11-07,8.265,8.265,8.07,8.22,8.22,41967,0.0,0.0
2024-11-08,8.121,8.121,7.59,7.65,7.65,20333,0.0,0.0
2024-11-11,7.47,7.5,6.81,7.11,7.11,88767,0.0,0.0
2024-11-12,6.81,6.81,6.6,6.669,6.669,45167,0.0,0.0
2024-11-13,6.75,6.75,6.45,6.45,6.45,14700,0.0,0.0
2024-11-14,6.54,6.786,6.54,6.75,6.75,31600,0.0,0.0
2024-11-15,6.48,6.48,6.369,6.39,6.39,11567,0.0,0.0
2024-11-18,6.6,7.05,6.6,6.96,6.96,35333,0.0,0.0
2024-11-19,7.044,7.17,7.005,7.17,7.17,26033,0.0,0.0
2024-11-20,7.2,7.23,7.08,7.11,7.11,18033,0.0,0.0
2024-11-21,7.14,7.275,7.08,7.275,7.275,21167,0.0,0.0
2024-11-22,7.26,7.428,7.23,7.41,7.41,13533,0.0,0.0
2024-11-25,7.47,7.47,6.9,6.9,6.9,226200,0.0,0.0
2024-11-26,6.84,7.02,6.84,6.945,6.945,5033,0.0,0.0
2024-11-27,6.96,6.96,6.87,6.9,6.9,6067,0.0,0.0
2024-11-29,6.9,6.9,6.9,6.9,6.9,0,0.0,0.0
2024-12-02,7.29,7.365,7.26,7.26,7.26,32167,0.0,0.0
2024-12-03,7.545,7.545,7.38,7.38,7.38,22733,0.0,0.0
2024-12-04,7.35,7.35,7.29,7.344,7.344,26667,0.0,0.0
2024-12-05,7.41,7.41,7.41,7.41,7.41,2833,0.0,0.0
2024-12-06,7.41,7.44,7.173,7.173,7.173,37100,0.0,0.0
2024-12-09,7.464,7.5,7.329,7.329,7.329,23667,0.0,0.0
2024-12-10,7.38,7.44,7.368,7.371,7.371,13733,0.0,0.0
2024-12-11,7.35,7.713,7.35,7.713,7.713,9400,0.0,0.0
2024-12-12,7.605,7.62,7.35,7.41,7.41,33633,0.0,0.0
2024-12-13,7.371,7.38,7.221,7.311,7.311,22400,0.0,0.0
2024-12-16,7.356,7.431,7.29,7.389,7.389,27067,0.0,0.0
2024-12-17,7.41,7.41,7.08,7.212,7.212,2800,0.0,0.0
2024-12-18,7.263,7.263,7.263,7.263,7.263,23667,0.0,0.0
2024-12-19,6.78,7.08,6.78,6.99,6.99,40100,0.0,0.0
2024-12-20,6.87,7.05,6.87,7.05,7.05,18667,0.0,0.0
2024-12-23,7.05,7.08,7.02,7.02,7.02,12833,0.0,0.0
2024-12-24,7.02,7.02,7.02,7.02,7.02,0,0.0,0.0
2024-12-26,7.221,7.305,7.185,7.305,7.305,167,0.0,0.0
2024-12-27,7.2,7.2,6.9,7.05,7.05,11700,0.0,0.0
2024-12-30,6.84,6.9,6.84,6.9,6.9,3233,0.0,0.0
2024-12-31,6.921,6.99,6.921,6.96,6.96,5167,0.0,0.0
2025-01-02,7.35,7.92,7.35,7.92,7.92,19300,0.0,0.0
2025-01-03,7.92,7.92,7.5,7.5,7.5,13733,0.0,0.0
2025-01-06,7.35,7.485,7.32,7.47,7.47,9933,0.0,0.0
2025-01-07,7.515,7.515,7.44,7.44,7.44,5467,0.0,0.0
2025-01-08,7.413,7.5,7.32,7.32,7.32,17433,0.0,0.0
2025-01-10,7.164,7.164,7.095,7.152,7.152,10833,0.0,0.0
2025-01-13,7.17,7.17,6.96,7.08,7.08,5833,0.0,0.0
2025-01-14,7.206,7.206,7.206,7.206,7.206,2233,0.0,0.0
2025-01-15,7.32,7.32,7.095,7.11,7.11,4200,0.0,0.0
2025-01-16,7.02,7.02,6.882,6.93,6.93,9067,0.0,0.0
2025-01-17,6.93,6.99,6.93,6.96,6.96,3200,0.0,0.0
2025-01-21,7.05,7.05,7.02,7.05,7.05,6133,0.0,0.0
2025-01-22,7.125,7.26,7.125,7.149,7.149,3400,0.0,0.0
2025-01-23,7.5,8.181,7.5,8.154,8.154,88467,0.0,0.0
2025-01-24,8.391,8.601,8.31,8.31,8.31,80600,0.0,0.0
2025-01-27,8.4,8.4,8.1,8.241,8.241,15067,0.0,0.0
2025-01-28,8.268,8.28,8.04,8.28,8.28,31433,0.0,0.0
2025-01-29,8.46,8.61,8.4,8.4,8.4,46933,0.0,0.0
2025-01-30,8.61,9.705,8.61,9.522,9.522,74533,0.0,0.0
2025-01-31,9.321,9.57,9.276,9.36,9.36,32900,0.0,0.0
2025-02-03,9.06,9.6,9.06,9.6,9.6,24733,0.0,0.0
2025-02-04,9.75,10.11,9.75,10.11,10.11,14067,0.0,0.0
2025-02-05,10.14,10.41,10.14,10.41,10.41,19300,0.0,0.0
2025-02-06,10.35,10.452,10.122,10.29,10.29,20467,0.0,0.0
2025-02-07,10.35,10.35,9.96,9.975,9.975,23067,0.0,0.0
2025-02-10,10.419,10.47,10.341,10.35,10.35,16167,0.0,0.0
2025-02-11,10.26,10.41,10.26,10.29,10.29,13900,0.0,0.0
2025-02-12,10.11,10.23,10.002,10.05,10.05,19167,0.0,0.0
2025-02-13,10.08,10.26,10.08,10.23,10.23,28433,0.0,0.0
2025-02-14,10.17,10.17,9.6,9.6,9.6,36000,0.0,0.0
2025-02-18,9.54,9.711,9.54,9.66,9.66,33633,0.0,0.0
2025-02-19,9.75,9.75,9.18,9.18,9.18,38900,0.0,0.0
2025-02-20,9.48,9.54,9.45,9.54,9.54,23267,0.0,0.0
2025-02-21,9.576,9.576,9.048,9.345,9.345,49733,0.0,0.0
2025-02-24,9.39,9.531,9.36,9.531,9.531,7900,0.0,0.0
2025-02-25,9.924,9.924,9.09,9.36,9.36,19967,0.0,0.0
2025-02-26,9.108,9.912,8.943,9.9,9.9,33033,0.0,0.0
2025-02-27,10.098,10.098,9.621,9.78,9.78,138300,0.0,0.0
2025-02-28,9.72,9.75,9.48,9.63,9.63,76567,0.0,0.0
2025-03-03,9.783,9.93,9.63,9.72,9.72,31367,0.0,0.0
2025-03-04,9.6,9.6,9.24,9.54,9.54,125167,0.0,0.0
2025-03-05,9.75,9.828,9.72,9.825,9.825,22767,0.0,0.0
2025-03-06,9.81,10.08,9.81,10.032,10.032,28200,0.0,0.0
2025-03-07,10.02,10.14,9.834,9.84,9.84,15100,0.0,0.0
2025-03-10,10.041,10.041,9.33,9.516,9.516,35433,0.0,0.0
2025-03-11,9.72,9.798,9.72,9.798,9.798,16000,0.0,0.0
2025-03-12,9.69,9.81,9.684,9.81,9.81,5233,0.0,0.0
2025-03-13,9.69,10.05,9.69,10.05,10.05,11867,0.0,0.0
2025-03-14,9.99,10.308,9.963,10.308,10.308,21267,0.0,0.0
2025-03-17,10.41,10.752,10.389,10.752,10.752,8200,0.0,0.0
2025-03-18,10.605,10.95,10.551,10.68,10.68,38067,0.0,0.0
2025-03-19,10.53,10.569,10.362,10.551,10.551,12933,0.0,0.0
2025-03-20,10.44,10.47,9.945,10.2,10.2,28100,0.0,0.0
2025-03-21,9.9,9.909,9.738,9.774,9.774,17800,0.0,0.0
2025-03-24,9.84,9.87,9.762,9.81,9.81,11933,0.0,0.0
