Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-02-22,7.375,7.375,7.25,7.25,4.229239,20800,0.0,0.0
1994-02-23,7.125,7.125,6.75,6.9375,4.046943,31600,0.0,0.0
1994-02-24,6.9375,6.9375,6.8125,6.8125,3.974025,32000,0.0,0.0
1994-02-25,6.6875,6.6875,6.25,6.4375,3.755273,49800,0.0,0.0
1994-02-28,6.5,6.75,6.4375,6.625,3.864648,170400,0.0,0.0
1994-03-01,6.625,6.625,6.5,6.5625,3.828191,41600,0.0,0.0
1994-03-02,6.4375,6.5625,6.4375,6.5625,3.828191,67000,0.0,0.0
1994-03-03,6.625,6.625,6.5,6.5,3.791731,27800,0.0,0.0
1994-03-04,6.5,6.75,6.4375,6.75,3.937568,358200,0.0,0.0
1994-03-07,6.4375,6.8125,6.4375,6.75,3.937568,690800,0.0,0.0
1994-03-08,6.75,6.8125,6.75,6.8125,3.974025,515200,0.0,0.0
1994-03-09,6.8125,6.875,6.8125,6.875,4.010484,540400,0.0,0.0
1994-03-10,6.875,6.875,6.8125,6.875,4.010484,1832200,0.0,0.0
1994-03-11,6.9375,7.1875,6.9375,7.1875,4.192781,1895400,0.0,0.0
1994-03-14,7.1875,7.625,7.1875,7.5625,4.411533,1413800,0.0,0.0
1994-03-15,7.5625,7.6875,7.4375,7.4375,4.338615,1665200,0.0,0.0
1994-03-16,7.4375,7.4375,7.3125,7.4375,4.338615,717000,0.0,0.0
1994-03-17,7.4375,7.6875,7.4375,7.5625,4.426412,971200,0.025,0.0
1994-03-18,7.625,7.6875,7.625,7.625,4.462994,1178000,0.0,0.0
1994-03-21,7.625,7.6875,7.625,7.6875,4.499575,659400,0.0,0.0
1994-03-22,7.6875,7.875,7.6875,7.8125,4.572737,374000,0.0,0.0
1994-03-23,7.8125,7.9375,7.75,7.875,4.609321,430200,0.0,0.0
1994-03-24,7.8125,7.875,7.75,7.75,4.536158,747000,0.0,0.0
1994-03-25,7.8125,7.8125,7.625,7.6875,4.499575,370000,0.0,0.0
1994-03-28,7.6875,7.6875,7.625,7.625,4.462994,1116200,0.0,0.0
1994-03-29,7.625,7.6875,7.5,7.5,4.389831,595800,0.0,0.0
1994-03-30,7.5,7.5,7.3125,7.375,4.316665,653000,0.0,0.0
1994-03-31,7.375,7.4375,7.25,7.375,4.316665,448400,0.0,0.0
1994-04-04,7.125,7.375,7.125,7.375,4.316665,386600,0.0,0.0
1994-04-05,7.3125,7.6875,7.3125,7.625,4.462994,361600,0.0,0.0
1994-04-06,7.625,7.6875,7.375,7.375,4.316665,551400,0.0,0.0
1994-04-07,7.5,7.5,7.375,7.4375,4.353248,338400,0.0,0.0
1994-04-08,7.3125,7.5,7.3125,7.5,4.389831,166000,0.0,0.0
1994-04-11,7.5,7.625,7.25,7.25,4.243502,424800,0.0,0.0
1994-04-12,7.125,7.25,7.125,7.125,4.170337,602800,0.0,0.0
1994-04-13,7.125,7.3125,7.0,7.0,4.097175,504600,0.0,0.0
1994-04-14,7.0625,7.0625,6.9375,6.9375,4.060592,378200,0.0,0.0
1994-04-15,6.875,7.0625,6.875,6.875,4.02401,197600,0.0,0.0
1994-04-18,7.0,7.25,7.0,7.25,4.243502,184800,0.0,0.0
1994-04-19,7.1875,7.3125,7.1875,7.25,4.243502,122200,0.0,0.0
1994-04-20,7.3125,7.3125,7.125,7.125,4.170337,201400,0.0,0.0
1994-04-21,7.125,7.3125,6.875,6.875,4.02401,858200,0.0,0.0
1994-04-22,7.0,7.25,7.0,7.25,4.243502,411400,0.0,0.0
1994-04-25,7.1875,7.625,7.1875,7.625,4.462994,330600,0.0,0.0
1994-04-26,7.5625,7.5625,7.25,7.375,4.316665,313400,0.0,0.0
1994-04-28,7.3125,7.3125,7.125,7.3125,4.280081,161600,0.0,0.0
1994-04-29,7.25,7.3125,7.1875,7.25,4.243502,344600,0.0,0.0
1994-05-02,7.1875,7.3125,7.0625,7.1875,4.206922,135800,0.0,0.0
1994-05-03,7.25,7.4375,7.125,7.1875,4.206922,375200,0.0,0.0
1994-05-04,7.125,7.375,7.125,7.3125,4.280081,491800,0.0,0.0
1994-05-05,7.3125,7.3125,7.1875,7.25,4.243502,152800,0.0,0.0
1994-05-06,7.25,7.3125,7.25,7.25,4.243502,272800,0.0,0.0
1994-05-09,7.25,7.3125,7.25,7.25,4.243502,161600,0.0,0.0
1994-05-10,7.25,7.5,7.25,7.5,4.389831,308200,0.0,0.0
1994-05-11,7.5,7.6875,7.5,7.5625,4.426412,388600,0.0,0.0
1994-05-12,7.5,7.75,7.5,7.75,4.536158,155000,0.0,0.0
1994-05-13,7.6875,7.75,7.375,7.375,4.316665,105200,0.0,0.0
1994-05-16,7.375,7.5625,7.375,7.4375,4.353248,206800,0.0,0.0
1994-05-17,7.5,7.5625,7.4375,7.5,4.389831,422600,0.0,0.0
1994-05-18,7.5,7.5,7.4375,7.5,4.389831,130800,0.0,0.0
1994-05-19,7.4375,7.625,7.375,7.5625,4.426412,199400,0.0,0.0
1994-05-20,7.5,7.5625,7.375,7.375,4.316665,119600,0.0,0.0
1994-05-23,7.3125,7.375,7.25,7.25,4.243502,195600,0.0,0.0
1994-05-24,7.4375,7.5625,7.375,7.5625,4.426412,158200,0.0,0.0
1994-05-25,7.5,7.75,7.5,7.6875,4.499575,104800,0.0,0.0
1994-05-26,7.75,7.75,7.5625,7.75,4.536158,345800,0.0,0.0
1994-05-27,7.6875,7.8125,7.625,7.8125,4.572737,298000,0.0,0.0
1994-05-31,7.9375,8.25,7.875,8.0625,4.719065,456400,0.0,0.0
1994-06-01,8.0625,8.0625,7.875,7.875,4.609321,268200,0.0,0.0
1994-06-02,8.0,8.0625,7.8125,7.875,4.609321,81000,0.0,0.0
1994-06-03,7.8125,7.9375,7.625,7.75,4.536158,397400,0.0,0.0
1994-06-06,7.875,7.9375,7.8125,7.875,4.609321,75600,0.0,0.0
1994-06-07,7.75,7.9375,7.75,7.9375,4.645904,92800,0.0,0.0
1994-06-08,7.9375,7.9375,7.875,7.875,4.609321,107600,0.0,0.0
1994-06-09,7.8125,7.90625,7.8125,7.875,4.624001,187800,0.025,0.0
1994-06-10,7.875,7.875,7.6875,7.6875,4.513906,280600,0.0,0.0
1994-06-13,7.75,7.875,7.5625,7.875,4.624001,97600,0.0,0.0
1994-06-14,7.875,8.0625,7.8125,8.0625,4.734095,339800,0.0,0.0
1994-06-15,8.0,8.1875,8.0,8.1875,4.807493,305200,0.0,0.0
1994-06-16,8.125,8.5,8.0625,8.5,4.990984,393800,0.0,0.0
1994-06-17,8.5,8.5,8.25,8.25,4.84419,407200,0.0,0.0
1994-06-20,8.125,8.25,8.0625,8.125,4.770793,47800,0.0,0.0
1994-06-21,8.125,8.5,8.125,8.5,4.990984,556200,0.0,0.0
1994-06-22,8.375,8.625,8.375,8.5,4.990984,759200,0.0,0.0
1994-06-23,8.4375,8.5,8.4375,8.5,4.990984,553200,0.0,0.0
1994-06-24,8.4375,8.5,8.375,8.375,4.917586,1003800,0.0,0.0
1994-06-27,8.375,8.375,8.125,8.25,4.84419,295200,0.0,0.0
1994-06-28,8.1875,8.25,8.125,8.125,4.770793,165800,0.0,0.0
1994-06-29,8.125,8.125,8.0,8.0,4.697398,396200,0.0,0.0
1994-06-30,8.0,8.1875,8.0,8.1875,4.807493,453200,0.0,0.0
1994-07-01,8.1875,8.25,8.0625,8.125,4.770793,870200,0.0,0.0
1994-07-05,8.0625,8.25,8.0625,8.1875,4.807493,685600,0.0,0.0
1994-07-06,8.1875,8.25,8.125,8.125,4.770793,163800,0.0,0.0
1994-07-07,8.125,8.25,8.125,8.1875,4.807493,290600,0.0,0.0
1994-07-08,8.125,8.3125,8.125,8.25,4.84419,165000,0.0,0.0
1994-07-11,8.1875,8.3125,8.1875,8.25,4.84419,86800,0.0,0.0
1994-07-12,8.25,8.25,8.0625,8.0625,4.734095,390800,0.0,0.0
1994-07-13,8.0625,8.125,8.0,8.0625,4.734095,287000,0.0,0.0
1994-07-14,7.9375,8.125,7.9375,8.0625,4.734095,167600,0.0,0.0
1994-07-15,7.9375,8.0625,7.9375,8.0625,4.734095,78800,0.0,0.0
1994-07-18,8.0625,8.25,8.0,8.1875,4.807493,150600,0.0,0.0
1994-07-19,8.3125,8.5,8.3125,8.375,4.917586,743800,0.0,0.0
1994-07-20,8.375,8.5625,8.3125,8.5625,5.027683,1206000,0.0,0.0
1994-07-21,8.4375,8.5625,8.4375,8.5625,5.027683,544800,0.0,0.0
1994-07-22,8.5625,8.625,8.5,8.5625,5.027683,201400,0.0,0.0
1994-07-25,8.625,8.625,8.5,8.625,5.064381,71600,0.0,0.0
1994-07-26,8.75,8.8125,8.625,8.6875,5.101079,205400,0.0,0.0
1994-07-27,8.625,8.8125,8.625,8.6875,5.101079,244000,0.0,0.0
1994-07-28,8.625,8.625,8.5625,8.625,5.064381,122400,0.0,0.0
1994-07-29,8.625,8.6875,8.5625,8.6875,5.101079,102400,0.0,0.0
