Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1998-02-27,17.375,18.0,17.375,17.375,12.459606,50000,0.0,0.0
1998-03-02,17.25,17.25,17.0,17.25,12.369969,75000,0.0,0.0
1998-03-03,17.125,17.125,16.75,17.125,12.280333,35000,0.0,0.0
1998-03-04,15.75,15.75,15.5,15.75,11.294316,60000,0.0,0.0
1998-03-05,16.125,16.125,16.125,16.125,11.56323,400,0.0,0.0
1998-03-06,16.125,16.375,16.125,16.125,11.56323,3600,0.0,0.0
1998-03-09,16.125,16.5,15.875,15.875,11.383959,3200,0.0,0.0
1998-03-10,15.875,16.875,15.875,16.25,11.652869,56800,0.0,0.0
1998-03-11,16.25,16.5,16.125,16.25,11.652869,10400,0.0,0.0
1998-03-12,16.25,16.375,16.125,16.375,11.742509,3800,0.0,0.0
1998-03-13,16.5,16.5,16.5,16.5,11.832145,1000,0.0,0.0
1998-03-16,16.5,16.5,16.125,16.125,11.56323,7700,0.0,0.0
1998-03-17,16.125,16.125,15.75,15.875,11.383959,28000,0.0,0.0
1998-03-18,15.875,16.125,15.75,16.125,11.56323,45700,0.0,0.0
1998-03-19,16.125,17.375,16.0,17.125,12.280333,383600,0.0,0.0
1998-03-20,17.25,17.75,17.25,17.75,12.728514,275600,0.0,0.0
1998-03-23,17.75,19.0,17.375,18.875,13.535255,398600,0.0,0.0
1998-03-24,18.875,19.875,18.875,19.75,14.16272,261800,0.0,0.0
1998-03-25,19.75,20.125,19.5,19.875,14.252353,135600,0.0,0.0
1998-03-26,19.875,19.875,19.25,19.625,14.073077,26300,0.0,0.0
1998-03-27,19.625,19.75,18.375,19.25,13.804165,62200,0.0,0.0
1998-03-30,19.25,19.875,19.25,19.875,14.252353,49500,0.0,0.0
1998-03-31,19.875,20.25,19.875,20.125,14.431633,79000,0.0,0.0
1998-04-01,20.125,20.625,20.0,20.5,14.700541,150100,0.0,0.0
1998-04-02,21.75,23.375,21.75,23.25,16.672564,140500,0.0,0.0
1998-04-03,23.25,26.125,21.75,24.75,17.748211,458700,0.0,0.0
1998-04-06,24.75,26.0,23.0,24.0,17.210386,105300,0.0,0.0
1998-04-07,24.0,24.0,22.125,22.125,15.865825,152800,0.0,0.0
1998-04-08,22.125,23.0,21.0,22.5,16.134735,45100,0.0,0.0
1998-04-09,22.5,23.0,22.25,23.0,16.493284,151400,0.0,0.0
1998-04-13,23.0,23.25,22.375,22.625,16.22438,85900,0.0,0.0
1998-04-14,22.625,23.0,22.5,22.75,16.314013,322900,0.0,0.0
1998-04-15,22.75,22.875,21.5,21.75,15.596907,23100,0.0,0.0
1998-04-16,21.75,21.75,20.875,21.25,15.238361,55400,0.0,0.0
1998-04-17,21.25,21.625,21.0,21.625,15.507277,15100,0.0,0.0
1998-04-20,21.625,22.125,21.25,22.125,15.865825,92900,0.0,0.0
1998-04-21,22.125,22.125,21.75,22.125,15.865825,23100,0.0,0.0
1998-04-22,22.125,23.625,22.125,23.0,16.493284,60900,0.0,0.0
1998-04-23,23.0,23.5,23.0,23.5,16.851837,242300,0.0,0.0
1998-04-24,23.5,23.625,22.0,22.0,15.776192,100900,0.0,0.0
1998-04-27,22.0,22.5,19.875,20.875,14.969454,52200,0.0,0.0
1998-04-28,20.875,21.875,20.75,21.5,15.417639,29100,0.0,0.0
1998-04-29,21.5,22.5,21.0,22.5,16.134735,101300,0.0,0.0
1998-04-30,22.5,23.25,22.375,23.0,16.493284,116300,0.0,0.0
1998-05-01,23.0,23.125,22.0,22.125,15.865825,61000,0.0,0.0
1998-05-04,22.125,22.25,21.25,21.625,15.507277,58400,0.0,0.0
1998-05-05,21.625,21.75,20.75,21.25,15.238361,44000,0.0,0.0
1998-05-06,21.25,22.0,20.875,22.0,15.776192,47300,0.0,0.0
1998-05-07,22.0,22.125,21.375,21.375,15.328002,230900,0.0,0.0
1998-05-08,21.75,22.75,21.75,22.625,16.22438,320700,0.0,0.0
1998-05-11,22.625,22.75,22.25,22.375,16.045105,375200,0.0,0.0
1998-05-12,22.375,22.625,22.0,22.0,15.776192,333300,0.0,0.0
1998-05-13,22.125,22.625,22.125,22.375,16.045105,88100,0.0,0.0
1998-05-14,22.375,22.5,22.0,22.5,16.134735,35600,0.0,0.0
1998-05-15,22.5,22.5,21.5,22.0,15.776192,69200,0.0,0.0
1998-05-18,22.0,22.125,21.0,21.5,15.417639,53200,0.0,0.0
1998-05-19,21.5,22.0,21.5,22.0,15.776192,21000,0.0,0.0
1998-05-20,22.0,22.0,21.0,21.0,15.05909,14100,0.0,0.0
1998-05-21,21.0,21.125,19.5,21.125,15.148734,116400,0.0,0.0
1998-05-22,20.75,20.75,20.25,20.625,14.790174,45100,0.0,0.0
1998-05-26,20.625,21.0,19.125,19.5,13.983446,119500,0.0,0.0
1998-05-27,19.5,19.5,18.75,19.25,13.804165,91100,0.0,0.0
1998-05-28,19.25,20.5,18.75,20.5,14.700541,163600,0.0,0.0
1998-05-29,20.5,22.5,20.5,22.5,16.134735,121900,0.0,0.0
1998-06-01,22.5,22.5,22.0,22.125,15.865825,258500,0.0,0.0
1998-06-02,22.125,22.5,22.125,22.375,16.045105,123400,0.0,0.0
1998-06-03,22.375,22.5,20.75,20.75,14.879813,180600,0.0,0.0
1998-06-04,20.75,21.0,20.0,20.75,14.879813,263200,0.0,0.0
1998-06-05,21.0,23.0,21.0,22.875,16.40365,290100,0.0,0.0
1998-06-08,23.25,23.625,22.5,23.0,16.493284,2718000,0.0,0.0
1998-06-09,23.0,23.0,22.0,22.375,16.045105,604900,0.0,0.0
1998-06-10,22.5,23.125,22.5,22.875,16.40365,149300,0.0,0.0
1998-06-11,22.875,23.0625,22.5625,23.0,16.493284,697400,0.0,0.0
1998-06-12,23.0,23.0,22.375,22.5625,16.179554,782000,0.0,0.0
1998-06-15,22.9375,22.9375,21.875,21.875,15.686555,165900,0.0,0.0
1998-06-16,21.9375,22.0,21.75,21.75,15.596907,95000,0.0,0.0
1998-06-17,21.9375,21.9375,21.5,21.9375,15.731371,57400,0.0,0.0
1998-06-18,21.9375,21.9375,21.375,21.5,15.417639,588700,0.0,0.0
1998-06-19,21.125,21.375,21.0625,21.1875,15.19354,698100,0.0,0.0
1998-06-22,21.0,21.375,20.625,21.125,15.148734,159500,0.0,0.0
1998-06-23,21.875,22.75,21.625,22.5,16.134735,234000,0.0,0.0
1998-06-24,22.5,23.0625,22.5,23.0,16.493284,275900,0.0,0.0
1998-06-25,23.0,23.625,22.6875,23.0,16.493284,223500,0.0,0.0
1998-06-26,23.25,23.625,23.125,23.375,16.762201,115800,0.0,0.0
1998-06-29,23.125,23.1875,21.625,22.875,16.40365,188900,0.0,0.0
1998-06-30,22.9375,24.9375,22.6875,24.9375,17.882673,566300,0.0,0.0
1998-07-01,25.0,25.625,24.375,24.6875,17.703396,449600,0.0,0.0
1998-07-02,24.0,24.6875,24.0,24.0,17.210386,5141900,0.0,0.0
1998-07-06,24.25,25.3125,24.1875,25.25,18.106768,991100,0.0,0.0
1998-07-07,26.0625,27.0,25.625,25.875,18.554951,1096000,0.0,0.0
1998-07-08,26.125,27.25,26.125,26.5,19.003136,431200,0.0,0.0
1998-07-09,26.5,27.125,25.625,25.9375,18.599764,659300,0.0,0.0
1998-07-10,26.125,26.625,25.75,26.25,18.82386,334700,0.0,0.0
1998-07-13,26.9375,27.3125,26.6875,27.25,19.540966,429600,0.0,0.0
1998-07-14,27.0,27.375,26.0,26.125,18.734226,509200,0.0,0.0
1998-07-15,26.625,27.0,26.25,26.9375,19.31687,225800,0.0,0.0
1998-07-16,27.375,27.375,26.5,26.9375,19.31687,233300,0.0,0.0
1998-07-17,26.875,27.4375,26.375,27.0,19.361687,479300,0.0,0.0
1998-07-20,26.75,27.4375,26.5625,27.0625,19.406504,244800,0.0,0.0
1998-07-21,27.5625,28.125,27.25,27.4375,19.675417,575300,0.0,0.0
1998-07-22,27.8125,28.125,27.5,27.75,19.899511,630200,0.0,0.0
1998-07-23,28.0,28.5,27.75,28.0,20.078791,496100,0.0,0.0
1998-07-24,27.875,28.625,27.25,27.875,19.989151,245300,0.0,0.0
1998-07-27,27.625,27.625,26.375,26.5625,19.047964,280600,0.0,0.0
1998-07-28,26.625,27.25,26.0,26.25,18.82386,421600,0.0,0.0
1998-07-29,26.375,26.75,26.25,26.25,18.82386,268000,0.0,0.0
1998-07-30,26.0,26.375,25.75,25.875,18.554951,208200,0.0,0.0
1998-07-31,26.0,26.125,24.0,24.0,17.210386,335600,0.0,0.0
1998-08-03,24.0,24.9375,24.0,24.9375,17.882673,214700,0.0,0.0
1998-08-04,24.5,24.625,22.5,23.0,16.493284,654300,0.0,0.0
1998-08-05,23.25,23.625,22.375,22.5,16.134735,446700,0.0,0.0
1998-08-06,22.5,23.5,22.5,22.875,16.40365,582600,0.0,0.0
1998-08-07,23.375,24.75,23.0,23.0,16.493284,197300,0.0,0.0
1998-08-10,23.0,23.5,22.875,23.25,16.672564,286500,0.0,0.0
1998-08-11,22.375,22.75,22.0,22.75,16.314013,231200,0.0,0.0
1998-08-12,23.5,24.375,23.3125,24.0625,17.255207,555700,0.0,0.0
1998-08-13,23.875,24.9375,23.75,24.125,17.300028,171600,0.0,0.0
1998-08-14,24.25,24.4375,23.5,23.5625,16.896656,62600,0.0,0.0
1998-08-17,23.6875,24.0,23.1875,23.1875,16.62775,107100,0.0,0.0
1998-08-18,23.375,23.375,22.25,22.3125,16.000288,111600,0.0,0.0
1998-08-19,22.3125,22.5,20.375,20.75,14.879813,213100,0.0,0.0
1998-08-20,20.75,20.75,19.75,20.125,14.431633,834700,0.0,0.0
1998-08-21,20.0,20.25,19.5,20.25,14.521263,462900,0.0,0.0
1998-08-24,20.1875,20.375,19.9375,20.0,14.341991,124100,0.0,0.0
1998-08-25,20.1875,20.375,19.875,20.0,14.341991,314800,0.0,0.0
1998-08-26,20.0,20.0,19.0625,19.5,13.983446,438900,0.0,0.0
1998-08-27,18.625,18.625,17.25,18.0625,12.952612,525400,0.0,0.0
1998-08-28,18.25,18.75,16.75,17.0,12.190693,453600,0.0,0.0
1998-08-31,17.0,17.1875,14.375,15.75,11.294316,412700,0.0,0.0
1998-09-01,16.0,17.0,15.5,17.0,12.190693,363300,0.0,0.0
1998-09-02,17.0,19.625,17.0,19.25,13.804165,813400,0.0,0.0
1998-09-03,18.5,19.25,18.5,18.875,13.535255,444100,0.0,0.0
1998-09-04,18.5,18.6875,18.0625,18.625,13.355985,78000,0.0,0.0
1998-09-08,20.125,20.1875,19.875,20.0,14.341991,922600,0.0,0.0
1998-09-09,19.75,21.0625,19.75,20.875,14.969454,394600,0.0,0.0
1998-09-10,20.625,21.0,19.9375,21.0,15.05909,483700,0.0,0.0
1998-09-11,20.75,22.375,20.625,22.125,15.865825,281400,0.0,0.0
1998-09-14,23.0,23.75,22.5625,23.0,16.493284,231600,0.0,0.0
1998-09-15,22.75,22.9375,22.375,22.9375,16.448479,816000,0.0,0.0
1998-09-16,23.1875,23.375,22.375,23.25,16.672564,1176700,0.0,0.0
1998-09-17,22.875,22.875,22.0,22.3125,16.000288,221200,0.0,0.0
