Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-08-05,53.459999,67.139999,53.34,60.540001,60.540001,285633,0.0,0.0
2019-08-06,63.900002,65.519997,59.220001,59.279999,59.279999,74967,0.0,0.0
2019-08-07,58.5,59.580002,55.5,59.400002,59.400002,46350,0.0,0.0
2019-08-08,59.220001,59.669998,53.279999,59.52,59.52,29667,0.0,0.0
2019-08-09,59.34,59.82,55.919998,59.400002,59.400002,21283,0.0,0.0
2019-08-12,59.220001,59.220001,56.700001,58.32,58.32,2233,0.0,0.0
2019-08-13,57.540001,58.200001,54.599998,54.959999,54.959999,9383,0.0,0.0
2019-08-14,57.0,57.0,54.060001,56.400002,56.400002,5217,0.0,0.0
2019-08-15,57.0,57.0,53.880001,54.360001,54.360001,2483,0.0,0.0
2019-08-16,55.200001,55.200001,53.34,55.139999,55.139999,2550,0.0,0.0
2019-08-19,56.099998,56.099998,53.063999,55.439999,55.439999,2533,0.0,0.0
2019-08-20,55.139999,57.0,53.82,55.799999,55.799999,4467,0.0,0.0
2019-08-21,56.400002,56.400002,54.66,55.380001,55.380001,1450,0.0,0.0
2019-08-22,54.599998,55.200001,53.700001,53.700001,53.700001,2717,0.0,0.0
2019-08-23,53.040001,53.417999,50.880001,52.799999,52.799999,5967,0.0,0.0
2019-08-26,52.200001,54.0,50.459999,54.0,54.0,44450,0.0,0.0
2019-08-27,54.959999,56.16,53.52,54.299999,54.299999,2567,0.0,0.0
2019-08-28,52.560001,55.139999,52.560001,54.299999,54.299999,1883,0.0,0.0
2019-08-29,53.580002,54.299999,49.619999,50.279999,50.279999,8767,0.0,0.0
2019-08-30,52.259998,54.599998,51.0,54.0,54.0,11750,0.0,0.0
2019-09-03,54.48,55.169998,52.860001,54.299999,54.299999,2733,0.0,0.0
2019-09-04,54.299999,54.360001,52.799999,54.360001,54.360001,2933,0.0,0.0
2019-09-05,54.240002,55.02,53.099998,54.419998,54.419998,2450,0.0,0.0
2019-09-06,53.759998,55.439999,52.830002,54.48,54.48,1867,0.0,0.0
2019-09-09,54.299999,55.349998,53.279999,54.48,54.48,2100,0.0,0.0
2019-09-10,54.060001,54.48,53.099998,54.48,54.48,2217,0.0,0.0
2019-09-11,54.48,54.599998,53.099998,54.48,54.48,2100,0.0,0.0
2019-09-12,54.48,54.48,53.099998,54.240002,54.240002,983,0.0,0.0
2019-09-13,53.759998,54.299999,53.220001,54.299999,54.299999,867,0.0,0.0
2019-09-16,53.939999,55.139999,53.243999,54.48,54.48,1333,0.0,0.0
2019-09-17,54.119999,54.119999,52.799999,52.799999,52.799999,600,0.0,0.0
2019-09-18,53.700001,54.0,52.799999,53.700001,53.700001,750,0.0,0.0
2019-09-19,54.299999,54.299999,52.860001,54.0,54.0,767,0.0,0.0
2019-09-20,53.400002,54.119999,52.776001,54.119999,54.119999,2083,0.0,0.0
2019-09-23,53.700001,53.759998,52.973999,53.759998,53.759998,650,0.0,0.0
2019-09-24,53.16,53.742001,52.860001,53.700001,53.700001,683,0.0,0.0
2019-09-25,53.700001,53.700001,51.540001,53.700001,53.700001,1467,0.0,0.0
2019-09-26,53.279999,53.759998,51.959999,53.759998,53.759998,1117,0.0,0.0
2019-09-27,55.860001,55.860001,52.650002,53.82,53.82,2400,0.0,0.0
2019-09-30,52.799999,54.0,51.599998,54.0,54.0,1283,0.0,0.0
