Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2012-04-11,25.15,25.15,25.129999,25.15,11.300365,1100,0.0,0.0,0.0
2012-04-12,25.15,25.299999,25.139999,25.299999,11.36776,12500,0.0,0.0,0.0
2012-04-13,25.25,25.33,25.25,25.32,11.376741,5300,0.0,0.0,0.0
2012-04-16,25.4,25.4,25.360001,25.379999,11.403705,10600,0.0,0.0,0.0
2012-04-17,25.5,25.549999,25.5,25.549999,11.480087,1600,0.0,0.0,0.0
2012-04-18,25.549999,28.290001,25.52,25.52,11.466615,17300,0.0,0.0,0.0
2012-04-19,25.700001,25.700001,25.5,25.6,11.502555,4800,0.0,0.0,0.0
2012-04-20,25.629999,25.65,25.530001,25.559999,11.484576,2900,0.0,0.0,0.0
2012-04-23,25.540001,25.549999,25.280001,25.48,11.448642,2300,0.0,0.0,0.0
2012-04-24,25.549999,25.549999,25.48,25.52,11.466615,1600,0.0,0.0,0.0
2012-04-25,25.129999,25.549999,25.129999,25.549999,11.480087,500,0.0,0.0,0.0
2012-04-26,25.549999,25.549999,25.440001,25.459999,11.439656,7200,0.0,0.0,0.0
2012-04-27,25.530001,25.549999,25.42,25.459999,11.439656,65000,0.0,0.0,0.0
2012-04-30,25.5,25.59,25.43,25.549999,11.480087,25000,0.0,0.0,0.0
2012-05-01,25.23,25.52,25.23,25.440001,11.430669,121700,0.0,0.0,0.0
2012-05-02,25.57,25.57,25.4,25.459999,11.439656,98700,0.0,0.0,0.0
2012-05-03,25.559999,25.559999,25.450001,25.469999,11.444145,74000,0.0,0.0,0.0
2012-05-04,25.51,25.51,25.43,25.450001,11.435162,45500,0.0,0.0,0.0
2012-05-07,25.43,25.450001,25.4,25.42,11.421684,12000,0.0,0.0,0.0
2012-05-08,25.5,25.540001,25.459999,25.51,11.462121,15100,0.0,0.0,0.0
2012-05-09,25.549999,25.549999,25.440001,25.440001,11.430669,12200,0.0,0.0,0.0
2012-05-10,26.120001,26.120001,25.389999,25.42,11.421684,11600,0.0,0.0,0.0
2012-05-11,25.42,25.450001,25.370001,25.4,11.412695,35000,0.0,0.0,0.0
2012-05-14,25.43,25.450001,25.280001,25.379999,11.403705,58300,0.0,0.0,0.0
2012-05-15,25.43,25.43,25.33,25.360001,11.394718,58000,0.0,0.0,0.0
2012-05-16,25.4,25.51,25.200001,25.209999,11.327317,46600,0.0,0.0,0.0
2012-05-17,25.02,25.299999,25.02,25.1,11.277893,3800,0.0,0.0,0.0
2012-05-18,25.09,25.120001,24.83,24.83,11.156573,11000,0.0,0.0,0.0
2012-05-21,24.889999,24.969999,24.889999,24.91,11.192534,29300,0.0,0.0,0.0
2012-05-22,24.91,24.98,24.91,24.950001,11.210505,11500,0.0,0.0,0.0
2012-05-23,25.059999,25.09,24.799999,24.83,11.156573,17000,0.0,0.0,0.0
2012-05-24,24.83,25.049999,24.83,25.0,11.232969,50900,0.0,0.0,0.0
2012-05-25,25.0,25.059999,25.0,25.02,11.241946,2700,0.0,0.0,0.0
2012-05-29,25.08,25.08,24.99,25.040001,11.25094,19800,0.0,0.0,0.0
2012-05-30,25.08,25.09,24.889999,24.889999,11.183537,31000,0.0,0.0,0.0
2012-05-31,25.030001,25.139999,25.030001,25.139999,11.295872,800,0.0,0.0,0.0
2012-06-01,25.0,25.15,24.940001,25.15,11.373652,11800,0.162,0.0,0.0
2012-06-04,24.92,24.92,24.92,24.92,11.269638,500,0.0,0.0,0.0
2012-06-05,24.809999,24.809999,24.809999,24.809999,11.219898,300,0.0,0.0,0.0
2012-06-06,24.719999,24.799999,24.719999,24.790001,11.210852,3000,0.0,0.0,0.0
2012-06-07,25.139999,25.139999,24.809999,24.809999,11.219898,1400,0.0,0.0,0.0
2012-06-08,25.459999,25.459999,24.93,24.93,11.274167,1700,0.0,0.0,0.0
2012-06-11,25.43,25.43,24.889999,24.889999,11.256073,2200,0.0,0.0,0.0
2012-06-12,25.049999,25.049999,25.02,25.049999,11.328438,900,0.0,0.0,0.0
2012-06-13,25.040001,25.15,24.91,25.15,11.373652,7700,0.0,0.0,0.0
2012-06-14,25.02,25.200001,25.02,25.15,11.373652,1100,0.0,0.0,0.0
2012-06-15,25.07,25.07,25.01,25.07,11.337477,1200,0.0,0.0,0.0
2012-06-18,25.190001,25.190001,25.17,25.17,11.382694,800,0.0,0.0,0.0
2012-06-19,25.200001,25.200001,25.200001,25.200001,11.396265,700,0.0,0.0,0.0
2012-06-20,25.35,25.35,25.33,25.33,11.455053,4400,0.0,0.0,0.0
2012-06-21,25.450001,25.450001,25.450001,25.450001,11.509324,800,0.0,0.0,0.0
2012-06-22,25.4,25.4,25.35,25.35,11.464093,3800,0.0,0.0,0.0
2012-06-25,25.450001,25.450001,25.41,25.41,11.491237,1700,0.0,0.0,0.0
2012-06-26,25.379999,25.379999,25.299999,25.35,11.464093,1500,0.0,0.0,0.0
2012-06-27,25.35,25.370001,25.35,25.35,11.464093,12800,0.0,0.0,0.0
2012-06-28,25.299999,25.4,25.280001,25.4,11.486717,10500,0.0,0.0,0.0
2012-06-29,25.450001,25.450001,25.450001,25.450001,11.509324,1000,0.0,0.0,0.0
2012-07-02,25.450001,25.450001,25.450001,25.450001,11.568417,400,0.13,0.0,0.0
2012-07-03,25.450001,25.450001,25.450001,25.450001,11.568417,0,0.0,0.0,0.0
2012-07-05,25.5,25.5,25.5,25.5,11.591146,400,0.0,0.0,0.0
2012-07-06,25.5,25.5,25.5,25.5,11.591146,1200,0.0,0.0,0.0
2012-07-09,25.49,25.49,25.49,25.49,11.586597,3000,0.0,0.0,0.0
2012-07-10,25.5,25.5,25.290001,25.290001,11.495687,200,0.0,0.0,0.0
2012-07-11,25.35,25.49,25.27,25.27,11.486608,1500,0.0,0.0,0.0
2012-07-12,25.27,25.27,25.27,25.27,11.486608,0,0.0,0.0,0.0
2012-07-13,25.450001,25.49,25.450001,25.49,11.586597,700,0.0,0.0,0.0
2012-07-16,25.41,25.6,25.41,25.57,11.622961,4700,0.0,0.0,0.0
2012-07-17,25.700001,25.700001,25.700001,25.700001,11.682055,5000,0.0,0.0,0.0
2012-07-18,25.77,25.77,25.450001,25.65,11.659331,83000,0.0,0.0,0.0
2012-07-19,25.75,25.799999,25.75,25.799999,11.727509,1200,0.0,0.0,0.0
2012-07-20,25.969999,25.969999,25.84,25.9,11.772959,4600,0.0,0.0,0.0
2012-07-23,25.85,25.85,25.59,25.65,11.659331,1400,0.0,0.0,0.0
2012-07-24,25.5,25.5,25.5,25.5,11.591146,300,0.0,0.0,0.0
2012-07-25,25.450001,25.85,25.4,25.85,11.750233,41100,0.0,0.0,0.0
2012-07-26,25.780001,25.780001,25.58,25.58,11.62751,1800,0.0,0.0,0.0
2012-07-27,25.76,25.76,25.6,25.6,11.636602,900,0.0,0.0,0.0
2012-07-30,25.85,25.85,25.85,25.85,11.750233,700,0.0,0.0,0.0
2012-07-31,25.75,25.75,25.75,25.75,11.704774,700,0.0,0.0,0.0
2012-08-01,25.9,25.9,25.790001,25.790001,11.787052,9300,0.14,0.0,0.0
2012-08-02,26.379999,26.379999,26.0,26.0,11.883019,10900,0.0,0.0,0.0
2012-08-03,26.91,26.91,26.1,26.139999,11.947012,38300,0.0,0.0,0.0
2012-08-06,26.110001,26.110001,26.030001,26.1,11.928733,1500,0.0,0.0,0.0
2012-08-07,26.049999,26.1,26.049999,26.1,11.928733,1400,0.0,0.0,0.0
2012-08-08,26.18,26.18,26.09,26.09,11.92416,1000,0.0,0.0,0.0
2012-08-09,26.25,26.25,26.200001,26.25,11.997289,4400,0.0,0.0,0.0
2012-08-10,26.35,26.35,26.34,26.34,12.038424,1000,0.0,0.0,0.0
2012-08-13,26.450001,26.450001,26.299999,26.299999,12.020147,3300,0.0,0.0,0.0
2012-08-14,26.35,26.35,26.35,26.35,12.042994,300,0.0,0.0,0.0
2012-08-15,26.4,26.4,26.0,26.040001,11.901305,11300,0.0,0.0,0.0
2012-08-16,26.25,26.25,26.049999,26.049999,11.905883,5500,0.0,0.0,0.0
2012-08-17,26.1,26.1,26.1,26.1,11.928733,100,0.0,0.0,0.0
2012-08-20,26.200001,26.200001,26.200001,26.200001,11.974431,1000,0.0,0.0,0.0
2012-08-21,26.35,26.35,26.219999,26.219999,11.983573,900,0.0,0.0,0.0
2012-08-22,26.35,26.35,26.35,26.35,12.042994,2000,0.0,0.0,0.0
2012-08-23,26.65,26.65,26.200001,26.299999,12.020147,1900,0.0,0.0,0.0
2012-08-24,26.66,26.66,26.59,26.59,12.15268,800,0.0,0.0,0.0
2012-08-27,26.41,26.549999,26.41,26.549999,12.134398,400,0.0,0.0,0.0
2012-08-28,26.690001,26.690001,26.65,26.65,12.180103,1000,0.0,0.0,0.0
2012-08-29,26.889999,26.889999,26.42,26.450001,12.0887,2000,0.0,0.0,0.0
2012-08-30,26.639999,26.639999,26.450001,26.6,12.157249,1600,0.0,0.0,0.0
2012-08-31,26.35,26.65,26.35,26.65,12.180103,2800,0.0,0.0,0.0
2012-09-04,26.48,26.48,26.450001,26.450001,12.152542,3300,0.14,0.0,0.0
2012-09-05,26.4,26.4,26.379999,26.4,12.129565,3900,0.0,0.0,0.0
2012-09-06,26.450001,26.450001,26.219999,26.25,12.060646,600,0.0,0.0,0.0
2012-09-07,26.27,26.35,26.26,26.35,12.106592,2200,0.0,0.0,0.0
2012-09-10,26.469999,26.5,26.219999,26.219999,12.04686,1400,0.0,0.0,0.0
2012-09-11,26.219999,26.219999,26.219999,26.219999,12.04686,0,0.0,0.0,0.0
2012-09-12,26.35,26.379999,26.200001,26.33,12.097399,113300,0.0,0.0,0.0
2012-09-13,26.49,26.58,26.49,26.58,12.212271,1200,0.0,0.0,0.0
2012-09-14,26.57,26.57,26.57,26.57,12.20768,400,0.0,0.0,0.0
2012-09-17,26.75,26.75,26.629999,26.639999,12.239834,1700,0.0,0.0,0.0
2012-09-18,26.83,26.83,26.4,26.549999,12.198479,2000,0.0,0.0,0.0
2012-09-19,26.799999,26.799999,26.52,26.690001,12.262809,2100,0.0,0.0,0.0
2012-09-20,27.0,27.0,26.700001,26.74,12.285779,4700,0.0,0.0,0.0
2012-09-21,26.57,26.57,26.440001,26.49,12.170913,11500,0.0,0.0,0.0
2012-09-24,26.76,26.76,26.6,26.629999,12.235236,700,0.0,0.0,0.0
2012-09-25,26.389999,26.440001,26.389999,26.42,12.138749,1200,0.0,0.0,0.0
2012-09-26,26.43,26.440001,26.290001,26.32,12.092811,3900,0.0,0.0,0.0
2012-09-27,26.370001,26.370001,26.25,26.33,12.097399,2200,0.0,0.0,0.0
2012-09-28,26.459999,26.459999,26.459999,26.459999,12.157136,200,0.0,0.0,0.0
2012-10-01,26.389999,26.389999,26.389999,26.389999,12.189463,200,0.14,0.0,0.0
2012-10-02,26.43,26.49,26.43,26.49,12.235651,700,0.0,0.0,0.0
2012-10-03,26.49,26.49,26.49,26.49,12.235651,0,0.0,0.0,0.0
2012-10-04,26.48,26.5,26.469999,26.469999,12.226416,1700,0.0,0.0,0.0
2012-10-05,26.450001,26.450001,26.370001,26.42,12.203318,900,0.0,0.0,0.0
2012-10-08,26.43,26.52,26.360001,26.360001,12.175607,900,0.0,0.0,0.0
2012-10-09,26.32,26.43,26.059999,26.32,12.157136,6900,0.0,0.0,0.0
2012-10-10,26.440001,26.49,26.440001,26.48,12.231032,800,0.0,0.0,0.0
2012-10-11,26.48,26.48,26.48,26.48,12.231032,0,0.0,0.0,0.0
2012-10-12,26.51,26.639999,26.5,26.5,12.240274,1000,0.0,0.0,0.0
2012-10-15,26.690001,26.690001,26.66,26.66,12.314171,400,0.0,0.0,0.0
2012-10-16,26.91,26.92,26.74,26.85,12.401937,1800,0.0,0.0,0.0
2012-10-17,26.879999,26.969999,26.879999,26.969999,12.457361,700,0.0,0.0,0.0
2012-10-18,26.93,27.0,26.93,27.0,12.471225,400,0.0,0.0,0.0
