Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-07-23,9.86,9.9,9.86,9.9,9.138311,55200,0.0,0.0
2019-07-24,9.9,10.0,9.828,9.94,9.175237,205300,0.0,0.0
2019-07-25,9.82,9.94,9.82,9.894,9.132773,1300,0.0,0.0
2019-07-26,9.894,9.894,9.894,9.894,9.132773,0,0.0,0.0
2019-07-29,9.894,9.894,9.894,9.894,9.132773,0,0.0,0.0
2019-07-30,9.923,9.95,9.923,9.939,9.174312,900,0.0,0.0
2019-07-31,9.939,9.939,9.939,9.939,9.174312,0,0.0,0.0
2019-08-01,9.939,9.939,9.939,9.939,9.174312,0,0.0,0.0
2019-08-02,9.939,9.939,9.939,9.939,9.174312,0,0.0,0.0
2019-08-05,9.939,9.939,9.939,9.939,9.174312,0,0.0,0.0
2019-08-06,9.85,9.85,9.85,9.85,9.092159,200,0.0,0.0
2019-08-07,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-08-08,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-08-09,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-08-12,9.95,9.95,9.95,9.95,9.184464,200,0.0,0.0
2019-08-13,9.94,9.95,9.94,9.95,9.184464,20000,0.0,0.0
2019-08-14,9.95,9.95,9.95,9.95,9.184464,0,0.0,0.0
2019-08-15,9.95,9.95,9.95,9.95,9.184464,0,0.0,0.0
2019-08-16,9.95,9.95,9.95,9.95,9.184464,0,0.0,0.0
2019-08-19,9.95,9.95,9.95,9.95,9.184464,0,0.0,0.0
2019-08-20,9.95,9.95,9.95,9.95,9.184464,1000,0.0,0.0
2019-08-21,9.94,9.94,9.94,9.94,9.175237,1100,0.0,0.0
2019-08-22,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-23,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-26,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-27,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-28,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-29,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-08-30,9.94,9.94,9.94,9.94,9.175237,0,0.0,0.0
2019-09-03,9.97,9.97,9.83,9.83,9.073697,1025400,0.0,0.0
2019-09-04,9.93,9.93,9.83,9.83,9.073697,505000,0.0,0.0
2019-09-05,9.93,9.93,9.93,9.93,9.166003,5000,0.0,0.0
2019-09-06,9.83,9.93,9.83,9.93,9.166003,305900,0.0,0.0
2019-09-09,9.86,9.93,9.85,9.93,9.166003,233300,0.0,0.0
2019-09-10,9.85,9.93,9.85,9.9,9.138311,181200,0.0,0.0
2019-09-11,16.200001,16.729,16.1,16.66,15.378211,457100,0.0,0.0
2019-09-12,16.860001,16.879999,16.540001,16.58,15.304364,439100,0.0,0.0
2019-09-13,16.700001,16.91,16.5,16.879999,15.581283,257200,0.0,0.0
2019-09-16,16.809999,16.82,16.120001,16.309999,15.055138,241900,0.0,0.0
2019-09-17,16.24,16.299999,16.059999,16.139999,14.898215,247700,0.0,0.0
2019-09-18,16.110001,16.27,15.85,16.219999,14.972062,331000,0.0,0.0
2019-09-19,16.27,16.403999,16.07,16.15,14.907448,250800,0.0,0.0
2019-09-20,16.129999,16.58,15.96,16.209999,14.962832,330200,0.0,0.0
2019-09-23,16.09,16.549999,15.96,16.43,15.165905,311800,0.0,0.0
2019-09-24,16.540001,16.540001,16.059999,16.09,14.852064,362600,0.0,0.0
2019-09-25,16.01,16.299999,16.01,16.200001,14.953602,315400,0.0,0.0
2019-09-26,16.120001,16.32,15.8,15.83,14.612068,297400,0.0,0.0
2019-09-27,9.91,9.91,9.91,9.91,9.147542,200,0.0,0.0
2019-09-30,9.85,9.9,9.85,9.9,9.138311,300,0.0,0.0
2019-10-01,9.9,9.9,9.9,9.9,9.138311,2000,0.0,0.0
2019-10-02,9.9,9.9,9.9,9.9,9.138311,105000,0.0,0.0
2019-10-03,9.85,9.91,9.85,9.91,9.147542,75400,0.0,0.0
2019-10-04,9.91,9.91,9.91,9.91,9.147542,200,0.0,0.0
2019-10-07,9.91,9.91,9.91,9.91,9.147542,0,0.0,0.0
2019-10-08,9.9,9.93,9.9,9.93,9.166003,67500,0.0,0.0
2019-10-09,9.93,9.93,9.93,9.93,9.166003,0,0.0,0.0
2019-10-10,9.86,9.91,9.85,9.9,9.138311,1185200,0.0,0.0
2019-10-11,9.9,9.9,9.9,9.9,9.138311,0,0.0,0.0
2019-10-14,9.85,9.85,9.85,9.85,9.092159,200,0.0,0.0
2019-10-15,9.89,9.89,9.85,9.85,9.092159,174100,0.0,0.0
2019-10-16,9.85,9.85,9.85,9.85,9.092159,100,0.0,0.0
2019-10-17,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-10-18,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-10-21,9.85,9.85,9.85,9.85,9.092159,0,0.0,0.0
2019-10-22,9.9,9.9,9.9,9.9,9.138311,100000,0.0,0.0
2019-10-23,9.86,9.89,9.86,9.89,9.129082,400100,0.0,0.0
2019-10-24,9.89,9.89,9.89,9.89,9.129082,0,0.0,0.0
2019-10-25,9.87,9.93,9.85,9.86,9.101388,510800,0.0,0.0
2019-10-28,9.89,9.9,9.885,9.885,9.124468,46000,0.0,0.0
2019-10-29,9.9,9.9,9.89,9.89,9.129082,100000,0.0,0.0
2019-10-30,9.89,9.89,9.89,9.89,9.129082,100,0.0,0.0
2019-10-31,9.89,9.89,9.89,9.89,9.129082,0,0.0,0.0
