Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-08-03,18.5,22.450001,18.299999,22.1,22.1,9347300,0.0,0.0
2018-08-06,21.82,22.0,20.120001,20.9,20.9,2479600,0.0,0.0
2018-08-07,20.700001,20.870001,19.799999,19.950001,19.950001,1493500,0.0,0.0
2018-08-08,19.85,21.0,19.809999,20.83,20.83,1914300,0.0,0.0
2018-08-09,20.799999,21.0,19.0,19.15,19.15,1959300,0.0,0.0
2018-08-10,19.450001,20.16,19.200001,20.110001,20.110001,673100,0.0,0.0
2018-08-13,20.200001,20.26,18.75,19.190001,19.190001,1074300,0.0,0.0
2018-08-14,19.07,19.57,18.879999,19.25,19.25,255700,0.0,0.0
2018-08-15,19.299999,19.74,19.0,19.66,19.66,247300,0.0,0.0
2018-08-16,19.879999,20.190001,19.5,20.02,20.02,269400,0.0,0.0
2018-08-17,19.940001,20.01,19.0,19.379999,19.379999,519600,0.0,0.0
2018-08-20,19.5,19.92,19.040001,19.700001,19.700001,163300,0.0,0.0
2018-08-21,19.5,21.25,19.450001,20.65,20.65,623500,0.0,0.0
2018-08-22,20.75,23.139999,20.75,21.48,21.48,964600,0.0,0.0
2018-08-23,21.49,23.49,21.49,22.73,22.73,554300,0.0,0.0
2018-08-24,22.73,22.879999,22.040001,22.709999,22.709999,244900,0.0,0.0
2018-08-27,22.99,23.77,22.6,23.08,23.08,615000,0.0,0.0
2018-08-28,22.57,22.700001,20.870001,20.879999,20.879999,913700,0.0,0.0
2018-08-29,20.969999,21.15,19.0,19.040001,19.040001,1406100,0.0,0.0
2018-08-30,19.76,19.99,19.299999,19.780001,19.780001,871000,0.0,0.0
2018-08-31,19.639999,19.76,19.4,19.73,19.73,323700,0.0,0.0
2018-09-04,19.65,19.77,19.299999,19.57,19.57,1130700,0.0,0.0
2018-09-05,19.120001,19.309999,18.610001,18.940001,18.940001,828300,0.0,0.0
2018-09-06,18.9,19.110001,18.01,18.24,18.24,712300,0.0,0.0
2018-09-07,18.049999,18.610001,18.0,18.08,18.08,1014000,0.0,0.0
2018-09-10,18.200001,18.9,18.110001,18.23,18.23,553400,0.0,0.0
2018-09-11,18.200001,18.68,17.93,18.67,18.67,559000,0.0,0.0
2018-09-12,18.450001,19.65,18.450001,19.200001,19.200001,1323500,0.0,0.0
2018-09-13,19.16,19.879999,17.469999,17.889999,17.889999,1361900,0.0,0.0
2018-09-14,17.93,18.73,17.5,17.66,17.66,746200,0.0,0.0
2018-09-17,17.66,18.459999,17.15,17.48,17.48,914900,0.0,0.0
2018-09-18,17.4,17.629999,16.629999,16.709999,16.709999,661000,0.0,0.0
2018-09-19,16.700001,16.700001,16.07,16.110001,16.110001,814400,0.0,0.0
2018-09-20,16.0,16.67,14.91,15.05,15.05,1033000,0.0,0.0
2018-09-21,15.05,15.48,14.87,14.9,14.9,2310700,0.0,0.0
2018-09-24,14.8,14.85,13.93,14.32,14.32,708800,0.0,0.0
2018-09-25,14.24,14.4,13.91,14.05,14.05,519300,0.0,0.0
2018-09-26,14.03,14.05,13.5,13.54,13.54,799100,0.0,0.0
2018-09-27,13.58,14.44,13.32,14.26,14.26,1376900,0.0,0.0
2018-09-28,14.29,14.86,14.21,14.51,14.51,823000,0.0,0.0
2018-10-01,14.45,14.75,14.3,14.52,14.52,889300,0.0,0.0
2018-10-02,14.5,14.53,13.47,13.76,13.76,777400,0.0,0.0
2018-10-03,13.66,13.7,13.04,13.28,13.28,576200,0.0,0.0
2018-10-04,13.28,13.54,13.02,13.4,13.4,472500,0.0,0.0
2018-10-05,13.36,13.41,13.0,13.27,13.27,224900,0.0,0.0
2018-10-08,13.13,13.16,12.88,13.04,13.04,327100,0.0,0.0
2018-10-09,12.98,13.6,12.81,13.27,13.27,278600,0.0,0.0
2018-10-10,13.18,13.34,12.68,12.88,12.88,436000,0.0,0.0
2018-10-11,12.82,13.36,12.57,12.73,12.73,651900,0.0,0.0
2018-10-12,13.02,13.18,12.45,12.61,12.61,368300,0.0,0.0
2018-10-15,12.55,12.83,12.5,12.74,12.74,569200,0.0,0.0
2018-10-16,12.81,13.15,12.66,12.85,12.85,423300,0.0,0.0
2018-10-17,12.85,12.85,12.1,12.12,12.12,265400,0.0,0.0
2018-10-18,12.07,12.19,11.61,12.11,12.11,461300,0.0,0.0
2018-10-19,12.13,12.31,11.89,11.96,11.96,260500,0.0,0.0
2018-10-22,11.98,12.73,11.8,12.65,12.65,256600,0.0,0.0
2018-10-23,12.43,13.5,12.07,13.46,13.46,472900,0.0,0.0
2018-10-24,13.41,14.3,13.25,14.02,14.02,1038200,0.0,0.0
2018-10-25,14.1,15.12,14.03,14.46,14.46,1367000,0.0,0.0
2018-10-26,12.5,12.95,11.5,12.68,12.68,2152000,0.0,0.0
2018-10-29,12.88,13.59,12.88,13.08,13.08,388900,0.0,0.0
2018-10-30,13.11,13.11,12.28,12.56,12.56,392400,0.0,0.0
2018-10-31,12.67,13.62,12.58,13.59,13.59,474600,0.0,0.0
2018-11-01,13.68,14.29,13.66,13.83,13.83,408600,0.0,0.0
2018-11-02,13.83,13.9,12.83,12.91,12.91,239600,0.0,0.0
2018-11-05,12.88,12.93,12.36,12.91,12.91,226800,0.0,0.0
2018-11-06,12.98,14.27,12.98,13.6,13.6,942800,0.0,0.0
2018-11-07,13.75,13.84,13.06,13.71,13.71,312400,0.0,0.0
2018-11-08,13.56,14.02,13.46,13.79,13.79,159500,0.0,0.0
2018-11-09,13.63,13.64,12.64,12.72,12.72,230600,0.0,0.0
2018-11-12,12.59,13.29,12.59,12.99,12.99,231400,0.0,0.0
2018-11-13,13.02,13.69,13.02,13.42,13.42,417000,0.0,0.0
2018-11-14,13.59,13.71,12.92,13.07,13.07,550400,0.0,0.0
2018-11-15,13.17,13.66,13.01,13.52,13.52,328700,0.0,0.0
2018-11-16,13.42,13.52,13.02,13.28,13.28,201700,0.0,0.0
2018-11-19,13.14,13.49,12.76,12.97,12.97,286600,0.0,0.0
2018-11-20,12.81,12.83,12.27,12.53,12.53,397100,0.0,0.0
2018-11-21,12.68,12.68,12.32,12.45,12.45,251900,0.0,0.0
2018-11-23,12.47,12.61,12.19,12.35,12.35,98300,0.0,0.0
2018-11-26,12.44,12.92,12.41,12.65,12.65,131200,0.0,0.0
2018-11-27,12.52,12.86,12.3,12.39,12.39,172100,0.0,0.0
2018-11-28,12.49,12.62,12.18,12.39,12.39,144700,0.0,0.0
2018-11-29,12.25,12.48,11.84,12.08,12.08,504800,0.0,0.0
2018-11-30,12.07,12.23,11.84,12.03,12.03,297600,0.0,0.0
2018-12-03,10.99,11.13,9.17,9.28,9.28,1574500,0.0,0.0
2018-12-04,9.3,9.46,8.79,8.8,8.8,1202800,0.0,0.0
2018-12-06,8.97,9.26,8.76,8.95,8.95,488900,0.0,0.0
2018-12-07,9.11,9.32,8.8,9.04,9.04,443800,0.0,0.0
2018-12-10,9.04,9.66,9.03,9.59,9.59,174700,0.0,0.0
2018-12-11,9.69,10.04,9.68,9.86,9.86,278000,0.0,0.0
2018-12-12,9.93,10.08,9.52,9.53,9.53,322400,0.0,0.0
2018-12-13,9.58,9.82,9.5,9.64,9.64,410300,0.0,0.0
2018-12-14,9.45,10.08,9.45,9.87,9.87,576600,0.0,0.0
2018-12-17,9.89,9.97,9.66,9.72,9.72,391200,0.0,0.0
2018-12-18,9.71,10.02,9.66,9.8,9.8,345000,0.0,0.0
2018-12-19,9.7,10.15,9.61,9.71,9.71,428500,0.0,0.0
2018-12-20,9.52,9.73,9.28,9.54,9.54,336600,0.0,0.0
2018-12-21,10.06,10.06,8.97,9.4,9.4,519000,0.0,0.0
2018-12-24,9.16,9.57,9.1,9.18,9.18,206200,0.0,0.0
2018-12-26,9.08,10.0,9.08,9.95,9.95,651200,0.0,0.0
2018-12-27,9.72,10.76,9.72,10.74,10.74,571100,0.0,0.0
2018-12-28,10.7,11.75,10.52,10.67,10.67,589600,0.0,0.0
2018-12-31,10.68,11.07,9.74,9.98,9.98,627700,0.0,0.0
2019-01-02,9.83,10.5,9.47,10.12,10.12,4336700,0.0,0.0
2019-01-03,9.96,10.0,8.6,9.12,9.12,1792900,0.0,0.0
2019-01-04,9.27,9.51,8.72,9.0,9.0,2882300,0.0,0.0
2019-01-07,8.95,9.27,8.77,8.8,8.8,4296900,0.0,0.0
2019-01-08,8.79,8.99,8.18,8.26,8.26,3449600,0.0,0.0
2019-01-09,8.3,8.52,7.66,7.75,7.75,2959100,0.0,0.0
2019-01-10,7.72,8.1,7.66,7.81,7.81,2082500,0.0,0.0
2019-01-11,7.85,8.13,7.76,7.9,7.9,1942300,0.0,0.0
