Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-03-23,4.21,4.54,4.17,4.42,4.42,1346600,0.0,0.0
2023-03-24,4.52,4.55,4.38,4.41,4.41,136600,0.0,0.0
2023-03-27,4.55,7.0,4.51,6.13,6.13,834000,0.0,0.0
2023-03-28,6.35,8.5,6.21,6.81,6.81,903800,0.0,0.0
2023-03-29,7.35,10.0,7.35,9.21,9.21,2397200,0.0,0.0
2023-03-30,8.6,10.99,8.25,10.0,10.0,836100,0.0,0.0
2023-03-31,10.39,10.5,9.5,9.5,9.5,375400,0.0,0.0
2023-04-03,8.6,8.99,8.09,8.81,8.81,205900,0.0,0.0
2023-04-04,8.9,8.99,8.1,8.17,8.17,178400,0.0,0.0
2023-04-05,8.06,10.49,8.03,9.83,9.83,132900,0.0,0.0
2023-04-06,9.4,12.0,9.4,11.76,11.76,389200,0.0,0.0
2023-04-10,12.38,14.77,12.15,14.35,14.35,241300,0.0,0.0
2023-04-11,14.7,14.7,12.08,12.81,12.81,110800,0.0,0.0
2023-04-12,12.91,14.334,12.91,13.87,13.87,77500,0.0,0.0
2023-04-13,14.79,18.922001,14.049,18.35,18.35,381000,0.0,0.0
2023-04-14,18.01,20.941,17.42,19.950001,19.950001,305300,0.0,0.0
2023-04-17,18.610001,19.200001,16.200001,18.0,18.0,121400,0.0,0.0
2023-04-18,17.280001,17.764999,13.55,14.2,14.2,119700,0.0,0.0
2023-04-19,14.14,15.44,14.04,14.47,14.47,71000,0.0,0.0
2023-04-20,14.36,14.99,11.3,12.92,12.92,1022900,0.0,0.0
2023-04-21,12.92,19.99,12.92,17.41,17.41,257900,0.0,0.0
2023-04-24,17.32,21.530001,17.15,19.889999,19.889999,277100,0.0,0.0
2023-04-25,18.34,19.02,16.709999,17.110001,17.110001,88100,0.0,0.0
2023-04-26,16.51,17.809999,16.059999,17.0,17.0,21900,0.0,0.0
2023-04-27,16.280001,16.989,15.16,16.811001,16.811001,105800,0.0,0.0
2023-04-28,15.504,16.51,14.21,14.65,14.65,93900,0.0,0.0
2023-05-01,14.0,14.04,3.25,4.06,4.06,4527100,0.0,0.0
2023-05-02,3.54,3.88,2.3,3.19,3.19,1037100,0.0,0.0
2023-05-03,3.01,3.4,2.74,3.05,3.05,589900,0.0,0.0
2023-05-04,2.96,3.12,2.41,2.69,2.69,519600,0.0,0.0
2023-05-05,2.6,3.14,2.6,2.97,2.97,618400,0.0,0.0
2023-05-08,3.02,3.35,3.0,3.03,3.03,317400,0.0,0.0
2023-05-09,3.05,3.2,2.7,2.76,2.76,235100,0.0,0.0
2023-05-10,2.89,2.95,2.7,2.77,2.77,92200,0.0,0.0
2023-05-11,2.73,2.88,2.6,2.6,2.6,169600,0.0,0.0
2023-05-12,2.6,2.9,2.54,2.83,2.83,304800,0.0,0.0
2023-05-15,2.99,2.997,2.43,2.61,2.61,182000,0.0,0.0
2023-05-16,2.55,2.59,2.32,2.41,2.41,125900,0.0,0.0
2023-05-17,2.44,2.48,2.32,2.41,2.41,43400,0.0,0.0
2023-05-18,2.42,2.85,2.38,2.73,2.73,844700,0.0,0.0
2023-05-19,2.81,3.44,2.76,3.12,3.12,562500,0.0,0.0
2023-05-22,2.95,3.37,2.85,3.05,3.05,276900,0.0,0.0
2023-05-23,3.04,3.23,2.77,2.9,2.9,176900,0.0,0.0
2023-05-24,2.98,3.07,2.916,2.99,2.99,104200,0.0,0.0
2023-05-25,2.92,2.98,2.77,2.89,2.89,73400,0.0,0.0
2023-05-26,2.96,2.96,2.6,2.71,2.71,95300,0.0,0.0
2023-05-30,2.7,2.89,2.648,2.79,2.79,27000,0.0,0.0
2023-05-31,2.77,3.03,2.725,2.95,2.95,51400,0.0,0.0
2023-06-01,2.88,2.96,2.71,2.72,2.72,21300,0.0,0.0
2023-06-02,2.74,2.818,2.7,2.71,2.71,15300,0.0,0.0
2023-06-05,2.89,2.89,2.725,2.775,2.775,434900,0.0,0.0
2023-06-06,2.7,2.88,2.56,2.88,2.88,119400,0.0,0.0
2023-06-07,2.79,2.87,2.747,2.75,2.75,34300,0.0,0.0
