Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-07-07,24.33,25.6,23.75,23.75,23.75,10100,0.0,0.0,0.0
2026-07-08,23.23,23.959999,22.84,23.809999,23.809999,24200,0.0,0.0,
2026-07-09,25.0,26.110001,24.27,25.219999,25.219999,18600,0.0,0.0,
2026-07-10,25.1,25.1,22.57,23.18,23.18,46200,0.0,0.0,
2026-07-13,21.780001,22.25,20.379999,22.08,22.08,13200,0.0,0.0,0.0
2026-07-14,23.440001,24.6,23.0,23.200001,23.200001,4800,0.0,0.0,
2026-07-15,23.299999,23.299999,20.74,21.77,21.77,14700,0.0,0.0,
2026-07-16,19.200001,19.280001,15.49,15.49,15.49,30300,0.0,0.0,
2026-07-17,14.73,15.6,14.55,14.99,14.99,10200,0.0,0.0,
2026-07-20,15.17,15.17,14.2,14.48,14.48,4000,0.0,0.0,
2026-07-21,14.77,14.99,14.44,14.99,14.99,14400,0.0,0.0,
2026-07-22,14.84,14.92,14.6,14.92,14.92,7700,0.0,0.0,
2026-07-23,14.42,14.43,12.93,13.8,13.8,22800,0.0,0.0,
2026-07-24,13.89,13.96,13.04,13.41,13.41,17700,0.0,0.0,
2026-07-27,14.09,14.09,12.83,13.0,13.0,3400,0.0,0.0,
2026-07-28,11.51,12.03,11.0,12.03,12.03,4900,0.0,0.0,
2026-07-29,12.23,12.23,11.19,11.19,11.19,2800,0.0,0.0,
2026-07-30,11.74,13.16,11.74,13.05,13.05,8500,0.0,0.0,
2026-07-31,13.95,13.95,12.85,13.19,13.19,1600,0.0,0.0,
2026-08-03,12.93,13.71,12.93,13.24,13.24,2000,0.0,0.0,
2026-08-04,14.25,14.43,14.02,14.36,14.36,4600,0.0,0.0,
2026-08-05,14.58,14.8,13.89,13.89,13.89,7000,0.0,0.0,
2026-08-06,13.0,14.59,13.0,13.98,13.98,3100,0.0,0.0,
2026-08-07,14.77,14.89,14.51,14.58,14.58,11600,0.0,0.0,
2026-08-10,14.72,14.9,14.14,14.14,14.14,1800,0.0,0.0,
2026-08-11,15.28,15.35,14.6069,14.6069,14.6069,1854,0.0,0.0,0.0
2026-08-12,14.07,14.07,13.99,13.99,13.99,500,0.0,0.0,
2026-08-13,14.15,14.86,13.89,14.5707,14.5707,4097,0.0,0.0,
