Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-12-23,25.0,25.02,25.0,25.0,4.410755,323000,0.0,0.0
2004-12-27,25.0,25.01,25.0,25.01,4.412521,32500,0.0,0.0
2004-12-28,25.01,25.02,25.0,25.01,4.412521,30700,0.0,0.0
2004-12-29,25.01,25.02,25.0,25.01,4.412521,27000,0.0,0.0
2004-12-30,25.02,25.1,25.0,25.01,4.412521,28900,0.0,0.0
2004-12-31,25.02,25.049999,25.0,25.030001,4.41605,20400,0.0,0.0
2005-01-03,25.0,25.1,25.0,25.09,4.426636,38300,0.0,0.0
2005-01-04,25.09,25.120001,25.01,25.049999,4.419579,44700,0.0,0.0
2005-01-05,25.049999,25.1,25.01,25.07,4.423105,52300,0.0,0.0
2005-01-06,25.02,25.1,25.02,25.030001,4.41605,40000,0.0,0.0
2005-01-07,25.030001,25.08,25.01,25.01,4.412521,45200,0.0,0.0
2005-01-10,25.01,25.07,25.01,25.040001,4.417815,24400,0.0,0.0
2005-01-11,25.040001,25.07,25.0,25.01,4.412521,26200,0.0,0.0
2005-01-12,25.0,25.08,25.0,25.01,4.412521,25900,0.0,0.0
2005-01-13,25.0,25.049999,25.0,25.0,4.410755,85500,0.0,0.0
2005-01-14,25.01,25.02,25.0,25.01,4.412521,34600,0.0,0.0
2005-01-18,25.0,25.02,25.0,25.0,4.410755,217600,0.0,0.0
2005-01-19,25.0,25.02,25.0,25.0,4.410755,91100,0.0,0.0
2005-01-20,25.0,25.01,25.0,25.0,4.410755,226300,0.0,0.0
2005-01-21,25.0,25.01,25.0,25.0,4.410755,149900,0.0,0.0
2005-01-24,25.0,25.01,25.0,25.0,4.410755,134000,0.0,0.0
2005-01-25,25.0,25.02,25.0,25.0,4.410755,86900,0.0,0.0
2005-01-26,25.0,25.02,25.0,25.01,4.412521,89900,0.0,0.0
2005-01-27,25.0,25.02,25.0,25.0,4.410755,37200,0.0,0.0
2005-01-28,25.0,25.02,25.0,25.0,4.410755,48900,0.0,0.0
2005-01-31,25.0,25.01,25.0,25.01,4.412521,76900,0.0,0.0
2005-02-01,25.0,25.01,24.950001,24.959999,4.403698,85200,0.0,0.0
2005-02-02,24.959999,24.99,24.950001,24.959999,4.403698,72900,0.0,0.0
2005-02-03,24.959999,25.0,24.9,24.91,4.394875,73900,0.0,0.0
2005-02-04,24.9,24.93,24.85,24.93,4.398403,73600,0.0,0.0
2005-02-07,24.91,25.0,24.9,24.91,4.394875,51400,0.0,0.0
2005-02-08,24.99,25.110001,24.950001,25.02,4.414286,65300,0.0,0.0
2005-02-09,25.0,25.1,24.870001,25.01,4.412521,98200,0.0,0.0
2005-02-10,24.969999,25.200001,24.969999,25.17,4.44075,96900,0.0,0.0
2005-02-11,25.1,25.25,25.08,25.23,4.451333,69800,0.0,0.0
2005-02-14,25.299999,25.299999,25.049999,25.16,4.438984,57200,0.0,0.0
2005-02-15,25.1,25.25,25.030001,25.17,4.44075,107900,0.0,0.0
2005-02-16,25.35,25.35,25.049999,25.280001,4.460156,81400,0.0,0.0
2005-02-17,25.280001,25.34,24.959999,25.030001,4.41605,109500,0.0,0.0
2005-02-18,25.049999,25.219999,24.950001,25.219999,4.44957,86300,0.0,0.0
2005-02-22,25.0,25.190001,24.91,25.040001,4.417815,108700,0.0,0.0
