Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-12-19,9.86,9.88,9.85,9.86,9.86,8200,0.0,0.0
2025-12-22,9.85,9.86,9.85,9.85,9.85,3400,0.0,0.0
2025-12-23,9.85,9.88,9.85,9.86,9.86,38300,0.0,0.0
2025-12-24,9.85,9.85,9.85,9.85,9.85,600,0.0,0.0
2025-12-26,9.841,9.841,9.84,9.84,9.84,700,0.0,0.0
2025-12-29,9.86,9.86,9.845,9.85,9.85,94000,0.0,0.0
2025-12-30,9.86,9.86,9.83,9.85,9.85,1400,0.0,0.0
2025-12-31,9.86,9.86,9.85,9.85,9.85,1300,0.0,0.0
2026-01-02,9.82,9.831,9.82,9.831,9.831,300,0.0,0.0
2026-01-05,9.85,9.85,9.8,9.84,9.84,129900,0.0,0.0
2026-01-06,9.85,9.85,9.81,9.84,9.84,11100,0.0,0.0
2026-01-07,9.87,9.87,9.85,9.86,9.86,100800,0.0,0.0
2026-01-08,9.87,9.87,9.87,9.87,9.87,400,0.0,0.0
2026-01-09,9.85,9.86,9.85,9.86,9.86,1300,0.0,0.0
2026-01-12,9.83,9.86,9.83,9.86,9.86,7800,0.0,0.0
2026-01-13,9.87,9.89,9.865,9.885,9.885,125500,0.0,0.0
2026-01-14,9.88,9.89,9.88,9.89,9.89,1300,0.0,0.0
2026-01-15,9.87,9.87,9.87,9.87,9.87,300,0.0,0.0
2026-01-16,9.875,9.875,9.875,9.875,9.875,300,0.0,0.0
2026-01-20,9.9,9.9,9.87,9.88,9.88,10500,0.0,0.0
2026-01-21,9.88,9.89,9.87,9.89,9.89,55400,0.0,0.0
2026-01-22,9.89,9.89,9.89,9.89,9.89,300,0.0,0.0
2026-01-23,9.87,9.9,9.87,9.9,9.9,3400,0.0,0.0
2026-01-26,9.89,9.92,9.89,9.9,9.9,1900,0.0,0.0
2026-01-27,9.89,9.92,9.89,9.9,9.9,4200,0.0,0.0
2026-01-28,9.89,9.9,9.89,9.9,9.9,2000,0.0,0.0
2026-01-29,9.9,9.9,9.89,9.89,9.89,16000,0.0,0.0
2026-01-30,9.89,9.9,9.89,9.9,9.9,34200,0.0,0.0
2026-02-02,9.91,9.92,9.91,9.92,9.92,1600,0.0,0.0
2026-02-03,9.95,9.95,9.9,9.92,9.92,153000,0.0,0.0
2026-02-04,9.92,9.925,9.92,9.92,9.92,187400,0.0,0.0
2026-02-05,9.91,9.92,9.91,9.92,9.92,43900,0.0,0.0
2026-02-06,9.92,9.925,9.92,9.925,9.925,111000,0.0,0.0
2026-02-09,9.925,9.925,9.925,9.925,9.925,0,0.0,0.0
