Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-08-07,15.75,16.049999,15.25,16.0,16.0,1757600,0.0,0.0
2026-08-10,16.5,17.25,15.97,15.99,15.99,418300,0.0,0.0
2026-08-11,16.389999,16.98,16.15,16.52,16.52,328500,0.0,0.0
2026-08-12,16.52,16.879999,16.17,16.24,16.24,424200,0.0,0.0
2026-08-13,16.32,16.889999,16.219999,16.35,16.35,425800,0.0,0.0
2026-08-14,16.309999,16.76,16.0,16.18,16.18,324000,0.0,0.0
2026-08-17,16.139999,16.42,16.0,16.379999,16.379999,190700,0.0,0.0
2026-08-18,16.58,16.73,15.96,16.1,16.1,308100,0.0,0.0
2026-08-19,16.209999,16.77,16.01,16.17,16.17,192800,0.0,0.0
2026-08-20,16.209999,16.27,15.6,15.8,15.8,212000,0.0,0.0
2026-08-21,16.0,16.5,15.75,16.379999,16.379999,111400,0.0,0.0
2026-08-24,16.379999,16.5,15.94,16.030001,16.030001,156000,0.0,0.0
2026-08-25,16.1,18.589899,16.1,18.42,18.42,193522,0.0,0.0
