Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-01-26,4.75,4.99,4.22,4.52,4.52,198700,0.0,0.0
2026-01-27,4.69,4.69,4.335,4.51,4.51,152000,0.0,0.0
2026-01-28,4.56,4.63,4.37,4.485,4.485,111800,0.0,0.0
2026-01-29,4.62,5.445,4.58,5.07,5.07,355800,0.0,0.0
2026-01-30,5.04,5.04,4.21,4.24,4.24,241700,0.0,0.0
2026-02-02,4.32,4.47,4.25,4.26,4.26,56100,0.0,0.0
2026-02-03,4.3,4.54,4.12,4.44,4.44,181100,0.0,0.0
2026-02-04,4.56,4.56,3.77,4.2,4.2,105500,0.0,0.0
2026-02-05,4.2,4.2,3.57,3.57,3.57,101400,0.0,0.0
2026-02-06,3.7,3.77,3.56,3.58,3.58,72400,0.0,0.0
2026-02-09,3.58,3.68,3.58,3.66,3.66,109900,0.0,0.0
2026-02-10,3.66,3.73,3.5,3.63,3.63,95000,0.0,0.0
2026-02-11,3.94,4.05,3.695,3.86,3.86,260000,0.0,0.0
2026-02-12,3.8,3.943,3.65,3.81,3.81,75600,0.0,0.0
2026-02-13,3.73,4.01,3.73,3.85,3.85,68100,0.0,0.0
2026-02-17,3.86,3.947,3.47,3.6,3.6,81400,0.0,0.0
2026-02-18,3.69,3.78,3.587,3.62,3.62,59600,0.0,0.0
2026-02-19,3.61,3.82,3.535,3.69,3.69,86400,0.0,0.0
2026-02-20,3.71,4.07,3.63,3.91,3.91,90200,0.0,0.0
2026-02-23,3.95,4.3,3.95,4.18,4.18,91300,0.0,0.0
2026-02-24,4.12,4.52,3.98,4.41,4.41,119700,0.0,0.0
2026-02-25,4.52,4.6,4.365,4.42,4.42,42400,0.0,0.0
2026-02-26,4.35,4.5,4.31,4.38,4.38,19900,0.0,0.0
2026-02-27,4.4,5.14,4.4,5.11,5.11,271700,0.0,0.0
2026-03-02,5.45,6.21,5.445,6.21,6.21,473600,0.0,0.0
2026-03-03,6.46,6.56,5.45,5.8,5.8,298500,0.0,0.0
2026-03-04,5.94,6.1,5.83,6.05,6.05,88000,0.0,0.0
2026-03-05,6.14,6.14,5.55,5.77,5.77,101500,0.0,0.0
2026-03-06,5.79,5.98,5.45,5.93,5.93,119900,0.0,0.0
2026-03-09,6.08,6.08,5.5,5.81,5.81,108700,0.0,0.0
2026-03-10,5.71,6.44,5.71,6.1,6.1,88800,0.0,0.0
2026-03-11,6.14,6.14,5.67,5.85,5.85,69900,0.0,0.0
2026-03-12,5.845,5.845,5.62,5.77,5.77,27300,0.0,0.0
2026-03-13,5.72,5.79,5.3,5.52,5.52,85600,0.0,0.0
2026-03-16,5.52,5.83,5.52,5.8,5.8,76800,0.0,0.0
2026-03-17,5.89,5.97,5.587,5.67,5.67,29400,0.0,0.0
2026-03-18,5.74,5.78,5.19,5.32,5.32,67200,0.0,0.0
2026-03-19,5.32,5.36,4.79,4.93,4.93,175300,0.0,0.0
2026-03-20,4.98,5.25,4.805,4.92,4.92,80300,0.0,0.0
2026-03-23,4.92,5.11,4.8,4.98,4.98,77600,0.0,0.0
2026-03-24,4.99,5.22,4.82,5.19,5.19,60400,0.0,0.0
2026-03-25,5.28,5.7,5.27,5.55,5.55,63500,0.0,0.0
2026-03-26,5.5,5.63,5.375,5.43,5.43,37400,0.0,0.0
2026-03-27,5.46,5.76,5.29,5.76,5.76,163400,0.0,0.0
2026-03-30,5.86,6.03,5.4,5.6,5.6,163700,0.0,0.0
2026-03-31,5.7,6.7,5.68,6.54,6.54,114200,0.0,0.0
2026-04-01,6.56,6.56,6.25,6.37,6.37,78500,0.0,0.0
2026-04-02,5.98,6.515,5.98,6.42,6.42,72000,0.0,0.0
2026-04-06,6.54,6.55,6.36,6.48,6.48,39200,0.0,0.0
2026-04-07,6.48,6.66,6.31,6.65,6.65,70100,0.0,0.0
2026-04-08,6.99,7.878,6.82,7.77,7.77,243700,0.0,0.0
2026-04-09,7.67,8.63,7.65,8.46,8.46,183900,0.0,0.0
2026-04-10,8.6,8.6,7.7,7.71,7.71,131300,0.0,0.0
2026-04-13,7.65,7.839,7.31,7.8,7.8,100400,0.0,0.0
2026-04-14,7.85,8.3,7.82,7.92,7.92,94000,0.0,0.0
2026-04-15,8.04,8.1,7.5,7.8,7.8,44900,0.0,0.0
2026-04-16,8.23,8.3,7.68,8.09,8.09,135200,0.0,0.0
2026-04-17,8.35,8.36,7.66,7.73,7.73,106200,0.0,0.0
2026-04-20,7.63,8.34,7.54,8.13,8.13,297500,0.0,0.0
2026-04-21,8.22,8.42,7.64,7.64,7.64,181900,0.0,0.0
2026-04-22,7.91,8.25,7.89,7.97,7.97,125000,0.0,0.0
2026-04-23,8.04,8.1,7.53,7.67,7.67,200200,0.0,0.0
2026-04-24,7.67,8.16,7.67,7.9,7.9,167900,0.0,0.0
2026-04-27,7.97,8.28,7.82,8.03,8.03,123100,0.0,0.0
2026-04-28,7.36,7.45,7.074,7.295,7.295,163800,0.0,0.0
2026-04-29,7.31,7.38,7.01,7.23,7.23,129300,0.0,0.0
2026-04-30,7.23,7.36,7.16,7.29,7.29,173400,0.0,0.0
2026-05-01,7.43,7.43,7.2,7.29,7.29,196900,0.0,0.0
2026-05-04,7.29,7.39,7.05,7.18,7.18,75500,0.0,0.0
2026-05-05,7.2,7.2,6.6,6.65,6.65,217200,0.0,0.0
2026-05-06,6.9,7.26,6.88,7.1,7.1,215000,0.0,0.0
2026-05-07,7.18,7.32,6.967,7.05,7.05,59000,0.0,0.0
2026-05-08,7.13,7.13,6.75,6.83,6.83,95500,0.0,0.0
2026-05-11,6.84,6.94,6.7,6.815,6.815,225900,0.0,0.0
2026-05-12,6.79,7.12,6.595,7.0,7.0,112600,0.0,0.0
2026-05-13,7.01,7.46,7.01,7.33,7.33,83600,0.0,0.0
2026-05-14,7.33,7.33,6.8,7.29,7.29,86900,0.0,0.0
2026-05-15,6.81,7.1,6.56,6.7,6.7,98800,0.0,0.0
2026-05-18,6.74,7.2,6.69,6.71,6.71,62000,0.0,0.0
2026-05-19,6.71,6.71,6.25,6.435,6.435,120900,0.0,0.0
2026-05-20,6.42,6.85,6.4,6.77,6.77,55900,0.0,0.0
2026-05-21,6.58,6.93,6.58,6.62,6.62,47100,0.0,0.0
2026-05-22,6.63,7.14,6.598,7.14,7.14,43100,0.0,0.0
2026-05-26,7.39,7.5,7.192,7.22,7.22,140200,0.0,0.0
2026-05-27,7.232,7.57,7.232,7.5,7.5,54600,0.0,0.0
2026-05-28,7.5,7.79,7.18,7.61,7.61,134600,0.0,0.0
2026-05-29,7.6,7.852,7.341,7.69,7.69,91600,0.0,0.0
2026-06-01,7.52,7.655,7.34,7.61,7.61,50300,0.0,0.0
2026-06-02,7.6,7.82,7.5,7.52,7.52,48800,0.0,0.0
2026-06-03,7.51,7.845,7.45,7.74,7.74,82700,0.0,0.0
2026-06-04,7.85,8.478,7.705,8.17,8.17,70700,0.0,0.0
2026-06-05,8.15,8.15,7.19,7.25,7.25,133800,0.0,0.0
2026-06-08,7.32,7.33,6.8,6.91,6.91,78800,0.0,0.0
2026-06-09,7.05,7.13,6.34,6.5,6.5,171100,0.0,0.0
2026-06-10,6.35,6.54,6.14,6.14,6.14,78000,0.0,0.0
2026-06-11,6.25,6.425,6.15,6.15,6.15,47800,0.0,0.0
2026-06-12,6.4,6.83,6.3,6.77,6.77,68700,0.0,0.0
2026-06-15,7.0,7.39,7.0,7.15,7.15,51400,0.0,0.0
2026-06-16,7.11,7.51,7.07,7.48,7.48,51700,0.0,0.0
2026-06-17,7.46,7.5,6.55,7.04,7.04,580000,0.0,0.0
2026-06-18,7.03,7.03,6.27,6.63,6.63,291400,0.0,0.0
2026-06-22,6.51,6.775,6.51,6.53,6.53,68100,0.0,0.0
2026-06-23,6.3,6.3,5.91,5.92,5.92,225100,0.0,0.0
2026-06-24,5.75,5.86,5.33,5.47,5.47,217000,0.0,0.0
2026-06-25,5.68,5.689,5.36,5.61,5.61,48700,0.0,0.0
2026-06-26,5.62,5.97,5.55,5.85,5.85,82300,0.0,0.0
2026-06-29,5.96,6.25,5.96,6.07,6.07,70800,0.0,0.0
2026-06-30,6.07,6.51,6.07,6.39,6.39,96000,0.0,0.0
2026-07-01,6.26,6.5,6.235,6.31,6.31,17800,0.0,0.0
2026-07-02,6.27,6.67,6.27,6.45,6.45,61700,0.0,0.0
2026-07-06,6.53,6.7,6.3,6.54,6.54,150800,0.0,0.0
2026-07-07,6.69,6.75,6.02,6.17,6.17,169600,0.0,0.0
2026-07-08,6.17,6.47,6.09,6.15,6.15,66600,0.0,0.0
2026-07-09,6.24,6.466,6.24,6.34,6.34,65000,0.0,0.0
2026-07-10,6.35,6.71,6.1,6.66,6.66,87300,0.0,0.0
2026-07-13,6.61,6.65,5.969,6.06,6.06,69800,0.0,0.0
2026-07-14,6.4,6.6,6.1,6.35,6.35,97100,0.0,0.0
2026-07-15,6.33,6.44,5.91,6.13,6.13,60500,0.0,0.0
2026-07-16,6.08,6.08,5.65,5.67,5.67,33400,0.0,0.0
2026-07-17,5.66,5.9,5.59,5.76,5.76,69500,0.0,0.0
2026-07-20,5.83,5.833,5.51,5.605,5.605,41400,0.0,0.0
2026-07-21,5.65,5.85,5.41,5.44,5.44,135296,0.0,0.0
