Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1994-10-27,9.25,9.25,9.1875,9.25,2.293509,333000,0.0,0.0
1994-10-28,9.25,9.3125,9.25,9.3125,2.309004,257200,0.0,0.0
1994-10-31,9.3125,9.3125,9.25,9.25,2.293509,133400,0.0,0.0
1994-11-01,9.3125,9.3125,9.1875,9.1875,2.27801,44200,0.0,0.0
1994-11-02,9.125,9.125,9.0625,9.0625,2.250693,724600,0.015,0.0
1994-11-03,9.125,9.125,9.0,9.0625,2.250693,117800,0.0,0.0
1994-11-04,9.0625,9.0625,9.0625,9.0625,2.250693,6600,0.0,0.0
1994-11-07,9.0,9.0,8.9375,8.9375,2.219648,43000,0.0,0.0
1994-11-08,9.0,9.125,9.0,9.125,2.266214,40200,0.0,0.0
1994-11-09,9.1875,9.1875,9.125,9.1875,2.281737,71800,0.0,0.0
1994-11-10,9.1875,9.1875,9.125,9.125,2.266214,55200,0.0,0.0
1994-11-11,9.125,9.125,9.0625,9.0625,2.250693,10800,0.0,0.0
1994-11-14,9.125,9.1875,9.125,9.125,2.266214,22400,0.0,0.0
1994-11-15,9.1875,9.1875,9.125,9.1875,2.281737,98400,0.0,0.0
1994-11-16,9.1875,9.1875,9.0625,9.0625,2.250693,2400,0.0,0.0
1994-11-17,9.125,9.125,9.0625,9.0625,2.250693,4800,0.0,0.0
1994-11-18,9.125,9.125,8.9375,9.0,2.23517,264600,0.0,0.0
1994-11-21,9.0,9.0,8.9375,8.9375,2.219648,60200,0.0,0.0
1994-11-22,9.0,9.0,8.875,8.875,2.204126,132200,0.0,0.0
1994-11-23,9.0,9.25,9.0,9.25,2.297258,22400,0.0,0.0
1994-11-25,9.3125,9.375,9.3125,9.375,2.328302,6400,0.0,0.0
1994-11-28,9.375,9.375,9.25,9.25,2.297258,6200,0.0,0.0
1994-11-29,9.1875,9.3125,9.1875,9.3125,2.31278,13400,0.0,0.0
1994-11-30,9.25,9.3125,9.1875,9.25,2.297258,89400,0.0,0.0
1994-12-01,9.25,9.25,9.125,9.1875,2.281737,35200,0.0,0.0
1994-12-02,9.125,9.25,9.125,9.25,2.297258,26400,0.0,0.0
1994-12-05,9.3125,9.5625,9.3125,9.4375,2.343825,32000,0.0,0.0
1994-12-06,9.4375,9.4375,9.25,9.25,2.297258,88400,0.0,0.0
1994-12-07,9.1875,9.25,9.1875,9.25,2.297258,7200,0.0,0.0
1994-12-08,9.1875,9.1875,9.125,9.1875,2.281737,2600,0.0,0.0
1994-12-09,9.125,9.125,9.0625,9.0625,2.250693,93200,0.0,0.0
1994-12-12,9.125,9.1875,9.125,9.1875,2.281737,3800,0.0,0.0
1994-12-13,9.25,9.375,9.25,9.3125,2.31278,20600,0.0,0.0
1994-12-14,9.3125,9.4375,9.3125,9.3125,2.31278,28200,0.0,0.0
1994-12-15,9.375,9.4375,9.3125,9.3125,2.31278,16600,0.0,0.0
1994-12-16,9.375,9.375,9.3125,9.375,2.328302,3000,0.0,0.0
1994-12-19,9.3125,9.3125,9.25,9.25,2.297258,16600,0.0,0.0
1994-12-20,9.3125,9.4375,9.3125,9.4375,2.343825,11400,0.0,0.0
1994-12-21,9.4375,9.5,9.4375,9.5,2.359347,9600,0.0,0.0
1994-12-22,9.5,9.625,9.5,9.5625,2.374869,12000,0.0,0.0
1994-12-23,9.5625,9.625,9.5,9.5,2.359347,22800,0.0,0.0
1994-12-27,9.5625,9.5625,9.5625,9.5625,2.374869,200,0.0,0.0
1994-12-28,9.5625,9.5625,9.5,9.5,2.359347,800,0.0,0.0
1994-12-29,9.4375,9.4375,9.25,9.25,2.297258,10800,0.0,0.0
1994-12-30,9.3125,9.3125,9.25,9.3125,2.31278,15200,0.0,0.0
1995-01-03,9.3125,9.3125,9.1875,9.3125,2.31278,49000,0.0,0.0
1995-01-04,9.25,9.3125,9.1875,9.1875,2.281737,32000,0.0,0.0
1995-01-05,9.25,9.3125,9.25,9.25,2.297258,35600,0.0,0.0
1995-01-06,9.1875,9.3125,9.1875,9.3125,2.31278,57800,0.0,0.0
1995-01-09,9.25,9.25,9.1875,9.1875,2.281737,25200,0.0,0.0
1995-01-10,9.1875,9.1875,9.0625,9.0625,2.250693,25600,0.0,0.0
1995-01-11,9.0,9.0,8.8125,8.875,2.204126,38600,0.0,0.0
1995-01-12,8.8125,8.8125,8.625,8.75,2.173084,10200,0.0,0.0
1995-01-13,8.6875,8.75,8.6875,8.75,2.173084,81800,0.0,0.0
1995-01-16,8.875,9.0,8.875,9.0,2.23517,11800,0.0,0.0
1995-01-17,8.875,8.9375,8.75,8.875,2.204126,19600,0.0,0.0
1995-01-18,8.8125,8.9375,8.8125,8.9375,2.219648,11200,0.0,0.0
1995-01-19,8.9375,9.0,8.875,8.9375,2.219648,21600,0.0,0.0
1995-01-20,8.9375,8.9375,8.625,8.6875,2.157561,41800,0.0,0.0
1995-01-23,8.5625,8.6875,8.5625,8.65625,2.149799,110600,0.0,0.0
1995-01-24,8.6875,8.8125,8.6875,8.75,2.173084,26800,0.0,0.0
1995-01-25,8.6875,9.0,8.6875,8.9375,2.219648,10200,0.0,0.0
1995-01-26,9.0,9.0,8.875,8.875,2.204126,10400,0.0,0.0
1995-01-27,8.875,8.875,8.875,8.875,2.204126,7800,0.0,0.0
1995-01-30,8.9375,8.9375,8.875,8.875,2.204126,9400,0.0,0.0
1995-01-31,8.9375,9.125,8.9375,9.0625,2.250693,38600,0.0,0.0
1995-02-01,9.125,9.25,9.125,9.1875,2.281737,9600,0.0,0.0
1995-02-02,9.125,9.1875,9.0625,9.1875,2.323465,6400,0.165,0.0
1995-02-03,9.25,9.5625,9.25,9.5625,2.4183,127200,0.0,0.0
1995-02-06,9.5625,9.625,9.5,9.5625,2.4183,105600,0.0,0.0
1995-02-07,9.5625,9.5625,9.5,9.5,2.402494,83800,0.0,0.0
1995-02-08,9.4375,9.5,9.4375,9.5,2.402494,159400,0.0,0.0
1995-02-09,9.625,9.6875,9.5625,9.625,2.434105,203200,0.0,0.0
1995-02-10,9.5625,9.5625,9.5,9.5,2.402494,17000,0.0,0.0
1995-02-13,9.5,9.5,9.4375,9.5,2.402494,59600,0.0,0.0
1995-02-14,9.5,9.625,9.5,9.5625,2.4183,20400,0.0,0.0
1995-02-15,9.5625,9.6875,9.5625,9.6875,2.449911,90600,0.0,0.0
1995-02-16,9.6875,9.6875,9.5,9.5625,2.4183,31800,0.0,0.0
1995-02-17,9.5,9.5,9.5,9.5,2.402494,9800,0.0,0.0
1995-02-21,9.625,9.625,9.5625,9.5625,2.4183,181600,0.0,0.0
1995-02-22,9.625,9.75,9.625,9.6875,2.449911,151800,0.0,0.0
1995-02-23,9.8125,9.9375,9.8125,9.875,2.497329,174400,0.0,0.0
1995-02-24,9.8125,9.8125,9.6875,9.6875,2.449911,98600,0.0,0.0
1995-02-27,9.5625,9.6875,9.5625,9.6875,2.449911,17600,0.0,0.0
1995-02-28,9.8125,9.8125,9.75,9.75,2.465717,16000,0.0,0.0
1995-03-01,9.75,9.75,9.625,9.75,2.465717,18600,0.0,0.0
1995-03-02,9.625,9.625,9.5625,9.5625,2.4183,53600,0.0,0.0
1995-03-03,9.625,9.625,9.5625,9.5625,2.4183,23400,0.0,0.0
1995-03-06,9.5625,9.5625,9.5,9.5,2.402494,52000,0.0,0.0
