Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2020-10-30,227.5,241.5,206.5,210.0,210.0,3840,0.0,0.0
2020-11-02,210.350006,224.0,189.0,189.0,189.0,5494,0.0,0.0
2020-11-03,190.050003,206.5,171.5,171.5,171.5,1971,0.0,0.0
2020-11-04,188.649994,245.0,140.0,142.449997,142.449997,3323,0.0,0.0
2020-11-05,140.0,177.625,130.550003,142.800003,142.800003,4203,0.0,0.0
2020-11-06,148.574997,173.600006,140.0,149.100006,149.100006,4349,0.0,0.0
2020-11-09,162.75,170.800003,149.449997,151.899994,151.899994,1411,0.0,0.0
2020-11-10,148.75,150.850006,133.0,138.005005,138.005005,943,0.0,0.0
2020-11-11,142.800003,142.800003,133.350006,138.145004,138.145004,643,0.0,0.0
2020-11-12,136.5,141.75,136.5,139.300003,139.300003,323,0.0,0.0
2020-11-13,137.899994,139.649994,134.75,137.725006,137.725006,580,0.0,0.0
2020-11-16,139.649994,151.550003,138.600006,146.649994,146.649994,1149,0.0,0.0
2020-11-17,157.5,189.699997,148.785004,168.0,168.0,3454,0.0,0.0
2020-11-18,168.0,168.0,154.0,154.699997,154.699997,786,0.0,0.0
2020-11-19,156.800003,168.0,154.699997,157.149994,157.149994,689,0.0,0.0
2020-11-20,156.100006,158.199997,141.399994,152.949997,152.949997,589,0.0,0.0
2020-11-23,154.0,161.0,141.574997,148.225006,148.225006,760,0.0,0.0
2020-11-24,157.5,163.100006,147.699997,155.75,155.75,2163,0.0,0.0
2020-11-25,158.899994,158.899994,146.195007,147.0,147.0,1040,0.0,0.0
2020-11-27,149.100006,167.020004,146.440002,159.25,159.25,1389,0.0,0.0
2020-11-30,166.25,205.100006,159.25,182.0,182.0,6046,0.0,0.0
2020-12-01,185.149994,185.149994,159.25,160.649994,160.649994,1620,0.0,0.0
2020-12-02,156.449997,168.0,149.100006,162.050003,162.050003,446,0.0,0.0
2020-12-03,167.300003,194.809998,159.25,178.149994,178.149994,3891,0.0,0.0
2020-12-04,181.300003,199.5,171.850006,180.600006,180.600006,5631,0.0,0.0
2020-12-07,176.050003,177.449997,149.764999,160.509995,160.509995,1977,0.0,0.0
2020-12-08,158.550003,168.0,140.0,151.550003,151.550003,991,0.0,0.0
2020-12-09,154.699997,169.75,140.0,141.399994,141.399994,1489,0.0,0.0
2020-12-10,147.455002,148.75,136.5,138.25,138.25,1289,0.0,0.0
2020-12-11,140.0,147.0,138.25,140.350006,140.350006,406,0.0,0.0
2020-12-14,140.699997,157.149994,140.699997,155.75,155.75,1871,0.0,0.0
2020-12-15,156.449997,160.300003,149.100006,156.449997,156.449997,951,0.0,0.0
2020-12-16,157.5,189.0,156.449997,185.149994,185.149994,6843,0.0,0.0
2020-12-17,189.0,292.25,185.149994,213.149994,213.149994,228014,0.0,0.0
2020-12-18,236.25,241.149994,186.899994,227.850006,227.850006,30197,0.0,0.0
2020-12-21,207.199997,224.350006,196.0,214.199997,214.199997,10946,0.0,0.0
2020-12-22,236.25,237.649994,198.800003,209.649994,209.649994,20089,0.0,0.0
2020-12-23,203.0,208.25,190.75,196.0,196.0,7463,0.0,0.0
2020-12-24,193.899994,195.649994,161.699997,177.100006,177.100006,9806,0.0,0.0
2020-12-28,185.5,209.649994,182.0,184.800003,184.800003,11066,0.0,0.0
2020-12-29,184.449997,189.664993,175.0,178.5,178.5,2651,0.0,0.0
2020-12-30,183.050003,196.350006,176.610001,179.550003,179.550003,2634,0.0,0.0
2020-12-31,179.550003,192.149994,173.949997,178.149994,178.149994,2540,0.0,0.0
2021-01-04,175.699997,183.050003,168.699997,174.300003,174.300003,2974,0.0,0.0
2021-01-05,168.0,173.25,157.5,161.699997,161.699997,3323,0.0,0.0
2021-01-06,175.0,175.0,158.899994,165.199997,165.199997,4551,0.0,0.0
2021-01-07,171.5,189.699997,163.449997,168.0,168.0,11449,0.0,0.0
2021-01-08,166.600006,175.699997,163.100006,168.0,168.0,2671,0.0,0.0
2021-01-11,175.699997,267.049988,170.800003,229.25,229.25,213246,0.0,0.0
2021-01-12,204.399994,226.800003,183.75,197.75,197.75,34040,0.0,0.0
2021-01-13,197.75,227.149994,196.699997,207.199997,207.199997,38677,0.0,0.0
2021-01-14,209.300003,217.0,198.100006,211.399994,211.399994,19240,0.0,0.0
2021-01-15,211.399994,213.5,197.050003,200.199997,200.199997,9400,0.0,0.0
2021-01-19,203.699997,211.085007,199.850006,206.464996,206.464996,4714,0.0,0.0
2021-01-20,216.649994,218.75,190.75,197.050003,197.050003,10577,0.0,0.0
2021-01-21,198.800003,207.199997,193.759995,195.649994,195.649994,6600,0.0,0.0
2021-01-22,194.25,206.5,186.550003,203.0,203.0,4546,0.0,0.0
2021-01-25,202.300003,206.5,189.0,195.649994,195.649994,4403,0.0,0.0
2021-01-26,194.600006,210.0,189.350006,204.050003,204.050003,7514,0.0,0.0
2021-01-27,203.0,208.25,189.350006,194.25,194.25,5906,0.0,0.0
2021-01-28,196.699997,202.649994,181.649994,188.649994,188.649994,5491,0.0,0.0
2021-01-29,187.25,216.649994,180.774994,187.949997,187.949997,12974,0.0,0.0
2021-02-01,188.300003,213.5,184.800003,208.949997,208.949997,27874,0.0,0.0
2021-02-02,210.0,234.5,196.699997,213.5,213.5,44477,0.0,0.0
2021-02-03,215.25,269.5,210.699997,224.0,224.0,83309,0.0,0.0
2021-02-04,224.350006,233.449997,212.100006,227.149994,227.149994,13251,0.0,0.0
2021-02-05,226.800003,230.649994,212.100006,224.0,224.0,11429,0.0,0.0
2021-02-08,224.699997,239.399994,217.350006,217.699997,217.699997,8263,0.0,0.0
2021-02-09,218.050003,248.5,218.050003,243.949997,243.949997,23203,0.0,0.0
