Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2019-10-10,16.5,16.698999,13.01,14.24,14.053854,2805800,0.0,0.0
2019-10-11,15.34,15.34,13.5,13.82,13.639344,1364300,0.0,0.0
2019-10-14,13.83,13.91,12.525,12.75,12.583332,899100,0.0,0.0
2019-10-15,12.99,13.0,12.53,12.92,12.75111,484700,0.0,0.0
2019-10-16,13.2,13.88,12.61,12.94,12.770847,524200,0.0,0.0
2019-10-17,13.24,13.48,12.675,13.0,12.830064,413000,0.0,0.0
2019-10-18,13.3,14.25,13.3,14.14,13.955162,231900,0.0,0.0
2019-10-21,14.94,16.280001,14.82,16.280001,16.067188,290000,0.0,0.0
2019-10-22,17.049999,20.639999,17.049999,20.639999,20.370193,407900,0.0,0.0
2019-10-23,21.950001,21.99,16.790001,17.639999,17.409409,476600,0.0,0.0
2019-10-24,18.73,20.0,17.110001,18.85,18.603594,269200,0.0,0.0
2019-10-25,18.5,18.5,16.75,17.57,17.340324,231500,0.0,0.0
2019-10-28,17.08,18.18,16.459999,16.459999,16.244833,253000,0.0,0.0
2019-10-29,16.92,17.285,16.629999,17.0,16.777775,136700,0.0,0.0
2019-10-30,17.0,17.190001,16.43,16.790001,16.570522,94100,0.0,0.0
2019-10-31,16.799999,16.82,16.389999,16.82,16.600128,63900,0.0,0.0
2019-11-01,16.799999,16.799999,16.120001,16.52,16.30405,82900,0.0,0.0
2019-11-04,17.049999,19.68,17.049999,18.969999,18.722023,206800,0.0,0.0
2019-11-05,20.389999,20.389999,18.23,18.48,18.238428,97900,0.0,0.0
2019-11-06,18.389999,18.66,17.030001,17.379999,17.152807,88100,0.0,0.0
2019-11-07,17.360001,18.58,17.360001,18.42,18.179214,47700,0.0,0.0
2019-11-08,18.35,19.139999,18.35,18.870001,18.623331,78100,0.0,0.0
2019-11-11,19.360001,19.98,19.040001,19.74,19.481958,148100,0.0,0.0
2019-11-12,19.5,19.709999,17.07,17.639999,17.409409,228200,0.0,0.0
2019-11-13,17.799999,18.92,17.799999,18.549999,18.307514,55700,0.0,0.0
2019-11-14,18.860001,19.370001,18.646999,19.0,18.751633,61800,0.0,0.0
2019-11-15,19.1,19.799999,19.02,19.24,18.988495,65600,0.0,0.0
2019-11-18,19.15,20.5,19.15,19.700001,19.442482,120000,0.0,0.0
2019-11-19,19.639999,20.690001,19.5,20.33,20.064245,99200,0.0,0.0
