Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-04-30,13.62,16.264999,12.77,14.1,14.1,3509000,0.0,0.0
2021-05-03,14.51,14.6,13.8,14.25,14.25,407900,0.0,0.0
2021-05-04,14.1,14.485,13.2,13.52,13.52,434300,0.0,0.0
2021-05-05,13.9,13.99,12.25,13.03,13.03,314300,0.0,0.0
2021-05-06,12.88,13.79,12.85,13.4,13.4,241700,0.0,0.0
2021-05-07,13.84,13.95,13.2,13.53,13.53,212700,0.0,0.0
2021-05-10,13.97,13.98,13.39,13.55,13.55,127500,0.0,0.0
2021-05-11,13.39,13.74,13.27,13.57,13.57,201200,0.0,0.0
2021-05-12,13.52,14.68,13.52,14.4,14.4,141700,0.0,0.0
2021-05-13,14.8,16.0,14.8,15.75,15.75,291500,0.0,0.0
2021-05-14,16.190001,17.870001,15.755,16.77,16.77,181900,0.0,0.0
2021-05-17,17.99,17.99,16.610001,17.0,17.0,71400,0.0,0.0
2021-05-18,17.1,17.18,16.68,16.92,16.92,55700,0.0,0.0
2021-05-19,16.719999,17.1,15.2,16.17,16.17,92300,0.0,0.0
2021-05-20,16.200001,16.68,15.03,15.36,15.36,61100,0.0,0.0
2021-05-21,15.5,15.5,14.31,14.58,14.58,28500,0.0,0.0
2021-05-24,14.79,15.14,14.02,14.32,14.32,29300,0.0,0.0
2021-05-25,14.45,14.735,14.02,14.16,14.16,97000,0.0,0.0
2021-05-26,14.16,14.896,14.15,14.55,14.55,109900,0.0,0.0
2021-05-27,14.74,14.79,13.8,14.06,14.06,87600,0.0,0.0
2021-05-28,14.42,14.94,13.76,14.78,14.78,138500,0.0,0.0
2021-06-01,15.14,15.14,14.6,14.8,14.8,61200,0.0,0.0
2021-06-02,14.9,15.1,14.24,14.42,14.42,23700,0.0,0.0
2021-06-03,14.18,14.18,13.75,13.9,13.9,22500,0.0,0.0
2021-06-04,13.85,14.52,13.85,13.98,13.98,17800,0.0,0.0
2021-06-07,14.28,15.54,14.28,15.47,15.47,60400,0.0,0.0
2021-06-08,16.429001,16.429001,15.44,15.46,15.46,16500,0.0,0.0
2021-06-09,15.22,15.46,15.2,15.45,15.45,8400,0.0,0.0
2021-06-10,15.3,16.120001,15.178,15.19,15.19,16700,0.0,0.0
2021-06-11,15.16,15.87,15.14,15.44,15.44,11400,0.0,0.0
2021-06-14,15.4,15.505,14.323,14.69,14.69,14400,0.0,0.0
2021-06-15,15.34,15.34,14.35,14.49,14.49,20300,0.0,0.0
2021-06-16,14.49,14.57,13.615,14.01,14.01,30600,0.0,0.0
