Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-01-21,12.85,18.0,11.93,18.0,18.0,419300,0.0,0.0
2026-01-22,22.43,24.5,18.379999,18.49,18.49,16835900,0.0,0.0
2026-01-23,18.35,18.5,14.49,14.5,14.5,7354300,0.0,0.0
2026-01-26,14.47,14.62,12.75,13.32,13.32,4269200,0.0,0.0
2026-01-27,13.315,15.3,13.0,13.77,13.77,3209000,0.0,0.0
2026-01-28,13.95,14.25,12.82,13.06,13.06,1445900,0.0,0.0
2026-01-29,12.98,13.06,11.82,12.06,12.06,2504400,0.0,0.0
2026-01-30,12.0,13.7,12.0,13.5,13.5,2184600,0.0,0.0
2026-02-02,13.1,13.44,12.175,12.46,12.46,1351500,0.0,0.0
2026-02-03,12.47,12.47,11.5,11.63,11.63,1570400,0.0,0.0
2026-02-04,11.64,11.9,11.044,11.47,11.47,627700,0.0,0.0
2026-02-05,10.76,11.55,10.24,10.32,10.32,976800,0.0,0.0
2026-02-06,10.55,12.26,10.55,11.69,11.69,764200,0.0,0.0
2026-02-09,11.62,12.18,11.41,11.53,11.53,616100,0.0,0.0
2026-02-10,11.41,11.86,10.9,11.02,11.02,395400,0.0,0.0
2026-02-11,11.01,11.14,10.26,10.46,10.46,438900,0.0,0.0
2026-02-12,10.34,10.514,9.66,10.15,10.15,554600,0.0,0.0
2026-02-13,10.21,10.95,10.04,10.76,10.76,530100,0.0,0.0
2026-02-17,10.655,10.9,9.52,10.87,10.87,843100,0.0,0.0
2026-02-18,10.71,10.89,10.105,10.26,10.26,365000,0.0,0.0
2026-02-19,10.42,10.6,10.14,10.6,10.6,310300,0.0,0.0
2026-02-20,10.5,10.59,10.18,10.51,10.51,428500,0.0,0.0
2026-02-23,10.4,10.45,9.29,9.52,9.52,616100,0.0,0.0
2026-02-24,9.32,9.85,9.29,9.6,9.6,317900,0.0,0.0
2026-02-25,9.75,10.94,9.75,10.84,10.84,725700,0.0,0.0
2026-02-26,10.69,10.83,9.91,10.5,10.5,864500,0.0,0.0
2026-02-27,10.305,10.38,9.625,9.84,9.84,348300,0.0,0.0
2026-03-02,9.63,10.376,9.56,10.37,10.37,341600,0.0,0.0
2026-03-03,10.06,10.24,9.75,10.1,10.1,245300,0.0,0.0
2026-03-04,10.466,11.25,10.46,11.24,11.24,648900,0.0,0.0
2026-03-05,11.25,11.36,10.64,11.2,11.2,479300,0.0,0.0
2026-03-06,10.97,11.064,10.68,10.71,10.71,274400,0.0,0.0
2026-03-09,10.55,10.93,10.355,10.89,10.89,348500,0.0,0.0
2026-03-10,11.05,12.24,10.7,12.02,12.02,804700,0.0,0.0
2026-03-11,12.0,12.36,11.41,11.41,11.41,515200,0.0,0.0
2026-03-12,11.3,11.378,10.59,10.7,10.7,947600,0.0,0.0
2026-03-13,10.81,11.38,10.48,10.56,10.56,642100,0.0,0.0
2026-03-16,10.82,10.84,10.44,10.51,10.51,493700,0.0,0.0
2026-03-17,10.46,11.04,10.46,10.72,10.72,382900,0.0,0.0
2026-03-18,10.61,10.61,9.97,10.08,10.08,533600,0.0,0.0
2026-03-19,9.99,10.14,9.51,10.05,10.05,340500,0.0,0.0
2026-03-20,9.84,9.89,9.41,9.66,9.66,1567900,0.0,0.0
2026-03-23,9.74,10.0,9.54,9.82,9.82,511600,0.0,0.0
2026-03-24,9.85,10.19,9.7,9.7,9.7,517700,0.0,0.0
2026-03-25,10.025,10.24,9.85,9.91,9.91,483700,0.0,0.0
2026-03-26,9.76,9.8,9.02,9.1,9.1,883900,0.0,0.0
2026-03-27,8.7,8.815,7.6,7.67,7.67,1297200,0.0,0.0
2026-03-30,8.01,8.01,7.25,7.49,7.49,897500,0.0,0.0
2026-03-31,7.48,8.4,7.41,8.23,8.23,608100,0.0,0.0
2026-04-01,8.5,9.01,8.36,8.39,8.39,503800,0.0,0.0
2026-04-02,8.0,8.82,8.0,8.5,8.5,396300,0.0,0.0
2026-04-06,8.46,8.87,8.35,8.41,8.41,394200,0.0,0.0
2026-04-07,8.27,8.595,7.86,8.01,8.01,351900,0.0,0.0
2026-04-08,8.72,8.955,8.36,8.46,8.46,299800,0.0,0.0
2026-04-09,8.3,8.5,8.17,8.33,8.33,247600,0.0,0.0
2026-04-10,8.46,8.73,8.37,8.54,8.54,270800,0.0,0.0
2026-04-13,8.4,9.9,8.4,9.77,9.77,732000,0.0,0.0
2026-04-14,9.9,10.7,9.89,10.27,10.27,808600,0.0,0.0
2026-04-15,10.37,10.5,10.11,10.45,10.45,652100,0.0,0.0
2026-04-16,10.51,10.63,10.012,10.31,10.31,489400,0.0,0.0
2026-04-17,10.61,11.2,10.55,11.18,11.18,773900,0.0,0.0
2026-04-20,10.98,11.5,10.82,11.32,11.32,588100,0.0,0.0
2026-04-21,11.33,11.59,10.85,10.92,10.92,577500,0.0,0.0
2026-04-22,11.5,11.98,11.4,11.69,11.69,600900,0.0,0.0
2026-04-23,11.55,11.7,11.04,11.18,11.18,363000,0.0,0.0
2026-04-24,11.2,11.39,10.59,10.69,10.69,464800,0.0,0.0
2026-04-27,10.58,11.0,10.24,10.27,10.27,457000,0.0,0.0
2026-04-28,10.23,10.28,9.855,10.0,10.0,378900,0.0,0.0
2026-04-29,10.0,10.14,9.615,9.7,9.7,340000,0.0,0.0
2026-04-30,9.94,10.19,9.801,10.09,10.09,206500,0.0,0.0
2026-05-01,10.1,10.5,10.036,10.43,10.43,361800,0.0,0.0
2026-05-04,10.69,11.75,10.69,11.5,11.5,759200,0.0,0.0
2026-05-05,11.71,12.39,11.63,11.8,11.8,776000,0.0,0.0
2026-05-06,11.76,11.88,11.32,11.87,11.87,577400,0.0,0.0
2026-05-07,11.81,11.86,11.19,11.31,11.31,359400,0.0,0.0
2026-05-08,11.32,12.59,11.04,12.57,12.57,676500,0.0,0.0
2026-05-11,12.48,12.99,12.0,12.97,12.97,567100,0.0,0.0
2026-05-12,12.68,12.68,11.54,11.89,11.89,401000,0.0,0.0
2026-05-13,11.92,12.15,11.28,11.91,11.91,472200,0.0,0.0
2026-05-14,10.7,10.855,9.68,9.86,9.86,1806600,0.0,0.0
2026-05-15,9.87,9.93,8.71,8.89,8.89,3201700,0.0,0.0
2026-05-18,9.07,9.07,8.0,8.33,8.33,1724800,0.0,0.0
2026-05-19,8.25,8.43,8.05,8.19,8.19,673600,0.0,0.0
2026-05-20,8.2,8.331,7.82,8.12,8.12,975100,0.0,0.0
2026-05-21,7.99,8.0,7.52,7.76,7.76,1943400,0.0,0.0
2026-05-22,7.82,7.83,6.86,6.93,6.93,3449000,0.0,0.0
2026-05-26,7.54,7.6,5.9,5.97,5.97,6823900,0.0,0.0
2026-05-27,6.09,6.24,5.42,6.2,6.2,5260100,0.0,0.0
2026-05-28,6.025,6.23,5.62,6.05,6.05,2913700,0.0,0.0
2026-05-29,6.05,6.32,5.8,6.01,6.01,2383800,0.0,0.0
2026-06-01,5.92,6.287,5.81,6.01,6.01,1433700,0.0,0.0
2026-06-02,5.87,6.07,5.77,5.83,5.83,1402200,0.0,0.0
2026-06-03,5.8,5.8,5.51,5.61,5.61,1353500,0.0,0.0
2026-06-04,5.53,5.74,5.35,5.52,5.52,1450400,0.0,0.0
2026-06-05,5.34,5.35,4.665,4.71,4.71,3041800,0.0,0.0
2026-06-08,5.04,5.65,4.84,5.48,5.48,2436200,0.0,0.0
2026-06-09,5.5,5.89,5.19,5.31,5.31,1704500,0.0,0.0
2026-06-10,5.27,5.6,5.095,5.12,5.12,1036100,0.0,0.0
2026-06-11,5.16,5.57,5.01,5.44,5.44,1831600,0.0,0.0
2026-06-12,5.48,5.48,4.87,4.98,4.98,2241500,0.0,0.0
2026-06-15,5.16,5.8,5.15,5.59,5.59,1744400,0.0,0.0
2026-06-16,5.58,5.8,5.38,5.44,5.44,1034000,0.0,0.0
2026-06-17,5.95,6.55,5.88,5.91,5.91,3418000,0.0,0.0
2026-06-18,6.11,6.25,5.729,5.97,5.97,2277600,0.0,0.0
2026-06-22,6.06,6.595,5.86,5.99,5.99,1782200,0.0,0.0
2026-06-23,5.7,5.961,5.31,5.38,5.38,1652400,0.0,0.0
2026-06-24,5.4,5.42,5.03,5.04,5.04,1575600,0.0,0.0
2026-06-25,5.22,5.24,4.795,4.8,4.8,1779900,0.0,0.0
2026-06-26,4.7,5.18,4.7,5.12,5.12,1210500,0.0,0.0
2026-06-29,5.13,5.36,4.94,5.28,5.28,991800,0.0,0.0
2026-06-30,5.13,5.26,5.01,5.18,5.18,819600,0.0,0.0
2026-07-01,5.12,5.43,5.1,5.13,5.13,965000,0.0,0.0
2026-07-02,5.24,5.75,5.06,5.11,5.11,1050600,0.0,0.0
2026-07-06,5.06,5.45,4.97,5.27,5.27,751200,0.0,0.0
2026-07-07,5.17,5.24,4.96,5.07,5.07,779400,0.0,0.0
2026-07-08,4.96,5.04,4.78,4.99,4.99,759700,0.0,0.0
2026-07-09,5.03,5.26,4.98,5.24,5.24,631300,0.0,0.0
2026-07-10,5.28,5.465,5.07,5.13,5.13,895000,0.0,0.0
2026-07-13,5.1,5.24,5.01,5.09,5.09,706300,0.0,0.0
2026-07-14,5.05,5.21,4.97,5.18,5.18,1021400,0.0,0.0
2026-07-15,5.21,5.42,5.01,5.16,5.16,687900,0.0,0.0
2026-07-16,5.06,5.08,4.855,4.88,4.88,1086500,0.0,0.0
2026-07-17,4.79,4.94,4.705,4.75,4.75,1036300,0.0,0.0
2026-07-20,4.82,5.16,4.74,5.06,5.06,980900,0.0,0.0
2026-07-21,5.09,5.65,5.07,5.65,5.65,1368971,0.0,0.0
