Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-01-26,12.0,12.14,10.99,11.0,11.0,24876200,0.0,0.0
2024-01-29,11.0,11.21,10.5,10.56,10.56,5813800,0.0,0.0
2024-01-30,10.5,11.34,10.265,11.21,11.21,5281100,0.0,0.0
2024-01-31,11.11,11.4,11.0,11.02,11.02,4131900,0.0,0.0
2024-02-01,11.05,11.53,11.0,11.31,11.31,7311200,0.0,0.0
2024-02-02,11.2,11.242,11.05,11.1,11.1,1421000,0.0,0.0
2024-02-05,11.07,11.2,10.97,11.1,11.1,2458800,0.0,0.0
2024-02-06,11.01,11.435,11.0,11.33,11.33,2114600,0.0,0.0
2024-02-07,11.3,11.53,11.254,11.49,11.49,2204000,0.0,0.0
2024-02-08,11.46,11.545,11.27,11.34,11.34,1994700,0.0,0.0
2024-02-09,11.35,11.505,11.32,11.32,11.32,1515700,0.0,0.0
2024-02-12,11.25,11.39,11.25,11.36,11.36,2675600,0.0,0.0
2024-02-13,11.25,11.41,11.15,11.17,11.17,1048600,0.0,0.0
2024-02-14,11.16,11.24,10.78,10.96,10.96,1675200,0.0,0.0
2024-02-15,10.9,11.13,10.65,10.66,10.66,2523000,0.0,0.0
2024-02-16,10.65,10.94,10.55,10.71,10.71,997500,0.0,0.0
2024-02-20,11.07,11.1,10.4,10.43,10.43,2887500,0.0,0.0
2024-02-21,10.43,10.51,9.945,10.06,10.06,2644400,0.0,0.0
2024-02-22,10.14,10.2,9.7,9.81,9.81,3040000,0.0,0.0
2024-02-23,9.7,9.79,9.07,9.32,9.32,2840000,0.0,0.0
2024-02-26,9.33,9.36,9.16,9.26,9.26,1735500,0.0,0.0
2024-02-27,9.66,9.77,9.41,9.75,9.75,3395200,0.0,0.0
2024-02-28,9.75,9.87,9.29,9.73,9.73,1615200,0.0,0.0
2024-02-29,9.93,10.0,8.8,8.99,8.99,4863200,0.0,0.0
2024-03-01,9.01,9.069,8.73,8.95,8.95,3128300,0.0,0.0
2024-03-04,8.97,9.67,8.86,9.4,9.4,2120400,0.0,0.0
2024-03-05,9.31,9.31,9.07,9.19,9.19,1328900,0.0,0.0
2024-03-06,9.32,9.42,9.0,9.09,9.09,1260000,0.0,0.0
2024-03-07,9.02,9.38,9.02,9.02,9.02,1196000,0.0,0.0
2024-03-08,9.0,9.17,8.9,9.06,9.06,970700,0.0,0.0
2024-03-11,9.06,9.32,9.04,9.24,9.24,931800,0.0,0.0
2024-03-12,9.25,9.41,9.12,9.17,9.17,583300,0.0,0.0
2024-03-13,9.14,9.26,8.72,8.75,8.75,1812000,0.0,0.0
2024-03-14,8.75,8.77,7.94,8.23,8.23,2836900,0.0,0.0
2024-03-15,8.21,8.41,7.85,8.24,8.24,13394200,0.0,0.0
2024-03-18,9.0,9.0,8.6,8.83,8.83,1805600,0.0,0.0
2024-03-19,8.91,9.415,8.84,9.21,9.21,1343400,0.0,0.0
2024-03-20,9.09,9.33,8.86,9.0,9.0,833400,0.0,0.0
2024-03-21,8.89,9.38,8.89,9.35,9.35,654100,0.0,0.0
2024-03-22,9.41,9.69,9.24,9.61,9.61,1229500,0.0,0.0
2024-03-25,9.64,9.95,9.6,9.7,9.7,1998700,0.0,0.0
2024-03-26,9.72,9.959,9.53,9.86,9.86,1801300,0.0,0.0
2024-03-27,9.86,10.38,9.85,10.16,10.16,4528700,0.0,0.0
2024-03-28,10.18,11.09,10.18,10.87,10.87,4404700,0.0,0.0
2024-04-01,10.92,11.02,10.75,10.99,10.99,3304600,0.0,0.0
2024-04-02,10.83,10.9,10.51,10.57,10.57,1643800,0.0,0.0
2024-04-03,10.47,10.91,10.36,10.44,10.44,1902200,0.0,0.0
2024-04-04,10.44,10.585,10.26,10.29,10.29,763900,0.0,0.0
2024-04-05,10.35,10.46,10.11,10.22,10.22,896500,0.0,0.0
2024-04-08,10.26,10.515,10.03,10.42,10.42,630000,0.0,0.0
2024-04-09,10.46,10.602,10.33,10.42,10.42,696300,0.0,0.0
2024-04-10,10.26,10.59,10.238,10.44,10.44,979300,0.0,0.0
2024-04-11,10.41,10.63,10.16,10.43,10.43,783000,0.0,0.0
2024-04-12,10.4,10.537,9.98,10.05,10.05,1836500,0.0,0.0
2024-04-15,10.04,10.45,10.03,10.39,10.39,1673200,0.0,0.0
2024-04-16,10.28,10.6,10.2,10.57,10.57,1687700,0.0,0.0
2024-04-17,10.52,10.84,10.18,10.27,10.27,1301300,0.0,0.0
2024-04-18,10.26,10.44,10.17,10.29,10.29,591700,0.0,0.0
2024-04-19,10.25,10.54,10.25,10.51,10.51,425300,0.0,0.0
2024-04-22,10.52,10.785,10.47,10.61,10.61,1416000,0.0,0.0
2024-04-23,10.67,10.76,10.47,10.7,10.7,1023600,0.0,0.0
2024-04-24,10.69,10.83,10.53,10.78,10.78,724800,0.0,0.0
2024-04-25,10.73,10.75,10.4,10.41,10.41,530600,0.0,0.0
2024-04-26,10.4,10.66,10.3,10.58,10.58,396000,0.0,0.0
2024-04-29,10.53,10.92,10.47,10.91,10.91,695600,0.0,0.0
2024-04-30,10.89,11.07,10.63,10.69,10.69,1142000,0.0,0.0
2024-05-01,10.63,10.88,10.5,10.66,10.66,600700,0.0,0.0
2024-05-02,11.27,11.37,10.42,11.06,11.06,1321200,0.0,0.0
2024-05-03,11.27,11.51,11.1,11.5,11.5,1534300,0.0,0.0
2024-05-06,11.67,11.77,11.37,11.41,11.41,640000,0.0,0.0
2024-05-07,11.42,11.6,11.13,11.48,11.48,2425700,0.0,0.0
2024-05-08,11.48,11.515,11.27,11.37,11.37,733600,0.0,0.0
2024-05-09,11.38,11.59,11.3,11.51,11.51,893500,0.0,0.0
2024-05-10,11.45,11.549,11.19,11.24,11.24,565800,0.0,0.0
2024-05-13,11.34,11.535,11.09,11.24,11.24,608600,0.0,0.0
2024-05-14,11.3,11.48,11.22,11.3,11.3,1107300,0.0,0.0
2024-05-15,11.39,11.65,11.32,11.63,11.63,1273500,0.0,0.0
2024-05-16,11.58,11.696,11.3,11.4,11.4,742000,0.0,0.0
2024-05-17,11.42,11.54,11.24,11.47,11.47,922400,0.0,0.0
2024-05-20,11.48,11.84,11.26,11.45,11.45,1036800,0.0,0.0
2024-05-21,11.38,11.38,11.105,11.15,11.15,378300,0.0,0.0
2024-05-22,11.47,11.76,11.26,11.48,11.48,950400,0.0,0.0
