Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-11-17,0.983,1.006,0.816,0.833,0.833,235000,0.0,0.0
2025-11-18,0.87,0.87,0.71,0.779,0.779,125100,0.0,0.0
2025-11-19,0.75,1.346,0.72,1.09,1.09,7239400,0.0,0.0
2025-11-20,1.06,1.08,0.83,0.864,0.864,443400,0.0,0.0
2025-11-21,0.82,0.97,0.73,0.96,0.96,252300,0.0,0.0
2025-11-24,0.901,1.08,0.87,1.0,1.0,262900,0.0,0.0
2025-11-25,1.02,1.15,0.99,1.08,1.08,180900,0.0,0.0
2025-11-26,1.08,1.09,0.99,1.04,1.04,55100,0.0,0.0
2025-11-28,1.05,1.05,0.91,1.03,1.03,43500,0.0,0.0
2025-12-01,1.03,1.09,1.005,1.01,1.01,56000,0.0,0.0
2025-12-02,1.01,1.1,1.0,1.06,1.06,68200,0.0,0.0
2025-12-03,1.09,1.17,1.04,1.12,1.12,88900,0.0,0.0
2025-12-04,1.16,1.47,1.12,1.35,1.35,633100,0.0,0.0
2025-12-05,1.42,1.44,1.09,1.3,1.3,397200,0.0,0.0
2025-12-08,1.44,1.65,1.39,1.52,1.52,789300,0.0,0.0
2025-12-09,1.52,1.55,1.26,1.38,1.38,228400,0.0,0.0
2025-12-10,1.34,1.4,1.226,1.26,1.26,166500,0.0,0.0
2025-12-11,1.25,1.26,1.1,1.13,1.13,133100,0.0,0.0
2025-12-12,1.14,1.279,1.14,1.15,1.15,88600,0.0,0.0
2025-12-15,1.19,1.22,1.01,1.05,1.05,98900,0.0,0.0
2025-12-16,1.011,1.066,0.866,0.932,0.932,146200,0.0,0.0
2025-12-17,0.93,0.98,0.8,0.8,0.8,159400,0.0,0.0
2025-12-18,0.81,0.99,0.778,0.89,0.89,171500,0.0,0.0
2025-12-19,0.89,1.07,0.89,0.987,0.987,132700,0.0,0.0
2025-12-22,1.03,1.04,0.914,0.914,0.914,57500,0.0,0.0
2025-12-23,0.92,0.963,0.863,0.863,0.863,36500,0.0,0.0
2025-12-24,0.85,0.928,0.78,0.86,0.86,24300,0.0,0.0
2025-12-26,0.86,0.88,0.78,0.8,0.8,100600,0.0,0.0
2025-12-29,0.78,1.03,0.78,0.863,0.863,47800,0.0,0.0
2025-12-30,0.821,0.934,0.821,0.85,0.85,44000,0.0,0.0
2025-12-31,0.894,0.908,0.81,0.858,0.858,32600,0.0,0.0
2026-01-02,0.91,1.05,0.869,1.0,1.0,91200,0.0,0.0
2026-01-05,1.07,1.3,1.05,1.24,1.24,423800,0.0,0.0
2026-01-06,1.325,1.45,1.15,1.17,1.17,538000,0.0,0.0
2026-01-07,1.23,1.31,1.11,1.16,1.16,220500,0.0,0.0
2026-01-08,1.18,1.23,1.14,1.14,1.14,77600,0.0,0.0
2026-01-09,1.22,1.22,1.07,1.11,1.11,88800,0.0,0.0
2026-01-12,1.08,1.11,0.904,1.01,1.01,132300,0.0,0.0
2026-01-13,0.99,0.99,0.85,0.93,0.93,131600,0.0,0.0
2026-01-14,0.934,0.934,0.865,0.895,0.895,18600,0.0,0.0
2026-01-15,0.897,0.98,0.895,0.9,0.9,25700,0.0,0.0
2026-01-16,0.963,0.963,0.889,0.896,0.896,22900,0.0,0.0
2026-01-20,0.855,0.98,0.855,0.878,0.878,25600,0.0,0.0
2026-01-21,0.98,1.22,0.913,1.03,1.03,1807000,0.0,0.0
2026-01-22,1.05,1.1,0.96,1.0,1.0,349800,0.0,0.0
2026-01-23,1.12,1.28,0.85,0.968,0.968,970700,0.0,0.0
2026-01-26,0.93,0.96,0.851,0.896,0.896,119100,0.0,0.0
2026-01-27,0.87,0.935,0.81,0.83,0.83,134200,0.0,0.0
2026-01-28,0.805,0.89,0.8,0.8,0.8,75000,0.0,0.0
2026-01-29,0.801,0.853,0.75,0.78,0.78,113100,0.0,0.0
2026-01-30,0.782,0.859,0.78,0.843,0.843,38300,0.0,0.0
