Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2000-07-28,6.5,7.0,4.5,6.0,5.560516,4252900,0.0,0.0
2000-07-31,6.25,6.375,5.8125,6.0625,5.618438,876100,0.0,0.0
2000-08-01,6.0625,6.5,6.03125,6.375,5.908048,267400,0.0,0.0
2000-08-02,6.4375,6.75,6.0,6.625,6.139736,239700,0.0,0.0
2000-08-03,6.6875,6.6875,6.3125,6.375,5.908048,98400,0.0,0.0
2000-08-04,6.875,6.875,6.25,6.375,5.908048,120200,0.0,0.0
2000-08-07,6.9375,7.75,6.5,7.0625,6.545191,439400,0.0,0.0
2000-08-08,7.625,7.625,6.75,6.875,6.371425,202200,0.0,0.0
2000-08-09,6.9375,7.0625,6.8125,7.0,6.487269,89700,0.0,0.0
2000-08-10,7.125,7.125,6.75,6.75,6.25558,32500,0.0,0.0
2000-08-11,6.6875,6.8125,6.5625,6.5625,6.081814,81100,0.0,0.0
2000-08-14,6.59375,8.6875,6.59375,7.765625,7.196814,669400,0.0,0.0
2000-08-15,7.75,8.125,7.3125,7.5625,7.008567,232300,0.0,0.0
2000-08-16,7.5,7.8125,7.375,7.75,7.182333,141600,0.0,0.0
2000-08-17,7.875,7.875,6.75,6.75,6.25558,276700,0.0,0.0
2000-08-18,7.0,7.5,6.875,7.375,6.834801,97300,0.0,0.0
2000-08-21,7.0625,7.75,6.875,7.375,6.834801,134400,0.0,0.0
2000-08-22,7.625,8.1875,7.0,7.6875,7.124411,229200,0.0,0.0
2000-08-23,7.6875,8.625,7.1875,8.4375,7.819476,966500,0.0,0.0
2000-08-24,8.875,9.125,8.0625,9.0,8.340774,365900,0.0,0.0
2000-08-25,9.1875,9.40625,8.5,8.8125,8.167008,229600,0.0,0.0
2000-08-28,9.0,9.25,8.75,8.875,8.22493,249300,0.0,0.0
2000-08-29,8.90625,9.0,8.5,8.75,8.109086,136600,0.0,0.0
2000-08-30,9.0,9.25,8.75,9.0,8.340774,152300,0.0,0.0
2000-08-31,9.125,10.0,9.0,9.5,8.804152,244000,0.0,0.0
2000-09-01,9.625,11.375,9.59375,11.0625,10.252201,346600,0.0,0.0
2000-09-05,11.25,11.5,10.5,10.5625,9.788825,396700,0.0,0.0
2000-09-06,10.6875,11.0,10.0,10.0625,9.325449,265900,0.0,0.0
2000-09-07,10.15625,10.375,10.0,10.25,9.499215,132800,0.0,0.0
2000-09-08,10.375,10.375,9.75,9.75,9.035838,108600,0.0,0.0
2000-09-11,9.75,10.0625,9.4375,9.453125,8.760709,152000,0.0,0.0
2000-09-12,10.0625,10.25,9.5,9.5,8.804152,176200,0.0,0.0
2000-09-13,9.4375,9.984375,8.875,9.375,8.688306,97800,0.0,0.0
2000-09-14,9.84375,10.4375,9.625,9.8125,9.09376,150900,0.0,0.0
2000-09-15,10.0,10.25,9.25,9.625,8.919995,42500,0.0,0.0
2000-09-18,9.75,9.75,8.75,9.0,8.340774,106800,0.0,0.0
2000-09-19,8.90625,9.875,8.75,9.875,9.151683,125800,0.0,0.0
2000-09-20,9.90625,9.90625,9.25,9.4375,8.746228,67000,0.0,0.0
2000-09-21,10.0,10.0,9.21875,9.21875,8.543502,94700,0.0,0.0
2000-09-22,8.125,9.4375,7.875,9.4375,8.746228,280300,0.0,0.0
2000-09-25,9.46875,10.0,9.25,9.28125,8.601423,169500,0.0,0.0
2000-09-26,9.375,9.375,8.5625,9.0,8.340774,158300,0.0,0.0
2000-09-27,9.0,9.125,8.0625,8.1875,7.587788,276100,0.0,0.0
2000-09-28,8.5,8.625,8.3125,8.5625,7.93532,449800,0.0,0.0
2000-09-29,8.5625,8.625,8.375,8.4375,7.819476,38900,0.0,0.0
2000-10-02,8.6875,9.0,8.4375,8.5,7.877398,87300,0.0,0.0
2000-10-03,8.8125,8.96875,8.4375,8.5,7.877398,50500,0.0,0.0
2000-10-04,8.640625,8.75,8.375,8.5,7.877398,161100,0.0,0.0
2000-10-05,8.703125,8.75,8.125,8.25,7.64571,82400,0.0,0.0
2000-10-06,8.4375,8.4375,7.375,7.8125,7.240255,99200,0.0,0.0
2000-10-09,7.8125,7.8125,6.1875,6.875,6.371425,326300,0.0,0.0
2000-10-10,6.875,7.0,6.3125,6.40625,5.937009,176200,0.0,0.0
2000-10-11,6.5,6.6875,6.4375,6.625,6.139736,271200,0.0,0.0
2000-10-12,6.875,7.0,6.5625,6.8125,6.313502,178500,0.0,0.0
2000-10-13,7.0625,7.125,5.8125,6.125,5.67636,454600,0.0,0.0
2000-10-16,6.5,6.6875,6.375,6.5,6.023892,163500,0.0,0.0
2000-10-17,6.6875,7.25,6.375,6.75,6.25558,92000,0.0,0.0
2000-10-18,6.625,7.125,6.4375,7.125,6.603113,103900,0.0,0.0
2000-10-19,7.375,8.0,7.375,7.75,7.182333,71500,0.0,0.0
2000-10-20,8.0,8.5,7.875,8.0,7.414021,94700,0.0,0.0
2000-10-23,8.0625,8.25,7.9375,8.0,7.414021,185300,0.0,0.0
2000-10-24,8.0,8.4375,7.875,7.875,7.298177,92000,0.0,0.0
2000-10-25,7.75,7.9375,6.8125,7.0,6.487269,40900,0.0,0.0
2000-10-26,7.03125,7.4375,6.4375,6.9375,6.429347,54800,0.0,0.0
2000-10-27,7.125,7.1875,6.875,7.0,6.487269,41200,0.0,0.0
2000-10-30,7.0,7.0,6.375,6.875,6.371425,86800,0.0,0.0
2000-10-31,7.234375,8.125,7.0,8.0,7.414021,173900,0.0,0.0
2000-11-01,8.25,8.5625,8.25,8.34375,7.732593,226900,0.0,0.0
2000-11-02,8.625,9.0625,8.5,9.0,8.340774,160200,0.0,0.0
2000-11-03,9.0625,9.625,8.875,9.5,8.804152,136800,0.0,0.0
2000-11-06,9.6875,9.6875,9.0,9.0625,8.398697,122300,0.0,0.0
2000-11-07,9.125,9.25,8.5,9.0625,8.398697,119100,0.0,0.0
2000-11-08,9.0625,9.0625,8.5625,8.5625,7.93532,165100,0.0,0.0
2000-11-09,8.375,8.421875,7.875,8.1875,7.587788,76100,0.0,0.0
2000-11-10,8.0,8.125,7.4375,7.625,7.066489,99900,0.0,0.0
2000-11-13,7.140625,7.75,7.125,7.5,6.950645,78100,0.0,0.0
2000-11-14,8.0,8.1875,7.625,8.0,7.414021,108300,0.0,0.0
2000-11-15,7.96875,8.3125,7.9375,8.0,7.414021,114800,0.0,0.0
2000-11-16,7.9375,8.0,7.75,7.75,7.182333,10900,0.0,0.0
2000-11-17,7.921875,8.0,7.625,7.625,7.066489,83700,0.0,0.0
2000-11-20,7.9375,8.0,7.125,7.25,6.718957,48600,0.0,0.0
2000-11-21,7.375,7.5,7.25,7.3125,6.776879,13800,0.0,0.0
2000-11-22,6.9375,7.125,6.8125,6.9375,6.429347,73300,0.0,0.0
2000-11-24,7.375,7.53125,7.1875,7.5,6.950645,35500,0.0,0.0
2000-11-27,7.390625,7.9375,7.3125,7.625,7.066489,131100,0.0,0.0
