Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-10-12,29.0,30.190001,27.1,27.58,27.58,12276500,0.0,0.0
2017-10-13,26.42,28.879999,25.85,28.530001,28.530001,1483200,0.0,0.0
2017-10-16,28.25,35.0,27.26,31.85,31.85,2646900,0.0,0.0
2017-10-17,32.27,32.299999,27.959999,28.280001,28.280001,958600,0.0,0.0
2017-10-18,28.18,28.749001,27.299999,28.139999,28.139999,1086500,0.0,0.0
2017-10-19,27.440001,28.99,27.129999,28.23,28.23,415700,0.0,0.0
2017-10-20,27.85,30.16,27.85,29.190001,29.190001,452800,0.0,0.0
2017-10-23,29.17,29.6,28.0,28.92,28.92,265200,0.0,0.0
2017-10-24,28.9,30.52,28.08,29.09,29.09,407400,0.0,0.0
2017-10-25,28.889999,29.549999,27.98,29.01,29.01,204000,0.0,0.0
2017-10-26,28.040001,30.799999,28.0,30.030001,30.030001,908700,0.0,0.0
2017-10-27,30.040001,31.280001,29.73,30.959999,30.959999,299500,0.0,0.0
2017-10-30,31.23,32.369999,30.66,31.74,31.74,382600,0.0,0.0
2017-10-31,32.139999,33.049999,31.950001,32.599998,32.599998,566700,0.0,0.0
2017-11-01,32.93,33.23,31.610001,31.719999,31.719999,554500,0.0,0.0
2017-11-02,31.66,32.34,31.08,31.790001,31.790001,113300,0.0,0.0
2017-11-03,31.93,31.952,31.1,31.440001,31.440001,363200,0.0,0.0
2017-11-06,30.1,31.01,29.85,30.42,30.42,676600,0.0,0.0
2017-11-07,30.469999,30.76,29.4,29.76,29.76,408500,0.0,0.0
2017-11-08,29.25,29.799999,28.110001,28.49,28.49,629200,0.0,0.0
2017-11-09,28.65,29.055,28.0,28.35,28.35,479100,0.0,0.0
2017-11-10,28.440001,30.0,28.35,28.969999,28.969999,350000,0.0,0.0
2017-11-13,29.0,29.889999,28.6,29.549999,29.549999,830300,0.0,0.0
2017-11-14,29.6,29.93,29.41,29.82,29.82,519500,0.0,0.0
2017-11-15,33.849998,35.423,30.9,31.030001,31.030001,3026400,0.0,0.0
2017-11-16,31.15,31.700001,30.791,31.35,31.35,450400,0.0,0.0
2017-11-17,31.43,31.712999,30.799999,30.82,30.82,188700,0.0,0.0
2017-11-20,30.76,31.02,28.0,28.99,28.99,686100,0.0,0.0
2017-11-21,28.91,29.554001,28.52,28.639999,28.639999,483600,0.0,0.0
2017-11-22,28.76,28.860001,28.1,28.6,28.6,247600,0.0,0.0
2017-11-24,28.629999,29.389999,28.002001,28.66,28.66,199400,0.0,0.0
2017-11-27,28.719999,29.68,28.719999,29.16,29.16,203600,0.0,0.0
2017-11-28,29.51,29.98,29.235001,29.969999,29.969999,87300,0.0,0.0
2017-11-29,29.85,29.93,29.1,29.299999,29.299999,105500,0.0,0.0
2017-11-30,29.299999,29.6,28.84,29.48,29.48,133600,0.0,0.0
2017-12-01,29.34,29.485001,28.941999,29.299999,29.299999,234200,0.0,0.0
2017-12-04,29.530001,29.530001,28.843,29.290001,29.290001,165100,0.0,0.0
2017-12-05,29.41,30.790001,29.15,30.559999,30.559999,246800,0.0,0.0
2017-12-06,30.49,30.5,29.610001,30.299999,30.299999,108500,0.0,0.0
2017-12-07,30.450001,30.98,30.139999,30.860001,30.860001,109600,0.0,0.0
2017-12-08,30.9,31.219999,29.372999,30.33,30.33,142500,0.0,0.0
2017-12-11,30.4,31.01,29.805,30.559999,30.559999,401000,0.0,0.0
2017-12-12,30.58,30.889999,29.65,29.799999,29.799999,187500,0.0,0.0
2017-12-13,29.719999,29.75,29.139999,29.459999,29.459999,250100,0.0,0.0
2017-12-14,29.65,30.59,29.26,30.1,30.1,340900,0.0,0.0
2017-12-15,30.08,30.76,29.879999,30.629999,30.629999,633700,0.0,0.0
2017-12-18,30.620001,31.15,30.26,31.09,31.09,134800,0.0,0.0
2017-12-19,31.209999,31.6,30.051001,31.040001,31.040001,203200,0.0,0.0
2017-12-20,31.129999,31.43,29.790001,30.1,30.1,406400,0.0,0.0
2017-12-21,30.110001,30.145,29.110001,29.91,29.91,194500,0.0,0.0
2017-12-22,29.83,30.565001,29.190001,29.940001,29.940001,112300,0.0,0.0
2017-12-26,29.92,29.940001,29.34,29.809999,29.809999,91600,0.0,0.0
2017-12-27,29.690001,30.0,29.530001,29.799999,29.799999,94500,0.0,0.0
2017-12-28,29.780001,29.965,29.25,29.77,29.77,96200,0.0,0.0
2017-12-29,29.690001,30.455,29.299999,29.98,29.98,152600,0.0,0.0
2018-01-02,30.049999,30.610001,29.4,30.129999,30.129999,917700,0.0,0.0
2018-01-03,29.860001,30.65,29.705,29.85,29.85,152500,0.0,0.0
2018-01-04,30.02,30.35,29.450001,30.07,30.07,320200,0.0,0.0
2018-01-05,30.129999,30.32,29.245001,29.959999,29.959999,252300,0.0,0.0
2018-01-08,30.0,30.49,29.540001,30.35,30.35,120100,0.0,0.0
2018-01-09,30.360001,31.440001,30.1,30.48,30.48,124200,0.0,0.0
2018-01-10,30.309999,30.629999,30.030001,30.33,30.33,150400,0.0,0.0
2018-01-11,30.280001,31.01,30.1,30.719999,30.719999,77500,0.0,0.0
2018-01-12,30.719999,30.799999,30.08,30.629999,30.629999,49800,0.0,0.0
2018-01-16,31.530001,33.290001,30.9,32.34,32.34,334200,0.0,0.0
2018-01-17,33.009998,34.66,32.209999,34.41,34.41,404900,0.0,0.0
2018-01-18,34.119999,34.18,32.276001,33.849998,33.849998,199300,0.0,0.0
2018-01-19,33.82,36.810001,33.5,36.02,36.02,540400,0.0,0.0
2018-01-22,36.049999,36.400002,30.76,31.620001,31.620001,515700,0.0,0.0
2018-01-23,31.950001,32.560001,31.799999,32.34,32.34,166000,0.0,0.0
2018-01-24,32.389999,33.18,32.23,33.080002,33.080002,209600,0.0,0.0
2018-01-25,33.150002,34.040001,32.799999,34.009998,34.009998,125300,0.0,0.0
2018-01-26,33.919998,34.224998,33.580002,33.990002,33.990002,239800,0.0,0.0
2018-01-29,33.709999,34.460999,33.25,34.009998,34.009998,113800,0.0,0.0
2018-01-30,33.77,33.93,32.599998,33.669998,33.669998,150300,0.0,0.0
2018-01-31,33.669998,34.009998,33.119999,33.5,33.5,84600,0.0,0.0
2018-02-01,33.23,33.619999,32.389999,32.939999,32.939999,65500,0.0,0.0
2018-02-02,32.669998,32.855999,30.709999,31.040001,31.040001,178500,0.0,0.0
2018-02-05,30.690001,31.743999,30.031,30.34,30.34,113100,0.0,0.0
2018-02-06,30.0,30.280001,29.65,29.83,29.83,128900,0.0,0.0
2018-02-07,29.870001,30.855,29.870001,30.530001,30.530001,98300,0.0,0.0
2018-02-08,30.120001,30.98,29.700001,30.07,30.07,71100,0.0,0.0
2018-02-09,30.35,30.688999,28.52,29.4,29.4,128000,0.0,0.0
2018-02-12,29.99,30.450001,29.264999,30.09,30.09,53100,0.0,0.0
2018-02-13,30.219999,31.327999,30.219999,30.75,30.75,38300,0.0,0.0
2018-02-14,30.530001,31.77,30.1,31.23,31.23,56400,0.0,0.0
2018-02-15,31.540001,32.060001,30.809999,31.700001,31.700001,81500,0.0,0.0
2018-02-16,31.469999,32.490002,31.190001,32.330002,32.330002,82300,0.0,0.0
2018-02-20,32.220001,33.25,32.009998,32.950001,32.950001,46200,0.0,0.0
2018-02-21,33.009998,33.619999,32.740002,32.75,32.75,82200,0.0,0.0
2018-02-22,32.799999,32.799999,31.450001,31.92,31.92,76900,0.0,0.0
2018-02-23,32.080002,32.889999,31.395,31.9,31.9,20500,0.0,0.0
2018-02-26,32.119999,34.259998,30.000999,33.82,33.82,110800,0.0,0.0
2018-02-27,33.970001,34.799999,32.310001,32.73,32.73,85400,0.0,0.0
2018-02-28,32.849998,32.970001,32.060001,32.279999,32.279999,98300,0.0,0.0
2018-03-01,32.400002,33.689999,32.099998,32.32,32.32,135500,0.0,0.0
2018-03-02,33.310001,36.43,32.262001,35.950001,35.950001,355500,0.0,0.0
2018-03-05,35.509998,36.209999,34.5,35.720001,35.720001,207500,0.0,0.0
2018-03-06,35.880001,36.41,35.23,36.060001,36.060001,155800,0.0,0.0
2018-03-07,35.77,36.41,35.150002,35.52,35.52,155800,0.0,0.0
2018-03-08,35.709999,37.580002,35.25,36.450001,36.450001,165700,0.0,0.0
2018-03-09,36.990002,38.220001,36.970001,37.810001,37.810001,110100,0.0,0.0
2018-03-12,37.799999,38.82,37.200001,38.529999,38.529999,88800,0.0,0.0
2018-03-13,38.849998,38.849998,35.119999,35.18,35.18,144300,0.0,0.0
2018-03-14,34.849998,36.740002,34.450001,36.57,36.57,137700,0.0,0.0
2018-03-15,36.630001,37.73,35.66,36.099998,36.099998,78300,0.0,0.0
2018-03-16,36.049999,36.049999,34.705002,35.5,35.5,66400,0.0,0.0
2018-03-19,35.34,35.43,34.095001,34.560001,34.560001,70100,0.0,0.0
2018-03-20,34.560001,34.939999,34.07,34.75,34.75,66700,0.0,0.0
2018-03-21,34.66,35.765999,34.66,35.560001,35.560001,73100,0.0,0.0
2018-03-22,35.869999,36.200001,35.099998,35.549999,35.549999,84900,0.0,0.0
2018-03-23,35.849998,35.959999,33.389999,34.0,34.0,131900,0.0,0.0
2018-03-26,34.599998,36.369999,34.009998,34.619999,34.619999,146400,0.0,0.0
2018-03-27,34.869999,35.490002,33.400002,33.720001,33.720001,96800,0.0,0.0
2018-03-28,33.77,34.819,32.869999,33.650002,33.650002,65900,0.0,0.0
2018-03-29,33.75,39.939999,33.625,38.470001,38.470001,671000,0.0,0.0
2018-04-02,38.700001,40.599998,35.594002,37.630001,37.630001,359100,0.0,0.0
2018-04-03,37.82,39.700001,36.560001,36.57,36.57,363800,0.0,0.0
2018-04-04,36.060001,38.0,36.0,36.91,36.91,183500,0.0,0.0
2018-04-05,37.330002,38.330002,36.82,38.029999,38.029999,198400,0.0,0.0
2018-04-06,37.880001,38.5,37.07,38.0,38.0,472600,0.0,0.0
2018-04-09,38.48,39.200001,37.59,37.900002,37.900002,401600,0.0,0.0
2018-04-10,38.189999,38.990002,37.25,38.060001,38.060001,3481500,0.0,0.0
2018-04-11,37.799999,37.799999,33.880001,34.0,34.0,2372400,0.0,0.0
2018-04-12,33.900002,34.669998,33.299999,33.75,33.75,567200,0.0,0.0
2018-04-13,33.75,33.900002,32.279999,32.310001,32.310001,916600,0.0,0.0
2018-04-16,32.360001,33.220001,31.5,32.540001,32.540001,1703000,0.0,0.0
2018-04-17,32.66,32.970001,31.780001,32.48,32.48,562300,0.0,0.0
2018-04-18,32.360001,33.130001,31.84,32.880001,32.880001,502000,0.0,0.0
2018-04-19,32.560001,32.98,32.23,32.84,32.84,325900,0.0,0.0
2018-04-20,33.060001,33.259998,32.450001,32.98,32.98,338800,0.0,0.0
2018-04-23,33.099998,33.650002,32.369999,32.970001,32.970001,192100,0.0,0.0
2018-04-24,33.220001,33.240002,31.950001,32.459999,32.459999,392400,0.0,0.0
