Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-11-05,7.875,8.1875,7.75,7.875,1.772393,142800,0.0,3.0
1980-11-06,7.875,7.9375,7.59375,7.625,1.716127,79200,0.0,0.0
1980-11-07,7.625,7.625,7.4375,7.46875,1.68096,74400,0.0,0.0
1980-11-10,7.46875,7.625,7.34375,7.4375,1.673927,131600,0.0,0.0
1980-11-11,7.4375,7.4375,7.34375,7.34375,1.652827,86800,0.0,0.0
1980-11-12,7.34375,7.4375,7.28125,7.34375,1.652827,120800,0.0,0.0
1980-11-13,7.34375,8.0625,7.34375,7.9375,1.786459,304000,0.0,0.0
1980-11-14,7.9375,7.9375,7.75,7.875,1.772393,290400,0.0,0.0
1980-11-17,7.875,7.90625,7.65625,7.875,1.772393,129200,0.0,0.0
1980-11-18,7.875,7.9375,7.78125,7.78125,1.751294,252400,0.0,0.0
1980-11-19,7.78125,7.90625,7.625,7.75,1.74426,126000,0.0,0.0
1980-11-20,7.75,7.75,7.46875,7.65625,1.723162,78000,0.0,0.0
1980-11-21,7.65625,7.75,7.46875,7.5,1.687994,292000,0.0,0.0
1980-11-24,7.5,7.625,7.46875,7.5,1.687994,216800,0.0,0.0
1980-11-25,7.625,7.8125,7.625,7.8125,1.758327,248000,0.0,0.0
1980-11-26,7.96875,8.21875,7.96875,8.21875,1.84976,294800,0.0,0.0
1980-11-28,8.21875,8.5625,8.125,8.5625,1.927127,183600,0.0,0.0
1980-12-01,8.625,8.84375,8.625,8.78125,1.976359,368400,0.0,0.0
1980-12-02,8.78125,8.78125,8.34375,8.6875,1.95526,296800,0.0,0.0
1980-12-03,8.6875,8.84375,8.625,8.78125,1.976359,122400,0.0,0.0
1980-12-04,8.78125,8.8125,8.71875,8.78125,1.976359,127200,0.0,0.0
1980-12-05,8.6875,8.6875,8.5,8.53125,1.920093,101200,0.0,0.0
1980-12-08,8.375,8.375,7.90625,8.0625,1.814593,114800,0.0,0.0
1980-12-09,8.0625,8.09375,7.96875,7.96875,1.793494,289200,0.0,0.0
1980-12-10,7.96875,8.0625,7.875,7.875,1.772393,37200,0.0,0.0
1980-12-11,7.625,7.625,7.4375,7.46875,1.68096,276000,0.0,0.0
1980-12-12,7.46875,7.625,7.46875,7.625,1.716127,110000,0.0,0.0
1980-12-15,7.625,7.71875,7.59375,7.625,1.716127,67200,0.0,0.0
1980-12-16,7.625,7.75,7.59375,7.75,1.74426,148400,0.0,0.0
1980-12-17,7.75,7.875,7.75,7.875,1.772393,86000,0.0,0.0
1980-12-18,7.9375,8.25,7.9375,7.96875,1.793494,230800,0.0,0.0
1980-12-19,7.96875,8.125,7.90625,8.125,1.828659,78800,0.0,0.0
1980-12-22,8.21875,8.40625,8.21875,8.375,1.884927,94800,0.0,0.0
1980-12-23,8.375,8.40625,8.375,8.375,1.884927,62800,0.0,0.0
1980-12-24,8.375,8.375,8.0625,8.09375,1.821626,35600,0.0,0.0
1980-12-26,8.09375,8.1875,7.875,7.90625,1.779427,27600,0.0,0.0
1980-12-29,7.8125,7.8125,7.5,7.625,1.716127,68800,0.0,0.0
1980-12-30,7.625,7.65625,7.375,7.625,1.716127,194400,0.0,0.0
1980-12-31,7.625,7.625,7.5625,7.625,1.716127,64800,0.0,0.0
1981-01-02,7.625,7.65625,7.5625,7.59375,1.709094,27200,0.0,0.0
1981-01-05,7.59375,7.71875,7.5,7.625,1.716127,112400,0.0,0.0
1981-01-06,7.625,7.625,7.46875,7.59375,1.709094,101200,0.0,0.0
1981-01-07,7.59375,9.59375,6.96875,7.125,1.603594,282400,0.0,0.0
1981-01-08,7.125,7.3125,7.0,7.0,1.575461,170000,0.0,0.0
1981-01-09,7.03125,7.1875,7.03125,7.1875,1.617662,74000,0.0,0.0
1981-01-12,7.1875,7.3125,7.15625,7.1875,1.617662,114000,0.0,0.0
1981-01-13,7.03125,7.03125,6.8125,6.875,1.547328,138400,0.0,0.0
1981-01-14,6.96875,7.28125,6.96875,7.28125,1.63876,275600,0.0,0.0
1981-01-15,7.3125,7.46875,7.3125,7.46875,1.68096,174800,0.0,0.0
1981-01-16,7.46875,7.46875,7.3125,7.34375,1.652827,99600,0.0,0.0
1981-01-19,7.34375,7.34375,7.1875,7.28125,1.63876,32400,0.0,0.0
1981-01-20,7.28125,7.34375,7.28125,7.28125,1.63876,91600,0.0,0.0
1981-01-21,7.28125,7.3125,7.0,7.03125,1.582495,225200,0.0,0.0
1981-01-22,7.03125,7.1875,7.0,7.1875,1.617662,86800,0.0,0.0
1981-01-23,7.1875,7.21875,7.15625,7.21875,1.624694,28800,0.0,0.0
1981-01-26,7.21875,7.28125,7.0625,7.125,1.603594,36800,0.0,0.0
1981-01-27,7.125,7.34375,7.0625,7.3125,1.645794,572400,0.0,0.0
1981-01-28,7.3125,7.34375,7.125,7.125,1.603594,48400,0.0,0.0
1981-01-29,7.125,7.1875,7.125,7.15625,1.610628,354400,0.0,0.0
1981-01-30,7.15625,7.15625,6.875,6.875,1.547328,289200,0.0,0.0
1981-02-02,6.875,6.875,6.375,6.5,1.462928,631600,0.0,0.0
1981-02-03,6.5625,6.6875,6.5625,6.6875,1.505128,86400,0.0,0.0
1981-02-04,6.8125,7.125,6.8125,6.96875,1.568428,289200,0.0,0.0
1981-02-05,7.15625,7.34375,7.15625,7.3125,1.645794,66800,0.0,0.0
1981-02-06,7.3125,7.46875,7.21875,7.21875,1.624694,66400,0.0,0.0
1981-02-09,7.21875,7.34375,7.21875,7.34375,1.652827,30000,0.0,0.0
1981-02-10,7.34375,7.375,7.28125,7.28125,1.63876,58800,0.0,0.0
1981-02-11,7.28125,7.3125,7.0625,7.125,1.603594,27200,0.0,0.0
1981-02-12,7.125,7.15625,6.90625,7.0,1.575461,42800,0.0,0.0
1981-02-13,6.96875,6.96875,6.875,6.96875,1.568428,18800,0.0,0.0
1981-02-17,6.96875,7.03125,6.96875,7.0,1.575461,32800,0.0,0.0
1981-02-18,7.0,7.34375,7.0,7.21875,1.624694,47200,0.0,0.0
1981-02-19,7.1875,7.1875,7.03125,7.03125,1.582495,82800,0.0,0.0
1981-02-20,6.875,6.875,6.5625,6.71875,1.512162,74400,0.0,0.0
1981-02-23,6.71875,6.90625,6.71875,6.90625,1.554361,21200,0.0,0.0
1981-02-24,6.90625,7.125,6.90625,6.90625,1.554361,57200,0.0,0.0
1981-02-25,6.90625,7.0,6.875,7.0,1.575461,42400,0.0,0.0
1981-02-26,7.03125,7.1875,7.03125,7.15625,1.610628,56400,0.0,0.0
1981-02-27,7.15625,7.21875,7.15625,7.1875,1.617662,102400,0.0,0.0
1981-03-02,7.1875,7.3125,7.15625,7.1875,1.617662,42000,0.0,0.0
1981-03-03,7.28125,7.34375,7.28125,7.3125,1.645794,51200,0.0,0.0
1981-03-04,7.3125,7.4375,7.3125,7.34375,1.652827,48000,0.0,0.0
1981-03-05,7.34375,7.4375,7.15625,7.15625,1.610628,64400,0.0,0.0
1981-03-06,7.15625,7.1875,7.125,7.1875,1.617662,62800,0.0,0.0
1981-03-09,7.1875,7.28125,7.0625,7.125,1.603594,56800,0.0,0.0
1981-03-10,7.125,7.1875,7.03125,7.03125,1.582495,54000,0.0,0.0
1981-03-11,7.03125,7.1875,7.03125,7.03125,1.582495,48800,0.0,0.0
1981-03-12,7.125,7.1875,7.125,7.1875,1.617662,66400,0.0,0.0
1981-03-13,7.21875,7.59375,7.21875,7.46875,1.68096,92800,0.0,0.0
1981-03-16,7.46875,7.75,7.46875,7.75,1.74426,48000,0.0,0.0
1981-03-17,7.75,7.90625,7.65625,7.75,1.74426,84000,0.0,0.0
1981-03-18,7.78125,8.09375,7.78125,8.03125,1.80756,55200,0.0,0.0
1981-03-19,8.03125,8.09375,7.90625,7.90625,1.779427,64800,0.0,0.0
1981-03-20,7.90625,8.03125,7.75,7.78125,1.751294,67200,0.0,0.0
1981-03-23,7.78125,7.8125,7.625,7.8125,1.758327,43200,0.0,0.0
1981-03-24,7.8125,7.9375,7.78125,7.78125,1.751294,115600,0.0,0.0
1981-03-25,7.875,7.9375,7.875,7.90625,1.779427,68400,0.0,0.0
1981-03-26,8.0625,8.1875,8.0625,8.09375,1.821626,72000,0.0,0.0
1981-03-27,8.25,8.53125,8.25,8.53125,1.920093,102800,0.0,0.0
1981-03-30,8.53125,8.84375,8.5,8.6875,1.95526,94800,0.0,0.0
1981-03-31,8.6875,8.8125,8.40625,8.53125,1.920093,91200,0.0,0.0
