Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-12-19,16.52,17.5,16.52,17.5,17.5,2500,0.0,0.0
2023-12-20,17.1,17.6,17.0,17.299999,17.299999,604400,0.0,0.0
2023-12-21,17.43,18.084999,17.389999,17.629999,17.629999,508900,0.0,0.0
2023-12-22,18.309999,18.398001,18.08,18.139999,18.139999,343400,0.0,0.0
2023-12-26,18.1,18.200001,17.889999,18.200001,18.200001,115200,0.0,0.0
2023-12-27,18.27,18.583,18.26,18.33,18.33,158700,0.0,0.0
2023-12-28,18.610001,18.912001,18.32,18.530001,18.530001,206000,0.0,0.0
2023-12-29,18.5,18.594999,18.32,18.4,18.4,124800,0.0,0.0
2024-01-02,18.129999,18.190001,17.67,17.799999,17.799999,220100,0.0,0.0
2024-01-03,17.92,18.035999,17.76,17.889999,17.889999,339500,0.0,0.0
2024-01-04,18.799999,18.799999,17.941,18.1,18.1,369900,0.0,0.0
2024-01-05,17.969999,18.200001,17.780001,18.07,18.07,188700,0.0,0.0
2024-01-08,18.07,18.379999,17.85,17.92,17.92,102900,0.0,0.0
2024-01-09,17.969999,18.18,17.93,17.959999,17.959999,279200,0.0,0.0
2024-01-10,17.959999,18.040001,17.49,17.65,17.65,71300,0.0,0.0
2024-01-11,18.1,18.200001,17.74,17.93,17.93,141900,0.0,0.0
2024-01-12,18.26,18.290001,18.0,18.129999,18.129999,333700,0.0,0.0
2024-01-16,18.35,18.389999,17.620001,17.66,17.66,250000,0.0,0.0
2024-01-17,18.049999,18.09,17.809999,17.98,17.98,83100,0.0,0.0
2024-01-18,17.969999,18.09,17.83,17.98,17.98,15100,0.0,0.0
2024-01-19,18.370001,18.389999,17.940001,18.219999,18.219999,127000,0.0,0.0
2024-01-22,18.030001,18.299999,17.92,17.99,17.99,64700,0.0,0.0
2024-01-23,18.0,18.025999,17.75,17.780001,17.780001,51200,0.0,0.0
2024-01-24,17.940001,17.99,17.74,17.75,17.75,28100,0.0,0.0
2024-01-25,18.0,18.02,17.51,17.690001,17.690001,59900,0.0,0.0
2024-01-26,17.98,18.02,17.860001,17.9,17.9,56200,0.0,0.0
2024-01-29,18.02,18.459999,18.02,18.450001,18.450001,160700,0.0,0.0
2024-01-30,18.450001,18.48,18.09,18.32,18.32,63000,0.0,0.0
2024-01-31,18.440001,18.49,18.049999,18.08,18.08,116400,0.0,0.0
2024-02-01,18.389999,18.450001,18.120001,18.280001,18.280001,122600,0.0,0.0
2024-02-02,18.0,18.120001,17.83,17.92,17.92,53900,0.0,0.0
2024-02-05,18.26,18.32,17.799999,17.82,17.82,253500,0.0,0.0
2024-02-06,18.26,18.32,17.93,17.959999,17.959999,123700,0.0,0.0
2024-02-07,18.27,18.309999,17.9,18.030001,18.030001,73800,0.0,0.0
2024-02-08,17.85,17.99,17.66,17.68,17.68,57300,0.0,0.0
2024-02-09,17.75,17.940001,17.65,17.75,17.75,26400,0.0,0.0
2024-02-12,17.9,18.1,17.9,18.08,18.08,48500,0.0,0.0
2024-02-13,17.82,17.940001,17.65,17.700001,17.700001,28300,0.0,0.0
2024-02-14,17.959999,18.09,17.809999,17.870001,17.870001,14100,0.0,0.0
2024-02-15,17.65,17.65,17.299999,17.4,17.4,82400,0.0,0.0
2024-02-16,17.120001,17.200001,16.98,17.040001,17.040001,73100,0.0,0.0
2024-02-20,17.129999,17.18,16.700001,16.780001,16.780001,56900,0.0,0.0
2024-02-21,16.700001,16.700001,16.290001,16.4,16.4,28800,0.0,0.0
2024-02-22,16.799999,16.812,16.5,16.65,16.65,39800,0.0,0.0
2024-02-23,16.610001,16.709999,16.51,16.530001,16.530001,20300,0.0,0.0
2024-02-26,16.58,16.709999,16.5,16.51,16.51,35100,0.0,0.0
2024-02-27,17.15,17.42,17.02,17.129999,17.129999,71100,0.0,0.0
2024-02-28,17.18,17.23,16.790001,16.85,16.85,26500,0.0,0.0
2024-02-29,17.299999,17.440001,17.049999,17.200001,17.200001,67600,0.0,0.0
2024-03-01,17.389999,17.58,17.280001,17.389999,17.389999,66100,0.0,0.0
2024-03-04,17.799999,17.860001,17.41,17.41,17.41,81900,0.0,0.0
2024-03-05,18.200001,18.290001,17.809999,17.85,17.85,112700,0.0,0.0
2024-03-06,18.4,18.41,17.745001,17.870001,17.870001,142300,0.0,0.0
2024-03-07,18.16,18.16,17.754999,17.77,17.77,79200,0.0,0.0
2024-03-08,17.940001,18.120001,17.58,17.59,17.59,111300,0.0,0.0
2024-03-11,17.559999,17.58,16.790001,16.85,16.85,108200,0.0,0.0
2024-03-12,16.940001,16.950001,16.690001,16.73,16.73,47300,0.0,0.0
2024-03-13,16.799999,17.07,16.58,16.65,16.65,67400,0.0,0.0
2024-03-14,17.35,17.35,16.65,16.690001,16.690001,72100,0.0,0.0
2024-03-15,17.209999,17.84,17.09,17.530001,17.530001,371700,0.0,0.0
2024-03-18,17.299999,17.389999,17.030001,17.219999,17.219999,55400,0.0,0.0
2024-03-19,17.370001,17.440001,17.120001,17.24,17.24,248000,0.0,0.0
2024-03-20,17.09,17.440001,16.950001,17.379999,17.379999,110500,0.0,0.0
2024-03-21,17.33,17.365,17.049999,17.23,17.23,80300,0.0,0.0
2024-03-22,17.09,17.219999,17.02,17.059999,17.059999,22800,0.0,0.0
2024-03-25,17.780001,18.200001,17.77,18.120001,18.120001,89300,0.0,0.0
2024-03-26,19.629999,19.700001,18.959999,18.99,18.99,397900,0.0,0.0
2024-03-27,19.25,19.34,18.77,18.92,18.92,128600,0.0,0.0
2024-03-28,19.0,19.075001,18.110001,18.139999,18.139999,60300,0.0,0.0
2024-04-01,18.43,19.02,18.43,19.0,19.0,59300,0.0,0.0
2024-04-02,18.92,19.07,18.57,18.610001,18.610001,80200,0.0,0.0
2024-04-03,18.85,19.129999,18.75,18.9,18.9,80800,0.0,0.0
2024-04-04,19.15,19.48,18.879999,18.940001,18.940001,396000,0.0,0.0
2024-04-05,18.9,19.08,18.690001,18.700001,18.700001,140100,0.0,0.0
2024-04-08,19.200001,19.285,18.545,18.700001,18.700001,126900,0.0,0.0
2024-04-09,19.24,19.389999,18.83,19.0,19.0,88400,0.0,0.0
2024-04-10,18.77,18.879999,18.610001,18.77,18.77,56300,0.0,0.0
2024-04-11,19.030001,19.030001,18.43,18.65,18.65,60100,0.0,0.0
2024-04-12,18.77,18.844999,18.535,18.77,18.77,58400,0.0,0.0
2024-04-15,18.67,18.719999,17.92,18.02,18.02,51900,0.0,0.0
2024-04-16,18.48,18.48,18.209999,18.27,18.27,76000,0.0,0.0
2024-04-17,18.309999,18.370001,17.76,17.83,17.83,46400,0.0,0.0
2024-04-18,18.08,18.190001,17.52,17.73,17.73,76500,0.0,0.0
2024-04-19,17.77,17.85,17.65,17.85,17.85,39400,0.0,0.0
2024-04-22,17.74,17.74,17.5,17.51,17.51,54400,0.0,0.0
2024-04-23,17.85,18.030001,17.83,17.98,17.98,38700,0.0,0.0
2024-04-24,18.540001,18.6,18.280001,18.450001,18.450001,168900,0.0,0.0
2024-04-25,18.690001,18.700001,18.459999,18.530001,18.530001,104100,0.0,0.0
2024-04-26,18.93,18.950001,18.48,18.700001,18.700001,141400,0.0,0.0
2024-04-29,18.93,18.93,18.610001,18.700001,18.700001,142400,0.0,0.0
2024-04-30,18.799999,19.030001,18.540001,18.610001,18.610001,191100,0.0,0.0
2024-05-01,18.450001,18.450001,17.834999,18.08,18.08,161100,0.0,0.0
2024-05-02,18.700001,18.75,18.370001,18.700001,18.700001,209600,0.0,0.0
2024-05-03,19.440001,19.450001,18.985001,19.34,19.34,370900,0.0,0.0
2024-05-06,19.549999,19.799999,19.1,19.639999,19.639999,334700,0.0,0.0
2024-05-07,19.9,20.190001,19.76,19.790001,19.790001,252200,0.0,0.0
2024-05-08,19.940001,19.99,19.530001,19.6,19.6,214200,0.0,0.0
2024-05-09,19.459999,19.51,19.01,19.43,19.43,190000,0.0,0.0
2024-05-10,19.74,19.74,19.084999,19.24,19.24,268500,0.0,0.0
2024-05-13,19.780001,19.83,19.030001,19.1,19.1,271500,0.0,0.0
2024-05-14,20.459999,20.459999,19.9,20.09,20.09,417800,0.0,0.0
2024-05-15,20.5,20.73,20.200001,20.6,20.6,332300,0.0,0.0
2024-05-16,20.940001,21.0,19.695,19.82,19.82,239400,0.0,0.0
2024-05-17,19.530001,20.059999,19.5,19.700001,19.700001,47100,0.0,0.0
2024-05-20,19.75,20.16,19.705,20.09,20.09,82400,0.0,0.0
2024-05-21,21.1,22.360001,20.9,22.32,22.32,406100,0.0,0.0
2024-05-22,22.219999,22.34,21.76,21.870001,21.870001,109000,0.0,0.0
2024-05-23,23.549999,23.700001,23.040001,23.15,23.15,294800,0.0,0.0
2024-05-24,23.18,24.139999,23.07,23.66,23.66,280500,0.0,0.0
2024-05-28,24.17,24.209999,23.33,23.809999,23.809999,176000,0.0,0.0
2024-05-29,24.370001,24.440001,24.09,24.25,24.25,116900,0.0,0.0
2024-05-30,24.42,24.695,24.34,24.52,24.52,103800,0.0,0.0
2024-05-31,25.25,25.26,24.379999,25.040001,25.040001,281400,0.0,0.0
2024-06-03,24.66,24.85,24.040001,24.25,24.25,85600,0.0,0.0
2024-06-04,24.049999,24.07,23.459999,23.959999,23.959999,82400,0.0,0.0
2024-06-05,24.219999,24.65,24.219999,24.58,24.58,71500,0.0,0.0
2024-06-06,24.200001,24.41,23.91,23.99,23.99,66700,0.0,0.0
2024-06-07,23.709999,23.860001,23.360001,23.51,23.51,28400,0.0,0.0
2024-06-10,23.02,23.499001,22.99,23.299999,23.299999,146000,0.0,0.0
2024-06-11,23.15,23.43,22.99,23.4,23.4,31200,0.0,0.0
2024-06-12,23.91,24.129999,23.719999,23.85,23.85,22600,0.0,0.0
2024-06-13,23.74,23.76,23.33,23.549999,23.549999,25700,0.0,0.0
2024-06-14,23.450001,23.540001,23.268,23.4,23.4,26800,0.0,0.0
2024-06-17,23.360001,23.889999,23.145,23.83,23.83,80600,0.0,0.0
2024-06-18,23.83,24.26,23.83,24.120001,24.120001,43800,0.0,0.0
2024-06-20,24.07,24.07,23.75,23.85,23.85,32200,0.0,0.0
2024-06-21,24.07,24.25,23.85,24.01,24.01,64700,0.0,0.0
2024-06-24,25.66,25.709999,25.09,25.59,25.59,327300,0.0,0.0
2024-06-25,25.639999,26.0,25.620001,25.84,25.84,80800,0.0,0.0
2024-06-26,25.43,25.59,25.15,25.27,25.27,93200,0.0,0.0
2024-06-27,25.0,25.049999,24.85,24.940001,24.940001,22900,0.0,0.0
2024-06-28,25.030001,25.18,24.959999,25.030001,25.030001,19600,0.0,0.0
2024-07-01,25.549999,25.67,24.950001,25.190001,25.190001,84500,0.0,0.0
2024-07-02,25.26,25.709999,25.200001,25.66,25.66,59500,0.0,0.0
2024-07-03,25.6,25.834999,25.469999,25.540001,25.540001,38700,0.0,0.0
2024-07-05,25.75,25.9,25.67,25.9,25.9,26700,0.0,0.0
2024-07-08,25.790001,25.895,25.628,25.66,25.66,36100,0.0,0.0
2024-07-09,25.639999,25.76,25.49,25.610001,25.610001,52800,0.0,0.0
2024-07-10,25.32,25.35,24.993999,25.200001,25.200001,32900,0.0,0.0
