Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1980-03-17,3.234375,3.375,3.234375,3.234375,1.306017,3556,0.0,0.0
1980-03-18,3.234375,3.375,3.234375,3.234375,1.306017,1422,0.0,0.0
1980-03-19,3.339844,3.480469,3.339844,3.339844,1.348605,39822,0.0,0.0
1980-03-20,3.339844,3.445313,3.304688,3.304688,1.33441,2844,0.0,0.0
1980-03-21,3.304688,3.410156,3.269531,3.269531,1.320213,7822,0.0,0.0
1980-03-24,3.269531,3.339844,3.199219,3.199219,1.291822,29867,0.0,0.0
1980-03-25,3.199219,3.339844,3.199219,3.199219,1.291822,1422,0.0,0.0
1980-03-26,3.199219,3.339844,3.199219,3.199219,1.291822,35556,0.0,0.0
1980-03-27,3.199219,3.234375,3.09375,3.09375,1.249235,18489,0.0,0.0
1980-03-28,3.09375,3.234375,3.09375,3.09375,1.249235,6400,0.0,0.0
1980-03-31,3.09375,3.234375,3.09375,3.09375,1.249235,1422,0.0,0.0
1980-04-01,3.09375,3.234375,3.09375,3.09375,1.249235,17778,0.0,0.0
1980-04-02,3.09375,3.234375,3.09375,3.09375,1.249235,2844,0.0,0.0
1980-04-03,3.09375,3.234375,3.09375,3.09375,1.249235,14222,0.0,0.0
1980-04-07,3.09375,3.234375,3.09375,3.09375,1.249235,711,0.0,0.0
1980-04-08,3.164063,3.304688,3.164063,3.164063,1.277626,11378,0.0,0.0
1980-04-09,3.234375,3.375,3.234375,3.234375,1.306017,16356,0.0,0.0
1980-04-10,3.234375,3.234375,3.234375,3.234375,1.306017,0,0.0,0.0
1980-04-11,3.234375,3.375,3.234375,3.234375,1.306017,21333,0.0,0.0
1980-04-14,3.234375,3.375,3.234375,3.234375,1.306017,711,0.0,0.0
1980-04-15,3.234375,3.375,3.234375,3.234375,1.306017,1422,0.0,0.0
1980-04-16,3.234375,3.375,3.234375,3.234375,1.306017,711,0.0,0.0
1980-04-17,3.234375,3.375,3.234375,3.234375,1.306017,31289,0.0,0.0
1980-04-18,3.234375,3.375,3.234375,3.234375,1.306017,12800,0.0,0.0
1980-04-21,3.234375,3.339844,3.199219,3.199219,1.291822,4267,0.0,0.0
1980-04-22,3.234375,3.375,3.234375,3.234375,1.306017,4267,0.0,0.0
1980-04-23,3.234375,3.375,3.234375,3.234375,1.306017,18489,0.0,0.0
1980-04-24,3.234375,3.375,3.234375,3.234375,1.306017,21333,0.0,0.0
1980-04-25,3.234375,3.375,3.234375,3.234375,1.306017,16356,0.0,0.0
1980-04-28,3.234375,3.375,3.234375,3.234375,1.306017,4978,0.0,0.0
1980-04-29,3.234375,3.375,3.234375,3.234375,1.306017,7111,0.0,0.0
1980-04-30,3.234375,3.234375,3.234375,3.234375,1.306017,0,0.0,0.0
1980-05-01,3.269531,3.410156,3.269531,3.269531,1.320213,7111,0.0,0.0
1980-05-02,3.304688,3.445313,3.304688,3.304688,1.33441,107378,0.0,0.0
1980-05-05,3.339844,3.480469,3.339844,3.339844,1.348605,4267,0.0,0.0
1980-05-06,3.550781,3.691406,3.550781,3.550781,1.433779,84622,0.0,0.0
1980-05-07,3.550781,3.691406,3.550781,3.550781,1.433779,33422,0.0,0.0
1980-05-08,3.550781,3.65625,3.515625,3.515625,1.419585,6400,0.0,0.0
1980-05-09,3.515625,3.65625,3.515625,3.515625,1.419585,88889,0.0,0.0
1980-05-12,3.515625,3.621094,3.480469,3.480469,1.405388,21333,0.0,0.0
1980-05-13,3.480469,3.480469,3.480469,3.480469,1.405388,0,0.0,0.0
1980-05-14,3.480469,3.480469,3.480469,3.480469,1.405388,0,0.0,0.0
1980-05-15,3.480469,3.621094,3.480469,3.480469,1.405388,14222,0.0,0.0
1980-05-16,3.480469,3.621094,3.480469,3.480469,1.405388,6400,0.0,0.0
1980-05-19,3.480469,3.480469,3.480469,3.480469,1.405388,0,0.0,0.0
1980-05-20,3.480469,3.480469,3.480469,3.480469,1.405388,0,0.0,0.0
1980-05-21,3.480469,3.585938,3.445313,3.445313,1.391193,3556,0.0,0.0
1980-05-22,3.445313,3.585938,3.445313,3.445313,1.391193,15644,0.0,0.0
1980-05-23,3.445313,3.585938,3.445313,3.445313,1.391193,14222,0.0,0.0
1980-05-27,3.445313,3.585938,3.445313,3.445313,1.391193,711,0.0,0.0
1980-05-28,3.445313,3.585938,3.445313,3.445313,1.391193,711,0.0,0.0
1980-05-29,3.445313,3.445313,3.304688,3.304688,1.33441,26311,0.0,0.0
1980-05-30,3.304688,3.445313,3.304688,3.304688,1.33441,8533,0.0,0.0
1980-06-02,3.304688,3.445313,3.304688,3.304688,1.33441,14222,0.0,0.0
1980-06-03,3.304688,3.304688,3.304688,3.304688,1.33441,0,0.0,0.0
1980-06-04,3.304688,3.304688,3.304688,3.304688,1.33441,0,0.0,0.0
1980-06-05,3.339844,3.480469,3.339844,3.339844,1.348605,12800,0.0,0.0
1980-06-06,3.339844,3.445313,3.304688,3.304688,1.33441,7822,0.0,0.0
1980-06-09,3.304688,3.445313,3.304688,3.304688,1.33441,6400,0.0,0.0
1980-06-10,3.339844,3.480469,3.339844,3.339844,1.348605,10667,0.0,0.0
1980-06-11,3.410156,3.550781,3.410156,3.410156,1.376997,9956,0.0,0.0
1980-06-12,3.410156,3.550781,3.410156,3.410156,1.376997,2844,0.0,0.0
1980-06-13,3.410156,3.550781,3.410156,3.410156,1.376997,12089,0.0,0.0
1980-06-16,3.410156,3.550781,3.410156,3.410156,1.376997,7822,0.0,0.0
1980-06-17,3.445313,3.585938,3.445313,3.445313,1.391193,2133,0.0,0.0
1980-06-18,3.445313,3.445313,3.445313,3.445313,1.391193,0,0.0,0.0
1980-06-19,3.445313,3.585938,3.445313,3.445313,1.391193,2133,0.0,0.0
1980-06-20,3.445313,3.585938,3.445313,3.445313,1.391193,18489,0.0,0.0
1980-06-23,3.445313,3.585938,3.445313,3.445313,1.391193,103822,0.0,0.0
1980-06-24,3.445313,3.585938,3.445313,3.445313,1.391193,3556,0.0,0.0
1980-06-25,3.480469,3.621094,3.480469,3.480469,1.405388,84622,0.0,0.0
1980-06-26,3.515625,3.65625,3.515625,3.515625,1.419585,2133,0.0,0.0
1980-06-27,3.515625,3.515625,3.515625,3.515625,1.419585,0,0.0,0.0
1980-06-30,3.550781,3.691406,3.550781,3.550781,1.433779,14933,0.0,0.0
1980-07-01,3.550781,3.691406,3.550781,3.550781,1.433779,5689,0.0,0.0
1980-07-02,3.550781,3.65625,3.515625,3.515625,1.419585,39822,0.0,0.0
