Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-06-30,0.294,0.303,0.283,0.291,0.291,406500,0.0,0.0
2026-07-01,0.287,0.304,0.284,0.291,0.291,273200,0.0,0.0
2026-07-02,0.29,0.3,0.282,0.282,0.282,231900,0.0,0.0
2026-07-06,0.292,0.305,0.286,0.294,0.294,315800,0.0,0.0
2026-07-07,0.29,0.3,0.275,0.275,0.275,286200,0.0,0.0
2026-07-08,0.277,0.29,0.27,0.288,0.288,156800,0.0,0.0
2026-07-09,0.286,0.287,0.271,0.283,0.283,117500,0.0,0.0
2026-07-10,0.277,0.283,0.272,0.278,0.278,88500,0.0,0.0
2026-07-13,0.262,0.281,0.262,0.263,0.263,24855700,0.0,0.0
2026-07-14,0.255,0.268,0.216,0.256,0.256,19092800,0.0,0.0
2026-07-15,0.256,0.3,0.248,0.273,0.273,3192400,0.0,0.0
2026-07-16,0.259,0.328,0.259,0.308,0.308,1535000,0.0,0.0
2026-07-17,0.3,0.331,0.281,0.29,0.29,1137200,0.0,0.0
2026-07-20,0.29,0.3,0.252,0.286,0.286,508100,0.0,0.0
2026-07-21,0.282,0.307,0.261,0.282,0.282,9395600,0.0,0.0
2026-07-22,0.279,0.287,0.26,0.271,0.271,778900,0.0,0.0
2026-07-23,0.26,0.26,0.236,0.25,0.25,888300,0.0,0.0
2026-07-24,0.239,0.239,0.221,0.236,0.236,468200,0.0,0.0
2026-07-27,0.228,0.236,0.212,0.228,0.228,231400,0.0,0.0
2026-07-28,0.221,0.234,0.211,0.228,0.228,270600,0.0,0.0
2026-07-29,0.23,0.233,0.177,0.187,0.187,571600,0.0,0.0
2026-07-30,0.183,0.22,0.181,0.193,0.193,504700,0.0,0.0
2026-07-31,0.19,0.206,0.181,0.192,0.192,283400,0.0,0.0
2026-08-03,0.199,0.2,0.19,0.191,0.191,103600,0.0,0.0
2026-08-04,4.0,4.4,3.9,4.02,4.02,30260,0.0,0.0
2026-08-05,4.0,4.16,3.92,4.02,4.02,12090,0.0,0.0
2026-08-06,3.96,4.22,3.96,4.08,4.08,2400,0.0,0.0
2026-08-07,4.06,4.1,3.86,3.88,3.88,10425,0.0,0.0
2026-08-10,3.8,4.5,3.8,4.4,4.4,27145,0.0,0.0
2026-08-11,4.46,4.6,4.3,4.3,4.3,25465,0.0,0.0
2026-08-12,4.58,4.84,4.3,4.6,4.6,32350,0.0,0.0
2026-08-13,4.52,4.6,4.02,4.48,4.48,21180,0.0,0.0
2026-08-14,4.34,4.6,4.06,4.26,4.26,9245,0.0,0.0
2026-08-17,4.3,4.6,3.88,3.9,3.9,29625,0.0,0.0
2026-08-18,3.74,3.74,3.3,3.5,3.5,26670,0.0,0.0
2026-08-19,3.64,3.82,3.42,3.6,3.6,11150,0.0,0.0
2026-08-20,3.58,3.74,3.42,3.5,3.5,11120,0.0,0.0
2026-08-21,3.6,3.6,2.82,3.4,3.4,11120,0.0,0.0
2026-08-24,3.26,3.56,3.2,3.48,3.48,11710,0.0,0.0
2026-08-25,3.6,3.7,3.36,3.54,3.54,15425,0.0,0.0
2026-08-26,3.6,3.74,3.4,3.58,3.58,1410,0.0,0.0
2026-08-27,2.98,2.98,2.46,2.62,2.62,162405,0.0,0.0
2026-08-28,2.74,4.72,2.64,2.86,2.86,7503820,0.0,0.0
2026-08-31,2.8,3.02,2.351,2.89,2.89,253800,0.0,0.05
2026-09-01,2.66,2.67,2.43,2.5,2.5,161900,0.0,0.0
2026-09-02,2.61,2.64,2.415,2.45,2.45,46300,0.0,0.0
2026-09-03,2.43,2.56,2.35,2.43,2.43,52645,0.0,0.0
