Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-11,13.29,15.567,13.28,15.567,15.567,6100,0.0,0.0,0.0
2025-12-12,15.0,16.08,12.581,12.581,12.581,4800,0.0,0.0,0.0
2025-12-15,11.56,11.56,9.01,9.171,9.171,55200,0.0,0.0,0.0
2025-12-16,8.969,9.54,7.81,9.414,9.414,39400,0.0,0.0,0.0
2025-12-17,10.39,10.47,8.641,8.662,8.662,37800,0.0,0.0,0.0
2025-12-18,9.99,10.51,9.341,9.57,9.57,53900,0.0,0.0,0.0
2025-12-19,10.08,11.283,10.08,10.976,10.976,32000,0.0,0.0,0.0
2025-12-22,11.65,12.238,11.08,11.115,11.115,27800,0.0,0.0,0.0
2025-12-23,10.53,11.66,10.27,10.551,10.551,36100,0.0,0.0,0.0
2025-12-24,10.58,11.11,10.43,10.9,10.9,20000,0.0,0.0,0.0
2025-12-26,11.03,11.03,9.575,9.575,9.575,25900,0.0,0.0,0.0
2025-12-29,8.96,9.8,8.96,9.373,9.373,19700,0.0,0.0,0.0
2025-12-30,9.35,9.51,8.824,8.824,8.824,4200,0.0,0.0,0.0
2025-12-31,8.94,9.18,8.76,8.968,8.968,3700,0.0,0.0,0.0
2026-01-02,9.19,10.84,9.07,10.699,10.699,83500,0.0,0.0,0.0
2026-01-05,11.22,13.6,11.22,13.307,13.307,43400,0.0,0.0,0.0
2026-01-06,13.14,13.14,10.63,12.405,12.405,42100,0.0,0.0,0.0
2026-01-07,11.24,12.31,10.364,10.364,10.364,50200,0.0,0.0,0.0
2026-01-08,9.93,11.32,9.8,10.929,10.929,51700,0.0,0.0,0.0
2026-01-09,11.47,12.95,10.68,11.021,11.021,59700,0.0,0.0,0.0
2026-01-12,10.34,12.54,10.31,12.368,12.368,55500,0.0,0.0,0.0
2026-01-13,13.35,14.43,12.36,13.181,13.181,143900,0.0,0.0,0.0
2026-01-14,13.15,14.159,12.43,12.95,12.95,222300,0.0,0.0,0.0
2026-01-15,13.21,13.78,11.58,12.37,12.37,73900,0.0,0.0,0.0
2026-01-16,12.09,15.0,12.09,14.015,14.015,229500,0.0,0.0,0.0
2026-01-20,12.2,13.97,11.61,12.51,12.51,136900,0.0,0.0,0.0
2026-01-21,13.41,14.78,10.3,12.61,12.61,228300,0.0,0.0,0.0
2026-01-22,12.76,13.035,11.6,12.0,12.0,72800,0.0,0.0,0.0
2026-01-23,11.75,13.4,10.49,12.1,12.1,194600,0.0,0.0,0.0
2026-01-26,11.672,11.85,10.25,10.572,10.572,101600,0.0,0.0,0.0
2026-01-27,10.7,13.46,10.58,13.46,13.46,87700,0.0,0.0,0.0
2026-01-28,13.57,14.11,12.855,13.79,13.79,79200,0.0,0.0,0.0
2026-01-29,13.41,13.435,10.47,11.902,11.902,175700,0.0,0.0,0.0
2026-01-30,11.13,11.13,9.14,9.463,9.463,101100,0.0,0.0,0.0
2026-02-02,9.0,10.22,8.711,9.353,9.353,99900,0.0,0.0,0.0
2026-02-03,10.045,10.49,8.32,9.869,9.869,138100,0.0,0.0,0.0
2026-02-04,8.685,8.685,5.661,7.423,7.423,233700,0.0,0.0,0.0
2026-02-05,6.88,7.83,5.82,5.826,5.826,176500,0.0,0.0,0.0
2026-02-06,6.59,7.805,6.59,7.677,7.677,231400,0.0,0.0,0.0
2026-02-09,8.19,10.0,7.97,9.81,9.81,139300,0.0,0.0,0.0
2026-02-10,9.8,11.16,9.8,10.134,10.134,174300,0.0,0.0,0.0
2026-02-11,10.315,10.67,8.465,9.208,9.208,163500,0.0,0.0,0.0
2026-02-12,9.21,9.55,8.05,8.98,8.98,73900,0.0,0.0,0.0
2026-02-13,9.3,10.515,8.67,9.37,9.37,102300,0.0,0.0,0.0
