Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-01-14,108.449997,131.699997,75.75,81.300003,81.300003,320807,0.0,0.0
2022-01-18,82.199997,85.5,75.0,75.449997,75.449997,74613,0.0,0.0
2022-01-19,71.099998,72.0,61.5,63.299999,63.299999,33880,0.0,0.0
2022-01-20,60.0,79.5,54.599998,72.300003,72.300003,228207,0.0,0.0
2022-01-21,64.800003,68.849998,58.799999,64.5,64.5,35407,0.0,0.0
2022-01-24,58.5,62.549999,52.799999,60.599998,60.599998,14540,0.0,0.0
2022-01-25,61.349998,61.349998,54.900002,54.900002,54.900002,11000,0.0,0.0
2022-01-26,55.5,60.705002,55.5,57.75,57.75,8947,0.0,0.0
2022-01-27,58.950001,58.950001,52.950001,53.849998,53.849998,8033,0.0,0.0
2022-01-28,54.0,58.349998,52.5,58.349998,58.349998,5860,0.0,0.0
2022-01-31,60.0,63.900002,58.064999,63.150002,63.150002,9167,0.0,0.0
2022-02-01,61.650002,67.050003,61.5,64.199997,64.199997,7760,0.0,0.0
2022-02-02,67.050003,67.050003,60.855,61.799999,61.799999,2467,0.0,0.0
2022-02-03,57.150002,60.119999,55.650002,56.700001,56.700001,3393,0.0,0.0
2022-02-04,59.25,63.150002,55.650002,58.5,58.5,8600,0.0,0.0
2022-02-07,59.400002,59.400002,55.650002,58.5,58.5,3153,0.0,0.0
2022-02-08,57.150002,59.849998,55.950001,58.950001,58.950001,3573,0.0,0.0
2022-02-09,58.5,58.5,51.150002,54.299999,54.299999,8533,0.0,0.0
2022-02-10,52.650002,55.5,52.5,53.25,53.25,4180,0.0,0.0
2022-02-11,54.150002,54.450001,51.0,52.049999,52.049999,6733,0.0,0.0
2022-02-14,53.25,53.25,47.25,49.200001,49.200001,4267,0.0,0.0
2022-02-15,50.25,53.25,48.450001,51.900002,51.900002,4133,0.0,0.0
2022-02-16,51.900002,51.900002,48.0,48.75,48.75,5867,0.0,0.0
2022-02-17,48.599998,50.849998,44.25,44.849998,44.849998,5813,0.0,0.0
