Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2005-12-15,22.530001,24.42,21.950001,24.25,14.233716,11589800,0.0,0.0
2005-12-16,22.5,25.0,22.5,24.4,14.32176,1829200,0.0,0.0
2005-12-19,24.309999,25.6,24.309999,24.700001,14.497849,776100,0.0,0.0
2005-12-20,24.889999,24.959999,22.9,23.25,13.646755,916600,0.0,0.0
2005-12-21,23.200001,24.1,23.200001,23.6,13.852194,456900,0.0,0.0
2005-12-22,23.4,25.299999,23.4,25.09,14.726754,289300,0.0,0.0
2005-12-23,25.4,26.15,25.25,25.91,15.208062,511300,0.0,0.0
2005-12-27,26.0,26.65,25.549999,25.9,15.202192,205500,0.0,0.0
2005-12-28,26.0,26.200001,25.5,25.799999,15.143501,311500,0.0,0.0
2005-12-29,25.799999,27.200001,25.799999,26.99,15.841984,470800,0.0,0.0
2005-12-30,27.0,27.4,26.299999,27.299999,16.023937,160800,0.0,0.0
2006-01-03,27.0,27.07,25.5,25.969999,15.24328,268900,0.0,0.0
2006-01-04,26.1,27.1,26.1,27.1,15.90654,185800,0.0,0.0
2006-01-05,27.0,27.0,26.15,26.5,15.554366,158800,0.0,0.0
2006-01-06,25.700001,26.0,24.799999,25.18,14.779585,529000,0.0,0.0
2006-01-09,25.1,25.1,24.6,24.6,14.439149,306800,0.0,0.0
2006-01-10,23.4,24.25,23.379999,24.15,14.175017,548700,0.0,0.0
2006-01-11,24.1,24.15,23.709999,24.01,14.092843,272300,0.0,0.0
2006-01-12,23.959999,23.959999,23.200001,23.450001,13.764147,454200,0.0,0.0
2006-01-13,23.5,24.700001,23.5,24.459999,14.356972,270500,0.0,0.0
2006-01-17,23.6,24.1,23.4,23.610001,13.858057,290400,0.0,0.0
2006-01-18,22.9,23.5,22.6,22.85,13.411975,324300,0.0,0.0
2006-01-19,23.82,24.110001,23.120001,23.84,13.993063,260600,0.0,0.0
2006-01-20,24.0,24.200001,23.030001,23.32,13.687841,497300,0.0,0.0
2006-01-23,23.17,23.85,23.02,23.25,13.646755,206000,0.0,0.0
2006-01-24,23.58,23.620001,22.049999,22.389999,13.141973,555800,0.0,0.0
2006-01-25,22.290001,23.08,21.799999,22.200001,13.030455,233500,0.0,0.0
2006-01-26,23.040001,23.25,22.4,22.5,13.206538,253000,0.0,0.0
2006-01-27,22.51,23.950001,22.51,23.940001,14.051758,329900,0.0,0.0
2006-01-30,23.809999,24.200001,23.549999,24.16,14.180884,301800,0.0,0.0
2006-01-31,23.959999,24.15,23.809999,24.0,14.086974,138700,0.0,0.0
2006-02-01,24.0,24.15,23.75,23.75,13.940239,265300,0.0,0.0
2006-02-02,23.75,24.0,22.549999,22.549999,13.235889,95600,0.0,0.0
2006-02-03,22.32,22.6,22.0,22.01,12.918934,169200,0.0,0.0
2006-02-06,22.700001,22.700001,22.08,22.450001,13.177188,78300,0.0,0.0
2006-02-07,22.700001,22.700001,21.559999,21.639999,12.701752,118500,0.0,0.0
2006-02-08,21.5,21.709999,20.700001,20.940001,12.290885,319300,0.0,0.0
2006-02-09,21.25,21.620001,21.209999,21.6,12.678277,374100,0.0,0.0
2006-02-10,21.5,21.6,21.25,21.25,12.472848,23000,0.0,0.0
2006-02-13,21.32,21.32,20.700001,20.950001,12.296754,44000,0.0,0.0
2006-02-14,20.93,21.030001,20.4,20.9,12.267406,255600,0.0,0.0
2006-02-15,20.85,21.200001,20.74,21.0,12.326102,175200,0.0,0.0
2006-02-16,21.049999,21.25,20.950001,21.15,12.41415,85800,0.0,0.0
2006-02-17,21.0,22.0,21.0,21.83,12.813276,145400,0.0,0.0
2006-02-21,21.75,22.08,21.719999,22.02,12.924796,87900,0.0,0.0
2006-02-22,22.0,23.49,22.0,23.379999,13.72306,136400,0.0,0.0
2006-02-23,23.5,24.139999,23.4,23.6,13.852194,144000,0.0,0.0
2006-02-24,23.65,23.799999,23.290001,23.41,13.740669,39000,0.0,0.0
2006-02-27,23.219999,23.67,23.219999,23.67,13.893276,65400,0.0,0.0
2006-02-28,23.75,23.889999,23.049999,23.049999,13.529366,42500,0.0,0.0
2006-03-01,23.1,23.15,22.67,23.0,13.500016,92600,0.0,0.0
2006-03-02,23.0,23.02,22.35,22.35,13.118492,180600,0.0,0.0
2006-03-03,22.280001,22.299999,22.15,22.299999,13.08915,192300,0.0,0.0
2006-03-06,22.200001,22.4,22.200001,22.299999,13.08915,173000,0.0,0.0
