Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2024-09-03,5.74,5.74,3.015,4.35,4.35,176600,0.0,0.0
2024-09-04,3.5,3.828,2.85,3.78,3.78,97000,0.0,0.0
2024-09-05,3.29,4.25,3.29,3.75,3.75,59800,0.0,0.0
2024-09-06,3.41,3.58,3.147,3.22,3.22,34300,0.0,0.0
2024-09-09,3.11,3.418,2.47,2.79,2.79,37800,0.0,0.0
2024-09-10,2.71,3.095,2.58,2.794,2.794,16600,0.0,0.0
2024-09-11,2.25,3.1,2.25,3.09,3.09,30000,0.0,0.0
2024-09-12,2.89,3.09,2.68,2.68,2.68,4800,0.0,0.0
2024-09-13,2.61,3.5,2.4,2.5,2.5,264400,0.0,0.0
2024-09-16,2.41,2.46,2.172,2.35,2.35,36800,0.0,0.0
2024-09-17,2.25,2.59,2.18,2.32,2.32,34100,0.0,0.0
2024-09-18,2.25,3.48,2.25,2.73,2.73,116800,0.0,0.0
2024-09-19,2.6,3.39,2.6,3.01,3.01,45600,0.0,0.0
2024-09-20,3.3,3.3,2.751,2.95,2.95,18100,0.0,0.0
2024-09-23,2.95,2.95,2.675,2.8,2.8,8800,0.0,0.0
2024-09-24,2.67,2.848,2.42,2.7,2.7,12200,0.0,0.0
2024-09-25,2.83,2.9,2.58,2.7,2.7,25000,0.0,0.0
2024-09-26,3.1,3.1,2.58,2.76,2.76,34600,0.0,0.0
2024-09-27,2.87,2.935,2.7,2.75,2.75,16000,0.0,0.0
2024-09-30,2.81,2.81,2.45,2.5,2.5,10900,0.0,0.0
2024-10-01,2.56,2.588,2.38,2.38,2.38,11600,0.0,0.0
2024-10-02,2.4,2.66,2.4,2.49,2.49,13600,0.0,0.0
2024-10-03,2.3,2.455,2.24,2.3,2.3,19100,0.0,0.0
2024-10-04,2.41,2.41,2.29,2.31,2.31,1800,0.0,0.0
2024-10-07,2.35,2.38,2.27,2.27,2.27,2500,0.0,0.0
2024-10-08,2.29,2.31,2.25,2.27,2.27,3300,0.0,0.0
2024-10-09,2.26,2.33,2.0,2.03,2.03,6600,0.0,0.0
2024-10-10,2.19,2.19,1.785,1.85,1.85,6300,0.0,0.0
2024-10-11,1.85,1.98,1.81,1.945,1.945,6400,0.0,0.0
2024-10-14,1.8,2.02,1.8,2.02,2.02,3000,0.0,0.0
2024-10-15,2.02,2.42,1.97,2.21,2.21,20000,0.0,0.0
2024-10-16,2.53,2.87,2.2,2.53,2.53,50800,0.0,0.0
2024-10-17,2.91,2.91,2.44,2.55,2.55,29300,0.0,0.0
2024-10-18,2.4,2.7,2.3,2.38,2.38,24700,0.0,0.0
2024-10-21,2.2,2.34,2.1,2.1,2.1,9700,0.0,0.0
2024-10-22,2.16,2.25,2.16,2.25,2.25,1000,0.0,0.0
2024-10-23,2.65,2.65,2.2,2.31,2.31,10400,0.0,0.0
2024-10-24,2.26,2.31,2.07,2.31,2.31,6100,0.0,0.0
2024-10-25,2.35,2.35,2.34,2.34,2.34,1100,0.0,0.0
2024-10-28,2.69,2.69,2.19,2.19,2.19,3200,0.0,0.0
2024-10-29,2.36,2.64,2.25,2.25,2.25,4600,0.0,0.0
2024-10-30,2.37,2.7,2.37,2.7,2.7,8600,0.0,0.0
2024-10-31,2.51,2.59,2.29,2.33,2.33,5100,0.0,0.0
2024-11-01,2.1,2.25,2.07,2.17,2.17,11200,0.0,0.0
2024-11-04,2.0,2.0,1.699,1.98,1.98,13000,0.0,0.0
