Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-03-23,29.0,31.6,27.84,28.48,28.48,56108700,0.0,0.0
2018-03-26,30.450001,30.66,27.75,30.450001,30.450001,16985700,0.0,0.0
2018-03-27,30.41,30.68,29.0,29.9,29.9,6911000,0.0,0.0
2018-03-28,29.26,31.190001,28.610001,30.98,30.98,5113300,0.0,0.0
2018-03-29,31.98,34.367001,30.790001,31.25,31.25,15800200,0.0,0.0
2018-04-02,31.190001,31.388,29.309999,30.01,30.01,5907700,0.0,0.0
2018-04-03,30.51,31.6,29.450001,31.59,31.59,4305300,0.0,0.0
2018-04-04,30.32,31.465,30.200001,30.85,30.85,2951200,0.0,0.0
2018-04-05,31.200001,31.76,30.299999,30.535,30.535,2734400,0.0,0.0
2018-04-06,30.370001,31.0,30.0,30.24,30.24,1626700,0.0,0.0
2018-04-09,30.639999,31.0,30.129999,30.139999,30.139999,1128800,0.0,0.0
2018-04-10,30.440001,31.74,30.25,31.23,31.23,2470300,0.0,0.0
2018-04-11,31.299999,32.490002,30.870001,32.32,32.32,2391500,0.0,0.0
2018-04-12,33.110001,34.828999,32.919998,33.27,33.27,5592300,0.0,0.0
2018-04-13,31.27,32.240002,29.73,30.0,30.0,8525200,0.0,0.0
2018-04-16,30.200001,30.4,28.0,29.02,29.02,5727900,0.0,0.0
2018-04-17,29.9,30.0,28.610001,29.83,29.83,3438400,0.0,0.0
2018-04-18,30.01,31.17,29.610001,30.559999,30.559999,2968200,0.0,0.0
2018-04-19,30.65,30.879999,29.400999,29.9,29.9,1575900,0.0,0.0
2018-04-20,29.700001,29.9,28.67,28.92,28.92,1742500,0.0,0.0
2018-04-23,29.18,29.65,28.93,29.110001,29.110001,1468100,0.0,0.0
2018-04-24,29.23,29.799999,28.290001,28.940001,28.940001,1495200,0.0,0.0
2018-04-25,28.940001,29.040001,28.190001,28.639999,28.639999,1258300,0.0,0.0
2018-04-26,28.870001,29.504,28.530001,29.33,29.33,1935700,0.0,0.0
2018-04-27,29.59,30.15,29.25,29.610001,29.610001,1263200,0.0,0.0
2018-04-30,29.799999,30.33,29.620001,30.110001,30.110001,1242300,0.0,0.0
2018-05-01,30.299999,31.34,29.799999,30.9,30.9,1735200,0.0,0.0
2018-05-02,30.969999,31.5,30.5,31.01,31.01,1576100,0.0,0.0
2018-05-03,30.75,31.01,29.74,30.190001,30.190001,1127700,0.0,0.0
2018-05-04,30.129999,30.4,29.049999,29.129999,29.129999,1793100,0.0,0.0
2018-05-07,29.49,29.879,29.33,29.41,29.41,1807900,0.0,0.0
2018-05-08,29.57,30.299999,29.5,30.23,30.23,1518900,0.0,0.0
2018-05-09,30.6,31.5,30.139999,31.4,31.4,3258800,0.0,0.0
2018-05-10,32.299999,32.299999,31.41,32.0,32.0,6650900,0.0,0.0
2018-05-11,31.950001,32.380001,30.59,31.280001,31.280001,7338600,0.0,0.0
2018-05-14,31.620001,31.75,29.700001,29.959999,29.959999,4929300,0.0,0.0
2018-05-15,29.940001,30.110001,29.5,29.549999,29.549999,2766300,0.0,0.0
2018-05-16,29.780001,30.950001,29.620001,30.74,30.74,2859500,0.0,0.0
2018-05-17,30.950001,31.32,30.35,30.549999,30.549999,1817600,0.0,0.0
2018-05-18,30.6,30.75,30.16,30.200001,30.200001,1232600,0.0,0.0
2018-05-21,30.450001,30.6,29.950001,30.09,30.09,1444200,0.0,0.0
2018-05-22,30.049999,30.459999,30.01,30.09,30.09,883300,0.0,0.0
2018-05-23,30.0,30.129999,29.549999,29.74,29.74,1461700,0.0,0.0
2018-05-24,29.799999,30.5,29.57,30.200001,30.200001,1238200,0.0,0.0
2018-05-25,30.1,30.382999,29.799999,29.969999,29.969999,958300,0.0,0.0
2018-05-29,29.940001,30.1,29.41,29.780001,29.780001,966500,0.0,0.0
2018-05-30,29.9,30.57,29.780001,30.469999,30.469999,1496600,0.0,0.0
2018-05-31,30.27,30.6,29.809999,29.99,29.99,1369200,0.0,0.0
2018-06-01,30.0,30.23,29.42,29.65,29.65,2306100,0.0,0.0
2018-06-04,29.99,30.299999,29.51,29.98,29.98,1935100,0.0,0.0
2018-06-05,29.809999,30.969999,29.809999,30.889999,30.889999,2716100,0.0,0.0
2018-06-06,31.1,31.889999,30.370001,31.23,31.23,3475300,0.0,0.0
2018-06-07,31.290001,31.299999,29.809999,30.27,30.27,2489700,0.0,0.0
2018-06-08,30.110001,30.549999,29.879999,29.959999,29.959999,1770800,0.0,0.0
2018-06-11,30.120001,30.405001,29.9,30.1,30.1,1286400,0.0,0.0
2018-06-12,30.219999,31.0,29.92,30.83,30.83,2650500,0.0,0.0
2018-06-13,30.809999,31.9,30.459999,31.67,31.67,3523000,0.0,0.0
2018-06-14,32.48,38.09,32.205002,36.119999,36.119999,23701100,0.0,0.0
2018-06-15,36.119999,40.084999,35.349998,39.599998,39.599998,19674900,0.0,0.0
2018-06-18,39.0,43.5,38.119999,42.0,42.0,16268900,0.0,0.0
2018-06-19,41.349998,42.889999,38.5,39.700001,39.700001,12730700,0.0,0.0
2018-06-20,40.700001,40.740002,36.529999,37.299999,37.299999,9481900,0.0,0.0
2018-06-21,36.91,38.490002,35.360001,35.689999,35.689999,7154000,0.0,0.0
2018-06-22,36.369999,37.0,33.599998,33.720001,33.720001,9475500,0.0,0.0
2018-06-25,33.23,34.59,32.153,32.52,32.52,8311900,0.0,0.0
2018-06-26,33.299999,34.09,32.560001,32.77,32.77,7061800,0.0,0.0
2018-06-27,33.040001,33.59,31.190001,31.219999,31.219999,5208600,0.0,0.0
2018-06-28,31.1,33.43,30.65,33.400002,33.400002,5733300,0.0,0.0
2018-06-29,33.560001,34.0,31.74,32.419998,32.419998,6491000,0.0,0.0
2018-07-02,32.25,33.73,31.799999,32.799999,32.799999,4212000,0.0,0.0
2018-07-03,33.02,33.23,31.889999,32.0,32.0,1865000,0.0,0.0
2018-07-05,32.099998,32.25,31.1,31.459999,31.459999,3420900,0.0,0.0
2018-07-06,31.540001,32.080002,31.27,31.360001,31.360001,3881000,0.0,0.0
2018-07-09,31.549999,32.080002,30.75,31.780001,31.780001,4204300,0.0,0.0
2018-07-10,31.98,32.900002,31.049999,31.280001,31.280001,4758400,0.0,0.0
2018-07-11,31.07,31.65,30.450001,30.940001,30.940001,3297100,0.0,0.0
2018-07-12,31.34,32.689999,30.950001,32.419998,32.419998,3727900,0.0,0.0
2018-07-13,32.5,32.830002,31.41,32.169998,32.169998,2409100,0.0,0.0
2018-07-16,32.16,32.43,31.51,32.27,32.27,1976400,0.0,0.0
2018-07-17,31.879999,32.73,30.5,31.65,31.65,6014400,0.0,0.0
2018-07-18,31.35,31.986,31.120001,31.24,31.24,1357300,0.0,0.0
2018-07-19,31.25,31.719999,30.9,31.299999,31.299999,1958300,0.0,0.0
2018-07-20,31.34,31.58,30.870001,31.0,31.0,1517100,0.0,0.0
2018-07-23,31.02,32.02,30.780001,31.799999,31.799999,2894000,0.0,0.0
2018-07-24,32.32,32.699001,30.15,30.75,30.75,4942500,0.0,0.0
2018-07-25,30.59,31.700001,30.57,31.309999,31.309999,2511600,0.0,0.0
2018-07-26,31.0,31.360001,30.6,30.709999,30.709999,1895200,0.0,0.0
2018-07-27,30.959999,31.559999,29.23,30.030001,30.030001,3221200,0.0,0.0
2018-07-30,30.1,30.4,27.4,27.77,27.77,6040400,0.0,0.0
2018-07-31,28.0,28.299999,26.610001,26.77,26.77,3947100,0.0,0.0
2018-08-01,27.549999,28.65,27.219999,27.809999,27.809999,4934400,0.0,0.0
2018-08-02,28.09,29.950001,27.84,29.809999,29.809999,5371600,0.0,0.0
2018-08-03,30.030001,30.032,28.809999,29.969999,29.969999,3656000,0.0,0.0
2018-08-06,30.25,30.41,29.43,30.280001,30.280001,4124000,0.0,0.0
2018-08-07,30.51,31.790001,30.4,31.52,31.52,4437600,0.0,0.0
2018-08-08,31.75,31.790001,30.610001,31.549999,31.549999,2925500,0.0,0.0
2018-08-09,31.65,34.950001,31.601,34.43,34.43,18209900,0.0,0.0
2018-08-10,31.76,32.25,30.809999,31.049999,31.049999,22123400,0.0,0.0
2018-08-13,31.48,31.950001,29.1,29.16,29.16,11274500,0.0,0.0
2018-08-14,29.450001,29.450001,27.73,28.969999,28.969999,10805300,0.0,0.0
2018-08-15,28.57,29.200001,28.200001,28.969999,28.969999,3791900,0.0,0.0
2018-08-16,29.233,29.25,28.01,28.23,28.23,5359200,0.0,0.0
2018-08-17,28.059999,28.23,27.0,27.51,27.51,6564600,0.0,0.0
2018-08-20,27.42,27.82,26.66,27.620001,27.620001,5149700,0.0,0.0
2018-08-21,27.700001,28.34,27.18,28.27,28.27,4623500,0.0,0.0
2018-08-22,28.200001,28.75,28.0,28.08,28.08,3458100,0.0,0.0
2018-08-23,28.0,28.799999,27.75,28.34,28.34,3613900,0.0,0.0
2018-08-24,27.57,27.959999,26.5,27.030001,27.030001,23986900,0.0,0.0
2018-08-27,27.0,27.700001,26.950001,27.379999,27.379999,7189600,0.0,0.0
2018-08-28,27.360001,27.4,26.52,27.16,27.16,8478400,0.0,0.0
2018-08-29,27.02,27.389999,26.75,27.01,27.01,6147600,0.0,0.0
2018-08-30,26.969999,27.01,26.25,26.700001,26.700001,4212700,0.0,0.0
2018-08-31,26.610001,27.0,26.502001,26.85,26.85,3005000,0.0,0.0
2018-09-04,26.639999,26.98,26.41,26.959999,26.959999,5090900,0.0,0.0
2018-09-05,26.709999,26.9,25.65,26.6,26.6,6721300,0.0,0.0
2018-09-06,26.459999,26.51,25.190001,25.74,25.74,6803400,0.0,0.0
2018-09-07,25.1,26.870001,24.780001,26.76,26.76,6305700,0.0,0.0
2018-09-10,26.75,27.120001,26.33,26.879999,26.879999,3629500,0.0,0.0
2018-09-11,26.549999,27.290001,26.511,26.969999,26.969999,2786900,0.0,0.0
2018-09-12,26.76,26.896999,25.780001,26.139999,26.139999,4784700,0.0,0.0
2018-09-13,26.4,26.525,25.459999,25.73,25.73,4083800,0.0,0.0
2018-09-14,25.73,26.219999,25.700001,26.08,26.08,2909500,0.0,0.0
2018-09-17,25.799999,26.75,25.799999,26.200001,26.200001,3722100,0.0,0.0
2018-09-18,26.389999,26.77,26.34,26.360001,26.360001,2381500,0.0,0.0
2018-09-19,26.530001,26.75,25.030001,25.66,25.66,6276500,0.0,0.0
2018-09-20,25.67,27.0,25.629999,26.5,26.5,6485300,0.0,0.0
2018-09-21,26.74,27.02,26.18,26.360001,26.360001,6765500,0.0,0.0
2018-09-24,25.99,26.4,25.555,26.33,26.33,3330100,0.0,0.0
2018-09-25,26.309999,27.200001,26.299999,27.139999,27.139999,3663500,0.0,0.0
2018-09-26,27.25,27.35,26.549999,27.110001,27.110001,3638300,0.0,0.0
2018-09-27,27.209999,27.290001,26.951,27.049999,27.049999,1540100,0.0,0.0
2018-09-28,26.9,27.040001,26.309999,26.83,26.83,3221200,0.0,0.0
2018-10-01,26.82,26.93,25.700001,26.219999,26.219999,4674300,0.0,0.0
2018-10-02,26.379999,26.530001,26.030001,26.32,26.32,2659700,0.0,0.0
2018-10-03,26.370001,26.52,26.059999,26.25,26.25,1672000,0.0,0.0
2018-10-04,26.07,26.209999,24.17,24.540001,24.540001,6012900,0.0,0.0
2018-10-05,24.690001,24.860001,22.92,24.07,24.07,8569500,0.0,0.0
2018-10-08,23.5,23.82,22.15,22.85,22.85,5834500,0.0,0.0
2018-10-09,22.379999,23.389999,22.18,22.75,22.75,4785100,0.0,0.0
2018-10-10,23.42,23.559999,22.190001,22.780001,22.780001,7874700,0.0,0.0
2018-10-11,22.59,23.57,22.07,22.870001,22.870001,5771000,0.0,0.0
2018-10-12,23.370001,24.0,23.27,23.92,23.92,4268800,0.0,0.0
2018-10-15,23.76,24.190001,23.25,23.969999,23.969999,1828800,0.0,0.0
2018-10-16,24.25,25.01,24.200001,24.9,24.9,2197800,0.0,0.0
2018-10-17,24.889999,24.959999,24.379999,24.860001,24.860001,1457900,0.0,0.0
2018-10-18,24.6,24.76,23.75,24.190001,24.190001,1750700,0.0,0.0
2018-10-19,24.190001,24.66,23.26,23.379999,23.379999,1605800,0.0,0.0
2018-10-22,23.41,23.68,22.950001,23.42,23.42,2288800,0.0,0.0
2018-10-23,22.610001,23.594999,22.511,23.360001,23.360001,2923300,0.0,0.0
2018-10-24,23.299999,23.299999,21.969999,21.99,21.99,2726300,0.0,0.0
2018-10-25,22.23,22.469999,21.360001,22.35,22.35,2895800,0.0,0.0
2018-10-26,21.65,22.59,21.51,21.709999,21.709999,2717300,0.0,0.0
2018-10-29,22.09,22.83,21.629999,22.01,22.01,2328300,0.0,0.0
2018-10-30,21.99,22.809999,21.775,22.799999,22.799999,2360400,0.0,0.0
2018-10-31,23.110001,23.799999,23.0,23.469999,23.469999,2529300,0.0,0.0
2018-11-01,23.5,24.0,23.120001,23.719999,23.719999,1756800,0.0,0.0
2018-11-02,23.98,24.120001,23.389999,24.030001,24.030001,2132700,0.0,0.0
2018-11-05,23.9,24.09,23.65,24.059999,24.059999,1580400,0.0,0.0
2018-11-06,23.91,24.450001,23.780001,24.049999,24.049999,1623500,0.0,0.0
2018-11-07,24.51,25.360001,24.43,25.01,25.01,3021400,0.0,0.0
2018-11-08,24.940001,25.535,24.25,24.74,24.74,7141700,0.0,0.0
2018-11-09,27.02,27.15,24.75,25.549999,25.549999,14744600,0.0,0.0
2018-11-12,24.68,25.01,23.57,24.34,24.34,5441700,0.0,0.0
2018-11-13,24.09,24.610001,23.360001,23.67,23.67,3562100,0.0,0.0
2018-11-14,23.809999,24.24,23.370001,23.559999,23.559999,3897000,0.0,0.0
2018-11-15,23.26,24.690001,23.02,24.6,24.6,3167400,0.0,0.0
2018-11-16,23.9,24.280001,23.200001,23.27,23.27,4518100,0.0,0.0
2018-11-19,23.059999,23.145,21.32,21.549999,21.549999,5910400,0.0,0.0
2018-11-20,20.0,21.780001,19.540001,21.450001,21.450001,4278000,0.0,0.0
2018-11-21,21.68,22.09,21.24,21.75,21.75,2496800,0.0,0.0
2018-11-23,21.540001,22.440001,21.5,22.35,22.35,1111800,0.0,0.0
2018-11-26,22.51,23.690001,22.51,23.66,23.66,4483900,0.0,0.0
2018-11-27,23.09,23.4,22.57,23.040001,23.040001,3636200,0.0,0.0
2018-11-28,23.43,24.24,23.0,24.190001,24.190001,5568500,0.0,0.0
2018-11-29,23.879999,24.639999,23.530001,24.459999,24.459999,3591200,0.0,0.0
2018-11-30,24.27,24.27,22.709999,23.389999,23.389999,9758400,0.0,0.0
2018-12-03,23.9,24.0,23.43,23.77,23.77,3843300,0.0,0.0
2018-12-04,23.360001,23.700001,22.35,22.42,22.42,2560500,0.0,0.0
2018-12-06,21.860001,22.610001,21.469999,22.42,22.42,3416200,0.0,0.0
2018-12-07,22.18,22.6,21.16,21.51,21.51,3077400,0.0,0.0
2018-12-10,21.389999,22.33,21.35,22.01,22.01,2801000,0.0,0.0
2018-12-11,22.52,23.275999,22.25,22.57,22.57,2892600,0.0,0.0
2018-12-12,22.92,23.370001,22.77,22.809999,22.809999,1742400,0.0,0.0
2018-12-13,22.91,23.389999,22.74,23.190001,23.190001,2102100,0.0,0.0
2018-12-14,22.66,23.450001,22.5,22.6,22.6,1990800,0.0,0.0
2018-12-17,22.34,22.375,21.389999,21.76,21.76,3291200,0.0,0.0
2018-12-18,21.93,22.225,21.190001,21.459999,21.459999,3845100,0.0,0.0
2018-12-19,21.459999,22.0,21.23,21.559999,21.559999,3500000,0.0,0.0
2018-12-20,21.41,21.580999,19.698,20.370001,20.370001,5135400,0.0,0.0
2018-12-21,20.639999,20.790001,18.77,19.379999,19.379999,7083400,0.0,0.0
2018-12-24,18.549999,20.030001,18.5,19.75,19.75,2187800,0.0,0.0
2018-12-26,19.99,20.77,19.66,20.76,20.76,3460500,0.0,0.0
2018-12-27,20.440001,20.91,20.07,20.870001,20.870001,1600900,0.0,0.0
2018-12-28,20.940001,21.15,20.280001,20.790001,20.790001,2171300,0.0,0.0
2018-12-31,20.969999,21.18,20.1,20.43,20.43,3862600,0.0,0.0
2019-01-02,19.959999,20.9,19.76,20.67,20.67,2253600,0.0,0.0
2019-01-03,20.41,20.85,20.059999,20.09,20.09,1691000,0.0,0.0
2019-01-04,20.549999,21.459999,20.5,21.280001,21.280001,1815600,0.0,0.0
2019-01-07,21.379999,22.15,21.110001,21.76,21.76,2418800,0.0,0.0
2019-01-08,22.040001,22.219999,21.620001,22.07,22.07,1805000,0.0,0.0
2019-01-09,22.01,22.610001,21.76,22.299999,22.299999,2066100,0.0,0.0
2019-01-10,22.129999,22.799999,22.01,22.49,22.49,1507800,0.0,0.0
2019-01-11,22.290001,22.530001,22.110001,22.389999,22.389999,1552100,0.0,0.0
2019-01-14,22.219999,22.23,21.910999,22.01,22.01,1402100,0.0,0.0
2019-01-15,21.99,22.790001,21.98,22.58,22.58,1618500,0.0,0.0
2019-01-16,22.57,22.700001,22.16,22.48,22.48,1377500,0.0,0.0
2019-01-17,22.5,22.813,22.27,22.6,22.6,1493700,0.0,0.0
2019-01-18,22.860001,23.799999,22.719999,23.59,23.59,2870300,0.0,0.0
2019-01-22,23.4,23.5,22.65,22.9,22.9,1931200,0.0,0.0
2019-01-23,23.360001,23.549999,23.040001,23.309999,23.309999,1913100,0.0,0.0
2019-01-24,23.190001,23.469999,23.01,23.389999,23.389999,1347200,0.0,0.0
2019-01-25,23.68,24.1,23.49,23.9,23.9,2680600,0.0,0.0
2019-01-28,23.629999,24.18,23.24,24.139999,24.139999,2131600,0.0,0.0
2019-01-29,24.07,24.1,23.08,23.24,23.24,1723100,0.0,0.0
2019-01-30,23.5,24.045,23.33,23.93,23.93,1476800,0.0,0.0
2019-01-31,24.040001,24.99,24.0,24.709999,24.709999,3611300,0.0,0.0
2019-02-01,24.549999,24.65,23.27,24.24,24.24,4505100,0.0,0.0
2019-02-04,24.389999,24.85,24.0,24.57,24.57,1697800,0.0,0.0
2019-02-05,24.639999,25.295,24.49,25.200001,25.200001,3021300,0.0,0.0
2019-02-06,25.25,25.440001,24.75,25.24,25.24,1906500,0.0,0.0
2019-02-07,25.1,25.209999,24.41,24.790001,24.790001,1462100,0.0,0.0
2019-02-08,24.610001,25.469999,24.51,25.42,25.42,1834700,0.0,0.0
2019-02-11,25.469999,25.65,25.08,25.15,25.15,1591300,0.0,0.0
2019-02-12,25.440001,25.6,25.25,25.43,25.43,1218900,0.0,0.0
2019-02-13,25.559999,25.639999,25.219999,25.450001,25.450001,1354400,0.0,0.0
2019-02-14,25.530001,25.945,25.32,25.780001,25.780001,1701600,0.0,0.0
2019-02-15,26.0,26.0,25.48,25.540001,25.540001,1906200,0.0,0.0
2019-02-19,25.379999,26.209999,25.33,25.99,25.99,2801400,0.0,0.0
2019-02-20,26.299999,26.49,25.469999,25.49,25.49,3002300,0.0,0.0
2019-02-21,25.709999,25.74,24.93,25.59,25.59,7690400,0.0,0.0
2019-02-22,23.799999,24.200001,23.030001,23.450001,23.450001,13652100,0.0,0.0
2019-02-25,23.530001,23.98,23.43,23.59,23.59,4989800,0.0,0.0
2019-02-26,23.280001,24.389999,23.25,24.34,24.34,4623200,0.0,0.0
2019-02-27,23.85,24.35,23.5,24.24,24.24,3441800,0.0,0.0
2019-02-28,24.0,24.1,23.32,23.860001,23.860001,3922900,0.0,0.0
2019-03-01,23.92,24.0,23.6,23.889999,23.889999,3471600,0.0,0.0
2019-03-04,24.0,24.0,23.377001,23.860001,23.860001,4560900,0.0,0.0
2019-03-05,23.76,23.790001,23.514999,23.540001,23.540001,2056100,0.0,0.0
2019-03-06,23.450001,23.450001,22.254999,22.629999,22.629999,5492000,0.0,0.0
2019-03-07,22.6,22.75,22.190001,22.51,22.51,2721800,0.0,0.0
2019-03-08,22.030001,22.49,21.84,22.23,22.23,2440600,0.0,0.0
2019-03-11,22.27,23.0,22.23,22.639999,22.639999,2242000,0.0,0.0
2019-03-12,22.84,23.245001,22.700001,23.110001,23.110001,2345500,0.0,0.0
2019-03-13,23.01,23.280001,22.59,22.59,22.59,3397000,0.0,0.0
2019-03-14,22.48,22.870001,22.08,22.129999,22.129999,3085700,0.0,0.0
2019-03-15,22.299999,22.549999,22.15,22.309999,22.309999,2359100,0.0,0.0
2019-03-18,22.299999,22.459999,21.98,22.16,22.16,3246600,0.0,0.0
2019-03-19,22.209999,22.49,22.02,22.32,22.32,2615400,0.0,0.0
2019-03-20,22.34,22.450001,22.049999,22.1,22.1,1745300,0.0,0.0
2019-03-21,22.030001,22.74,22.01,22.66,22.66,2311600,0.0,0.0
2019-03-22,22.5,22.700001,21.67,21.719999,21.719999,3392300,0.0,0.0
2019-03-25,21.5,21.879999,21.334999,21.83,21.83,1856600,0.0,0.0
2019-03-26,22.02,22.120001,21.780001,21.959999,21.959999,1361900,0.0,0.0
2019-03-27,21.93,21.950001,21.08,21.42,21.42,2970900,0.0,0.0
2019-03-28,21.459999,21.57,21.139999,21.5,21.5,2003900,0.0,0.0
2019-03-29,21.67,21.950001,21.58,21.799999,21.799999,2879400,0.0,0.0
2019-04-01,22.0,22.16,21.459999,21.57,21.57,2821600,0.0,0.0
2019-04-02,21.51,22.139999,21.35,22.129999,22.129999,3500600,0.0,0.0
2019-04-03,22.16,22.549999,22.09,22.280001,22.280001,1869400,0.0,0.0
2019-04-04,22.23,22.42,21.709999,21.9,21.9,2329900,0.0,0.0
2019-04-05,22.02,22.1,21.82,21.950001,21.950001,1970300,0.0,0.0
2019-04-08,21.790001,22.379999,21.59,22.139999,22.139999,1885500,0.0,0.0
2019-04-09,21.98,22.16,21.780001,21.940001,21.940001,2380000,0.0,0.0
2019-04-10,21.959999,22.33,21.940001,22.280001,22.280001,1614900,0.0,0.0
2019-04-11,22.280001,22.440001,22.030001,22.08,22.08,1033000,0.0,0.0
2019-04-12,22.200001,22.405001,21.959999,22.34,22.34,1929700,0.0,0.0
2019-04-15,22.290001,22.530001,22.110001,22.15,22.15,1003900,0.0,0.0
2019-04-16,22.25,22.346001,21.68,21.799999,21.799999,1795000,0.0,0.0
2019-04-17,21.91,21.979,21.040001,21.15,21.15,4526800,0.0,0.0
2019-04-18,21.15,21.34,20.6,21.25,21.25,2141200,0.0,0.0
2019-04-22,21.059999,23.344999,21.059999,23.16,23.16,7393600,0.0,0.0
2019-04-23,22.790001,23.450001,21.969999,23.33,23.33,5649000,0.0,0.0
2019-04-24,23.309999,23.761,23.25,23.4,23.4,3822700,0.0,0.0
2019-04-25,23.43,24.049999,23.32,23.65,23.65,4025600,0.0,0.0
2019-04-26,23.559999,24.389999,23.559999,24.35,24.35,18865700,0.0,0.0
2019-04-29,24.4,24.65,24.25,24.41,24.41,4458500,0.0,0.0
2019-04-30,24.42,24.629999,24.1,24.379999,24.379999,3224300,0.0,0.0
2019-05-01,24.5,24.5,23.879999,23.9,23.9,2059100,0.0,0.0
2019-05-02,23.950001,24.120001,23.51,23.969999,23.969999,3039900,0.0,0.0
2019-05-03,24.0,24.5,23.879999,24.42,24.42,2733700,0.0,0.0
2019-05-06,23.799999,24.299999,23.57,24.16,24.16,3665100,0.0,0.0
2019-05-07,23.98,24.139999,23.33,23.59,23.59,2747100,0.0,0.0
2019-05-08,23.639999,24.15,23.51,23.67,23.67,2157600,0.0,0.0
2019-05-09,23.33,23.459999,22.84,23.23,23.23,6706400,0.0,0.0
2019-05-10,24.790001,24.790001,22.6,23.5,23.5,9323300,0.0,0.0
2019-05-13,22.4,22.709999,21.57,21.68,21.68,4746500,0.0,0.0
2019-05-14,21.860001,22.35,21.860001,22.190001,22.190001,4144600,0.0,0.0
2019-05-15,21.889999,23.18,21.854,22.809999,22.809999,4252200,0.0,0.0
2019-05-16,22.82,23.75,22.790001,23.52,23.52,4173000,0.0,0.0
2019-05-17,23.07,23.450001,22.85,23.0,23.0,2931200,0.0,0.0
2019-05-20,22.459999,23.485001,22.450001,23.139999,23.139999,2485900,0.0,0.0
2019-05-21,23.450001,23.68,23.139999,23.200001,23.200001,2507500,0.0,0.0
2019-05-22,23.280001,23.629999,23.129999,23.209999,23.209999,2229200,0.0,0.0
2019-05-23,22.75,23.040001,22.360001,22.559999,22.559999,2583200,0.0,0.0
2019-05-24,22.690001,22.879999,22.4,22.6,22.6,2136300,0.0,0.0
2019-05-28,22.780001,23.35,22.450001,22.65,22.65,10821500,0.0,0.0
2019-05-29,22.450001,22.74,22.25,22.620001,22.620001,2399400,0.0,0.0
2019-05-30,22.6,22.950001,22.25,22.379999,22.379999,1975600,0.0,0.0
2019-05-31,22.035,22.82,21.954,22.559999,22.559999,3562600,0.0,0.0
2019-06-03,22.700001,23.0,22.264999,22.33,22.33,4396300,0.0,0.0
2019-06-04,22.34,22.35,21.0,21.870001,21.870001,6103600,0.0,0.0
2019-06-05,22.129999,22.959999,21.9,22.879999,22.879999,6698600,0.0,0.0
2019-06-06,22.530001,22.92,22.120001,22.84,22.84,4258600,0.0,0.0
2019-06-07,22.889999,23.389999,22.83,23.030001,23.030001,4412200,0.0,0.0
2019-06-10,22.9,23.01,22.209999,22.74,22.74,4863200,0.0,0.0
2019-06-11,22.98,23.059999,22.4,22.68,22.68,3300300,0.0,0.0
2019-06-12,22.790001,23.18,22.65,23.030001,23.030001,4022400,0.0,0.0
2019-06-13,23.129999,24.165001,23.049999,24.049999,24.049999,7969500,0.0,0.0
2019-06-14,23.690001,24.0,23.219999,23.459999,23.459999,4540100,0.0,0.0
2019-06-17,23.549999,24.059999,23.440001,23.540001,23.540001,4466200,0.0,0.0
2019-06-18,23.889999,24.049999,23.629999,23.84,23.84,3643500,0.0,0.0
2019-06-19,24.0,24.209999,23.889999,24.200001,24.200001,3929200,0.0,0.0
2019-06-20,24.200001,24.52,23.9,24.52,24.52,5767200,0.0,0.0
2019-06-21,24.27,25.18,24.215,25.01,25.01,13559800,0.0,0.0
2019-06-24,25.1,25.42,24.715,24.799999,24.799999,5463500,0.0,0.0
2019-06-25,25.0,25.0,23.924999,23.969999,23.969999,5583200,0.0,0.0
2019-06-26,24.200001,24.76,24.16,24.620001,24.620001,6385400,0.0,0.0
2019-06-27,24.709999,25.24,24.68,24.950001,24.950001,5424500,0.0,0.0
2019-06-28,24.889999,25.065001,24.24,25.049999,25.049999,17831900,0.0,0.0
2019-07-01,25.309999,25.415001,24.934999,25.01,25.01,4195100,0.0,0.0
2019-07-02,25.0,25.09,24.639999,25.0,25.0,3702200,0.0,0.0
