Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-08-31,18.0,18.5,17.51,17.75,17.75,3816900,0.0,0.0
2021-09-01,17.75,18.450001,17.549999,17.870001,17.870001,500500,0.0,0.0
2021-09-02,17.99,18.0,16.65,16.75,16.75,575500,0.0,0.0
2021-09-03,16.65,16.65,16.049999,16.15,16.15,266800,0.0,0.0
2021-09-07,16.620001,16.620001,16.030001,16.1,16.1,79500,0.0,0.0
2021-09-08,16.1,16.32,15.4,15.5,15.5,313200,0.0,0.0
2021-09-09,15.5,15.85,15.43,15.5,15.5,138900,0.0,0.0
2021-09-10,15.7,16.209999,15.51,16.1,16.1,97500,0.0,0.0
2021-09-13,17.25,17.9,16.4,17.620001,17.620001,665500,0.0,0.0
2021-09-14,17.25,17.875,17.02,17.02,17.02,100000,0.0,0.0
2021-09-15,17.07,17.57,17.030001,17.15,17.15,157300,0.0,0.0
2021-09-16,17.559999,17.700001,17.200001,17.299999,17.299999,165100,0.0,0.0
2021-09-17,17.4,17.719999,17.26,17.620001,17.620001,72700,0.0,0.0
2021-09-20,17.620001,17.620001,17.1,17.16,17.16,120800,0.0,0.0
2021-09-21,17.200001,17.389999,17.08,17.15,17.15,84900,0.0,0.0
2021-09-22,17.15,17.305,17.15,17.16,17.16,52000,0.0,0.0
2021-09-23,17.209999,17.52,17.17,17.469999,17.469999,297900,0.0,0.0
2021-09-24,17.360001,17.780001,17.360001,17.530001,17.530001,43200,0.0,0.0
2021-09-27,17.799999,17.799999,17.32,17.5,17.5,276400,0.0,0.0
2021-09-28,17.49,17.757999,17.32,17.620001,17.620001,203200,0.0,0.0
2021-09-29,17.5,17.75,17.5,17.620001,17.620001,95900,0.0,0.0
2021-09-30,17.700001,17.780001,17.5,17.610001,17.610001,98000,0.0,0.0
2021-10-01,17.610001,17.65,17.41,17.57,17.57,73500,0.0,0.0
2021-10-04,17.76,17.76,17.031,17.52,17.52,42500,0.0,0.0
2021-10-05,17.85,17.85,17.486,17.59,17.59,26700,0.0,0.0
2021-10-06,17.67,17.84,17.32,17.459999,17.459999,17800,0.0,0.0
2021-10-07,17.59,17.879999,17.334999,17.620001,17.620001,185100,0.0,0.0
2021-10-08,17.719999,17.719999,17.43,17.620001,17.620001,134800,0.0,0.0
2021-10-11,17.620001,17.82,17.450001,17.450001,17.450001,27300,0.0,0.0
2021-10-12,17.523001,17.629999,17.5,17.5,17.5,10100,0.0,0.0
2021-10-13,17.6,17.719999,17.43,17.530001,17.530001,10800,0.0,0.0
2021-10-14,17.620001,17.620001,17.468,17.6,17.6,12200,0.0,0.0
2021-10-15,17.6,17.6,17.48,17.540001,17.540001,19800,0.0,0.0
2021-10-18,17.549999,17.549999,17.469999,17.5,17.5,11000,0.0,0.0
2021-10-19,17.478001,17.84,17.459999,17.52,17.52,74800,0.0,0.0
2021-10-20,17.610001,17.610001,17.120001,17.35,17.35,30200,0.0,0.0
2021-10-21,17.360001,17.549999,15.99,16.280001,16.280001,30300,0.0,0.0
2021-10-22,16.5,17.4,16.5,17.389999,17.389999,50400,0.0,0.0
2021-10-25,17.379999,17.65,17.0,17.1,17.1,34600,0.0,0.0
2021-10-26,17.1,17.5,17.1,17.32,17.32,6000,0.0,0.0
2021-10-27,17.139999,17.15,16.65,16.9,16.9,63400,0.0,0.0
2021-10-28,16.27,16.860001,16.17,16.35,16.35,118300,0.0,0.0
2021-10-29,16.736,16.736,16.184999,16.25,16.25,15000,0.0,0.0
2021-11-01,16.370001,16.790001,16.370001,16.790001,16.790001,18200,0.0,0.0
2021-11-02,16.719999,16.719999,16.0,16.129999,16.129999,37400,0.0,0.0
2021-11-03,16.139999,16.459999,16.0,16.450001,16.450001,38800,0.0,0.0
2021-11-04,16.120001,16.4,16.120001,16.370001,16.370001,13300,0.0,0.0
2021-11-05,16.51,16.51,16.110001,16.23,16.23,6600,0.0,0.0
2021-11-08,16.389999,16.610001,16.309999,16.469999,16.469999,17000,0.0,0.0
2021-11-09,16.469999,16.469999,16.0,16.02,16.02,15900,0.0,0.0
2021-11-10,16.33,16.33,16.0,16.0,16.0,35700,0.0,0.0
2021-11-11,16.0,16.43,16.0,16.25,16.25,67800,0.0,0.0
2021-11-12,16.23,16.9,16.23,16.639999,16.639999,14700,0.0,0.0
2021-11-15,16.937,17.299,16.65,17.059999,17.059999,31100,0.0,0.0
2021-11-16,16.959999,16.959999,16.73,16.74,16.74,12700,0.0,0.0
2021-11-17,16.332001,17.059999,16.332001,16.969999,16.969999,14100,0.0,0.0
2021-11-18,16.690001,17.173,16.43,16.440001,16.440001,8300,0.0,0.0
2021-11-19,16.48,16.48,15.134,16.18,16.18,57800,0.0,0.0
2021-11-22,15.79,16.26,15.615,15.94,15.94,15500,0.0,0.0
2021-11-23,15.92,16.559999,15.75,15.75,15.75,9200,0.0,0.0
2021-11-24,16.1,16.514999,15.71,15.99,15.99,11400,0.0,0.0
2021-11-26,15.7,15.98,15.6,15.61,15.61,4600,0.0,0.0
2021-11-29,16.32,16.32,15.6,16.0,16.0,10700,0.0,0.0
2021-11-30,15.64,15.862,15.51,15.73,15.73,14900,0.0,0.0
2021-12-01,15.73,16.15,15.61,15.68,15.68,6100,0.0,0.0
2021-12-02,15.991,15.991,15.51,15.77,15.77,7700,0.0,0.0
2021-12-03,15.89,15.89,15.5,15.5,15.5,33600,0.0,0.0
2021-12-06,15.745,15.99,15.5,15.99,15.99,19900,0.0,0.0
2021-12-07,15.94,16.0,15.45,15.47,15.47,28900,0.0,0.0
2021-12-08,15.5,15.5,15.35,15.45,15.45,17000,0.0,0.0
2021-12-09,15.45,15.462,15.25,15.34,15.34,48500,0.0,0.0
2021-12-10,15.32,15.32,15.15,15.2,15.2,27900,0.0,0.0
2021-12-13,15.29,15.29,15.02,15.02,15.02,42300,0.0,0.0
2021-12-14,15.14,15.14,14.85,14.9,14.9,40600,0.0,0.0
2021-12-15,14.85,15.1,14.75,15.01,15.01,46700,0.0,0.0
2021-12-16,14.794,15.21,14.75,15.01,15.01,46400,0.0,0.0
2021-12-17,14.87,14.9,14.7,14.75,14.75,27100,0.0,0.0
2021-12-20,14.75,14.934,14.55,14.55,14.55,37200,0.0,0.0
