Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1985-05-23,4.781421,5.009107,4.781421,4.838342,0.336996,3920299,0.0,0.0
1985-05-24,4.838342,4.866803,4.781421,4.838342,0.336996,682517,0.0,0.0
1985-05-28,4.838342,4.923725,4.838342,4.923725,0.342943,639036,0.0,0.0
1985-05-29,4.952186,4.980647,4.952186,4.980647,0.346908,297778,0.0,0.0
1985-05-30,4.980647,4.980647,4.952186,4.980647,0.346908,252540,0.0,0.0
1985-05-31,4.980647,4.980647,4.923725,4.952186,0.344925,56218,0.0,0.0
1985-06-03,4.980647,5.151412,4.980647,5.151412,0.358801,471701,0.0,0.0
1985-06-04,5.151412,5.265255,5.122951,5.151412,0.358801,484877,0.0,0.0
1985-06-05,5.151412,5.208333,5.122951,5.151412,0.358801,284602,0.0,0.0
1985-06-06,5.151412,5.236794,5.122951,5.236794,0.364749,123415,0.0,0.0
1985-06-07,5.265255,5.350638,5.265255,5.265255,0.366731,159869,0.0,0.0
1985-06-10,5.265255,5.293716,5.236794,5.236794,0.364749,190174,0.0,0.0
1985-06-11,5.236794,5.293716,5.236794,5.265255,0.366731,141422,0.0,0.0
1985-06-12,5.265255,5.293716,5.236794,5.236794,0.364749,108482,0.0,0.0
1985-06-13,5.236794,5.265255,5.179872,5.208333,0.362766,132199,0.0,0.0
1985-06-14,5.179872,5.179872,5.009107,5.066029,0.352854,140983,0.0,0.0
1985-06-17,5.066029,5.066029,4.952186,4.952186,0.344925,134834,0.0,0.0
1985-06-18,4.952186,5.009107,4.952186,5.009107,0.34889,145814,0.0,0.0
1985-06-19,5.009107,5.236794,5.009107,5.179872,0.360784,172166,0.0,0.0
1985-06-20,5.179872,5.179872,5.122951,5.122951,0.356819,31622,0.0,0.0
1985-06-21,5.122951,5.236794,5.122951,5.208333,0.362766,146693,0.0,0.0
1985-06-24,5.208333,5.236794,5.151412,5.151412,0.358801,16250,0.0,0.0
1985-06-25,5.151412,5.179872,5.122951,5.122951,0.356819,34697,0.0,0.0
1985-06-26,5.122951,5.151412,5.122951,5.151412,0.358801,95306,0.0,0.0
1985-06-27,5.151412,5.151412,5.122951,5.122951,0.356819,25474,0.0,0.0
1985-06-28,5.122951,5.179872,5.066029,5.066029,0.352854,43481,0.0,0.0
1985-07-01,5.122951,5.151412,5.122951,5.151412,0.358801,81252,0.0,0.0
1985-07-02,5.151412,5.151412,5.122951,5.151412,0.358801,88279,0.0,0.0
1985-07-03,5.151412,5.151412,5.151412,5.151412,0.358801,22399,0.0,0.0
1985-07-05,5.179872,5.208333,5.179872,5.179872,0.360784,20642,0.0,0.0
1985-07-08,5.179872,5.236794,5.179872,5.208333,0.362766,44359,0.0,0.0
1985-07-09,5.208333,5.236794,5.208333,5.236794,0.364749,22399,0.0,0.0
1985-07-10,5.236794,5.236794,5.151412,5.151412,0.358801,261324,0.0,0.0
1985-07-11,5.179872,5.208333,5.179872,5.179872,0.360784,8345,0.0,0.0
1985-07-12,5.179872,5.208333,5.179872,5.179872,0.360784,13176,0.0,0.0
1985-07-15,5.179872,5.265255,5.179872,5.236794,0.364749,47434,0.0,0.0
1985-07-16,5.236794,5.265255,5.208333,5.208333,0.362766,23717,0.0,0.0
1985-07-17,5.208333,5.236794,5.208333,5.208333,0.362766,24595,0.0,0.0
1985-07-18,5.208333,5.236794,5.179872,5.208333,0.362766,47434,0.0,0.0
1985-07-19,5.208333,5.236794,5.179872,5.179872,0.360784,17568,0.0,0.0
1985-07-22,5.179872,5.179872,5.179872,5.179872,0.360784,6588,0.0,0.0
