Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2011-08-01,20.01,20.059999,20.0,20.059999,5.454725,25000,0.0,0.0
2011-08-02,20.049999,20.049999,20.01,20.049999,5.452006,59700,0.0,0.0
2011-08-03,20.01,20.030001,20.0,20.0,5.438409,71500,0.0,0.0
2011-08-04,20.01,20.049999,20.0,20.0,5.438409,188200,0.0,0.0
2011-08-05,20.01,20.01,20.0,20.0,5.438409,223300,0.0,0.0
2011-08-08,20.0,20.030001,20.0,20.0,5.438409,297600,0.0,0.0
2011-08-09,20.0,20.01,20.0,20.01,5.441128,83400,0.0,0.0
2011-08-10,20.02,20.02,20.0,20.01,5.441128,138100,0.0,0.0
2011-08-11,20.0,20.040001,20.0,20.02,5.443848,169200,0.0,0.0
2011-08-12,20.040001,20.049999,20.0,20.01,5.441128,75300,0.0,0.0
2011-08-15,20.030001,20.030001,20.0,20.0,5.438409,56500,0.0,0.0
2011-08-16,20.02,20.18,20.0,20.17,5.484633,177400,0.0,0.0
2011-08-17,20.1,20.15,20.01,20.01,5.441128,66700,0.0,0.0
2011-08-18,20.02,20.030001,20.0,20.0,5.438409,61100,0.0,0.0
2011-08-19,20.01,20.01,20.0,20.0,5.438409,48600,0.0,0.0
2011-08-22,20.01,20.01,20.0,20.0,5.438409,73800,0.0,0.0
2011-08-23,20.0,20.059999,20.0,20.0,5.438409,121400,0.0,0.0
2011-08-24,20.02,20.02,20.0,20.0,5.438409,42800,0.0,0.0
2011-08-25,20.02,20.049999,20.0,20.0,5.438409,85200,0.0,0.0
2011-08-26,20.0,20.030001,19.99,20.0,5.438409,956300,0.0,0.0
2011-08-29,20.0,20.02,20.0,20.0,5.438409,180900,0.0,0.0
2011-08-30,20.0,20.01,20.0,20.0,5.438409,136600,0.0,0.0
2011-08-31,20.0,20.01,20.0,20.0,5.438409,80300,0.0,0.0
2011-09-01,20.01,20.02,20.0,20.0,5.438409,44500,0.0,0.0
2011-09-02,20.0,20.01,20.0,20.01,5.441128,269500,0.0,0.0
2011-09-06,20.0,20.040001,20.0,20.0,5.438409,347600,0.0,0.0
2011-09-07,20.0,20.030001,19.969999,20.0,5.438409,119200,0.0,0.0
2011-09-08,20.07,20.07,20.0,20.0,5.438409,304800,0.0,0.0
2011-09-09,20.0,20.01,20.0,20.0,5.438409,223700,0.0,0.0
2011-09-12,20.0,20.0,18.75,18.860001,5.12842,576900,0.0,0.0
2011-09-13,18.99,19.040001,18.77,18.889999,5.136578,131200,0.0,0.0
2011-09-14,18.92,19.120001,18.889999,18.969999,5.158332,124000,0.0,0.0
2011-09-15,18.629999,18.83,18.610001,18.799999,5.208198,88800,0.35,0.0
2011-09-16,19.0,19.27,18.889999,19.219999,5.324551,82000,0.0,0.0
2011-09-19,19.049999,19.15,18.9,19.040001,5.274687,81000,0.0,0.0
2011-09-20,18.82,19.190001,18.809999,19.18,5.313468,135200,0.0,0.0
2011-09-21,19.18,19.18,18.91,19.049999,5.277455,72900,0.0,0.0
2011-09-22,18.969999,19.0,18.75,19.0,5.263603,139100,0.0,0.0
2011-09-23,18.91,18.940001,18.15,18.190001,5.039208,120100,0.0,0.0
2011-09-26,18.57,18.57,17.639999,17.690001,4.900693,207800,0.0,0.0
2011-09-27,18.35,18.35,17.219999,17.540001,4.859137,368400,0.0,0.0
2011-09-28,17.52,17.610001,14.68,16.889999,4.679066,526400,0.0,0.0
2011-09-29,17.139999,17.66,17.0,17.549999,4.86191,244100,0.0,0.0
2011-09-30,18.200001,18.200001,17.559999,17.690001,4.900693,196900,0.0,0.0
2011-10-03,17.84,18.049999,17.26,17.43,4.828662,125700,0.0,0.0
2011-10-04,18.129999,18.129999,16.889999,17.01,4.71231,164500,0.0,0.0
2011-10-05,17.040001,18.200001,17.02,17.91,4.961639,118800,0.0,0.0
2011-10-06,17.940001,18.15,17.690001,17.719999,4.909005,78000,0.0,0.0
2011-10-07,17.719999,17.98,17.68,17.780001,4.925626,53300,0.0,0.0
2011-10-10,17.77,18.469999,17.74,17.950001,4.972721,61700,0.0,0.0
2011-10-11,18.049999,18.290001,17.85,18.0,4.986572,65300,0.0,0.0
2011-10-12,18.030001,18.290001,17.83,17.83,4.939476,91000,0.0,0.0
2011-10-13,17.85,18.290001,17.77,18.27,5.06137,69200,0.0,0.0
2011-10-14,18.280001,19.040001,18.08,18.969999,5.255293,84900,0.0,0.0
2011-10-17,18.950001,19.09,18.57,19.0,5.263603,209700,0.0,0.0
2011-10-18,18.98,19.129999,18.77,19.059999,5.280225,211800,0.0,0.0
2011-10-19,19.059999,19.139999,18.860001,19.01,5.266375,144400,0.0,0.0
2011-10-20,19.01,19.23,18.83,19.139999,5.302389,80600,0.0,0.0
2011-10-21,19.209999,19.24,19.0,19.190001,5.316237,60800,0.0,0.0
2011-10-24,19.0,19.25,18.940001,18.99,5.260834,159400,0.0,0.0
2011-10-25,18.889999,18.950001,18.360001,18.440001,5.108466,192400,0.0,0.0
2011-10-26,18.639999,18.799999,18.4,18.639999,5.163874,112300,0.0,0.0
2011-10-27,18.540001,19.110001,18.540001,19.1,5.291307,180000,0.0,0.0
2011-10-28,19.08,19.25,18.99,19.23,5.327322,111500,0.0,0.0
