Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2018-11-30,15.53,15.608,15.53,15.608,15.177958,900,0.0,0.0,0.0
2018-12-03,16.129999,16.129999,15.88,15.88,15.442463,3000,0.0,0.0,0.0
2018-12-04,15.9,15.9,15.53,15.53,15.102106,2000,0.0,0.0,0.0
2018-12-06,15.099,15.43,15.099,15.43,15.004861,2100,0.0,0.0,0.0
2018-12-07,15.59,15.59,15.38,15.38,14.956239,1300,0.0,0.0,0.0
2018-12-10,15.18,15.23,14.94,15.21,14.790923,1800,0.0,0.0,0.0
2018-12-11,15.358,15.358,15.358,15.358,14.934846,1000,0.0,0.0,0.0
2018-12-12,15.37,15.561,15.37,15.529,15.101133,500,0.0,0.0,0.0
2018-12-13,15.44,15.44,15.44,15.44,15.014585,100,0.0,0.0,0.0
2018-12-14,15.44,15.44,15.44,15.44,15.014585,100,0.0,0.0,0.0
2018-12-17,14.71,14.71,14.42,14.42,14.02269,1300,0.0,0.0,0.0
2018-12-18,14.36,14.36,14.23,14.23,13.837922,600,0.0,0.0,0.0
2018-12-19,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2018-12-20,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2018-12-21,13.89,13.89,13.89,13.89,13.507293,0,0.0,0.0,0.0
2018-12-24,13.89,13.89,13.89,13.89,13.507293,0,0.0,0.0,0.0
2018-12-26,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2018-12-27,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2018-12-28,13.89,13.89,13.89,13.89,13.507293,0,0.0,0.0,0.0
2018-12-31,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2019-01-02,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2019-01-03,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2019-01-04,13.89,13.89,13.89,13.89,13.507293,100,0.0,0.0,0.0
2019-01-07,14.709,14.73,14.69,14.73,14.324147,800,0.0,0.0,0.0
2019-01-08,14.86,14.86,14.8,14.8,14.39222,600,0.0,0.0,0.0
2019-01-09,15.05,15.117,15.05,15.117,14.700484,400,0.0,0.0,0.0
2019-01-10,14.823,14.93,14.823,14.93,14.518637,3100,0.0,0.0,0.0
2019-01-11,14.99,14.99,14.99,14.99,14.576984,300,0.0,0.0,0.0
2019-01-14,14.92,14.97,14.916,14.95,14.538087,7000,0.0,0.0,0.0
2019-01-15,15.075,15.16,15.075,15.13,14.713127,1500,0.0,0.0,0.0
2019-01-16,15.2,15.3,15.2,15.3,14.878443,2700,0.0,0.0,0.0
2019-01-17,15.36,15.48,15.32,15.48,15.053483,700,0.0,0.0,0.0
2019-01-18,15.59,15.69,15.59,15.68,15.247972,4300,0.0,0.0,0.0
2019-01-22,15.45,15.45,15.45,15.45,15.024309,400,0.0,0.0,0.0
2019-01-23,15.37,15.37,15.37,15.37,14.946515,1900,0.0,0.0,0.0
2019-01-24,15.58,15.58,15.5,15.57,15.141004,600,0.0,0.0,0.0
2019-01-25,15.751,15.751,15.751,15.751,15.317018,400,0.0,0.0,0.0
2019-01-28,15.682,15.894,15.67,15.894,15.456076,1300,0.0,0.0,0.0
2019-01-29,15.82,15.82,15.792,15.8,15.364666,3800,0.0,0.0,0.0
2019-01-30,16.09,16.09,16.082001,16.082001,15.638897,1100,0.0,0.0,0.0
2019-01-31,16.15,16.15,16.15,16.15,15.705023,500,0.0,0.0,0.0
2019-02-01,16.205,16.235001,16.202999,16.23,15.782819,1500,0.0,0.0,0.0
2019-02-04,16.280001,16.280001,16.280001,16.280001,15.831439,700,0.0,0.0,0.0
2019-02-05,16.530001,16.77,16.530001,16.68,16.220419,2200,0.0,0.0,0.0
2019-02-06,16.506001,16.506001,16.506001,16.506001,16.051214,700,0.0,0.0,0.0
2019-02-07,16.25,16.25,16.059999,16.150999,15.705993,2800,0.0,0.0,0.0
2019-02-08,16.16,16.27,16.16,16.25,15.802268,1200,0.0,0.0,0.0
2019-02-11,16.349001,16.360001,16.299999,16.35,15.899513,31900,0.0,0.0,0.0
2019-02-12,16.499001,16.6,16.499001,16.6,16.142624,3600,0.0,0.0,0.0
2019-02-13,16.52,16.52,16.219999,16.4,15.948134,34300,0.0,0.0,0.0
2019-02-14,16.4,16.41,16.360001,16.360001,15.909237,12400,0.0,0.0,0.0
2019-02-15,16.381001,16.419001,16.360001,16.360001,15.909237,1600,0.0,0.0,0.0
2019-02-19,16.562,16.562,16.459999,16.459999,16.006479,1000,0.0,0.0,0.0
2019-02-20,16.48,16.48,16.48,16.48,16.025928,200,0.0,0.0,0.0
2019-02-21,16.200001,16.200001,16.200001,16.200001,15.753647,200,0.0,0.0,0.0
2019-02-22,16.42,16.42,16.389999,16.389999,15.938411,2100,0.0,0.0,0.0
2019-02-25,16.731001,16.799999,16.690001,16.690001,16.230143,1700,0.0,0.0,0.0
2019-02-26,16.870001,17.049,16.870001,16.969999,16.502428,2600,0.0,0.0,0.0
2019-02-27,17.1,17.334,17.1,17.26,16.784439,5100,0.0,0.0,0.0
2019-02-28,17.26,17.26,17.1,17.1,16.628847,9700,0.0,0.0,0.0
2019-03-01,17.25,17.25,17.146999,17.146999,16.674551,3200,0.0,0.0,0.0
2019-03-04,17.27,17.27,17.07,17.07,16.599672,1300,0.0,0.0,0.0
2019-03-05,17.49,17.49,17.459999,17.459999,16.97893,6500,0.0,0.0,0.0
2019-03-06,17.559999,17.559999,17.257999,17.257999,16.782494,1700,0.0,0.0,0.0
2019-03-07,17.091,17.091,16.84,16.868999,16.404213,1000,0.0,0.0,0.0
2019-03-08,16.58,16.75,16.58,16.73,16.269041,1200,0.0,0.0,0.0
