Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1986-07-18,9.75,9.875,9.75,9.75,1.267194,407400,0.0,0.0
1986-07-21,9.75,9.875,9.75,9.75,1.267194,185300,0.0,0.0
1986-07-22,9.75,9.75,9.625,9.625,1.250948,69300,0.0,0.0
1986-07-23,9.625,9.75,9.625,9.75,1.267194,111100,0.0,0.0
1986-07-24,9.75,9.75,9.625,9.625,1.250948,38400,0.0,0.0
1986-07-25,9.625,10.0,9.625,10.0,1.299687,61100,0.0,0.0
1986-07-28,9.875,9.875,9.75,9.875,1.28344,28400,0.0,0.0
1986-07-29,9.75,9.75,9.625,9.75,1.267194,51500,0.0,0.0
1986-07-30,9.625,9.625,9.625,9.625,1.250948,22100,0.0,0.0
1986-07-31,9.625,9.625,9.5,9.625,1.250948,27200,0.0,0.0
1986-08-01,9.625,9.625,9.5,9.5,1.234702,4700,0.0,0.0
1986-08-04,9.5,9.625,9.5,9.5,1.234702,13900,0.0,0.0
1986-08-05,9.5,9.5,9.5,9.5,1.234702,17700,0.0,0.0
1986-08-06,9.5,9.5,9.375,9.5,1.234702,15700,0.0,0.0
1986-08-07,9.5,9.5,9.375,9.375,1.218455,6800,0.0,0.0
1986-08-08,9.375,9.375,9.25,9.375,1.218455,29300,0.0,0.0
1986-08-11,9.375,9.625,9.375,9.5,1.234702,18400,0.0,0.0
1986-08-12,9.75,9.875,9.75,9.75,1.267194,42400,0.0,0.0
1986-08-13,9.875,10.375,9.875,10.0,1.299687,56900,0.0,0.0
1986-08-14,10.0,10.5,10.0,10.0,1.299687,80400,0.0,0.0
1986-08-15,10.375,10.875,10.375,10.375,1.348425,57000,0.0,0.0
1986-08-18,10.375,10.75,9.875,10.125,1.315932,83500,0.0,0.0
1986-08-19,10.125,10.25,10.0,10.0,1.299687,47800,0.0,0.0
1986-08-20,10.0,10.0,9.75,10.0,1.299687,59900,0.0,0.0
1986-08-21,10.0,10.375,9.75,10.375,1.348425,23600,0.0,0.0
1986-08-22,10.375,10.75,10.375,10.75,1.397163,118900,0.0,0.0
1986-08-25,10.875,11.125,10.875,11.0,1.429654,118200,0.0,0.0
1986-08-26,11.0,11.125,10.875,11.0,1.429654,100500,0.0,0.0
1986-08-27,11.0,11.0,10.625,11.0,1.429654,162300,0.0,0.0
1986-08-28,10.75,10.75,10.5,10.75,1.397163,61400,0.0,0.0
1986-08-29,10.75,10.75,10.375,10.625,1.380916,79400,0.0,0.0
1986-09-02,10.75,11.0,10.75,11.0,1.429654,57200,0.0,0.0
1986-09-03,10.875,10.875,10.25,10.875,1.413409,73500,0.0,0.0
1986-09-04,10.875,11.0,10.5,11.0,1.429654,39600,0.0,0.0
1986-09-05,11.0,11.0,10.5,10.625,1.380916,55400,0.0,0.0
1986-09-08,10.625,10.625,10.375,10.625,1.380916,35300,0.0,0.0
1986-09-09,10.5,10.5,10.375,10.5,1.36467,29400,0.0,0.0
1986-09-10,10.5,10.5,10.375,10.375,1.348425,26500,0.0,0.0
1986-09-11,10.375,10.875,10.25,10.5,1.36467,88500,0.0,0.0
1986-09-12,10.5,10.625,10.375,10.625,1.380916,62400,0.0,0.0
1986-09-15,10.625,10.625,10.25,10.625,1.380916,53900,0.0,0.0
1986-09-16,10.5,10.5,10.125,10.5,1.36467,49700,0.0,0.0
1986-09-17,10.375,10.375,10.125,10.375,1.348425,48600,0.0,0.0
1986-09-18,10.375,10.75,10.125,10.75,1.397163,57800,0.0,0.0
1986-09-19,10.75,10.75,10.5,10.75,1.397163,40600,0.0,0.0
1986-09-22,10.625,10.625,10.375,10.5,1.36467,39800,0.0,0.0
1986-09-23,10.5,10.625,10.375,10.625,1.380916,57900,0.0,0.0
1986-09-24,10.375,10.375,10.125,10.375,1.348425,26100,0.0,0.0
1986-09-25,10.375,11.0,10.25,10.625,1.380916,71000,0.0,0.0
1986-09-26,10.5,10.5,10.125,10.5,1.36467,36600,0.0,0.0
1986-09-29,10.375,10.375,10.125,10.125,1.315932,13100,0.0,0.0
1986-09-30,10.125,10.25,10.125,10.25,1.332178,14100,0.0,0.0
1986-10-01,10.25,10.25,10.125,10.25,1.332178,5900,0.0,0.0
1986-10-02,10.25,10.25,10.0,10.125,1.315932,20500,0.0,0.0
1986-10-03,10.125,10.125,10.0,10.125,1.315932,9200,0.0,0.0
1986-10-06,10.125,10.25,10.0,10.25,1.332178,18900,0.0,0.0
1986-10-07,10.25,10.5,10.25,10.375,1.348425,32400,0.0,0.0
1986-10-08,10.375,10.875,10.375,10.875,1.413409,43600,0.0,0.0
1986-10-09,10.75,10.75,10.5,10.5,1.36467,10400,0.0,0.0
1986-10-10,10.5,10.625,10.25,10.25,1.332178,4700,0.0,0.0
1986-10-13,10.25,10.25,10.125,10.125,1.315932,12200,0.0,0.0
1986-10-14,10.125,10.125,10.0,10.125,1.315932,21800,0.0,0.0
1986-10-15,10.0,10.0,9.875,9.875,1.28344,6500,0.0,0.0
1986-10-16,9.875,9.875,9.625,9.875,1.28344,17400,0.0,0.0
1986-10-17,9.875,10.0,9.875,9.875,1.28344,4500,0.0,0.0
1986-10-20,9.875,10.125,9.625,10.125,1.315932,20300,0.0,0.0
1986-10-21,10.0,10.0,9.75,9.75,1.267194,18200,0.0,0.0
1986-10-22,9.75,9.875,9.625,9.75,1.267194,8200,0.0,0.0
1986-10-23,9.75,9.875,9.625,9.625,1.250948,16400,0.0,0.0
1986-10-24,9.5,9.5,9.125,9.125,1.185964,28000,0.0,0.0
1986-10-27,9.125,9.25,9.0,9.25,1.20221,19100,0.0,0.0
1986-10-28,9.25,9.375,9.0,9.125,1.185964,11400,0.0,0.0
1986-10-29,9.125,9.375,9.125,9.375,1.218455,9100,0.0,0.0
1986-10-30,9.375,9.5,9.25,9.5,1.234702,8500,0.0,0.0
1986-10-31,9.5,9.5,9.125,9.375,1.218455,18400,0.0,0.0
1986-11-03,9.375,9.625,9.375,9.625,1.250948,10100,0.0,0.0
1986-11-04,9.5,9.5,9.375,9.375,1.218455,4600,0.0,0.0
1986-11-05,9.25,9.25,9.125,9.125,1.185964,22400,0.0,0.0
1986-11-06,9.125,9.625,9.125,9.5,1.234702,15700,0.0,0.0
1986-11-07,9.375,9.375,9.25,9.375,1.218455,11100,0.0,0.0
1986-11-10,9.375,9.5,9.25,9.5,1.234702,19000,0.0,0.0
1986-11-11,9.375,9.375,9.25,9.375,1.218455,14200,0.0,0.0
1986-11-12,9.375,9.375,9.25,9.25,1.20221,16900,0.0,0.0
1986-11-13,9.25,9.375,9.25,9.25,1.20221,8800,0.0,0.0
1986-11-14,9.25,9.625,9.25,9.5,1.234702,19300,0.0,0.0
1986-11-17,9.5,9.5,9.375,9.375,1.218455,13500,0.0,0.0
1986-11-18,9.375,9.375,9.25,9.375,1.218455,18900,0.0,0.0
1986-11-19,9.375,9.375,9.125,9.25,1.20221,34200,0.0,0.0
1986-11-20,9.25,9.25,9.0,9.0,1.169717,19400,0.0,0.0
1986-11-21,9.0,9.25,9.0,9.25,1.20221,6900,0.0,0.0
1986-11-24,9.25,9.375,9.125,9.375,1.218455,20500,0.0,0.0
1986-11-25,9.375,9.375,9.25,9.375,1.218455,11800,0.0,0.0
1986-11-26,9.375,9.75,9.25,9.75,1.267194,33100,0.0,0.0
1986-11-28,9.75,9.75,9.375,9.75,1.267194,24100,0.0,0.0
1986-12-01,9.75,9.75,9.375,9.625,1.250948,26300,0.0,0.0
1986-12-02,9.625,9.625,9.375,9.5,1.234702,13000,0.0,0.0
1986-12-03,9.5,9.5,9.375,9.5,1.234702,10400,0.0,0.0
1986-12-04,9.5,9.5,9.375,9.375,1.218455,9600,0.0,0.0
1986-12-05,9.375,9.5,9.375,9.5,1.234702,9100,0.0,0.0
1986-12-08,9.5,9.625,9.25,9.375,1.218455,27700,0.0,0.0
1986-12-09,9.375,9.375,9.25,9.375,1.218455,17300,0.0,0.0
1986-12-10,9.375,9.5,9.25,9.25,1.20221,12700,0.0,0.0
1986-12-11,9.25,9.375,9.25,9.375,1.218455,12900,0.0,0.0
1986-12-12,9.25,9.25,9.125,9.25,1.20221,17600,0.0,0.0
1986-12-15,9.25,9.375,9.125,9.375,1.218455,14700,0.0,0.0
1986-12-16,9.375,9.375,9.125,9.25,1.20221,23400,0.0,0.0
1986-12-17,9.25,9.25,9.125,9.25,1.20221,21800,0.0,0.0
1986-12-18,9.25,9.25,9.125,9.125,1.185964,13100,0.0,0.0
1986-12-19,9.125,9.125,9.0,9.125,1.185964,16400,0.0,0.0
1986-12-22,9.125,9.125,9.0,9.125,1.185964,24200,0.0,0.0
1986-12-23,9.125,9.125,8.875,9.0,1.169717,34300,0.0,0.0
1986-12-24,9.0,9.125,8.875,9.0,1.169717,13800,0.0,0.0
1986-12-26,9.0,9.125,8.875,9.125,1.185964,7800,0.0,0.0
1986-12-29,9.125,9.625,9.0,9.625,1.250948,28800,0.0,0.0
1986-12-30,9.625,9.75,9.5,9.75,1.267194,32000,0.0,0.0
1986-12-31,9.75,10.125,9.75,10.125,1.315932,27800,0.0,0.0
1987-01-02,10.125,10.5,10.0,10.375,1.348425,31500,0.0,0.0
1987-01-05,10.375,10.5,10.125,10.375,1.348425,66900,0.0,0.0
1987-01-06,10.375,10.375,10.125,10.25,1.332178,36900,0.0,0.0
1987-01-07,10.25,10.25,10.0,10.0,1.299687,47700,0.0,0.0
1987-01-08,10.0,10.125,9.75,10.0,1.299687,24400,0.0,0.0
1987-01-09,9.875,9.875,9.75,9.875,1.28344,34000,0.0,0.0
1987-01-12,9.875,10.0,9.75,10.0,1.299687,28700,0.0,0.0
1987-01-13,10.0,10.25,9.875,10.0,1.299687,35200,0.0,0.0
1987-01-14,10.0,10.125,9.875,10.0,1.299687,46000,0.0,0.0
1987-01-15,10.0,10.5,10.0,10.5,1.36467,72900,0.0,0.0
1987-01-16,10.5,10.625,10.375,10.375,1.348425,114400,0.0,0.0
1987-01-19,10.375,10.5,10.25,10.5,1.36467,53000,0.0,0.0
1987-01-20,10.5,10.625,10.25,10.5,1.36467,59300,0.0,0.0
1987-01-21,10.5,10.5,10.125,10.375,1.348425,40500,0.0,0.0
1987-01-22,10.375,10.5,10.125,10.25,1.332178,30400,0.0,0.0
1987-01-23,10.25,10.625,10.125,10.25,1.332178,51900,0.0,0.0
1987-01-26,10.25,10.25,9.875,10.125,1.315932,32300,0.0,0.0
1987-01-27,10.125,10.375,10.125,10.375,1.348425,42800,0.0,0.0
1987-01-28,10.25,10.25,10.0,10.0,1.299687,50300,0.0,0.0
1987-01-29,10.0,10.125,9.75,9.75,1.267194,22900,0.0,0.0
1987-01-30,9.75,10.125,9.75,10.0,1.299687,48000,0.0,0.0
1987-02-02,10.0,10.25,9.75,10.0,1.299687,37700,0.0,0.0
1987-02-03,10.0,10.0,9.875,10.0,1.299687,31500,0.0,0.0
1987-02-04,10.0,10.0,9.75,9.75,1.267194,26900,0.0,0.0
1987-02-05,9.75,9.875,9.375,9.5,1.234702,44700,0.0,0.0
1987-02-06,9.5,9.75,9.375,9.5,1.234702,45800,0.0,0.0
1987-02-09,9.5,9.625,9.25,9.5,1.234702,20900,0.0,0.0
1987-02-10,9.5,9.5,9.25,9.375,1.218455,14100,0.0,0.0
1987-02-11,9.375,9.5,9.25,9.375,1.218455,20200,0.0,0.0
1987-02-12,9.375,9.5,9.125,9.125,1.185964,34600,0.0,0.0
1987-02-13,9.125,9.25,9.125,9.25,1.20221,22400,0.0,0.0
1987-02-17,9.25,9.375,9.0,9.375,1.218455,39100,0.0,0.0
1987-02-18,9.375,9.5,9.0,9.25,1.20221,28700,0.0,0.0
1987-02-19,9.25,9.625,9.125,9.625,1.250948,42200,0.0,0.0
1987-02-20,9.625,9.875,9.5,9.75,1.267194,52400,0.0,0.0
1987-02-23,9.875,10.25,9.875,9.875,1.28344,88700,0.0,0.0
1987-02-24,9.875,9.875,9.5,9.75,1.267194,38200,0.0,0.0
1987-02-25,9.75,9.75,9.5,9.5,1.234702,18100,0.0,0.0
1987-02-26,9.5,9.75,9.5,9.625,1.250948,28600,0.0,0.0
1987-02-27,9.625,9.75,9.5,9.75,1.267194,25800,0.0,0.0
