Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-11-25,20.0,20.01,20.0,20.0,3.596315,338400,0.0,0.0
2003-11-26,20.0,20.01,20.0,20.01,3.598113,34400,0.0,0.0
2003-11-28,20.0,20.040001,20.0,20.040001,3.603506,9800,0.0,0.0
2003-12-01,20.02,20.02,20.0,20.01,3.598113,39600,0.0,0.0
2003-12-02,20.0,20.01,20.0,20.0,3.596315,40300,0.0,0.0
2003-12-03,20.0,20.01,20.0,20.0,3.596315,28700,0.0,0.0
2003-12-04,20.01,20.01,20.0,20.01,3.598113,40200,0.0,0.0
2003-12-05,20.0,20.01,20.0,20.01,3.598113,48100,0.0,0.0
2003-12-08,20.0,20.049999,20.0,20.02,3.599911,44100,0.0,0.0
2003-12-09,20.030001,20.08,20.0,20.040001,3.603506,50000,0.0,0.0
2003-12-10,20.01,20.09,20.0,20.040001,3.603506,67900,0.0,0.0
2003-12-11,20.01,20.07,20.0,20.049999,3.605307,41900,0.0,0.0
2003-12-12,20.01,20.139999,20.0,20.129999,3.619688,35500,0.0,0.0
2003-12-15,20.040001,20.1,20.0,20.0,3.596315,74700,0.0,0.0
2003-12-16,20.0,20.07,20.0,20.049999,3.605307,34500,0.0,0.0
2003-12-17,20.0,20.08,20.0,20.030001,3.601711,21200,0.0,0.0
2003-12-18,20.08,20.08,20.0,20.030001,3.601711,31700,0.0,0.0
2003-12-19,20.059999,20.059999,20.0,20.01,3.598113,27600,0.0,0.0
2003-12-22,20.01,20.07,20.0,20.0,3.596315,36700,0.0,0.0
2003-12-23,20.08,20.09,20.02,20.08,3.610699,29300,0.0,0.0
2003-12-24,20.08,20.08,20.0,20.01,3.598113,27900,0.0,0.0
2003-12-26,20.01,20.01,19.92,19.950001,3.603167,33100,0.088,0.0
2003-12-29,19.98,19.99,19.629999,19.77,3.570661,113200,0.0,0.0
2003-12-30,19.719999,19.879999,19.620001,19.75,3.567048,82300,0.0,0.0
2003-12-31,19.75,19.809999,19.65,19.65,3.548985,40600,0.0,0.0
2004-01-02,19.620001,19.75,19.540001,19.75,3.567048,65700,0.0,0.0
2004-01-05,19.6,19.73,19.530001,19.700001,3.558016,44100,0.0,0.0
2004-01-06,19.65,19.700001,19.530001,19.6,3.539957,35600,0.0,0.0
2004-01-07,19.530001,19.59,19.280001,19.450001,3.512864,122100,0.0,0.0
2004-01-08,19.42,19.870001,19.41,19.700001,3.558016,104200,0.0,0.0
2004-01-09,19.700001,19.75,19.42,19.74,3.565243,36300,0.0,0.0
2004-01-12,19.52,19.799999,19.51,19.559999,3.53273,72000,0.0,0.0
