Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-08-08,4.0,4.9,3.88,4.88,4.88,2953000,0.0,0.0
2025-08-11,4.79,4.94,4.67,4.75,4.75,863600,0.0,0.0
2025-08-12,4.7,5.1,4.7,5.0,5.0,1195800,0.0,0.0
2025-08-13,5.08,5.7,4.92,5.69,5.69,1162000,0.0,0.0
2025-08-14,5.43,5.69,5.21,5.48,5.48,535000,0.0,0.0
2025-08-15,5.48,6.35,5.48,6.35,6.35,895600,0.0,0.0
2025-08-18,6.05,6.578,5.85,6.37,6.37,506600,0.0,0.0
2025-08-19,6.45,6.79,6.45,6.6,6.6,420600,0.0,0.0
2025-08-20,6.55,6.82,6.3,6.6,6.6,176900,0.0,0.0
2025-08-21,6.69,7.09,6.6,7.05,7.05,233100,0.0,0.0
2025-08-22,7.12,7.29,6.89,6.98,6.98,147100,0.0,0.0
2025-08-25,6.98,7.99,6.963,7.74,7.74,237500,0.0,0.0
2025-08-26,7.95,8.49,7.0,7.25,7.25,482100,0.0,0.0
2025-08-27,7.45,7.945,6.49,6.77,6.77,286800,0.0,0.0
2025-08-28,6.88,7.494,4.1,5.71,5.71,485400,0.0,0.0
2025-08-29,5.96,6.79,5.855,6.77,6.77,142100,0.0,0.0
2025-09-02,6.62,7.377,6.55,6.8,6.8,220000,0.0,0.0
2025-09-03,6.7,7.25,6.5,6.64,6.64,176000,0.0,0.0
2025-09-04,6.79,6.8,5.8,6.32,6.32,277600,0.0,0.0
2025-09-05,6.5,6.79,6.31,6.71,6.71,149300,0.0,0.0
2025-09-08,6.71,7.1,6.55,7.09,7.09,157100,0.0,0.0
2025-09-09,6.82,7.46,6.82,7.25,7.25,131500,0.0,0.0
2025-09-10,7.25,7.45,7.01,7.13,7.13,136700,0.0,0.0
2025-09-11,7.01,8.68,6.878,7.88,7.88,1302700,0.0,0.0
2025-09-12,7.56,8.28,7.2,8.07,8.07,824000,0.0,0.0
2025-09-15,7.89,8.89,7.89,8.57,8.57,668500,0.0,0.0
2025-09-16,8.81,9.04,8.16,8.28,8.28,661800,0.0,0.0
2025-09-17,8.38,8.74,8.3,8.72,8.72,276700,0.0,0.0
2025-09-18,8.67,9.43,8.64,9.3,9.3,734800,0.0,0.0
