Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-06-18,8.5,13.34,5.89,6.53,6.53,1510100,0.0,0.0
2025-06-20,6.0,6.325,3.943,4.67,4.67,269300,0.0,0.0
2025-06-23,4.4,4.4,3.525,3.86,3.86,316500,0.0,0.0
2025-06-24,3.88,3.88,2.53,2.98,2.98,831800,0.0,0.0
2025-06-25,2.94,3.85,2.639,3.54,3.54,529300,0.0,0.0
2025-06-26,3.73,4.36,3.08,3.39,3.39,547600,0.0,0.0
2025-06-27,3.27,3.47,3.15,3.47,3.47,303900,0.0,0.0
2025-06-30,3.23,3.59,3.21,3.47,3.47,77600,0.0,0.0
2025-07-01,3.25,3.5,3.25,3.37,3.37,138900,0.0,0.0
2025-07-02,3.355,3.84,3.2,3.7,3.7,609100,0.0,0.0
2025-07-03,3.845,6.98,3.815,5.68,5.68,8831700,0.0,0.0
2025-07-07,4.82,5.31,4.5,4.85,4.85,494400,0.0,0.0
2025-07-08,4.75,6.351,4.51,6.0,6.0,388500,0.0,0.0
2025-07-09,5.75,13.88,5.75,8.77,8.77,2871800,0.0,0.0
2025-07-10,7.94,9.83,7.148,7.6,7.6,313900,0.0,0.0
2025-07-11,7.69,8.007,6.082,6.09,6.09,146400,0.0,0.0
2025-07-14,6.14,6.82,5.72,6.3,6.3,117300,0.0,0.0
2025-07-15,6.4,6.6,6.01,6.02,6.02,53900,0.0,0.0
2025-07-16,6.2,6.94,6.2,6.25,6.25,132000,0.0,0.0
2025-07-17,6.54,6.69,5.51,6.04,6.04,101900,0.0,0.0
2025-07-18,6.12,6.17,6.04,6.14,6.14,20300,0.0,0.0
2025-07-21,6.32,6.578,5.9,6.03,6.03,45700,0.0,0.0
2025-07-22,6.0,6.27,5.83,6.16,6.16,28400,0.0,0.0
2025-07-23,6.2,6.327,5.7,5.86,5.86,40900,0.0,0.0
2025-07-24,5.8,6.32,5.79,5.79,5.79,20700,0.0,0.0
2025-07-25,5.69,5.95,5.51,5.66,5.66,30300,0.0,0.0
2025-07-28,5.71,6.057,5.52,5.71,5.71,26400,0.0,0.0
2025-07-29,5.84,5.87,5.4,5.4,5.4,15200,0.0,0.0
2025-07-30,5.49,5.8,5.21,5.21,5.21,13300,0.0,0.0
2025-07-31,5.37,5.435,5.186,5.2,5.2,77100,0.0,0.0
2025-08-01,5.01,5.02,4.5,4.5,4.5,20900,0.0,0.0
2025-08-04,4.43,5.347,4.43,5.15,5.15,9300,0.0,0.0
2025-08-05,5.2,5.62,4.835,5.62,5.62,83900,0.0,0.0
2025-08-06,5.45,5.5,5.34,5.5,5.5,8300,0.0,0.0
2025-08-07,5.6,5.65,5.4,5.48,5.48,5800,0.0,0.0
2025-08-08,5.49,5.52,5.27,5.3,5.3,7800,0.0,0.0
2025-08-11,5.3,5.38,5.2,5.29,5.29,3800,0.0,0.0
2025-08-12,5.28,5.695,5.152,5.39,5.39,5000,0.0,0.0
2025-08-13,5.933,5.933,5.218,5.67,5.67,7100,0.0,0.0
2025-08-14,5.63,7.8,5.61,7.28,7.28,308000,0.0,0.0
2025-08-15,7.2,7.5,6.01,6.52,6.52,47900,0.0,0.0
2025-08-18,6.57,6.57,6.1,6.15,6.15,5700,0.0,0.0
2025-08-19,6.17,7.24,6.17,6.8,6.8,26700,0.0,0.0
2025-08-20,6.33,6.687,6.33,6.4,6.4,6800,0.0,0.0
2025-08-21,6.35,6.39,5.62,5.85,5.85,7400,0.0,0.0
2025-08-22,6.02,6.195,5.9,6.0,6.0,7300,0.0,0.0
2025-08-25,5.53,6.42,5.53,6.33,6.33,8000,0.0,0.0
2025-08-26,6.46,6.46,5.91,5.91,5.91,8000,0.0,0.0
2025-08-27,5.91,6.0,5.8,5.8,5.8,5500,0.0,0.0
2025-08-28,6.0,6.2,5.83,5.83,5.83,4400,0.0,0.0
2025-08-29,5.98,5.98,5.65,5.65,5.65,3400,0.0,0.0
2025-09-02,5.7,5.9,5.52,5.69,5.69,7300,0.0,0.0
2025-09-03,5.64,5.79,5.53,5.76,5.76,2600,0.0,0.0
2025-09-04,5.76,6.364,5.76,6.01,6.01,9100,0.0,0.0
2025-09-05,6.009,6.11,5.88,6.11,6.11,5000,0.0,0.0
2025-09-08,5.87,6.2,5.83,5.83,5.83,3500,0.0,0.0
2025-09-09,5.589,5.76,5.48,5.51,5.51,2700,0.0,0.0
2025-09-10,5.6,5.85,5.6,5.64,5.64,2500,0.0,0.0
2025-09-11,5.69,6.0,5.661,6.0,6.0,6000,0.0,0.0
2025-09-12,5.93,6.27,5.667,5.71,5.71,16400,0.0,0.0
2025-09-15,6.476,6.49,5.5,5.74,5.74,35100,0.0,0.0
2025-09-16,5.56,6.097,5.5,5.5,5.5,15600,0.0,0.0
2025-09-17,5.74,6.01,5.6,5.6,5.6,56600,0.0,0.0
2025-09-18,5.6,5.93,5.43,5.55,5.55,12600,0.0,0.0
2025-09-19,5.54,5.8,5.54,5.6,5.6,6700,0.0,0.0
2025-09-22,5.67,6.18,5.575,5.93,5.93,18600,0.0,0.0
2025-09-23,5.8,6.1,5.64,5.83,5.83,7700,0.0,0.0
2025-09-24,5.83,6.288,5.6,6.09,6.09,23400,0.0,0.0
2025-09-25,6.0,6.699,6.0,6.38,6.38,35600,0.0,0.0
2025-09-26,6.7,7.4,6.048,7.0,7.0,339000,0.0,0.0
2025-09-29,7.7,8.19,5.56,5.87,5.87,359300,0.0,0.0
2025-09-30,5.81,6.28,5.8,5.8,5.8,31900,0.0,0.0
2025-10-01,5.75,6.17,5.644,6.02,6.02,17400,0.0,0.0
2025-10-02,5.776,5.83,5.63,5.63,5.63,7200,0.0,0.0
2025-10-03,5.82,5.99,5.31,5.31,5.31,232000,0.0,0.0
2025-10-06,5.4,5.97,5.3,5.66,5.66,120800,0.0,0.0
2025-10-07,5.52,5.95,5.52,5.646,5.646,175800,0.0,0.0
2025-10-08,5.61,5.96,5.61,5.78,5.78,70300,0.0,0.0
2025-10-09,5.62,5.675,5.52,5.65,5.65,7100,0.0,0.0
2025-10-10,5.84,5.84,5.4,5.4,5.4,6000,0.0,0.0
2025-10-13,5.45,5.46,5.02,5.19,5.19,14800,0.0,0.0
2025-10-14,5.05,5.33,4.959,5.1,5.1,41000,0.0,0.0
2025-10-15,4.97,5.2,4.39,4.41,4.41,20300,0.0,0.0
2025-10-16,4.616,4.65,3.74,3.93,3.93,29100,0.0,0.0
2025-10-17,3.77,4.2,3.63,3.63,3.63,32100,0.0,0.0
2025-10-20,3.75,3.75,3.334,3.38,3.38,8800,0.0,0.0
2025-10-21,3.37,3.69,3.26,3.5,3.5,7200,0.0,0.0
2025-10-22,3.41,3.518,3.32,3.5,3.5,4600,0.0,0.0
2025-10-23,3.34,3.88,3.255,3.59,3.59,42900,0.0,0.0
2025-10-24,3.81,5.9,3.6,4.99,4.99,522200,0.0,0.0
2025-10-27,4.49,4.76,4.0,4.38,4.38,35300,0.0,0.0
2025-10-28,4.35,4.6,4.29,4.33,4.33,9100,0.0,0.0
2025-10-29,4.25,4.97,4.06,4.75,4.75,17900,0.0,0.0
2025-10-30,4.61,4.75,4.301,4.4,4.4,5600,0.0,0.0
2025-10-31,4.59,4.59,3.9,3.92,3.92,11000,0.0,0.0
2025-11-03,4.06,4.345,3.93,4.3,4.3,8600,0.0,0.0
2025-11-04,4.12,4.221,3.92,3.92,3.92,6100,0.0,0.0
2025-11-05,4.11,4.25,3.97,4.22,4.22,3500,0.0,0.0
2025-11-06,4.1,4.17,4.05,4.08,4.08,3300,0.0,0.0
2025-11-07,4.15,4.45,3.94,3.98,3.98,82900,0.0,0.0
2025-11-10,4.22,4.22,4.04,4.08,4.08,4100,0.0,0.0
2025-11-11,4.1,4.1,4.08,4.08,4.08,2400,0.0,0.0
2025-11-12,4.05,4.49,4.05,4.49,4.49,3200,0.0,0.0
2025-11-13,4.44,4.44,3.62,3.92,3.92,5300,0.0,0.0
2025-11-14,3.99,4.31,3.75,4.01,4.01,12600,0.0,0.0
2025-11-17,4.1,4.2,3.83,4.2,4.2,14500,0.0,0.0
2025-11-18,4.04,4.1,3.748,4.03,4.03,7300,0.0,0.0
2025-11-19,4.04,4.334,3.855,4.0,4.0,4200,0.0,0.0
2025-11-20,3.8,4.06,3.8,4.0,4.0,7500,0.0,0.0
2025-11-21,4.0,4.12,3.66,4.07,4.07,17500,0.0,0.0
2025-11-24,3.86,3.95,3.84,3.95,3.95,2600,0.0,0.0
2025-11-25,3.84,4.1,3.84,3.95,3.95,14000,0.0,0.0
2025-11-26,3.8,4.18,3.8,3.99,3.99,8300,0.0,0.0
2025-11-28,3.87,3.87,3.82,3.82,3.82,1700,0.0,0.0
2025-12-01,4.05,4.2,3.87,3.977,3.977,9200,0.0,0.0
2025-12-02,3.88,4.0,3.8,3.9,3.9,5300,0.0,0.0
2025-12-03,3.8,3.85,3.55,3.75,3.75,11300,0.0,0.0
2025-12-04,3.83,3.99,3.762,3.94,3.94,4000,0.0,0.0
2025-12-05,3.799,3.799,3.799,3.799,3.799,2100,0.0,0.0
2025-12-08,3.799,3.799,3.799,3.799,3.799,0,0.0,0.0
2025-12-09,3.875,3.875,3.875,3.875,3.875,1100,0.0,0.0
2025-12-10,3.875,3.875,3.875,3.875,3.875,0,0.0,0.0
2025-12-11,3.85,3.85,3.85,3.85,3.85,900,0.0,0.0
2025-12-12,3.751,3.77,3.63,3.63,3.63,1200,0.0,0.0
2025-12-15,3.63,3.72,3.6,3.6,3.6,1300,0.0,0.0
2025-12-16,3.9,3.9,3.66,3.8,3.8,2800,0.0,0.0
2025-12-17,3.7,3.77,3.7,3.77,3.77,300,0.0,0.0
2025-12-18,3.99,4.25,3.5,3.883,3.883,22500,0.0,0.0
2025-12-19,3.86,4.75,3.86,4.3,4.3,35500,0.0,0.0
2025-12-22,3.98,5.15,3.98,4.6,4.6,55200,0.0,0.0
2025-12-23,4.8,4.89,4.3,4.4,4.4,7200,0.0,0.0
2025-12-24,4.5,4.89,4.4,4.77,4.77,8000,0.0,0.0
2025-12-26,5.04,5.04,4.55,4.92,4.92,1100,0.0,0.0
2025-12-29,4.78,4.78,4.2,4.2,4.2,6300,0.0,0.0
2025-12-30,4.36,5.43,4.3,4.68,4.68,24700,0.0,0.0
2025-12-31,4.9,5.5,4.616,5.25,5.25,36900,0.0,0.0
2026-01-02,5.85,5.89,5.039,5.45,5.45,20900,0.0,0.0
2026-01-05,4.76,5.665,4.67,4.98,4.98,16700,0.0,0.0
2026-01-06,4.85,5.6,4.85,5.5,5.5,5700,0.0,0.0
2026-01-07,5.55,5.59,5.0,5.35,5.35,7700,0.0,0.0
2026-01-08,5.3,5.6,5.3,5.41,5.41,5700,0.0,0.0
2026-01-09,5.01,5.57,5.01,5.35,5.35,7300,0.0,0.0
2026-01-12,5.082,5.62,4.7,5.35,5.35,32900,0.0,0.0
2026-01-13,4.94,5.3,4.9,5.22,5.22,3000,0.0,0.0
2026-01-14,5.28,5.56,4.54,5.53,5.53,9300,0.0,0.0
2026-01-15,5.5,6.95,5.41,5.95,5.95,68000,0.0,0.0
2026-01-16,6.08,6.2,5.28,5.88,5.88,47500,0.0,0.0
2026-01-20,6.1,6.27,5.8,5.9,5.9,7200,0.0,0.0
2026-01-21,5.763,6.28,5.763,5.89,5.89,13700,0.0,0.0
2026-01-22,5.7,6.475,5.7,6.08,6.08,17000,0.0,0.0
2026-01-23,6.2,6.44,5.96,5.96,5.96,2200,0.0,0.0
2026-01-26,6.3,6.3,5.99,6.0,6.0,3400,0.0,0.0
2026-01-27,5.5,6.315,5.5,6.145,6.145,10600,0.0,0.0
2026-01-28,6.1,6.1,5.9,6.05,6.05,3500,0.0,0.0
2026-01-29,6.0,6.19,6.0,6.06,6.06,7200,0.0,0.0
2026-01-30,6.26,6.26,5.95,6.24,6.24,2100,0.0,0.0
2026-02-02,6.24,6.4,6.04,6.115,6.115,11400,0.0,0.0
2026-02-03,6.12,6.234,6.02,6.13,6.13,2200,0.0,0.0
2026-02-04,6.061,6.078,5.0,5.56,5.56,65600,0.0,0.0
2026-02-05,5.35,5.66,5.275,5.64,5.64,9000,0.0,0.0
2026-02-06,5.6,5.78,5.155,5.31,5.31,24800,0.0,0.0
2026-02-09,5.33,5.52,5.33,5.52,5.52,2900,0.0,0.0
2026-02-10,5.5,5.5,5.46,5.46,5.46,1000,0.0,0.0
2026-02-11,5.295,5.92,5.11,5.47,5.47,9800,0.0,0.0
2026-02-12,5.67,5.8,5.48,5.48,5.48,1900,0.0,0.0
2026-02-13,5.54,5.6,4.71,4.71,4.71,12300,0.0,0.0
2026-02-17,5.1,5.97,5.08,5.53,5.53,25500,0.0,0.0
2026-02-18,5.42,5.52,5.42,5.52,5.52,1400,0.0,0.0
