Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-12-29,7.6,8.25,7.6,7.87,7.11005,115600,0.0,0.0
2024-01-02,7.8,7.8,7.5,7.65,6.911294,149200,0.0,0.0
2024-01-03,7.5,7.765,7.4,7.75,7.001637,258100,0.0,0.0
2024-01-04,7.5,7.53,7.32,7.38,6.667366,118300,0.0,0.0
2024-01-05,7.41,7.6,7.41,7.6,6.866122,126900,0.0,0.0
2024-01-08,7.45,7.6,7.41,7.59,6.857088,123000,0.0,0.0
2024-01-09,7.43,7.6,7.4,7.6,6.866122,239100,0.0,0.0
2024-01-10,7.42,7.6,7.39,7.6,6.866122,73600,0.0,0.0
2024-01-11,7.54,7.6,7.42,7.55,6.82095,145500,0.0,0.0
2024-01-12,7.49,7.6,7.41,7.6,6.866122,105500,0.0,0.0
2024-01-16,7.42,7.43,7.35,7.4,6.685434,64100,0.0,0.0
2024-01-17,7.35,7.65,7.29,7.42,6.703504,270100,0.0,0.0
2024-01-18,7.37,7.39,7.22,7.29,6.586056,65800,0.0,0.0
2024-01-19,7.28,7.38,7.25,7.38,6.667366,45100,0.0,0.0
2024-01-22,7.27,7.32,7.1,7.17,6.477644,48800,0.0,0.0
2024-01-23,7.17,7.35,7.16,7.35,6.640263,37800,0.0,0.0
2024-01-24,7.36,7.37,7.3,7.34,6.631228,33100,0.0,0.0
2024-01-25,7.3,7.4,7.29,7.37,6.658331,46200,0.0,0.0
2024-01-26,7.32,7.43,7.28,7.43,6.712537,80800,0.0,0.0
2024-01-29,7.255,7.46,7.23,7.35,6.640263,48800,0.0,0.0
2024-01-30,7.15,7.35,7.08,7.23,6.53185,105600,0.0,0.0
2024-01-31,7.24,7.355,7.19,7.27,6.567988,86800,0.0,0.0
2024-02-01,7.28,7.43,7.24,7.42,6.703504,48300,0.0,0.0
2024-02-02,7.26,7.34,7.19,7.31,6.604125,93900,0.0,0.0
2024-02-05,7.18,7.33,7.105,7.3,6.595091,69700,0.0,0.0
2024-02-06,7.31,7.42,7.31,7.39,6.6764,25200,0.0,0.0
2024-02-07,7.38,7.45,7.35,7.44,6.721572,51700,0.0,0.0
2024-02-08,7.26,7.31,7.19,7.2,6.504747,25700,0.0,0.0
2024-02-09,7.2,7.38,7.2,7.33,6.622193,17500,0.0,0.0
2024-02-12,7.29,7.565,7.245,7.4,6.685434,34500,0.0,0.0
2024-02-13,7.3,7.44,7.13,7.38,6.667366,27200,0.0,0.0
2024-02-14,7.26,7.48,7.06,7.31,6.604125,19000,0.0,0.0
2024-02-15,7.38,7.43,7.36,7.41,6.694469,7600,0.0,0.0
2024-02-16,7.41,7.48,7.381,7.41,6.694469,25900,0.0,0.0
2024-02-20,7.67,7.74,7.65,7.71,6.9655,19900,0.0,0.0
2024-02-21,7.6,7.65,7.49,7.49,6.766744,74800,0.0,0.0
2024-02-22,7.45,7.53,7.44,7.45,6.730606,8400,0.0,0.0
2024-02-23,7.42,7.46,7.33,7.33,6.622193,880900,0.0,0.0
2024-02-26,7.4,7.43,7.315,7.39,6.6764,12500,0.0,0.0
2024-02-27,7.42,7.5,7.41,7.5,6.775778,7200,0.0,0.0
2024-02-28,7.4,7.48,7.39,7.47,6.748675,29400,0.0,0.0
2024-02-29,7.39,7.44,7.26,7.43,6.712537,7300,0.0,0.0
2024-03-01,7.32,7.36,7.3,7.31,6.604125,24000,0.0,0.0
2024-03-04,7.26,7.36,7.26,7.36,6.649297,16800,0.0,0.0
2024-03-05,7.35,7.38,7.31,7.31,6.604125,11300,0.0,0.0
2024-03-06,7.38,7.45,7.36,7.44,6.721572,21100,0.0,0.0
2024-03-07,7.35,7.38,7.303,7.35,6.640263,8100,0.0,0.0
2024-03-08,7.33,7.38,7.32,7.33,6.622193,12200,0.0,0.0
2024-03-11,7.32,7.335,7.26,7.26,6.558954,8900,0.0,0.0
2024-03-12,7.26,7.27,7.19,7.27,6.567988,39300,0.0,0.0
2024-03-13,7.29,7.29,7.24,7.25,6.549919,4900,0.0,0.0
2024-03-14,7.16,7.26,7.16,7.26,6.558954,5900,0.0,0.0
2024-03-15,7.31,7.31,6.743,6.82,6.161441,121700,0.0,0.0
2024-03-18,7.12,7.17,6.82,6.86,6.197578,104600,0.0,0.0
2024-03-19,6.9,6.99,6.9,6.97,6.296957,137200,0.0,0.0
