Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2000-07-21,20.0,21.625,19.0625,21.5625,12.436392,6454700,0.0,0.0
2000-07-24,21.375,22.25,21.3125,22.0625,12.724773,1416300,0.0,0.0
2000-07-25,22.75,23.25,21.875,22.75,13.121296,715300,0.0,0.0
2000-07-26,22.25,22.6875,22.1875,22.625,13.049198,266100,0.0,0.0
2000-07-27,22.375,22.875,22.375,22.625,13.049198,202200,0.0,0.0
2000-07-28,22.5,22.5,21.625,22.375,12.90501,393400,0.0,0.0
2000-07-31,22.125,22.75,22.0625,22.5,12.977107,443700,0.0,0.0
2000-08-01,22.4375,22.4375,22.125,22.3125,12.868959,570900,0.0,0.0
2000-08-02,22.1875,22.3125,22.0625,22.3125,12.868959,162400,0.0,0.0
2000-08-03,21.75,21.875,21.4375,21.5625,12.436392,169900,0.0,0.0
2000-08-04,21.5625,21.9375,21.375,21.4375,12.3643,78900,0.0,0.0
2000-08-07,21.4375,21.875,21.4375,21.75,12.544536,217200,0.0,0.0
2000-08-08,22.0,22.3125,22.0,22.25,12.832913,138400,0.0,0.0
2000-08-09,22.25,22.375,22.125,22.25,12.832913,178000,0.0,0.0
2000-08-10,22.1875,22.375,22.0,22.3125,12.868959,277800,0.0,0.0
2000-08-11,22.25,23.0,22.1875,22.9375,13.229434,79800,0.0,0.0
2000-08-14,22.9375,24.5625,22.9375,24.5,14.130626,303900,0.0,0.0
2000-08-15,24.3125,24.3125,23.375,23.6875,13.662009,202300,0.0,0.0
2000-08-16,23.625,23.75,22.25,22.375,12.90501,459800,0.0,0.0
2000-08-17,22.375,23.0,22.0,22.5,12.977107,583400,0.0,0.0
2000-08-18,23.125,24.1875,22.9375,24.0,13.842243,1025200,0.0,0.0
2000-08-21,24.25,24.25,24.0,24.125,13.914337,137200,0.0,0.0
2000-08-22,24.0625,24.625,24.0625,24.125,13.914337,106100,0.0,0.0
2000-08-23,24.125,25.0,24.125,24.75,14.274812,312300,0.0,0.0
2000-08-24,24.875,25.375,24.5,25.1875,14.527147,236300,0.0,0.0
2000-08-25,25.3125,26.1875,25.0,25.4375,14.671343,123100,0.0,0.0
2000-08-28,25.5625,26.6875,25.1875,26.0,14.995766,72700,0.0,0.0
2000-08-29,26.0,27.125,26.0,26.9375,15.536479,360900,0.0,0.0
2000-08-30,27.25,27.5,26.8125,27.375,15.788814,198100,0.0,0.0
2000-08-31,28.0,28.75,27.0,27.3125,15.752759,305400,0.0,0.0
2000-09-01,27.8125,27.8125,27.125,27.21875,15.698692,333800,0.0,0.0
2000-09-05,27.0,27.25,26.5,26.5,15.284142,447800,0.0,0.0
2000-09-06,26.6875,27.6875,26.625,27.6875,15.969051,254200,0.0,0.0
2000-09-07,27.6875,29.1875,27.6875,29.0,16.72604,197000,0.0,0.0
2000-09-08,29.0,29.0,28.1875,28.625,16.509762,190700,0.0,0.0
2000-09-11,28.625,28.875,28.25,28.4375,16.401617,134700,0.0,0.0
2000-09-12,28.5,28.5,28.0625,28.171875,16.248415,172200,0.0,0.0
2000-09-13,28.4375,29.0,28.375,28.40625,16.383595,63100,0.0,0.0
2000-09-14,28.8125,29.375,28.6875,29.375,16.942327,301900,0.0,0.0
2000-09-15,29.375,30.0,29.1875,29.5,17.014429,367400,0.0,0.0
2000-09-18,29.125,29.4375,27.625,27.625,15.932996,515900,0.0,0.0
2000-09-19,27.625,28.875,27.375,28.75,16.581854,221000,0.0,0.0
2000-09-20,28.875,28.875,27.3125,28.25,16.293474,186400,0.0,0.0
2000-09-21,28.5,28.5,28.0625,28.375,16.36557,24100,0.0,0.0
2000-09-22,28.0,29.375,28.0,29.375,16.942327,117300,0.0,0.0
2000-09-25,29.625,31.375,29.625,30.46875,17.573158,323300,0.0,0.0
2000-09-26,30.6875,30.875,30.125,30.875,17.874931,632000,0.115,0.0
2000-09-27,30.8125,32.0,30.8125,31.4375,18.200592,556600,0.0,0.0
2000-09-28,31.5,31.5,30.75,30.9375,17.911118,124900,0.0,0.0
2000-09-29,30.6875,31.125,29.875,31.0,17.947302,283000,0.0,0.0
2000-10-02,31.125,31.25,29.125,29.375,17.006517,408200,0.0,0.0
2000-10-03,29.25,30.5,29.25,30.0625,17.404539,147100,0.0,0.0
2000-10-04,30.0,30.125,29.75,30.0,17.368362,158200,0.0,0.0
2000-10-05,30.125,30.3125,29.9375,30.125,17.440733,155400,0.0,0.0
2000-10-06,30.125,30.125,29.4375,29.5625,17.115074,229700,0.0,0.0
2000-10-09,29.6875,30.5,29.5625,30.125,17.440733,62300,0.0,0.0
2000-10-10,30.25,31.625,30.125,31.0,17.947302,95400,0.0,0.0
2000-10-11,31.25,31.25,30.8125,31.0,17.947302,111200,0.0,0.0
2000-10-12,31.25,31.4375,30.8125,30.875,17.874931,44700,0.0,0.0
2000-10-13,30.75,31.375,30.625,30.6875,17.766382,80200,0.0,0.0
2000-10-16,30.5625,30.8125,29.75,30.0,17.368362,44100,0.0,0.0
2000-10-17,30.25,31.3125,30.1875,30.75,17.802565,191700,0.0,0.0
2000-10-18,30.125,31.375,29.875,31.375,18.164408,256300,0.0,0.0
2000-10-19,31.4375,32.0625,31.0,31.875,18.45388,197900,0.0,0.0
2000-10-20,31.5,32.0,31.0625,31.375,18.164408,103500,0.0,0.0
2000-10-23,31.375,31.375,30.1875,30.25,17.513094,258800,0.0,0.0
2000-10-24,30.0,30.125,28.5625,29.0625,16.8256,214100,0.0,0.0
2000-10-25,28.625,29.125,26.0,26.625,15.414419,363900,0.0,0.0
2000-10-26,27.0625,27.0625,24.5625,25.75,14.907844,965000,0.0,0.0
2000-10-27,26.0,27.5,26.0,27.4375,15.884811,356000,0.0,0.0
2000-10-30,28.0,29.375,27.75,28.75,16.644676,245900,0.0,0.0
2000-10-31,28.875,29.75,28.875,28.9375,16.753227,58500,0.0,0.0
2000-11-01,28.8125,29.5,28.625,29.125,16.861788,158400,0.0,0.0
2000-11-02,29.25,30.25,29.0,29.0,16.789415,50400,0.0,0.0
2000-11-03,28.75,29.0,28.125,28.1875,16.319021,145000,0.0,0.0
2000-11-06,28.3125,28.3125,27.625,27.875,16.138092,40800,0.0,0.0
2000-11-07,27.9375,27.9375,27.125,27.75,16.065731,128200,0.0,0.0
2000-11-08,27.9375,27.9375,27.1875,27.1875,15.740073,39900,0.0,0.0
2000-11-09,26.5,26.75,26.375,26.75,15.486791,961200,0.0,0.0
2000-11-10,26.5,26.625,26.25,26.375,15.269682,127300,0.0,0.0
2000-11-13,26.0,27.25,26.0,27.25,15.776256,197800,0.0,0.0
2000-11-14,27.5,29.75,27.5,29.25,16.934149,499600,0.0,0.0
2000-11-15,29.375,30.25,29.375,30.0,17.368362,154000,0.0,0.0
2000-11-16,30.0,31.0,29.5,29.5625,17.115074,198000,0.0,0.0
2000-11-17,29.0,29.375,28.25,29.375,17.006517,123200,0.0,0.0
2000-11-20,29.625,29.625,29.1875,29.5,17.07889,55100,0.0,0.0
2000-11-21,29.5,30.75,29.5,30.5625,17.694014,132700,0.0,0.0
2000-11-22,30.5,30.5,30.0,30.4375,17.621643,46300,0.0,0.0
2000-11-24,29.0,29.25,29.0,29.25,16.934149,10700,0.0,0.0
2000-11-27,29.25,29.25,28.0,28.4375,16.463749,26400,0.0,0.0
2000-11-28,28.0,30.25,28.0,30.0,17.368362,54000,0.0,0.0
2000-11-29,28.375,30.0,28.375,29.4375,17.042704,77900,0.0,0.0
2000-11-30,28.25,28.375,27.5,27.5625,15.957174,91600,0.0,0.0
2000-12-01,27.5625,27.875,26.9375,26.9375,15.595331,53000,0.0,0.0
2000-12-04,26.6875,28.0,26.3125,27.4375,15.884811,190100,0.0,0.0
2000-12-05,28.125,29.0625,28.125,28.75,16.644676,56800,0.0,0.0
2000-12-06,28.75,29.5,28.75,29.25,16.934149,167900,0.0,0.0
2000-12-07,29.125,29.875,29.0,29.75,17.223625,138500,0.0,0.0
2000-12-08,30.0,30.5625,30.0,30.1875,17.47691,542300,0.0,0.0
2000-12-11,31.25,33.1875,31.1875,32.75,18.960455,486100,0.0,0.0
2000-12-12,32.75,32.75,32.0,32.4375,18.779533,98700,0.0,0.0
2000-12-13,32.3125,33.4375,32.1875,33.0625,19.14138,181800,0.0,0.0
2000-12-14,33.0625,34.5,32.75,34.25,19.828871,374300,0.0,0.0
2000-12-15,34.25,36.75,34.125,36.0,20.842033,540400,0.0,0.0
2000-12-18,36.5,38.125,36.5,37.25,21.565706,147900,0.0,0.0
2000-12-19,37.125,37.6875,35.5,36.875,21.422224,165300,0.128,0.0
2000-12-20,36.0,36.125,35.75,36.0,20.913898,123600,0.0,0.0
2000-12-21,35.875,36.0,35.125,36.0,20.913898,69600,0.0,0.0
2000-12-22,36.0,36.875,35.875,36.0,20.913898,148100,0.0,0.0
2000-12-26,36.0,36.125,35.375,36.125,20.986517,21900,0.0,0.0
2000-12-27,36.375,36.5,36.0,36.0,20.913898,68500,0.0,0.0
2000-12-28,36.5,38.0,36.5,37.6875,21.894228,220700,0.0,0.0
2000-12-29,38.5,40.0,38.125,39.75,23.092426,70300,0.0,0.0
2001-01-02,40.5,40.5,39.25,39.4375,22.910875,376200,0.0,0.0
2001-01-03,39.4375,42.0,39.4375,41.75,24.254305,686400,0.0,0.0
2001-01-04,42.625,42.875,38.375,40.0,23.237665,976700,0.0,0.0
2001-01-05,39.9375,39.9375,38.3125,39.3125,22.838272,359600,0.0,0.0
2001-01-08,39.5625,40.0,38.9375,39.8125,23.128731,109200,0.0,0.0
2001-01-09,40.5,42.0,40.5,40.9375,23.782295,204400,0.0,0.0
2001-01-10,40.8125,41.75,39.625,41.25,23.963837,361000,0.0,0.0
2001-01-11,40.625,40.625,37.5,38.9375,22.620417,837100,0.0,0.0
2001-01-12,37.75,37.875,34.625,37.0,21.494839,858700,0.0,0.0
2001-01-16,37.75,37.9375,36.5,37.0625,21.531145,135200,0.0,0.0
2001-01-17,37.0625,38.4375,37.0625,38.25,22.221008,76200,0.0,0.0
2001-01-18,39.125,40.4375,39.125,40.1875,23.346594,162700,0.0,0.0
2001-01-19,40.1875,40.1875,39.375,39.5625,22.983496,68000,0.0,0.0
2001-01-22,39.4375,39.4375,38.25,39.25,22.801949,197800,0.0,0.0
2001-01-23,39.3125,41.3125,39.3125,41.0625,23.854916,683500,0.0,0.0
2001-01-24,41.125,43.25,40.5,41.125,23.891212,528100,0.0,0.0
2001-01-25,41.125,41.125,39.5625,39.6875,23.056112,313400,0.0,0.0
2001-01-26,40.0625,40.75,39.625,40.25,23.382893,256700,0.0,0.0
2001-01-29,40.450001,42.450001,40.400002,41.150002,23.905746,153300,0.0,0.0
2001-01-30,41.16,42.990002,40.599998,41.5,24.109081,383100,0.0,0.0
2001-01-31,41.599998,42.75,41.310001,41.509998,24.114883,203700,0.0,0.0
2001-02-01,41.650002,41.650002,40.25,41.0,23.818609,251800,0.0,0.0
2001-02-02,41.5,41.700001,40.150002,40.18,23.342226,493100,0.0,0.0
2001-02-05,40.279999,40.279999,38.650002,38.889999,22.59281,93000,0.0,0.0
2001-02-06,38.950001,40.259998,38.77,39.5,22.947184,144200,0.0,0.0
2001-02-07,39.5,40.25,39.349998,39.509998,22.953007,111000,0.0,0.0
2001-02-08,40.0,40.450001,39.200001,39.200001,22.772902,150000,0.0,0.0
2001-02-09,38.0,38.900002,37.5,37.799999,21.959597,240800,0.0,0.0
2001-02-12,38.0,38.400002,37.369999,37.450001,21.756256,96900,0.0,0.0
2001-02-13,37.700001,38.5,37.25,37.650002,21.872438,151800,0.0,0.0
