Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2003-12-04,20.01,20.01,20.0,20.01,2.679156,49300,0.0,0.0
2003-12-05,20.01,20.01,20.0,20.01,2.679156,52000,0.0,0.0
2003-12-08,20.01,20.01,20.0,20.01,2.679156,33500,0.0,0.0
2003-12-09,20.01,20.01,20.0,20.01,2.679156,53200,0.0,0.0
2003-12-10,20.0,20.01,20.0,20.01,2.679156,33000,0.0,0.0
2003-12-11,20.0,20.01,20.0,20.01,2.679156,28000,0.0,0.0
2003-12-12,20.02,20.07,20.01,20.07,2.687189,17500,0.0,0.0
2003-12-15,20.08,20.08,20.0,20.030001,2.681834,42900,0.0,0.0
2003-12-16,20.030001,20.059999,20.02,20.049999,2.684513,28400,0.0,0.0
2003-12-17,20.040001,20.139999,20.02,20.139999,2.696561,36000,0.0,0.0
2003-12-18,20.139999,20.17,20.059999,20.15,2.697901,55800,0.0,0.0
2003-12-19,20.18,20.24,20.15,20.219999,2.707273,51800,0.0,0.0
2003-12-22,20.219999,20.24,20.110001,20.16,2.69924,27900,0.0,0.0
2003-12-23,20.23,20.25,20.17,20.190001,2.703256,20400,0.0,0.0
2003-12-24,20.18,20.25,20.139999,20.24,2.709952,15100,0.0,0.0
2003-12-26,20.16,20.25,20.139999,20.200001,2.704593,18500,0.0,0.0
2003-12-29,20.23,20.23,20.120001,20.15,2.697901,30300,0.0,0.0
2003-12-30,20.15,20.190001,20.01,20.1,2.691203,44500,0.0,0.0
2003-12-31,20.1,20.219999,20.1,20.18,2.701918,26800,0.0,0.0
2004-01-02,20.16,20.18,20.01,20.030001,2.681834,38800,0.0,0.0
2004-01-05,20.030001,20.15,20.0,20.07,2.687189,123700,0.0,0.0
2004-01-06,20.07,20.120001,20.01,20.049999,2.684513,57500,0.0,0.0
2004-01-07,20.0,20.08,20.0,20.0,2.677819,91900,0.0,0.0
2004-01-08,20.02,20.16,20.0,20.1,2.691203,70400,0.0,0.0
2004-01-09,20.110001,20.110001,20.0,20.040001,2.683171,137600,0.0,0.0
2004-01-12,20.049999,20.059999,20.0,20.049999,2.684513,150000,0.0,0.0
2004-01-13,20.049999,20.200001,20.02,20.18,2.701918,59600,0.0,0.0
2004-01-14,20.120001,20.219999,20.110001,20.190001,2.703256,76900,0.0,0.0
2004-01-15,20.139999,20.200001,20.049999,20.120001,2.693884,101100,0.0,0.0
2004-01-16,20.07,20.120001,20.0,20.1,2.691203,64400,0.0,0.0
2004-01-20,20.07,20.1,20.01,20.059999,2.685851,48900,0.0,0.0
2004-01-21,20.08,20.09,20.01,20.049999,2.684513,73300,0.0,0.0
2004-01-22,20.07,20.129999,20.07,20.08,2.688527,57200,0.0,0.0
2004-01-23,20.139999,20.209999,20.09,20.16,2.69924,69700,0.0,0.0
2004-01-26,20.15,20.200001,20.059999,20.110001,2.692545,103800,0.0,0.0
2004-01-27,20.1,20.25,20.049999,20.25,2.711289,83900,0.0,0.0
2004-01-28,20.25,20.25,20.049999,20.09,2.689866,63300,0.0,0.0
2004-01-29,20.1,20.219999,20.0,20.0,2.677819,135900,0.0,0.0
2004-01-30,20.02,20.049999,19.950001,20.030001,2.681834,60200,0.0,0.0
2004-02-02,20.040001,20.09,19.799999,20.02,2.680492,74600,0.0,0.0
2004-02-03,20.059999,20.059999,19.9,19.9,2.664428,44100,0.0,0.0
2004-02-04,19.9,19.99,19.82,19.92,2.667105,79300,0.0,0.0
2004-02-05,19.889999,19.940001,19.780001,19.92,2.667105,35900,0.0,0.0
2004-02-06,19.92,19.92,19.76,19.790001,2.649699,86800,0.0,0.0
2004-02-09,19.799999,19.940001,19.76,19.940001,2.669783,69400,0.0,0.0
2004-02-10,19.940001,20.110001,19.85,20.02,2.680492,92800,0.0,0.0
2004-02-11,20.0,20.26,19.91,20.0,2.677819,73100,0.0,0.0
2004-02-12,20.049999,20.190001,20.049999,20.15,2.697901,47200,0.0,0.0
2004-02-13,20.0,20.049999,19.860001,20.0,2.697902,48000,0.15,0.0
2004-02-17,20.0,20.0,19.9,20.0,2.697902,25400,0.0,0.0
2004-02-18,19.950001,20.0,19.879999,19.98,2.695201,25000,0.0,0.0
2004-02-19,19.879999,19.950001,19.85,19.889999,2.683061,32000,0.0,0.0
2004-02-20,19.85,19.860001,19.559999,19.620001,2.646639,53900,0.0,0.0
2004-02-23,19.6,19.700001,19.559999,19.65,2.650687,42600,0.0,0.0
2004-02-24,19.58,19.68,18.700001,19.120001,2.579192,149400,0.0,0.0
2004-02-25,18.969999,19.379999,18.969999,19.26,2.598078,56700,0.0,0.0
2004-02-26,19.219999,19.35,19.040001,19.35,2.610219,61700,0.0,0.0
2004-02-27,19.58,19.58,19.299999,19.299999,2.603475,40500,0.0,0.0
2004-03-01,19.27,19.639999,19.27,19.629999,2.647989,38400,0.0,0.0
2004-03-02,19.6,19.75,19.549999,19.75,2.664176,29600,0.0,0.0
2004-03-03,19.700001,19.75,19.15,19.370001,2.612917,109700,0.0,0.0
2004-03-04,19.33,19.540001,19.33,19.459999,2.625055,29900,0.0,0.0
2004-03-05,19.4,19.6,19.299999,19.49,2.629104,77500,0.0,0.0
2004-03-08,19.5,19.6,19.469999,19.58,2.641244,69400,0.0,0.0
2004-03-09,19.4,19.68,19.4,19.59,2.642591,45700,0.0,0.0
2004-03-10,19.57,19.780001,19.52,19.65,2.650687,64800,0.0,0.0
2004-03-11,19.73,19.940001,19.66,19.889999,2.683061,54000,0.0,0.0
2004-03-12,19.75,19.82,19.700001,19.799999,2.691217,43600,0.15,0.0
2004-03-15,19.82,19.889999,19.43,19.459999,2.645004,47300,0.0,0.0
2004-03-16,19.5,19.73,19.469999,19.610001,2.665391,42700,0.0,0.0
2004-03-17,19.549999,19.629999,19.5,19.5,2.65044,68700,0.0,0.0
2004-03-18,19.5,19.6,19.299999,19.48,2.647722,35700,0.0,0.0
2004-03-19,19.48,19.549999,19.32,19.450001,2.643644,33200,0.0,0.0
2004-03-22,19.4,19.440001,19.200001,19.27,2.619179,37200,0.0,0.0
2004-03-23,19.200001,19.389999,19.200001,19.299999,2.623256,52500,0.0,0.0
2004-03-24,19.25,19.43,19.16,19.43,2.640928,42300,0.0,0.0
2004-03-25,19.360001,19.41,19.27,19.299999,2.623256,78700,0.0,0.0
2004-03-26,19.379999,19.440001,19.35,19.440001,2.642286,38900,0.0,0.0
2004-03-29,19.379999,19.52,19.33,19.370001,2.632772,32600,0.0,0.0
2004-03-30,19.35,19.6,19.32,19.57,2.659957,25700,0.0,0.0
2004-03-31,19.6,19.85,19.6,19.6,2.664032,53300,0.0,0.0
2004-04-01,19.58,19.84,19.58,19.83,2.695294,34600,0.0,0.0
2004-04-02,19.620001,19.82,19.559999,19.620001,2.666751,45200,0.0,0.0
2004-04-05,19.620001,19.65,19.41,19.41,2.638207,29800,0.0,0.0
2004-04-06,19.450001,19.450001,18.950001,19.08,2.593355,54100,0.0,0.0
2004-04-07,19.01,19.280001,18.9,19.24,2.615103,33200,0.0,0.0
2004-04-08,19.280001,19.34,19.15,19.200001,2.609663,34900,0.0,0.0
2004-04-12,19.200001,19.4,19.120001,19.120001,2.598791,34200,0.0,0.0
2004-04-13,19.120001,19.200001,18.299999,18.950001,2.575685,110600,0.0,0.0
2004-04-14,18.65,18.65,18.15,18.200001,2.473744,88100,0.0,0.0
2004-04-15,18.200001,18.65,17.700001,17.940001,2.438407,124500,0.0,0.0
2004-04-16,17.93,18.799999,17.889999,18.75,2.569989,97900,0.15,0.0
