Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2018-06-28,7.3,7.6,5.26,6.28,6.28,286000,0.0,0.0
2018-06-29,6.06,6.38,5.75,6.3,6.3,41700,0.0,0.0
2018-07-02,6.653,6.7,5.11,6.65,6.65,18200,0.0,0.0
2018-07-03,6.9,6.9,6.6,6.65,6.65,5300,0.0,0.0
2018-07-05,6.725,6.73,6.5,6.51,6.51,6800,0.0,0.0
2018-07-06,6.76,6.76,6.5,6.6,6.6,3600,0.0,0.0
2018-07-09,6.716,6.716,6.25,6.65,6.65,15200,0.0,0.0
2018-07-10,6.4,6.75,6.4,6.7,6.7,26200,0.0,0.0
2018-07-11,6.75,6.945,6.55,6.6,6.6,38500,0.0,0.0
2018-07-12,6.75,6.75,6.65,6.65,6.65,10700,0.0,0.0
2018-07-13,6.51,6.614,6.5,6.614,6.614,1700,0.0,0.0
2018-07-16,6.46,6.6,6.1,6.4,6.4,12100,0.0,0.0
2018-07-17,6.1,6.47,5.812,6.45,6.45,17000,0.0,0.0
2018-07-18,5.6,6.32,5.6,6.32,6.32,2200,0.0,0.0
2018-07-19,5.6,6.16,5.6,5.97,5.97,2300,0.0,0.0
2018-07-20,5.97,5.97,5.97,5.97,5.97,0,0.0,0.0
2018-07-23,5.7,6.27,5.7,6.25,6.25,700,0.0,0.0
2018-07-24,5.97,6.0,5.545,5.93,5.93,1200,0.0,0.0
2018-07-25,5.53,5.6,5.32,5.36,5.36,5200,0.0,0.0
2018-07-26,5.9,5.9,5.724,5.85,5.85,1700,0.0,0.0
2018-07-27,5.45,5.65,4.85,5.54,5.54,6000,0.0,0.0
2018-07-30,5.69,5.701,4.77,5.0,5.0,8100,0.0,0.0
2018-07-31,4.63,5.7,4.63,5.4,5.4,11300,0.0,0.0
2018-08-01,5.4,6.0,5.4,5.796,5.796,7600,0.0,0.0
2018-08-02,5.69,5.69,5.08,5.08,5.08,3100,0.0,0.0
2018-08-03,5.15,5.77,4.8,5.58,5.58,5100,0.0,0.0
2018-08-06,5.45,5.747,5.05,5.05,5.05,14600,0.0,0.0
2018-08-07,5.45,5.74,5.05,5.47,5.47,2200,0.0,0.0
2018-08-08,5.43,5.43,5.05,5.05,5.05,1700,0.0,0.0
2018-08-09,5.05,5.05,4.9,4.95,4.95,17000,0.0,0.0
2018-08-10,5.69,5.69,5.05,5.45,5.45,12100,0.0,0.0
2018-08-13,4.861,5.24,4.73,5.24,5.24,8600,0.0,0.0
2018-08-14,5.4,5.5,5.0,5.0,5.0,6000,0.0,0.0
2018-08-15,4.601,5.04,4.5,5.04,5.04,4700,0.0,0.0
2018-08-16,5.3,5.3,5.3,5.3,5.3,200,0.0,0.0
2018-08-17,4.6,5.2,4.6,5.1,5.1,5700,0.0,0.0
2018-08-20,4.51,4.97,4.51,4.95,4.95,5000,0.0,0.0
2018-08-21,5.17,5.17,4.98,4.98,4.98,2000,0.0,0.0
2018-08-22,5.17,5.17,4.59,4.59,4.59,17000,0.0,0.0
2018-08-23,4.99,4.99,4.5,4.5,4.5,2300,0.0,0.0
2018-08-24,4.71,4.75,4.26,4.7,4.7,900,0.0,0.0
2018-08-27,4.5,4.7,4.25,4.65,4.65,11400,0.0,0.0
2018-08-28,4.2,4.7,4.11,4.5,4.5,6100,0.0,0.0
2018-08-29,4.59,4.7,4.455,4.69,4.69,500,0.0,0.0
2018-08-30,4.498,4.7,4.4,4.7,4.7,10400,0.0,0.0
2018-08-31,4.5,5.4,4.156,5.4,5.4,15100,0.0,0.0
2018-09-04,5.4,5.4,5.4,5.4,5.4,4200,0.0,0.0
2018-09-05,5.01,5.5,4.601,5.22,5.22,3900,0.0,0.0
2018-09-06,5.12,5.9,5.12,5.9,5.9,5000,0.0,0.0
2018-09-07,6.0,6.0,5.641,5.641,5.641,600,0.0,0.0
2018-09-10,5.94,5.94,4.681,4.74,4.74,9900,0.0,0.0
2018-09-11,5.25,5.6,5.0,5.0,5.0,6400,0.0,0.0
2018-09-12,5.2,5.6,4.9,4.9,4.9,5900,0.0,0.0
2018-09-13,5.1,5.1,5.0,5.01,5.01,1100,0.0,0.0
2018-09-14,4.91,5.21,4.91,5.13,5.13,3000,0.0,0.0
2018-09-17,5.13,5.13,5.13,5.13,5.13,1000,0.0,0.0
2018-09-18,5.13,5.13,5.13,5.13,5.13,0,0.0,0.0
2018-09-19,5.13,5.13,5.13,5.13,5.13,0,0.0,0.0
2018-09-20,4.64,5.45,4.64,5.25,5.25,1700,0.0,0.0
2018-09-21,5.25,5.25,5.06,5.24,5.24,3300,0.0,0.0
2018-09-24,5.1,5.1,5.1,5.1,5.1,500,0.0,0.0
2018-09-25,4.98,5.45,4.98,5.45,5.45,2800,0.0,0.0
2018-09-26,5.093,5.78,5.093,5.48,5.48,12700,0.0,0.0
2018-09-27,5.15,5.4,5.08,5.4,5.4,5500,0.0,0.0
2018-09-28,5.4,5.81,5.078,5.81,5.81,2300,0.0,0.0
2018-10-01,5.6,6.01,5.06,5.06,5.06,1900,0.0,0.0
2018-10-02,5.99,5.99,5.669,5.7,5.7,300,0.0,0.0
2018-10-03,5.5,5.86,5.192,5.83,5.83,6700,0.0,0.0
2018-10-04,5.54,5.86,5.005,5.83,5.83,3800,0.0,0.0
2018-10-05,5.3,5.86,5.28,5.85,5.85,1100,0.0,0.0
2018-10-08,5.85,5.85,5.85,5.85,5.85,0,0.0,0.0
2018-10-09,5.474,5.86,5.0,5.26,5.26,4300,0.0,0.0
2018-10-10,5.06,5.25,5.001,5.05,5.05,900,0.0,0.0
2018-10-11,5.45,5.45,5.45,5.45,5.45,400,0.0,0.0
2018-10-12,5.4,5.426,5.4,5.426,5.426,600,0.0,0.0
2018-10-15,5.13,5.8,5.13,5.65,5.65,1600,0.0,0.0
2018-10-16,5.63,5.65,5.5,5.62,5.62,1500,0.0,0.0
2018-10-17,5.62,5.62,5.62,5.62,5.62,0,0.0,0.0
2018-10-18,4.98,5.833,4.98,5.674,5.674,1200,0.0,0.0
2018-10-19,5.833,5.833,5.724,5.724,5.724,1300,0.0,0.0
2018-10-22,5.21,6.4,5.21,5.72,5.72,8500,0.0,0.0
2018-10-23,5.7,5.7,5.06,5.29,5.29,3500,0.0,0.0
2018-10-24,5.57,5.65,5.57,5.65,5.65,800,0.0,0.0
2018-10-25,5.575,5.575,5.57,5.575,5.575,1400,0.0,0.0
2018-10-26,5.2,5.97,5.143,5.61,5.61,2200,0.0,0.0
2018-10-29,5.95,5.95,5.13,5.75,5.75,3300,0.0,0.0
2018-10-30,5.25,5.25,5.23,5.23,5.23,1000,0.0,0.0
2018-10-31,5.38,5.7,5.38,5.7,5.7,2200,0.0,0.0
2018-11-01,5.25,5.49,5.25,5.49,5.49,1100,0.0,0.0
2018-11-02,5.25,5.25,5.12,5.25,5.25,7800,0.0,0.0
