Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2009-05-27,20.0,20.25,20.0,20.0,8.480299,0,0.0,0.0
2009-05-28,20.25,20.25,20.0,20.030001,8.493022,0,0.0,0.0
2009-05-29,20.040001,20.190001,20.0,20.139999,8.53966,0,0.0,0.0
2009-06-01,20.09,20.09,20.0,20.0,8.480299,0,0.0,0.0
2009-06-02,20.02,20.17,20.0,20.01,8.484537,0,0.0,0.0
2009-06-03,20.040001,20.15,20.0,20.15,8.5439,22600,0.0,0.0
2009-06-04,20.049999,20.23,20.0,20.049999,8.501508,26800,0.0,0.0
2009-06-05,20.1,20.1,20.040001,20.1,8.522702,19200,0.0,0.0
2009-06-08,20.1,20.129999,20.049999,20.049999,8.501508,9500,0.0,0.0
2009-06-09,20.09,20.09,20.02,20.09,8.518459,22300,0.0,0.0
2009-06-10,20.059999,20.190001,20.030001,20.040001,8.497263,19900,0.0,0.0
2009-06-11,20.030001,20.09,20.01,20.040001,8.497263,16900,0.0,0.0
2009-06-12,20.040001,20.09,20.030001,20.049999,8.501508,8500,0.0,0.0
2009-06-15,20.09,20.1,20.030001,20.1,8.522702,35100,0.0,0.0
2009-06-16,20.09,20.25,20.049999,20.049999,8.501508,35500,0.0,0.0
2009-06-17,20.059999,20.24,20.01,20.040001,8.497263,47000,0.0,0.0
2009-06-18,20.059999,20.07,20.030001,20.040001,8.497263,38100,0.0,0.0
2009-06-19,20.07,20.440001,20.02,20.25,8.586303,41700,0.0,0.0
2009-06-22,20.08,20.08,20.0,20.02,8.488772,83400,0.0,0.0
2009-06-23,20.049999,20.059999,20.0,20.0,8.480299,160200,0.0,0.0
2009-06-24,20.01,20.030001,20.0,20.0,8.480299,53200,0.0,0.0
2009-06-25,19.879999,19.879999,18.73,18.82,7.979971,53200,0.0,0.0
2009-06-26,18.82,19.059999,18.76,18.780001,7.963002,29600,0.0,0.0
2009-06-29,17.34,18.879999,17.34,18.43,7.814594,66200,0.0,0.0
2009-06-30,18.450001,18.73,18.379999,18.6,7.886681,27600,0.0,0.0
2009-07-01,18.700001,18.9,18.52,18.860001,7.996923,17400,0.0,0.0
