Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2021-11-11,25.059999,25.075001,25.059999,25.075001,23.259644,100,0.0,0.0,0.0
2021-11-12,25.280001,25.285999,25.280001,25.285999,23.455364,200,0.0,0.0,0.0
2021-11-15,25.309999,25.32,25.280001,25.291,23.460005,4200,0.0,0.0,0.0
2021-11-16,25.291,25.291,25.291,25.291,23.460005,0,0.0,0.0,0.0
2021-11-17,25.299999,25.299999,25.299999,25.299999,23.468351,100,0.0,0.0,0.0
2021-11-18,25.299999,25.299999,25.299999,25.299999,23.468351,0,0.0,0.0,0.0
2021-11-19,25.299999,25.299999,25.299999,25.299999,23.468351,0,0.0,0.0,0.0
2021-11-22,25.299999,25.299999,25.299999,25.299999,23.468351,0,0.0,0.0,0.0
2021-11-23,25.059999,25.059999,25.059999,25.059999,23.245729,200,0.0,0.0,0.0
2021-11-24,25.129999,25.172001,25.110001,25.172001,23.349619,200,0.0,0.0,0.0
2021-11-26,25.172001,25.172001,25.172001,25.172001,23.349619,0,0.0,0.0,0.0
2021-11-29,25.02,25.136999,25.02,25.136999,23.317152,300,0.0,0.0,0.0
2021-11-30,24.73,24.73,24.573,24.573,22.79398,300,0.0,0.0,0.0
2021-12-01,24.540001,24.540001,24.375999,24.375999,22.611244,300,0.0,0.0,0.0
2021-12-02,24.375999,24.375999,24.375999,24.375999,22.611244,0,0.0,0.0,0.0
2021-12-03,24.559999,24.716,24.559999,24.716,22.926632,200,0.0,0.0,0.0
2021-12-06,24.716,24.716,24.716,24.716,22.926632,0,0.0,0.0,0.0
2021-12-07,24.716,24.716,24.716,24.716,22.926632,0,0.0,0.0,0.0
2021-12-08,25.23,25.275999,25.226999,25.275999,23.446089,1600,0.0,0.0,0.0
2021-12-09,25.275999,25.275999,25.275999,25.275999,23.446089,100,0.0,0.0,0.0
2021-12-10,25.348,25.403999,25.348,25.403999,23.564827,200,0.0,0.0,0.0
2021-12-13,25.403999,25.403999,25.403999,25.403999,23.564827,0,0.0,0.0,0.0
