Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2024-10-21,15.52,15.52,15.395,15.431,15.180913,101700,0.0,0.0,0.0
2024-10-22,15.55,15.55,15.325,15.378,15.128772,116400,0.0,0.0,0.0
2024-10-23,15.49,15.49,15.2,15.261,15.013667,22700,0.0,0.0,0.0
2024-10-24,15.229,15.234,15.17,15.225,14.978251,26800,0.0,0.0,0.0
2024-10-25,15.26,15.3,15.16,15.16,14.914304,27400,0.0,0.0,0.0
2024-10-28,15.37,15.37,15.22,15.23,14.983171,38000,0.0,0.0,0.0
2024-10-29,15.21,15.22,15.18,15.18,14.933981,50600,0.0,0.0,0.0
2024-10-30,15.04,15.22,15.04,15.14,14.894629,13400,0.0,0.0,0.0
2024-10-31,15.04,15.112,15.025,15.025,14.781492,56000,0.0,0.0,0.0
2024-11-01,15.25,15.25,15.022,15.022,14.778542,7600,0.0,0.0,0.0
2024-11-04,15.2,15.2,14.94,14.99,14.74706,3600,0.0,0.0,0.0
2024-11-05,15.12,15.12,14.99,15.11,14.865115,7500,0.0,0.0,0.0
2024-11-06,15.38,15.47,15.32,15.444,15.193703,21300,0.0,0.0,0.0
2024-11-07,15.44,15.495,15.43,15.48,15.229117,28400,0.0,0.0,0.0
2024-11-08,15.35,15.611,15.35,15.58,15.327497,37100,0.0,0.0,0.0
2024-11-11,15.68,15.68,15.598,15.61,15.357012,4600,0.0,0.0,0.0
2024-11-12,15.51,15.569,15.49,15.52,15.268471,18500,0.0,0.0,0.0
2024-11-13,15.55,15.6,15.5,15.59,15.337337,5200,0.0,0.0,0.0
2024-11-14,15.53,15.53,15.44,15.44,15.189766,12600,0.0,0.0,0.0
2024-11-15,15.358,15.358,15.3,15.32,15.071712,4100,0.0,0.0,0.0
2024-11-18,15.26,15.4,15.26,15.4,15.150415,3100,0.0,0.0,0.0
2024-11-19,15.33,15.38,15.33,15.38,15.130739,17200,0.0,0.0,0.0
2024-11-20,15.34,15.4,15.307,15.4,15.150415,6200,0.0,0.0,0.0
2024-11-21,15.395,15.53,15.38,15.51,15.258633,11700,0.0,0.0,0.0
2024-11-22,15.57,15.57,15.53,15.57,15.317659,4200,0.0,0.0,0.0
2024-11-25,15.83,15.83,15.62,15.655,15.401281,32200,0.0,0.0,0.0
2024-11-26,15.79,15.79,15.65,15.749,15.493759,7700,0.0,0.0,0.0
2024-11-27,15.69,15.79,15.69,15.715,15.46031,18700,0.0,0.0,0.0
2024-11-29,15.73,15.815,15.73,15.8,15.543933,3800,0.0,0.0,0.0
2024-12-02,15.74,15.76,15.729,15.76,15.504581,4500,0.0,0.0,0.0
2024-12-03,15.81,15.81,15.73,15.735,15.479985,10100,0.0,0.0,0.0
2024-12-04,15.724,15.75,15.71,15.735,15.479985,3900,0.0,0.0,0.0
2024-12-05,15.78,15.78,15.73,15.73,15.475066,19800,0.0,0.0,0.0
2024-12-06,15.75,15.77,15.726,15.735,15.479985,2400,0.0,0.0,0.0
2024-12-09,15.74,15.74,15.605,15.605,15.352093,5100,0.0,0.0,0.0
2024-12-10,15.55,15.61,15.55,15.57,15.317659,11300,0.0,0.0,0.0
2024-12-11,15.63,15.63,15.465,15.465,15.325587,4900,0.113,0.0,0.0
2024-12-12,15.45,15.451,15.384,15.384,15.245317,1400,0.0,0.0,0.0
2024-12-13,15.349,15.349,15.32,15.336,15.197751,2700,0.0,0.0,0.0
2024-12-16,15.3,15.322,15.242,15.242,15.104597,31900,0.0,0.0,0.0
2024-12-17,15.22,15.225,15.14,15.183,15.046129,20900,0.0,0.0,0.0
2024-12-18,15.18,15.2,14.82,14.832,14.698294,6400,0.0,0.0,0.0
2024-12-19,14.96,14.96,14.827,14.827,14.693338,3700,0.0,0.0,0.0
2024-12-20,14.79,15.041,14.79,14.948,14.813248,12100,0.0,0.0,0.0
2024-12-23,14.87,14.992,14.87,14.992,14.856851,34300,0.0,0.0,0.0
2024-12-24,15.01,15.103,15.01,15.103,14.96685,5200,0.0,0.0,0.0
2024-12-26,15.117,15.13,15.11,15.117,14.980724,11400,0.0,0.0,0.0
2024-12-27,15.02,15.02,14.92,15.009,14.873698,9600,0.0,0.0,0.0
2024-12-30,14.79,14.9,14.77,14.861,14.727033,6000,0.0,0.0,0.0
2024-12-31,14.91,14.91,14.85,14.863,14.729014,3500,0.0,0.0,0.0
2025-01-02,14.94,14.96,14.77,14.807,14.673519,4500,0.0,0.0,0.0
2025-01-03,14.88,14.92,14.84,14.901,14.766671,6800,0.0,0.0,0.0
2025-01-06,15.07,15.07,14.87,14.888,14.753788,11700,0.0,0.0,0.0
2025-01-07,14.96,14.96,14.85,14.865,14.730996,105200,0.0,0.0,0.0
2025-01-08,14.8,14.89,14.78,14.89,14.755771,8400,0.0,0.0,0.0
2025-01-10,14.87,14.88,14.8,14.81,14.676493,8100,0.0,0.0,0.0
2025-01-13,14.79,14.884,14.79,14.884,14.749825,15500,0.0,0.0,0.0
2025-01-14,14.87,14.938,14.84,14.938,14.803338,21200,0.0,0.0,0.0
2025-01-15,15.11,15.11,15.05,15.085,14.949013,4800,0.0,0.0,0.0
2025-01-16,15.08,15.13,15.06,15.128,14.991626,2100,0.0,0.0,0.0
2025-01-17,15.247,15.28,15.232,15.233,15.095678,8400,0.0,0.0,0.0
2025-01-21,15.35,15.416,15.35,15.416,15.277029,7600,0.0,0.0,0.0
2025-01-22,15.4,15.41,15.375,15.375,15.236399,1100,0.0,0.0,0.0
2025-01-23,15.39,15.461,15.39,15.461,15.321624,141700,0.0,0.0,0.0
2025-01-24,15.49,15.49,15.44,15.452,15.312704,10400,0.0,0.0,0.0
2025-01-27,15.19,15.6,15.19,15.6,15.459371,13700,0.0,0.0,0.0
2025-01-28,15.54,15.55,15.516,15.516,15.376127,8800,0.0,0.0,0.0
2025-01-29,15.53,15.54,15.46,15.479,15.339461,7400,0.0,0.0,0.0
2025-01-30,15.55,15.62,15.52,15.605,15.464325,15500,0.0,0.0,0.0
2025-01-31,15.6,15.63,15.47,15.47,15.330543,5000,0.0,0.0,0.0
2025-02-03,15.3,15.52,15.29,15.458,15.31865,61600,0.0,0.0,0.0
2025-02-04,15.46,15.58,15.46,15.58,15.43955,19500,0.0,0.0,0.0
2025-02-05,15.55,15.62,15.52,15.605,15.464325,27400,0.0,0.0,0.0
2025-02-06,15.64,15.64,15.53,15.569,15.42865,12800,0.0,0.0,0.0
2025-02-07,15.585,15.63,15.49,15.5,15.360271,13100,0.0,0.0,0.0
2025-02-10,15.53,15.58,15.53,15.57,15.429641,30700,0.0,0.0,0.0
2025-02-11,15.542,15.65,15.542,15.642,15.500992,4600,0.0,0.0,0.0
2025-02-12,15.58,15.69,15.58,15.68,15.53865,21400,0.0,0.0,0.0
2025-02-13,15.8,15.89,15.74,15.874,15.7309,43800,0.0,0.0,0.0
2025-02-14,15.864,15.89,15.81,15.82,15.677386,23500,0.0,0.0,0.0
2025-02-18,16.0,16.0,15.85,15.929,15.785404,15000,0.0,0.0,0.0
2025-02-19,15.71,15.96,15.71,15.94,15.796305,7100,0.0,0.0,0.0
2025-02-20,16.01,16.01,15.81,15.89,15.746757,11300,0.0,0.0,0.0
2025-02-21,15.79,15.79,15.66,15.66,15.518829,6700,0.0,0.0,0.0
2025-02-24,15.685,15.75,15.66,15.694,15.552524,9700,0.0,0.0,0.0
2025-02-25,15.73,15.775,15.66,15.71,15.568378,12600,0.0,0.0,0.0
2025-02-26,15.71,15.77,15.657,15.657,15.515856,3600,0.0,0.0,0.0
2025-02-27,15.69,15.777,15.605,15.64,15.49901,13600,0.0,0.0,0.0
2025-02-28,15.46,15.82,15.46,15.81,15.667478,16900,0.0,0.0,0.0
2025-03-03,15.939,15.939,15.6,15.64,15.49901,13100,0.0,0.0,0.0
2025-03-04,15.48,15.52,15.356,15.356,15.217569,22900,0.0,0.0,0.0
2025-03-05,15.36,15.53,15.3,15.48,15.340451,58700,0.0,0.0,0.0
2025-03-06,15.36,15.465,15.316,15.382,15.243336,24400,0.0,0.0,0.0
2025-03-07,15.42,15.49,15.29,15.489,15.349371,29200,0.0,0.0,0.0
2025-03-10,15.43,15.43,15.199,15.259,15.121444,4200,0.0,0.0,0.0
2025-03-11,15.34,15.34,15.004,15.072,14.93613,29000,0.0,0.0,0.0
2025-03-12,15.3,15.3,14.94,15.061,14.925229,2500,0.0,0.0,0.0
2025-03-13,15.17,15.17,14.95,14.99,14.854869,12100,0.0,0.0,0.0
2025-03-14,15.09,15.233,15.09,15.233,15.095678,1900,0.0,0.0,0.0
2025-03-17,15.4,15.48,15.35,15.44,15.300812,2600,0.0,0.0,0.0
2025-03-18,15.37,15.38,15.31,15.367,15.228471,8100,0.0,0.0,0.0
2025-03-19,15.412,15.52,15.39,15.46,15.320632,2100,0.0,0.0,0.0
2025-03-20,15.56,15.56,15.4,15.45,15.310722,5400,0.0,0.0,0.0
2025-03-21,15.3,15.38,15.3,15.38,15.241354,4600,0.0,0.0,0.0
2025-03-24,15.56,15.57,15.5,15.553,15.412794,7400,0.0,0.0,0.0
2025-03-25,15.76,15.76,15.505,15.543,15.402884,20800,0.0,0.0,0.0
2025-03-26,15.6,15.605,15.49,15.508,15.3682,1600,0.0,0.0,0.0
2025-03-27,15.47,15.52,15.456,15.456,15.316669,89400,0.0,0.0,0.0
2025-03-28,15.4,15.4,15.23,15.236,15.098652,11400,0.0,0.0,0.0
2025-03-31,14.92,15.38,14.92,15.34,15.201715,8100,0.0,0.0,0.0
2025-04-01,15.3,15.33,15.18,15.299,15.161083,5100,0.0,0.0,0.0
2025-04-02,15.26,15.42,15.26,15.393,15.254236,20900,0.0,0.0,0.0
2025-04-03,14.99,15.08,14.916,14.916,14.781537,4100,0.0,0.0,0.0
2025-04-04,14.499,14.51,14.067,14.067,13.94019,111100,0.0,0.0,0.0
2025-04-07,13.59,14.05,13.526,13.933,13.807398,23000,0.0,0.0,0.0
2025-04-08,14.34,14.4,13.61,13.773,13.64884,24500,0.0,0.0,0.0
2025-04-09,13.7,14.76,13.7,14.75,14.617033,22700,0.0,0.0,0.0
