Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-06-24,10.0,10.01,10.0,10.01,10.01,369100,0.0,0.0
2025-06-25,10.01,10.03,10.0,10.01,10.01,297500,0.0,0.0
2025-06-26,10.02,10.02,10.0,10.0,10.0,192400,0.0,0.0
2025-06-27,10.0,10.0,10.0,10.0,10.0,400,0.0,0.0
2025-06-30,10.02,10.02,10.02,10.02,10.02,200,0.0,0.0
2025-07-01,10.003,10.01,10.0,10.0,10.0,354600,0.0,0.0
2025-07-02,10.0,10.007,10.0,10.0,10.0,104500,0.0,0.0
2025-07-03,10.0,10.0,10.0,10.0,10.0,227700,0.0,0.0
2025-07-07,10.01,10.02,10.005,10.02,10.02,828800,0.0,0.0
2025-07-08,10.01,10.02,10.01,10.015,10.015,101900,0.0,0.0
2025-07-09,10.02,10.02,10.02,10.02,10.02,3700,0.0,0.0
2025-07-10,10.02,10.02,10.02,10.02,10.02,6900,0.0,0.0
2025-07-11,10.03,10.03,10.03,10.03,10.03,600,0.0,0.0
2025-07-14,10.03,10.03,10.03,10.03,10.03,200,0.0,0.0
2025-07-15,10.01,10.02,10.01,10.02,10.02,43200,0.0,0.0
2025-07-16,10.011,10.011,10.01,10.01,10.01,3100,0.0,0.0
2025-07-17,10.01,10.01,10.01,10.01,10.01,0,0.0,0.0
2025-07-18,10.01,10.01,10.01,10.01,10.01,0,0.0,0.0
2025-07-21,10.02,10.02,10.02,10.02,10.02,9200,0.0,0.0
2025-07-22,10.02,10.02,10.02,10.02,10.02,0,0.0,0.0
2025-07-23,10.03,10.06,10.03,10.045,10.045,29100,0.0,0.0
2025-07-24,10.05,10.05,10.045,10.045,10.045,3100,0.0,0.0
2025-07-25,10.045,10.045,10.045,10.045,10.045,0,0.0,0.0
2025-07-28,10.045,10.045,10.045,10.045,10.045,0,0.0,0.0
2025-07-29,10.045,10.045,10.045,10.045,10.045,0,0.0,0.0
2025-07-30,10.04,10.055,10.04,10.055,10.055,1900,0.0,0.0
2025-07-31,10.055,10.055,10.055,10.055,10.055,0,0.0,0.0
2025-08-01,10.055,10.055,10.055,10.055,10.055,0,0.0,0.0
2025-08-04,10.06,10.06,10.04,10.04,10.04,1600,0.0,0.0
2025-08-05,10.03,10.03,10.03,10.03,10.03,100900,0.0,0.0
2025-08-06,10.04,10.05,10.04,10.04,10.04,5000,0.0,0.0
2025-08-07,10.07,10.08,10.053,10.053,10.053,11000,0.0,0.0
2025-08-08,10.05,10.05,10.05,10.05,10.05,2700,0.0,0.0
2025-08-11,10.03,10.03,10.03,10.03,10.03,12900,0.0,0.0
2025-08-12,10.03,10.033,10.01,10.01,10.01,1519700,0.0,0.0
2025-08-13,10.025,10.025,10.025,10.025,10.025,33100,0.0,0.0
2025-08-14,10.03,10.035,10.03,10.03,10.03,50700,0.0,0.0
2025-08-15,10.027,10.027,10.027,10.027,10.027,37600,0.0,0.0
2025-08-18,10.027,10.027,10.027,10.027,10.027,0,0.0,0.0
2025-08-19,10.03,10.03,10.02,10.02,10.02,280900,0.0,0.0
2025-08-20,10.02,10.02,10.02,10.02,10.02,40200,0.0,0.0
2025-08-21,10.04,10.04,10.03,10.03,10.03,69200,0.0,0.0
2025-08-22,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2025-08-25,10.01,10.05,10.01,10.05,10.05,62100,0.0,0.0
2025-08-26,10.02,10.02,10.02,10.02,10.02,35000,0.0,0.0
2025-08-27,10.02,10.02,10.02,10.02,10.02,0,0.0,0.0
2025-08-28,10.02,10.025,10.019,10.019,10.019,86400,0.0,0.0
2025-08-29,10.01,10.01,10.01,10.01,10.01,18200,0.0,0.0
2025-09-02,10.01,10.01,10.01,10.01,10.01,0,0.0,0.0
2025-09-03,10.02,10.02,10.02,10.02,10.02,160000,0.0,0.0
2025-09-04,10.02,10.025,10.02,10.025,10.025,289700,0.0,0.0
2025-09-05,10.02,10.03,10.02,10.03,10.03,25300,0.0,0.0
2025-09-08,10.03,10.03,10.03,10.03,10.03,75200,0.0,0.0
2025-09-09,10.03,10.04,10.03,10.04,10.04,430500,0.0,0.0
2025-09-10,10.035,10.035,10.035,10.035,10.035,400,0.0,0.0
2025-09-11,10.04,10.04,10.04,10.04,10.04,3500,0.0,0.0
2025-09-12,10.037,10.04,10.018,10.04,10.04,4500,0.0,0.0
2025-09-15,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-09-16,10.03,10.03,10.03,10.03,10.03,2100,0.0,0.0
2025-09-17,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2025-09-18,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2025-09-19,10.03,10.03,10.03,10.03,10.03,0,0.0,0.0
2025-09-22,10.04,10.04,10.04,10.04,10.04,2500,0.0,0.0
2025-09-23,10.04,10.04,10.04,10.04,10.04,0,0.0,0.0
2025-09-24,10.04,10.04,10.04,10.04,10.04,5700,0.0,0.0
2025-09-25,10.04,10.04,10.035,10.035,10.035,47600,0.0,0.0
2025-09-26,10.04,10.04,10.04,10.04,10.04,5000,0.0,0.0
2025-09-29,10.04,10.04,10.04,10.04,10.04,15000,0.0,0.0
2025-09-30,10.045,10.045,10.045,10.045,10.045,600,0.0,0.0
2025-10-01,10.045,10.045,10.045,10.045,10.045,0,0.0,0.0
2025-10-02,10.045,10.045,10.045,10.045,10.045,0,0.0,0.0
2025-10-03,10.04,10.04,10.04,10.04,10.04,969400,0.0,0.0
2025-10-06,10.045,10.045,10.045,10.045,10.045,25000,0.0,0.0
2025-10-07,10.05,10.08,10.05,10.075,10.075,645900,0.0,0.0
2025-10-08,10.05,10.07,10.05,10.07,10.07,54800,0.0,0.0
2025-10-09,10.07,10.08,10.07,10.07,10.07,20200,0.0,0.0
2025-10-10,10.08,10.08,10.08,10.08,10.08,200,0.0,0.0
2025-10-13,10.1,10.12,10.096,10.096,10.096,4000,0.0,0.0
2025-10-14,10.096,10.096,10.096,10.096,10.096,0,0.0,0.0
2025-10-15,10.1,10.1,10.09,10.09,10.09,2400,0.0,0.0
2025-10-16,10.09,10.09,10.09,10.09,10.09,0,0.0,0.0
2025-10-17,10.095,10.096,10.08,10.08,10.08,4000,0.0,0.0
2025-10-20,10.08,10.08,10.08,10.08,10.08,0,0.0,0.0
2025-10-21,10.08,10.1,10.08,10.1,10.1,51400,0.0,0.0
2025-10-22,10.1,10.1,10.1,10.1,10.1,0,0.0,0.0
2025-10-23,10.1,10.1,10.1,10.1,10.1,0,0.0,0.0
2025-10-24,10.08,10.08,10.08,10.08,10.08,50000,0.0,0.0
2025-10-27,10.09,10.1,10.08,10.1,10.1,67300,0.0,0.0
2025-10-28,10.1,10.1,10.09,10.09,10.09,17700,0.0,0.0
2025-10-29,10.1,10.13,10.1,10.13,10.13,40500,0.0,0.0
2025-10-30,10.1,10.13,10.1,10.11,10.11,349000,0.0,0.0
2025-10-31,10.13,10.13,10.12,10.13,10.13,7600,0.0,0.0
2025-11-03,10.13,10.15,10.13,10.14,10.14,7000,0.0,0.0
2025-11-04,10.135,10.14,10.13,10.14,10.14,16500,0.0,0.0
2025-11-05,10.13,10.13,10.13,10.13,10.13,300,0.0,0.0
2025-11-06,10.13,10.13,10.13,10.13,10.13,300,0.0,0.0
2025-11-07,10.13,10.13,10.13,10.13,10.13,100,0.0,0.0
2025-11-10,10.13,10.13,10.13,10.13,10.13,200,0.0,0.0
2025-11-11,10.14,10.14,10.13,10.13,10.13,50100,0.0,0.0
2025-11-12,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2025-11-13,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2025-11-14,10.149,10.15,10.149,10.15,10.15,10800,0.0,0.0
2025-11-17,10.14,10.15,10.13,10.13,10.13,42500,0.0,0.0
2025-11-18,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2025-11-19,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2025-11-20,10.13,10.13,10.13,10.13,10.13,0,0.0,0.0
2025-11-21,10.15,10.15,10.15,10.15,10.15,3300,0.0,0.0
2025-11-24,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2025-11-25,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2025-11-26,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2025-11-28,10.15,10.15,10.15,10.15,10.15,0,0.0,0.0
2025-12-01,10.16,10.17,10.11,10.14,10.14,73800,0.0,0.0
2025-12-02,10.125,10.125,10.125,10.125,10.125,2900,0.0,0.0
2025-12-03,10.1,10.12,10.1,10.12,10.12,1500,0.0,0.0
2025-12-04,10.15,10.15,10.12,10.12,10.12,30300,0.0,0.0
2025-12-05,10.12,10.12,10.12,10.12,10.12,0,0.0,0.0
2025-12-08,10.1,10.12,10.1,10.12,10.12,13500,0.0,0.0
2025-12-09,10.12,10.125,10.11,10.11,10.11,77900,0.0,0.0
2025-12-10,10.101,10.101,10.101,10.101,10.101,200,0.0,0.0
2025-12-11,10.11,10.11,10.11,10.11,10.11,11800,0.0,0.0
2025-12-12,10.11,10.11,10.11,10.11,10.11,0,0.0,0.0
2025-12-15,10.11,10.11,10.11,10.11,10.11,0,0.0,0.0
2025-12-16,10.11,10.11,10.11,10.11,10.11,0,0.0,0.0
2025-12-17,10.11,10.11,10.11,10.11,10.11,97200,0.0,0.0
2025-12-18,10.325,10.42,10.26,10.29,10.29,6894600,0.0,0.0
2025-12-19,10.28,10.3,10.28,10.3,10.3,971600,0.0,0.0
2025-12-22,10.33,10.33,10.16,10.3,10.3,1342500,0.0,0.0
2025-12-23,10.3,10.3,10.255,10.3,10.3,228600,0.0,0.0
2025-12-24,10.35,10.35,10.3,10.33,10.33,59400,0.0,0.0
2025-12-26,10.32,10.32,10.28,10.31,10.31,32100,0.0,0.0
2025-12-29,10.32,10.32,10.28,10.29,10.29,74600,0.0,0.0
2025-12-30,10.32,10.32,10.26,10.27,10.27,65800,0.0,0.0
2025-12-31,10.28,10.3,10.27,10.295,10.295,47000,0.0,0.0
2026-01-02,10.33,10.33,10.298,10.32,10.32,18600,0.0,0.0
2026-01-05,10.33,10.33,10.29,10.3,10.3,401500,0.0,0.0
2026-01-06,10.33,10.33,10.275,10.31,10.31,73100,0.0,0.0
2026-01-07,10.31,10.32,10.28,10.295,10.295,241200,0.0,0.0
2026-01-08,10.3,10.315,10.28,10.28,10.28,211700,0.0,0.0
2026-01-09,10.32,10.324,10.29,10.29,10.29,26500,0.0,0.0
2026-01-12,10.33,10.33,10.29,10.29,10.29,20600,0.0,0.0
2026-01-13,10.323,10.323,10.28,10.307,10.307,53800,0.0,0.0
2026-01-14,10.28,10.315,10.28,10.29,10.29,18700,0.0,0.0
2026-01-15,10.33,10.39,10.25,10.33,10.33,727100,0.0,0.0
2026-01-16,10.35,10.35,10.29,10.31,10.31,130000,0.0,0.0
2026-01-20,10.33,10.34,10.285,10.3,10.3,58900,0.0,0.0
2026-01-21,10.32,10.37,10.29,10.29,10.29,113900,0.0,0.0
2026-01-22,10.29,10.33,10.28,10.28,10.28,366800,0.0,0.0
2026-01-23,10.28,10.285,10.24,10.24,10.24,225900,0.0,0.0
2026-01-26,10.24,10.26,10.23,10.23,10.23,141800,0.0,0.0
2026-01-27,10.25,10.29,10.24,10.27,10.27,618600,0.0,0.0
2026-01-28,10.27,10.32,10.27,10.29,10.29,670300,0.0,0.0
2026-01-29,10.3,10.31,10.3,10.3,10.3,42700,0.0,0.0
2026-01-30,10.3,10.32,10.27,10.31,10.31,115100,0.0,0.0
2026-02-02,10.31,10.31,10.29,10.29,10.29,334900,0.0,0.0
2026-02-03,10.3,10.309,10.29,10.29,10.29,266500,0.0,0.0
2026-02-04,10.35,10.35,10.28,10.29,10.29,48900,0.0,0.0
2026-02-05,10.29,10.32,10.29,10.3,10.3,205900,0.0,0.0
2026-02-06,10.3,10.3,10.29,10.3,10.3,23800,0.0,0.0
2026-02-09,10.28,10.31,10.28,10.29,10.29,243700,0.0,0.0
2026-02-10,10.31,10.31,10.29,10.3,10.3,7600,0.0,0.0
2026-02-11,10.29,10.32,10.28,10.29,10.29,33000,0.0,0.0
2026-02-12,10.29,10.3,10.27,10.28,10.28,29900,0.0,0.0
2026-02-13,10.283,10.3,10.27,10.3,10.3,27100,0.0,0.0
2026-02-17,10.28,10.3,10.275,10.29,10.29,43300,0.0,0.0
2026-02-18,10.29,10.3,10.28,10.3,10.3,167500,0.0,0.0
2026-02-19,10.285,10.3,10.265,10.29,10.29,99600,0.0,0.0
2026-02-20,10.27,10.28,10.25,10.28,10.28,40300,0.0,0.0
2026-02-23,10.29,10.29,10.27,10.28,10.28,4600,0.0,0.0
2026-02-24,10.267,10.28,10.26,10.28,10.28,43500,0.0,0.0
2026-02-25,10.28,10.29,10.27,10.29,10.29,2700,0.0,0.0
2026-02-26,10.27,10.3,10.27,10.29,10.29,1400,0.0,0.0
2026-02-27,10.3,10.3,10.25,10.25,10.25,34900,0.0,0.0
2026-03-02,10.26,10.27,10.25,10.26,10.26,18300,0.0,0.0
2026-03-03,10.27,10.28,10.265,10.27,10.27,11800,0.0,0.0
2026-03-04,10.28,10.28,10.27,10.27,10.27,8100,0.0,0.0
2026-03-05,10.28,10.28,10.26,10.28,10.28,331100,0.0,0.0
2026-03-06,10.28,10.28,10.27,10.27,10.27,3200,0.0,0.0
2026-03-09,10.27,10.28,10.26,10.26,10.26,9800,0.0,0.0
2026-03-10,10.273,10.28,10.26,10.26,10.26,67000,0.0,0.0
2026-03-11,10.27,10.28,10.27,10.27,10.27,8000,0.0,0.0
2026-03-12,10.28,10.28,10.26,10.27,10.27,77500,0.0,0.0
2026-03-13,10.265,10.265,10.26,10.265,10.265,23500,0.0,0.0
2026-03-16,10.27,10.27,10.25,10.26,10.26,37400,0.0,0.0
2026-03-17,10.26,10.26,10.25,10.26,10.26,19700,0.0,0.0
2026-03-18,10.25,10.26,10.245,10.26,10.26,63400,0.0,0.0
2026-03-19,10.25,10.26,10.25,10.26,10.26,18500,0.0,0.0
2026-03-20,10.25,10.26,10.24,10.26,10.26,58500,0.0,0.0
2026-03-23,10.26,10.26,10.24,10.26,10.26,54400,0.0,0.0
2026-03-24,10.25,10.26,10.24,10.26,10.26,75000,0.0,0.0
2026-03-25,10.25,10.25,10.24,10.25,10.25,19200,0.0,0.0
2026-03-26,10.245,10.245,10.23,10.23,10.23,19400,0.0,0.0
2026-03-27,10.24,10.24,10.23,10.24,10.24,24700,0.0,0.0
2026-03-30,10.25,10.25,10.23,10.25,10.25,133200,0.0,0.0
2026-03-31,10.24,10.28,10.24,10.255,10.255,383800,0.0,0.0
2026-04-01,10.255,10.32,10.25,10.3,10.3,879700,0.0,0.0
2026-04-02,10.3,10.3,10.26,10.28,10.28,56500,0.0,0.0
2026-04-06,10.28,10.31,10.26,10.28,10.28,167900,0.0,0.0
2026-04-07,10.27,10.31,10.255,10.27,10.27,165200,0.0,0.0
2026-04-08,10.28,10.31,10.26,10.265,10.265,156100,0.0,0.0
2026-04-09,10.28,10.28,10.25,10.27,10.27,110600,0.0,0.0
2026-04-10,10.27,10.27,10.26,10.26,10.26,95200,0.0,0.0
2026-04-13,10.27,10.27,10.25,10.26,10.26,95300,0.0,0.0
2026-04-14,10.27,10.27,10.255,10.26,10.26,110900,0.0,0.0
2026-04-15,10.27,10.33,10.26,10.285,10.285,385000,0.0,0.0
2026-04-16,10.3,10.33,10.28,10.29,10.29,152000,0.0,0.0
2026-04-17,10.29,10.3,10.29,10.29,10.29,137900,0.0,0.0
2026-04-20,10.3,10.3,10.285,10.299,10.299,48100,0.0,0.0
2026-04-21,10.29,10.3,10.28,10.29,10.29,52500,0.0,0.0
2026-04-22,10.29,10.29,10.28,10.285,10.285,88400,0.0,0.0
2026-04-23,10.3,10.32,10.29,10.31,10.31,204900,0.0,0.0
2026-04-24,10.31,10.32,10.31,10.32,10.32,45300,0.0,0.0
2026-04-27,10.33,10.33,10.31,10.31,10.31,49700,0.0,0.0
2026-04-28,10.31,10.318,10.31,10.31,10.31,95200,0.0,0.0
