Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1997-11-10,25.75,25.75,25.125,25.1875,6.985048,947200,0.0,0.0
1997-11-11,25.1875,25.4375,25.125,25.3125,7.019711,514700,0.0,0.0
1997-11-12,25.25,25.875,25.125,25.625,7.106377,344700,0.0,0.0
1997-11-13,25.5625,25.9375,25.5625,25.875,7.175707,1007700,0.0,0.0
1997-11-14,25.875,26.0,25.6875,26.0,7.210371,1394900,0.0,0.0
1997-11-17,25.9375,26.25,25.875,26.125,7.245038,706600,0.0,0.0
1997-11-18,26.0,26.375,25.9375,26.0625,7.227704,625800,0.0,0.0
1997-11-19,26.0,26.25,26.0,26.25,7.2797,342400,0.0,0.0
1997-11-20,26.1875,26.625,26.1875,26.5,7.349037,558800,0.0,0.0
1997-11-21,26.75,26.875,26.5,26.875,7.453029,640800,0.0,0.0
1997-11-24,26.625,27.0,26.5,26.875,7.453029,330800,0.0,0.0
1997-11-25,26.8125,27.25,26.75,27.125,7.522357,1021000,0.0,0.0
1997-11-26,27.1875,27.1875,26.875,26.875,7.453029,488700,0.0,0.0
1997-11-28,27.0,27.0,26.875,27.0,7.487694,244200,0.0,0.0
1997-12-01,27.0,27.375,26.9375,27.375,7.59169,836200,0.0,0.0
1997-12-02,27.25,27.375,27.0625,27.125,7.522357,437800,0.0,0.0
1997-12-03,27.25,27.25,26.875,27.125,7.522357,338400,0.0,0.0
1997-12-04,27.25,27.6875,27.0625,27.375,7.59169,1405800,0.0,0.0
1997-12-05,27.125,27.875,27.125,27.3125,7.574357,362500,0.0,0.0
1997-12-08,27.375,27.4375,27.125,27.3125,7.574357,312900,0.0,0.0
1997-12-09,27.1875,27.3125,26.9375,27.1875,7.539695,365300,0.0,0.0
1997-12-10,27.4375,27.5,27.1875,27.3125,7.574357,354100,0.0,0.0
1997-12-11,27.25,27.3125,26.9375,27.125,7.522357,199600,0.0,0.0
1997-12-12,27.25,27.3125,27.0,27.1875,7.539695,680500,0.0,0.0
1997-12-15,27.1875,27.5625,27.1875,27.5,7.626354,489500,0.0,0.0
1997-12-16,27.5,27.5625,27.375,27.4375,7.609023,310200,0.0,0.0
1997-12-17,27.5625,27.5625,27.3125,27.4375,7.609023,386100,0.0,0.0
1997-12-18,27.4375,27.8125,27.375,27.8125,7.713022,1640900,0.0,0.0
1997-12-19,27.8125,28.3125,27.6875,28.3125,7.85168,2164100,0.0,0.0
1997-12-22,28.3125,28.8125,28.25,28.625,7.938344,851400,0.0,0.0
1997-12-23,28.4375,28.75,28.3125,28.5,7.903678,493200,0.0,0.0
1997-12-24,28.5625,28.6875,28.4375,28.625,7.938344,92200,0.0,0.0
1997-12-26,28.5625,28.625,28.0625,28.25,7.834348,215300,0.0,0.0
1997-12-29,28.25,28.75,28.125,28.5625,7.921007,280800,0.0,0.0
1997-12-30,28.625,28.8125,28.5,28.8125,7.990342,268600,0.0,0.0
1997-12-31,28.625,29.0,28.5625,29.0,8.042335,482900,0.0,0.0
1998-01-02,28.75,28.9375,28.5,28.875,8.007668,317200,0.0,0.0
1998-01-05,28.6875,28.90625,28.1875,28.375,7.86901,734200,0.0,0.0
1998-01-06,28.25,28.625,28.25,28.5625,7.921007,1507800,0.0,0.0
1998-01-07,28.4375,28.4375,28.0625,28.4375,7.886342,724000,0.0,0.0
1998-01-08,28.3125,28.4375,28.0625,28.375,7.86901,461600,0.0,0.0
1998-01-09,28.3125,28.5625,28.125,28.3125,7.85168,863900,0.0,0.0
1998-01-12,27.875,28.75,27.875,28.75,7.973006,679200,0.0,0.0
1998-01-13,28.75,28.75,28.375,28.4375,7.886342,1065600,0.0,0.0
1998-01-14,28.4375,28.4375,28.125,28.4375,7.886342,348700,0.0,0.0
1998-01-15,28.3125,28.375,28.25,28.25,7.834348,638200,0.0,0.0
1998-01-16,28.5,28.5,28.25,28.375,7.86901,488700,0.0,0.0
1998-01-20,28.375,28.5,28.0,28.5,7.903678,344700,0.0,0.0
1998-01-21,28.5,28.75,28.25,28.5,7.903678,464300,0.0,0.0
1998-01-22,28.4375,28.5,28.25,28.5,7.903678,421800,0.0,0.0
1998-01-23,28.4375,28.5,28.1875,28.3125,7.85168,320800,0.0,0.0
1998-01-26,28.25,28.625,28.25,28.625,7.938344,1019500,0.0,0.0
1998-01-27,28.625,28.875,28.5625,28.625,7.938344,415700,0.0,0.0
1998-01-28,28.5625,29.0,28.5,28.9375,8.025,325800,0.0,0.0
1998-01-29,28.9375,29.5,28.75,29.4375,8.163668,1813100,0.0,0.0
1998-01-30,29.375,29.5,29.0,29.0,8.042335,283500,0.0,0.0
1998-02-02,29.5,29.625,28.875,29.0,8.042335,1120100,0.0,0.0
1998-02-03,28.75,29.4375,28.75,29.4375,8.163668,2424000,0.0,0.0
1998-02-04,28.875,29.25,28.875,29.0625,8.163668,544800,0.375,0.0
1998-02-05,29.0625,29.4375,28.9375,29.25,8.216337,854100,0.0,0.0
1998-02-06,29.25,29.875,29.25,29.5625,8.304113,415100,0.0,0.0
1998-02-09,29.5,29.5625,29.3125,29.375,8.251447,553000,0.0,0.0
1998-02-10,29.25,29.4375,29.125,29.25,8.216337,329000,0.0,0.0
1998-02-11,29.1875,29.3125,29.125,29.25,8.216337,407900,0.0,0.0
1998-02-12,29.1875,29.4375,29.0,29.375,8.251447,436400,0.0,0.0
1998-02-13,29.375,29.6875,29.1875,29.625,8.321675,241300,0.0,0.0
1998-02-17,29.625,29.8125,29.0625,29.25,8.216337,336100,0.0,0.0
1998-02-18,29.25,29.4375,29.1875,29.1875,8.19878,320700,0.0,0.0
1998-02-19,29.1875,29.25,29.0,29.25,8.216337,510000,0.0,0.0
1998-02-20,29.3125,29.3125,28.875,29.0625,8.163668,392600,0.0,0.0
1998-02-23,29.125,29.125,28.75,29.0,8.14611,553700,0.0,0.0
1998-02-24,28.9375,29.0,28.5,28.75,8.075885,367100,0.0,0.0
1998-02-25,29.0,29.125,28.6875,29.0,8.14611,268300,0.0,0.0
1998-02-26,28.875,29.0,28.625,28.8125,8.093444,396700,0.0,0.0
1998-02-27,28.6875,28.9375,28.625,28.9375,8.128551,452600,0.0,0.0
1998-03-02,28.9375,29.125,28.8125,28.875,8.111,345700,0.0,0.0
1998-03-03,28.875,29.0625,28.6875,29.0625,8.163668,368100,0.0,0.0
1998-03-04,28.9375,29.3125,28.8125,29.3125,8.233893,281500,0.0,0.0
1998-03-05,29.1875,29.25,28.9375,29.0625,8.163668,389700,0.0,0.0
1998-03-06,29.0625,29.6875,29.0625,29.6875,8.339227,380900,0.0,0.0
1998-03-09,29.5,29.875,29.375,29.8125,8.374339,419800,0.0,0.0
1998-03-10,29.8125,30.3125,29.75,30.25,8.497234,308900,0.0,0.0
1998-03-11,30.25,30.3125,29.875,29.9375,8.409454,279000,0.0,0.0
1998-03-12,29.9375,30.1875,29.875,30.0625,8.444565,284400,0.0,0.0
1998-03-13,30.0625,30.0625,29.75,29.9375,8.409454,669000,0.0,0.0
1998-03-16,29.9375,30.3125,29.6875,30.3125,8.514789,275300,0.0,0.0
1998-03-17,30.3125,30.6875,30.1875,30.625,8.602572,386300,0.0,0.0
1998-03-18,30.5625,30.5625,30.25,30.4375,8.549903,247600,0.0,0.0
1998-03-19,30.3125,30.5,30.0625,30.5,8.567463,455000,0.0,0.0
1998-03-20,30.5,31.0,30.3125,30.8125,8.65524,528200,0.0,0.0
1998-03-23,30.6875,30.9375,30.625,30.75,8.637683,261700,0.0,0.0
1998-03-24,30.875,30.875,30.4375,30.625,8.602572,671300,0.0,0.0
1998-03-25,30.875,31.0625,30.5,31.0,8.707911,326700,0.0,0.0
1998-03-26,31.0625,31.1875,30.6875,30.875,8.672798,785200,0.0,0.0
1998-03-27,30.9375,30.9375,30.5,30.5,8.567463,364100,0.0,0.0
1998-03-30,30.375,30.625,30.25,30.3125,8.514789,359500,0.0,0.0
1998-03-31,30.375,31.625,30.375,30.8125,8.65524,722600,0.0,0.0
1998-04-01,30.9375,31.0625,30.625,30.9375,8.690352,214900,0.0,0.0
1998-04-02,30.9375,31.25,30.875,31.25,8.778134,180500,0.0,0.0
1998-04-03,31.125,31.4375,31.0,31.1875,8.760579,1067300,0.0,0.0
1998-04-06,31.375,31.5625,30.8125,30.9375,8.690352,462900,0.0,0.0
1998-04-07,30.875,30.9375,30.625,30.75,8.637683,397400,0.0,0.0
1998-04-08,30.625,31.0625,30.375,30.5625,8.585019,309800,0.0,0.0
1998-04-09,30.5,31.0,30.4375,31.0,8.707911,459800,0.0,0.0
1998-04-13,31.1875,31.1875,30.625,30.8125,8.65524,326800,0.0,0.0
1998-04-14,30.875,31.375,30.8125,31.25,8.778134,528400,0.0,0.0
1998-04-15,31.25,31.875,31.125,31.8125,8.936141,471500,0.0,0.0
1998-04-16,31.625,31.625,31.0625,31.1875,8.760579,426300,0.0,0.0
1998-04-17,31.25,31.5,31.0,31.5,8.848361,214900,0.0,0.0
1998-04-20,31.25,31.3125,30.625,30.9375,8.690352,220100,0.0,0.0
1998-04-21,30.6875,30.9375,30.3125,30.875,8.672798,400900,0.0,0.0
1998-04-22,30.75,30.9375,30.6875,30.75,8.637683,204000,0.0,0.0
1998-04-23,30.5,30.625,29.9375,30.0625,8.444565,688400,0.0,0.0
1998-04-24,30.0,30.4375,29.875,30.0,8.427012,233800,0.0,0.0
1998-04-27,29.75,29.859375,29.3125,29.5625,8.304113,431200,0.0,0.0
1998-04-28,29.625,29.75,29.4375,29.6875,8.339227,353800,0.0,0.0
1998-04-29,29.625,29.75,29.4375,29.625,8.321675,249300,0.0,0.0
1998-04-30,29.875,30.3125,29.8125,30.25,8.497234,393000,0.0,0.0
1998-05-01,30.375,30.4375,29.875,30.4375,8.549903,452500,0.0,0.0
