Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2007-05-10,30.040001,30.040001,30.01,30.01,23.657011,2000,0.0,0.0,0.0
2007-05-11,30.01,30.01,30.01,30.01,23.657011,0,0.0,0.0,0.0
2007-05-14,30.040001,30.040001,30.040001,30.040001,23.680658,500,0.0,0.0,0.0
2007-05-15,30.059999,30.059999,29.879999,29.879999,23.554533,1000,0.0,0.0,0.0
2007-05-16,30.01,30.01,30.01,30.01,23.657011,100,0.0,0.0,0.0
2007-05-17,30.059999,30.08,30.059999,30.08,23.712198,2400,0.0,0.0,0.0
2007-05-18,30.25,30.25,30.25,30.25,23.846207,600,0.0,0.0,0.0
2007-05-21,30.25,30.25,30.25,30.25,23.846207,0,0.0,0.0,0.0
2007-05-22,30.25,30.25,30.25,30.25,23.846207,0,0.0,0.0,0.0
2007-05-23,30.25,30.25,30.25,30.25,23.846207,0,0.0,0.0,0.0
2007-05-24,30.389999,30.389999,30.389999,30.389999,23.956562,300,0.0,0.0,0.0
2007-05-25,30.389999,30.389999,30.389999,30.389999,23.956562,0,0.0,0.0,0.0
2007-05-29,30.190001,30.209999,30.190001,30.209999,23.81468,900,0.0,0.0,0.0
2007-05-30,30.1,30.139999,30.1,30.139999,23.759493,10500,0.0,0.0,0.0
2007-05-31,30.51,30.549999,30.459999,30.51,24.051165,7900,0.0,0.0,0.0
2007-06-01,30.690001,30.690001,30.690001,30.690001,24.193058,500,0.0,0.0,0.0
2007-06-04,30.65,30.709999,30.65,30.709999,24.208826,3500,0.0,0.0,0.0
2007-06-05,30.58,30.58,30.58,30.58,24.106344,400,0.0,0.0,0.0
2007-06-06,30.26,30.26,30.26,30.26,23.854088,2500,0.0,0.0,0.0
2007-06-07,29.860001,29.860001,29.809999,29.809999,23.499359,1100,0.0,0.0,0.0
2007-06-08,29.73,29.73,29.73,29.73,23.436285,800,0.0,0.0,0.0
2007-06-11,29.73,29.73,29.73,29.73,23.436285,0,0.0,0.0,0.0
2007-06-12,29.84,29.889999,29.73,29.73,23.436285,25700,0.0,0.0,0.0
2007-06-13,29.940001,29.98,29.940001,29.98,23.63336,700,0.0,0.0,0.0
2007-06-14,30.33,30.33,30.33,30.33,23.909277,400,0.0,0.0,0.0
2007-06-15,30.6,30.6,30.530001,30.530001,24.066925,700,0.0,0.0,0.0
2007-06-18,30.59,30.59,30.51,30.51,24.051165,6000,0.0,0.0,0.0
2007-06-19,30.459999,30.459999,30.459999,30.459999,24.011757,100,0.0,0.0,0.0
2007-06-20,30.48,30.48,30.08,30.08,23.712198,800,0.0,0.0,0.0
2007-06-21,30.030001,30.27,30.030001,30.27,23.861973,15100,0.0,0.0,0.0
2007-06-22,30.209999,30.209999,30.09,30.120001,23.743725,16300,0.0,0.0,0.0
2007-06-25,30.17,30.17,29.85,29.85,23.530886,900,0.0,0.0,0.0
2007-06-26,29.870001,29.870001,29.68,29.68,23.396872,1500,0.0,0.0,0.0
2007-06-27,29.82,29.82,29.82,29.82,23.507233,100,0.0,0.0,0.0
2007-06-28,29.99,29.99,29.99,29.99,23.641245,300,0.0,0.0,0.0
2007-06-29,29.969999,29.969999,29.73,29.870001,23.546646,23800,0.0,0.0,0.0
2007-07-02,29.870001,29.870001,29.870001,29.870001,23.546646,0,0.0,0.0,0.0
2007-07-03,30.370001,30.370001,30.370001,30.370001,23.940802,100,0.0,0.0,0.0
2007-07-05,30.42,30.42,30.42,30.42,23.980225,400,0.0,0.0,0.0
2007-07-06,30.48,30.620001,30.440001,30.620001,24.13788,4800,0.0,0.0,0.0
2007-07-09,30.629999,30.65,30.59,30.65,24.161528,4000,0.0,0.0,0.0
2007-07-10,30.450001,30.48,30.209999,30.209999,23.81468,2400,0.0,0.0,0.0
2007-07-11,30.24,30.280001,30.24,30.27,23.861973,4000,0.0,0.0,0.0
2007-07-12,30.690001,30.799999,30.690001,30.799999,24.279772,300,0.0,0.0,0.0
2007-07-13,30.85,30.92,30.85,30.92,24.374372,10100,0.0,0.0,0.0
2007-07-16,30.91,30.91,30.82,30.82,24.295538,400,0.0,0.0,0.0
2007-07-17,30.889999,30.92,30.84,30.84,24.3113,1300,0.0,0.0,0.0
