Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-06-08,3.88,4.09,2.66,3.4,3.4,115500,0.0,0.0
2026-06-09,3.18,3.18,2.04,2.64,2.64,97000,0.0,0.0
2026-06-10,2.42,2.78,2.01,2.78,2.78,46000,0.0,0.0
2026-06-11,2.77,2.78,2.46,2.68,2.68,75200,0.0,0.0
2026-06-12,2.54,2.65,1.95,2.2,2.2,434100,0.0,0.0
2026-06-15,2.25,2.26,2.07,2.11,2.11,46200,0.0,0.0
2026-06-16,2.15,2.4,1.7,2.01,2.01,239900,0.0,0.0
2026-06-17,1.96,2.1,1.7,1.91,1.91,75100,0.0,0.0
2026-06-18,1.92,2.03,1.8,1.92,1.92,30500,0.0,0.0
2026-06-22,1.96,1.96,1.75,1.76,1.76,20100,0.0,0.0
2026-06-23,1.86,1.92,1.75,1.77,1.77,20500,0.0,0.0
2026-06-24,3.14,3.92,1.12,1.27,1.27,78866300,0.0,0.0
2026-06-25,1.19,1.28,1.1,1.26,1.26,1912100,0.0,0.0
2026-06-26,1.11,1.2,1.06,1.17,1.17,831800,0.0,0.0
2026-06-29,1.12,1.12,0.94,1.08,1.08,581600,0.0,0.0
2026-06-30,0.98,1.08,0.96,1.01,1.01,307300,0.0,0.0
2026-07-01,0.96,1.07,0.95,1.03,1.03,221000,0.0,0.0
2026-07-02,0.98,1.03,0.8,0.89,0.89,431000,0.0,0.0
2026-07-06,0.87,0.87,0.76,0.77,0.77,293200,0.0,0.0
2026-07-07,0.77,1.01,0.72,0.9,0.9,1262200,0.0,0.0
2026-07-08,0.89,1.43,0.82,1.3,1.3,12763500,0.0,0.0
2026-07-09,1.26,1.26,1.06,1.24,1.24,1460000,0.0,0.0
2026-07-10,1.17,1.24,1.07,1.24,1.24,462400,0.0,0.0
2026-07-13,1.19,1.19,0.94,1.02,1.02,277000,0.0,0.0
2026-07-14,0.99,1.0,0.87,0.87,0.87,312500,0.0,0.0
2026-07-15,0.88,1.0,0.79,0.93,0.93,419800,0.0,0.0
2026-07-16,0.94,0.95,0.9,0.9,0.9,89500,0.0,0.0
2026-07-17,0.89,0.911,0.8603,0.911,0.911,65016,0.0,0.0
