Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-08-18,7.31,7.37,7.215,7.25,7.25,21800,0.0,0.0
2022-08-19,7.16,7.43,7.16,7.2,7.2,66600,0.0,0.0
2022-08-22,7.1,7.49,6.95,7.12,7.12,113500,0.0,0.0
2022-08-23,7.22,7.56,7.13,7.44,7.44,100200,0.0,0.0
2022-08-24,7.55,7.89,7.27,7.67,7.67,79400,0.0,0.0
2022-08-25,7.64,7.719,7.11,7.31,7.31,41500,0.0,0.0
2022-08-26,7.26,7.41,7.25,7.27,7.27,46900,0.0,0.0
2022-08-29,7.18,7.6,7.09,7.35,7.35,34200,0.0,0.0
2022-08-30,7.28,7.99,7.28,7.36,7.36,84200,0.0,0.0
2022-08-31,7.35,7.701,7.2,7.37,7.37,52000,0.0,0.0
2022-09-01,7.49,7.98,7.317,7.86,7.86,50300,0.0,0.0
2022-09-02,7.83,7.83,7.56,7.6,7.6,53400,0.0,0.0
2022-09-06,7.79,7.85,7.24,7.82,7.82,58600,0.0,0.0
2022-09-07,7.77,8.0,7.74,7.94,7.94,34700,0.0,0.0
2022-09-08,7.81,8.4,7.81,8.21,8.21,81700,0.0,0.0
2022-09-09,8.0,8.21,7.13,7.53,7.53,339200,0.0,0.0
2022-09-12,7.58,7.69,7.21,7.24,7.24,80500,0.0,0.0
2022-09-13,7.07,7.285,7.01,7.12,7.12,67100,0.0,0.0
2022-09-14,7.01,7.165,6.89,7.1,7.1,90500,0.0,0.0
2022-09-15,7.06,7.102,6.66,6.75,6.75,78900,0.0,0.0
2022-09-16,6.61,6.66,6.25,6.58,6.58,577800,0.0,0.0
2022-09-19,6.51,6.62,6.37,6.49,6.49,108900,0.0,0.0
2022-09-20,6.46,6.74,6.39,6.58,6.58,68700,0.0,0.0
2022-09-21,6.59,6.625,6.14,6.23,6.23,89800,0.0,0.0
2022-09-22,6.28,6.28,5.8,6.08,6.08,99400,0.0,0.0
2022-09-23,5.99,6.03,5.56,5.9,5.9,125600,0.0,0.0
2022-09-26,5.89,5.99,5.42,5.75,5.75,79700,0.0,0.0
2022-09-27,5.79,5.92,5.38,5.48,5.48,120500,0.0,0.0
2022-09-28,5.49,6.08,5.49,5.83,5.83,119500,0.0,0.0
2022-09-29,5.85,5.85,5.44,5.57,5.57,281200,0.0,0.0
2022-09-30,5.74,5.98,5.6,5.66,5.66,150200,0.0,0.0
2022-10-03,5.92,5.92,5.203,5.28,5.28,198100,0.0,0.0
2022-10-04,5.44,5.65,5.32,5.35,5.35,331600,0.0,0.0
2022-10-05,5.3,5.53,5.09,5.39,5.39,128500,0.0,0.0
2022-10-06,5.4,5.54,5.28,5.45,5.45,161500,0.0,0.0
2022-10-07,5.4,5.65,5.39,5.6,5.6,89800,0.0,0.0
2022-10-10,5.7,5.79,5.5,5.53,5.53,84600,0.0,0.0
2022-10-11,5.42,5.53,5.025,5.35,5.35,101500,0.0,0.0
2022-10-12,5.37,5.5,5.27,5.43,5.43,61200,0.0,0.0
2022-10-13,5.26,5.65,5.18,5.52,5.52,554200,0.0,0.0
