Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-04-20,9.87,9.87,9.86,9.86,9.86,50100,0.0,0.0
2022-04-21,9.86,9.86,9.86,9.86,9.86,0,0.0,0.0
2022-04-22,9.87,9.87,9.87,9.87,9.87,250000,0.0,0.0
2022-04-25,9.88,9.887,9.87,9.88,9.88,36200,0.0,0.0
2022-04-26,9.87,9.873,9.87,9.87,9.87,465100,0.0,0.0
2022-04-27,9.87,9.87,9.87,9.87,9.87,48900,0.0,0.0
2022-04-28,9.87,9.87,9.87,9.87,9.87,100,0.0,0.0
2022-04-29,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-02,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-03,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-04,9.87,9.87,9.86,9.87,9.87,1206800,0.0,0.0
2022-05-05,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-06,9.87,9.87,9.87,9.87,9.87,29800,0.0,0.0
2022-05-09,9.87,9.87,9.87,9.87,9.87,500,0.0,0.0
2022-05-10,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-11,9.85,9.85,9.85,9.85,9.85,100500,0.0,0.0
2022-05-12,9.83,9.83,9.83,9.83,9.83,1000,0.0,0.0
2022-05-13,9.83,9.83,9.795,9.8,9.8,167200,0.0,0.0
2022-05-16,9.8,9.8,9.8,9.8,9.8,0,0.0,0.0
2022-05-17,9.8,9.8,9.8,9.8,9.8,0,0.0,0.0
2022-05-18,9.84,9.84,9.84,9.84,9.84,200,0.0,0.0
2022-05-19,9.85,9.85,9.84,9.85,9.85,54700,0.0,0.0
2022-05-20,9.84,9.84,9.82,9.84,9.84,76200,0.0,0.0
2022-05-23,9.84,9.84,9.84,9.84,9.84,0,0.0,0.0
2022-05-24,9.84,9.85,9.83,9.85,9.85,165700,0.0,0.0
2022-05-25,9.844,9.844,9.844,9.844,9.844,400,0.0,0.0
2022-05-26,9.86,9.88,9.84,9.87,9.87,8900,0.0,0.0
2022-05-27,9.87,9.87,9.87,9.87,9.87,0,0.0,0.0
2022-05-31,9.835,9.835,9.835,9.835,9.835,1500,0.0,0.0
2022-06-01,9.835,9.835,9.835,9.835,9.835,0,0.0,0.0
2022-06-02,9.835,9.835,9.835,9.835,9.835,0,0.0,0.0
2022-06-03,9.84,9.84,9.825,9.83,9.83,21100,0.0,0.0
2022-06-06,9.83,9.85,9.83,9.85,9.85,10200,0.0,0.0
2022-06-07,9.83,9.85,9.83,9.85,9.85,12500,0.0,0.0
2022-06-08,9.85,9.85,9.83,9.83,9.83,6400,0.0,0.0
2022-06-09,9.84,9.84,9.84,9.84,9.84,1300,0.0,0.0
2022-06-10,9.84,9.84,9.84,9.84,9.84,0,0.0,0.0
2022-06-13,9.85,9.86,9.845,9.85,9.85,30200,0.0,0.0
2022-06-14,9.83,9.83,9.83,9.83,9.83,700,0.0,0.0
2022-06-15,9.83,9.83,9.83,9.83,9.83,1300,0.0,0.0
2022-06-16,9.83,9.84,9.83,9.83,9.83,42700,0.0,0.0
2022-06-17,9.83,9.85,9.83,9.85,9.85,1300,0.0,0.0
2022-06-21,9.85,9.85,9.85,9.85,9.85,0,0.0,0.0
2022-06-22,9.85,9.85,9.85,9.85,9.85,0,0.0,0.0
2022-06-23,9.83,9.83,9.83,9.83,9.83,1000,0.0,0.0
2022-06-24,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-06-27,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-06-28,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-06-29,9.85,9.85,9.85,9.85,9.85,10000,0.0,0.0
2022-06-30,9.85,9.86,9.85,9.86,9.86,25100,0.0,0.0
2022-07-01,9.83,9.83,9.83,9.83,9.83,300,0.0,0.0
2022-07-05,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-07-06,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-07-07,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-07-08,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2022-07-11,9.865,9.865,9.865,9.865,9.865,31700,0.0,0.0
2022-07-12,9.865,9.865,9.865,9.865,9.865,0,0.0,0.0
2022-07-13,9.865,9.865,9.865,9.865,9.865,0,0.0,0.0
