Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2021-12-13,9.75,9.76,9.75,9.76,9.76,200,0.0,0.0
2021-12-14,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-15,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-16,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-17,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-20,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-21,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-22,9.76,9.76,9.76,9.76,9.76,0,0.0,0.0
2021-12-23,9.8,10.03,9.8,10.03,10.03,19300,0.0,0.0
2021-12-27,9.65,9.78,9.65,9.75,9.75,300200,0.0,0.0
2021-12-28,9.75,9.75,9.75,9.75,9.75,0,0.0,0.0
2021-12-29,9.83,9.83,9.83,9.83,9.83,100,0.0,0.0
2021-12-30,9.83,9.83,9.83,9.83,9.83,0,0.0,0.0
2021-12-31,9.87,9.87,9.87,9.87,9.87,300,0.0,0.0
2022-01-03,9.85,9.9,9.85,9.9,9.9,24600,0.0,0.0
2022-01-04,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-01-05,9.93,9.93,9.93,9.93,9.93,300,0.0,0.0
2022-01-06,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-07,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-10,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-11,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-12,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-13,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-14,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-18,9.93,9.93,9.93,9.93,9.93,0,0.0,0.0
2022-01-19,9.86,9.86,9.86,9.86,9.86,300,0.0,0.0
2022-01-20,9.95,9.95,9.9,9.9,9.9,20700,0.0,0.0
2022-01-21,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-01-24,9.9,9.9,9.9,9.9,9.9,10700,0.0,0.0
2022-01-25,9.9,9.9,9.86,9.9,9.9,38200,0.0,0.0
2022-01-26,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-01-27,9.83,9.91,9.8,9.9,9.9,48700,0.0,0.0
2022-01-28,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-01-31,9.95,9.95,9.95,9.95,9.95,500,0.0,0.0
2022-02-01,10.0,10.0,9.895,9.94,9.94,7500,0.0,0.0
2022-02-02,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2022-02-03,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2022-02-04,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2022-02-07,9.9,9.95,9.9,9.94,9.94,1700,0.0,0.0
2022-02-08,9.94,9.94,9.94,9.94,9.94,76900,0.0,0.0
2022-02-09,9.94,9.94,9.94,9.94,9.94,0,0.0,0.0
2022-02-10,9.85,9.94,9.81,9.94,9.94,800,0.0,0.0
2022-02-11,9.94,9.95,9.875,9.9,9.9,22100,0.0,0.0
2022-02-14,9.9,9.94,9.88,9.92,9.92,55200,0.0,0.0
2022-02-15,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-16,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-17,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-18,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-22,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-23,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-02-24,9.9,9.9,9.9,9.9,9.9,6400,0.0,0.0
2022-02-25,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-02-28,9.9,9.9,9.9,9.9,9.9,0,0.0,0.0
2022-03-01,9.91,9.91,9.9,9.9,9.9,1900,0.0,0.0
2022-03-02,9.91,9.93,9.91,9.91,9.91,10600,0.0,0.0
2022-03-03,9.91,9.91,9.91,9.91,9.91,0,0.0,0.0
2022-03-04,9.91,9.91,9.91,9.91,9.91,21400,0.0,0.0
2022-03-07,9.91,9.91,9.91,9.91,9.91,0,0.0,0.0
2022-03-08,9.91,9.91,9.91,9.91,9.91,0,0.0,0.0
2022-03-09,9.91,9.91,9.91,9.91,9.91,195200,0.0,0.0
2022-03-10,9.91,9.91,9.91,9.91,9.91,481600,0.0,0.0
2022-03-11,9.91,9.92,9.91,9.92,9.92,500,0.0,0.0
2022-03-14,9.92,9.92,9.92,9.92,9.92,0,0.0,0.0
2022-03-15,9.96,9.96,9.96,9.96,9.96,100,0.0,0.0
2022-03-16,9.94,9.94,9.94,9.94,9.94,100,0.0,0.0
