Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1999-03-10,0.296771,0.303131,0.294651,0.294651,0.098231,1577394,0.0,0.0
1999-03-11,0.298891,0.303131,0.298891,0.303131,0.101058,173956,0.0,0.0
1999-03-12,0.30737,0.30737,0.286172,0.286172,0.095404,374447,0.0,0.0
1999-03-15,0.286172,0.290412,0.281933,0.290412,0.096818,144472,0.0,0.0
1999-03-16,0.290412,0.290412,0.290412,0.290412,0.096818,0,0.0,0.0
1999-03-17,0.294651,0.294651,0.290412,0.290412,0.096818,58968,0.0,0.0
1999-03-18,0.290412,0.290412,0.290412,0.290412,0.096818,0,0.0,0.0
1999-03-19,0.296771,0.296771,0.296771,0.296771,0.098938,88452,0.0,0.0
1999-03-22,0.296771,0.296771,0.296771,0.296771,0.098938,2122848,0.0,0.0
1999-03-23,0.296771,0.296771,0.296771,0.296771,0.098938,0,0.0,0.0
1999-03-24,0.292532,0.292532,0.292532,0.292532,0.097525,29484,0.0,0.0
1999-03-25,0.296771,0.320089,0.296771,0.320089,0.106712,100246,0.0,0.0
1999-03-26,0.317969,0.330688,0.317969,0.330688,0.110245,61916,0.0,0.0
1999-03-29,0.334927,0.347646,0.334927,0.347646,0.115899,53071,0.0,0.0
1999-03-30,0.347646,0.347646,0.347646,0.347646,0.115899,0,0.0,0.0
1999-03-31,0.347646,0.347646,0.347646,0.347646,0.115899,0,0.0,0.0
1999-04-01,0.347646,0.347646,0.347646,0.347646,0.115899,0,0.0,0.0
1999-04-05,0.347646,0.347646,0.347646,0.347646,0.115899,17690,0.0,0.0
1999-04-06,0.351886,0.390042,0.351886,0.390042,0.130033,265356,0.0,0.0
1999-04-07,0.390042,0.390042,0.390042,0.390042,0.130033,0,0.0,0.0
1999-04-08,0.377323,0.377323,0.373084,0.373084,0.124379,11794,0.0,0.0
1999-04-09,0.379443,0.379443,0.379443,0.379443,0.126499,5897,0.0,0.0
1999-04-12,0.381563,0.396401,0.381563,0.385802,0.128619,191646,0.0,0.0
1999-04-13,0.387922,0.387922,0.387922,0.387922,0.129326,126781,0.0,0.0
1999-04-14,0.394282,0.394282,0.394282,0.394282,0.131446,123833,0.0,0.0
1999-04-15,0.398521,0.407,0.392162,0.407,0.135686,409828,0.0,0.0
1999-04-16,0.41124,0.483313,0.41124,0.440917,0.146993,1090908,0.0,0.0
1999-04-19,0.457875,0.529948,0.457875,0.500271,0.166781,383292,0.0,0.0
1999-04-20,0.491792,0.491792,0.457875,0.474834,0.158301,678132,0.0,0.0
1999-04-21,0.479073,0.479073,0.479073,0.479073,0.159714,5897,0.0,0.0
1999-04-22,0.483313,0.491792,0.483313,0.491792,0.163954,11794,0.0,0.0
