Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2005-03-29,20.0,20.01,20.0,20.01,2.166426,486700,0.0,0.0
2005-03-30,20.01,20.01,20.0,20.0,2.165343,120600,0.0,0.0
2005-03-31,20.01,20.02,20.0,20.0,2.165343,65200,0.0,0.0
2005-04-01,20.0,20.02,20.0,20.02,2.167507,100400,0.0,0.0
2005-04-04,20.02,20.040001,20.0,20.030001,2.168591,21500,0.0,0.0
2005-04-05,20.0,20.049999,20.0,20.0,2.165343,64100,0.0,0.0
2005-04-06,20.049999,20.049999,20.0,20.02,2.167507,16700,0.0,0.0
2005-04-07,20.0,20.049999,20.0,20.0,2.165343,46700,0.0,0.0
2005-04-08,20.0,20.049999,20.0,20.02,2.167507,21500,0.0,0.0
2005-04-11,20.040001,20.049999,20.0,20.049999,2.170757,18300,0.0,0.0
2005-04-12,20.040001,20.049999,20.0,20.02,2.167507,84700,0.0,0.0
2005-04-13,20.0,20.02,20.0,20.02,2.167507,31200,0.0,0.0
2005-04-14,20.0,20.02,20.0,20.0,2.165343,47000,0.0,0.0
2005-04-15,20.0,20.02,20.0,20.01,2.166426,50500,0.0,0.0
2005-04-18,20.0,20.01,20.0,20.0,2.165343,50300,0.0,0.0
2005-04-19,20.0,20.01,20.0,20.01,2.166426,26800,0.0,0.0
2005-04-20,20.0,20.01,20.0,20.01,2.166426,25200,0.0,0.0
2005-04-21,20.0,20.030001,20.0,20.030001,2.168591,63000,0.0,0.0
2005-04-22,20.02,20.030001,20.0,20.01,2.166426,48300,0.0,0.0
2005-04-25,20.0,20.02,20.0,20.0,2.165343,30800,0.0,0.0
2005-04-26,20.01,20.02,20.0,20.01,2.166426,222800,0.0,0.0
2005-04-27,20.01,20.01,20.0,20.0,2.165343,325900,0.0,0.0
2005-04-28,20.0,20.01,20.0,20.0,2.165343,158900,0.0,0.0
2005-04-29,20.0,20.01,20.0,20.0,2.165343,315800,0.0,0.0
2005-05-02,20.0,20.01,20.0,20.0,2.165343,168100,0.0,0.0
2005-05-03,20.0,20.01,20.0,20.0,2.165343,37100,0.0,0.0
2005-05-04,20.0,20.01,20.0,20.0,2.165343,58200,0.0,0.0
2005-05-05,20.01,20.01,20.0,20.0,2.165343,35300,0.0,0.0
2005-05-06,20.0,20.01,20.0,20.0,2.165343,38200,0.0,0.0
2005-05-09,20.0,20.030001,20.0,20.030001,2.168591,56800,0.0,0.0
2005-05-10,20.0,20.030001,20.0,20.0,2.165343,53400,0.0,0.0
2005-05-11,20.01,20.01,19.9,19.9,2.154515,225700,0.0,0.0
2005-05-12,19.9,19.92,19.9,19.9,2.154515,107200,0.0,0.0
2005-05-13,19.9,19.92,19.790001,19.790001,2.142607,66500,0.0,0.0
2005-05-16,19.790001,19.790001,19.57,19.57,2.118788,92700,0.0,0.0
2005-05-17,19.549999,19.549999,19.219999,19.25,2.084141,77200,0.0,0.0
2005-05-18,19.219999,19.219999,18.4,18.6,2.013766,102300,0.0,0.0
2005-05-19,18.4,18.4,18.0,18.299999,1.98129,71900,0.0,0.0
2005-05-20,18.35,18.35,18.0,18.25,1.975875,59000,0.0,0.0
2005-05-23,18.09,18.25,17.799999,18.1,1.959635,46400,0.0,0.0
2005-05-24,18.1,18.200001,18.0,18.030001,1.952058,67700,0.0,0.0
2005-05-25,18.15,18.5,18.049999,18.5,2.002942,68700,0.0,0.0
2005-05-26,18.5,18.5,18.299999,18.309999,1.982372,50800,0.0,0.0
2005-05-27,18.32,18.65,18.299999,18.450001,1.997529,51000,0.0,0.0
2005-05-31,18.5,18.6,18.35,18.6,2.013766,42800,0.0,0.0
2005-06-01,18.6,19.0,18.5,19.0,2.057076,48400,0.0,0.0
2005-06-02,19.0,19.389999,19.0,19.299999,2.089555,43300,0.0,0.0
2005-06-03,19.34,19.58,19.299999,19.4,2.100382,42600,0.0,0.0
2005-06-06,19.4,19.58,19.4,19.5,2.111209,22000,0.0,0.0
2005-06-07,19.6,19.780001,19.58,19.65,2.12745,46100,0.0,0.0
2005-06-08,19.700001,19.9,19.65,19.700001,2.132862,40300,0.0,0.0
2005-06-09,19.700001,19.93,19.620001,19.700001,2.132862,35900,0.0,0.0
2005-06-10,19.9,19.959999,19.6,19.959999,2.161012,34400,0.0,0.0
2005-06-13,19.99,20.280001,19.950001,20.0,2.165343,40400,0.0,0.0
