Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2004-05-05,9.85,9.9,9.85,9.85,2.099257,900,0.0,0.0
2004-05-06,9.8,9.8,9.8,9.8,2.088601,200,0.0,0.0
2004-05-07,9.65,9.65,9.45,9.45,2.014007,3200,0.0,0.0
2004-05-10,9.45,9.45,9.45,9.45,2.014007,0,0.0,0.0
2004-05-11,9.45,9.45,9.45,9.45,2.014007,0,0.0,0.0
2004-05-12,9.45,9.45,9.45,9.45,2.014007,0,0.0,0.0
2004-05-13,9.5,9.5,9.35,9.39,2.00122,2500,0.0,0.0
2004-05-14,9.25,9.25,9.25,9.25,1.971383,1000,0.0,0.0
2004-05-17,9.4,9.4,9.4,9.4,2.00335,300,0.0,0.0
2004-05-18,9.2,9.35,9.2,9.35,1.992696,1500,0.0,0.0
2004-05-19,9.4,9.5,9.4,9.4,2.00335,2800,0.0,0.0
2004-05-20,9.4,9.4,9.4,9.4,2.00335,1200,0.0,0.0
2004-05-21,9.25,9.25,8.6,8.6,1.832854,170000,0.0,0.0
2004-05-24,9.1,9.1,9.1,9.1,1.939416,700,0.0,0.0
2004-05-25,9.1,9.2,9.1,9.2,1.960727,8900,0.0,0.0
2004-05-26,9.15,9.25,8.85,9.25,1.971383,222900,0.0,0.0
2004-05-27,9.2,9.2,9.2,9.2,1.960727,5500,0.0,0.0
2004-05-28,9.2,9.2,9.0,9.0,1.918103,5500,0.0,0.0
2004-06-01,9.01,9.01,9.0,9.0,1.918103,1500,0.0,0.0
2004-06-02,8.91,8.91,8.91,8.91,1.898921,1000,0.0,0.0
2004-06-03,8.85,8.9,8.75,8.9,1.89679,2900,0.0,0.0
2004-06-04,8.9,8.9,8.8,8.8,1.875478,2500,0.0,0.0
2004-06-07,8.8,8.8,8.8,8.8,1.875478,0,0.0,0.0
2004-06-08,8.7,8.7,8.7,8.7,1.854166,600,0.0,0.0
2004-06-09,8.65,8.65,8.55,8.55,1.822198,1500,0.0,0.0
2004-06-10,8.45,8.45,8.45,8.45,1.821335,0,0.096,0.0
2004-06-14,8.3,8.3,8.3,8.3,1.789004,700,0.0,0.0
2004-06-15,8.3,8.3,8.3,8.3,1.789004,0,0.0,0.0
2004-06-16,8.3,8.3,8.15,8.2,1.767449,3900,0.0,0.0
2004-06-17,8.15,8.2,8.1,8.2,1.767449,3000,0.0,0.0
2004-06-18,8.2,8.2,8.2,8.2,1.767449,0,0.0,0.0
2004-06-21,8.2,8.2,8.2,8.2,1.767449,0,0.0,0.0
2004-06-22,8.15,8.4,8.0,8.4,1.810558,4100,0.0,0.0
2004-06-23,8.35,8.55,8.35,8.55,1.842889,2000,0.0,0.0
2004-06-24,8.65,8.75,8.65,8.75,1.885998,1000,0.0,0.0
2004-06-25,8.85,8.85,8.85,8.85,1.907552,1000,0.0,0.0
2004-06-28,8.9,8.9,8.9,8.9,1.918329,500,0.0,0.0
2004-06-29,8.8,8.85,8.7,8.85,1.907552,2200,0.0,0.0
2004-06-30,8.85,8.85,8.85,8.85,1.907552,0,0.0,0.0
2004-07-01,8.85,8.85,8.85,8.85,1.907552,0,0.0,0.0
2004-07-02,8.85,8.85,8.85,8.85,1.907552,0,0.0,0.0
2004-07-06,8.8,8.8,8.8,8.8,1.896775,700,0.0,0.0
2004-07-07,8.7,8.7,8.5,8.65,1.864444,3600,0.0,0.0
2004-07-08,8.6,8.6,8.5,8.5,1.832113,1000,0.0,0.0
2004-07-09,8.5,8.5,8.5,8.5,1.832113,0,0.0,0.0
2004-07-12,8.45,8.55,8.41,8.55,1.842889,2200,0.0,0.0
2004-07-13,8.5,8.5,8.3,8.35,1.799782,9500,0.0,0.0
2004-07-14,8.4,8.6,8.4,8.6,1.853667,6000,0.0,0.0
2004-07-15,8.55,8.7,8.55,8.7,1.875221,8800,0.0,0.0
2004-07-16,8.72,8.72,8.65,8.65,1.864444,2000,0.0,0.0
2004-07-19,8.65,8.65,8.65,8.65,1.864444,0,0.0,0.0
2004-07-20,8.59,8.59,8.59,8.59,1.851511,500,0.0,0.0
2004-07-21,8.53,8.53,8.45,8.45,1.821335,3200,0.0,0.0
2004-07-22,8.42,8.46,8.4,8.46,1.823491,2100,0.0,0.0
2004-07-23,8.45,8.45,8.45,8.45,1.821335,500,0.0,0.0
2004-07-26,8.55,8.6,8.55,8.6,1.853667,3200,0.0,0.0
2004-07-27,8.65,8.65,8.6,8.6,1.853667,6300,0.0,0.0
2004-07-28,8.54,8.68,8.5,8.68,1.87091,4800,0.0,0.0
2004-07-29,8.71,8.71,8.71,8.71,1.877377,700,0.0,0.0
2004-07-30,8.7,8.7,8.7,8.7,1.875221,100,0.0,0.0
2004-08-02,8.76,8.8,8.7,8.7,1.875221,3600,0.0,0.0
2004-08-03,8.7,8.7,8.6,8.6,1.853667,800,0.0,0.0
2004-08-04,8.66,8.66,8.66,8.66,1.866599,1100,0.0,0.0
2004-08-05,8.67,8.75,8.67,8.7,1.875221,1200,0.0,0.0
2004-08-06,8.64,8.9,8.57,8.9,1.918329,5100,0.0,0.0
2004-08-09,8.9,8.9,8.9,8.9,1.918329,500,0.0,0.0
2004-08-10,8.9,8.96,8.9,8.96,1.931262,1600,0.0,0.0
2004-08-11,8.9,8.9,8.65,8.66,1.866599,6300,0.0,0.0
2004-08-12,8.7,8.7,8.7,8.7,1.875221,1000,0.0,0.0
2004-08-13,8.7,8.7,8.7,8.7,1.875221,0,0.0,0.0
2004-08-16,8.7,8.7,8.7,8.7,1.875221,0,0.0,0.0
2004-08-17,8.7,8.7,8.7,8.7,1.875221,0,0.0,0.0
2004-08-18,8.75,8.75,8.75,8.75,1.885998,100,0.0,0.0
2004-08-19,8.76,8.98,8.75,8.98,1.935573,21500,0.0,0.0
2004-08-20,8.98,8.98,8.98,8.98,1.935573,0,0.0,0.0
2004-08-23,8.87,8.87,8.87,8.87,1.911863,1000,0.0,0.0
2004-08-24,8.93,9.1,8.9,9.1,1.961438,19700,0.0,0.0
2004-08-25,9.0,9.0,9.0,9.0,1.939884,3000,0.0,0.0
2004-08-26,9.0,9.25,9.0,9.15,1.972215,12000,0.0,0.0
2004-08-27,9.15,9.15,9.15,9.15,1.972215,0,0.0,0.0
2004-08-30,9.1,9.1,9.1,9.1,1.961438,2000,0.0,0.0
2004-08-31,9.05,9.09,9.05,9.09,1.959283,1300,0.0,0.0
2004-09-01,9.06,9.09,9.06,9.09,1.959283,600,0.0,0.0
2004-09-02,9.15,9.25,9.11,9.11,1.963593,20900,0.0,0.0
2004-09-03,9.12,9.12,9.0,9.0,1.939884,1300,0.0,0.0
2004-09-07,9.0,9.0,9.0,9.0,1.939884,0,0.0,0.0
2004-09-08,9.0,9.1,9.0,9.1,1.961438,900,0.0,0.0
2004-09-09,9.15,9.3,9.15,9.3,2.004547,29300,0.0,0.0
2004-09-10,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-13,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-14,9.26,9.26,9.26,9.26,1.995925,700,0.0,0.0
2004-09-15,9.31,9.35,9.31,9.35,2.015324,1700,0.0,0.0
2004-09-16,9.3,9.3,9.25,9.25,1.993769,500,0.0,0.0
2004-09-17,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-09-20,9.31,9.4,9.31,9.4,2.0261,2500,0.0,0.0
2004-09-21,9.4,9.4,9.4,9.4,2.0261,0,0.0,0.0
2004-09-22,9.34,9.34,9.24,9.3,2.004547,2700,0.0,0.0
2004-09-23,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-24,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-27,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-28,9.3,9.3,9.3,9.3,2.004547,500,0.0,0.0
2004-09-29,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-09-30,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-10-01,9.3,9.3,9.3,9.3,2.004547,0,0.0,0.0
2004-10-04,9.3,9.3,9.25,9.25,1.993769,1000,0.0,0.0
2004-10-05,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-10-06,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-10-07,9.31,9.31,9.31,9.31,2.006702,100,0.0,0.0
2004-10-08,9.31,9.31,9.31,9.31,2.006702,0,0.0,0.0
2004-10-11,9.31,9.31,9.31,9.31,2.006702,0,0.0,0.0
2004-10-12,9.25,9.25,9.15,9.25,1.993769,1900,0.0,0.0
2004-10-13,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-10-14,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-10-15,9.21,9.21,9.21,9.21,1.985148,200,0.0,0.0
2004-10-18,9.25,9.25,9.25,9.25,1.993769,100,0.0,0.0
2004-10-19,9.2,9.21,9.2,9.2,1.982992,800,0.0,0.0
2004-10-20,9.25,9.25,9.25,9.25,1.993769,500,0.0,0.0
2004-10-21,9.25,9.25,9.25,9.25,1.993769,0,0.0,0.0
2004-10-22,9.3,9.3,9.3,9.3,2.004547,200,0.0,0.0
2004-10-25,9.37,9.45,9.37,9.45,2.036877,800,0.0,0.0
2004-10-26,9.5,9.5,9.5,9.5,2.047655,500,0.0,0.0
2004-10-27,9.5,9.5,9.5,9.5,2.047655,0,0.0,0.0
2004-10-28,9.41,9.41,9.32,9.32,2.008858,1300,0.0,0.0
2004-10-29,9.39,9.39,9.39,9.39,2.023945,300,0.0,0.0
2004-11-01,9.3,9.3,9.3,9.3,2.004547,1000,0.0,0.0
2004-11-02,9.37,9.37,9.37,9.37,2.019634,200,0.0,0.0
2004-11-03,9.37,9.4,9.27,9.36,2.017479,2900,0.0,0.0
2004-11-04,9.36,9.36,9.36,9.36,2.017479,0,0.0,0.0
2004-11-05,9.37,9.37,9.36,9.36,2.017479,600,0.0,0.0
2004-11-08,9.36,9.36,9.36,9.36,2.017479,0,0.0,0.0
2004-11-09,9.45,9.45,9.45,9.45,2.036877,600,0.0,0.0
2004-11-10,9.42,9.42,9.41,9.41,2.028256,500,0.0,0.0
2004-11-11,9.41,9.41,9.41,9.41,2.028256,0,0.0,0.0
2004-11-12,9.41,9.41,9.41,9.41,2.028256,0,0.0,0.0
2004-11-15,9.41,9.41,9.41,9.41,2.028256,0,0.0,0.0
2004-11-16,9.45,9.52,9.38,9.52,2.051966,4500,0.0,0.0
2004-11-17,9.52,9.52,9.52,9.52,2.051966,0,0.0,0.0
2004-11-18,9.6,9.6,9.47,9.47,2.041189,3100,0.0,0.0
2004-11-19,9.42,9.42,9.41,9.41,2.028256,1000,0.0,0.0
2004-11-22,9.42,9.42,9.42,9.42,2.030412,900,0.0,0.0
2004-11-23,9.42,9.42,9.42,9.42,2.030412,0,0.0,0.0
2004-11-24,9.49,9.49,9.49,9.49,2.0455,500,0.0,0.0
2004-11-26,9.49,9.49,9.49,9.49,2.0455,0,0.0,0.0
2004-11-29,9.5,9.5,9.5,9.5,2.047655,100,0.0,0.0
2004-11-30,9.52,9.52,9.52,9.52,2.051966,1000,0.0,0.0
2004-12-01,9.52,9.52,9.52,9.52,2.051966,0,0.0,0.0
2004-12-02,9.52,9.52,9.52,9.52,2.051966,0,0.0,0.0
2004-12-03,9.56,9.56,9.56,9.56,2.060588,1300,0.0,0.0
2004-12-06,9.66,10.0,9.66,9.87,2.127406,71400,0.0,0.0
2004-12-07,9.91,9.91,9.91,9.91,2.136027,1000,0.0,0.0
2004-12-08,9.91,9.91,9.91,9.91,2.136027,0,0.0,0.0
