Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2025-07-11,29.0,32.5,29.0,31.1,31.1,277600,0.0,0.0
2025-07-14,31.1,33.0,30.684999,30.85,30.85,489300,0.0,0.0
2025-07-15,31.75,31.75,30.23,31.0,31.0,1218000,0.0,0.0
2025-07-16,31.15,33.505001,30.92,32.900002,32.900002,2735200,0.0,0.0
2025-07-17,32.5,35.959999,32.5,35.549999,35.549999,1664600,0.0,0.0
2025-07-18,35.799999,37.744999,35.470001,36.950001,36.950001,1450500,0.0,0.0
2025-07-21,37.82,38.400002,36.580002,37.5,37.5,1127300,0.0,0.0
2025-07-22,38.360001,38.849998,35.259998,35.650002,35.650002,813700,0.0,0.0
2025-07-23,36.75,37.490002,34.330002,34.580002,34.580002,968900,0.0,0.0
2025-07-24,34.98,35.279999,33.790001,34.110001,34.110001,636700,0.0,0.0
2025-07-25,34.169998,34.77,33.700001,34.18,34.18,350900,0.0,0.0
2025-07-28,34.349998,34.650002,33.509998,33.700001,33.700001,461900,0.0,0.0
2025-07-29,34.380001,34.665001,33.029999,34.02,34.02,447200,0.0,0.0
2025-07-30,34.48,34.48,33.299999,34.110001,34.110001,253300,0.0,0.0
2025-07-31,34.950001,34.950001,32.52,33.25,33.25,296200,0.0,0.0
2025-08-01,33.57,33.57,32.029999,32.560001,32.560001,326100,0.0,0.0
2025-08-04,32.810001,33.279999,32.150002,33.080002,33.080002,372700,0.0,0.0
2025-08-05,32.82,33.630001,32.470001,32.860001,32.860001,307600,0.0,0.0
2025-08-06,33.040001,34.43,32.560001,34.09,34.09,431700,0.0,0.0
2025-08-07,34.93,36.52,34.174999,36.0,36.0,457600,0.0,0.0
2025-08-08,35.860001,36.209999,35.099998,35.415001,35.415001,390100,0.0,0.0
2025-08-11,35.220001,35.299999,33.98,34.389999,34.389999,171000,0.0,0.0
2025-08-12,34.259998,34.950001,33.84,34.419998,34.419998,410800,0.0,0.0
2025-08-13,34.5,34.650002,33.68,33.91,33.91,268400,0.0,0.0
2025-08-14,34.25,34.57,33.575001,34.330002,34.330002,306100,0.0,0.0
2025-08-15,34.029999,35.110001,33.5,34.91,34.91,357400,0.0,0.0
2025-08-18,34.650002,36.869999,34.650002,36.060001,36.060001,392100,0.0,0.0
2025-08-19,35.93,36.349998,35.59,35.919998,35.919998,213900,0.0,0.0
2025-08-20,35.639999,36.525002,35.490002,36.169998,36.169998,337900,0.0,0.0
2025-08-21,36.509998,38.25,35.599998,37.849998,37.849998,536800,0.0,0.0
2025-08-22,37.779999,38.700001,37.380001,38.599998,38.599998,307800,0.0,0.0
2025-08-25,38.779999,39.139999,37.669998,37.799999,37.799999,281900,0.0,0.0
2025-08-26,38.349998,38.349998,36.970001,37.139999,37.139999,361500,0.0,0.0
2025-08-27,37.299999,38.404999,36.580002,37.720001,37.720001,325000,0.0,0.0
2025-08-28,37.259998,37.73,36.580002,37.48,37.48,309600,0.0,0.0
2025-08-29,37.32,37.82,36.259998,36.639999,36.639999,371900,0.0,0.0
2025-09-02,36.169998,36.799999,35.900002,36.630001,36.630001,258500,0.0,0.0
2025-09-03,36.509998,36.970001,36.005001,36.57,36.57,297200,0.0,0.0
2025-09-04,36.5,36.950001,36.0,36.220001,36.220001,157300,0.0,0.0
2025-09-05,36.540001,36.790001,36.0,36.400002,36.400002,245900,0.0,0.0
2025-09-08,36.419998,36.805,36.0,36.360001,36.360001,424300,0.0,0.0
2025-09-09,36.240002,36.478001,35.584999,36.009998,36.009998,242800,0.0,0.0
2025-09-10,35.650002,36.344002,35.650002,35.98,35.98,132400,0.0,0.0
2025-09-11,36.43,36.990002,36.27,36.419998,36.419998,200000,0.0,0.0
2025-09-12,36.419998,36.68,35.799999,35.849998,35.849998,192200,0.0,0.0
2025-09-15,35.84,36.310001,34.860001,35.07,35.07,256900,0.0,0.0
2025-09-16,35.009998,35.907001,34.869999,35.200001,35.200001,127500,0.0,0.0
2025-09-17,35.18,35.689999,34.887001,35.009998,35.009998,266300,0.0,0.0
2025-09-18,35.529999,36.169998,34.91,35.599998,35.599998,337700,0.0,0.0
2025-09-19,35.84,36.459999,34.990002,35.490002,35.490002,1163100,0.0,0.0
2025-09-22,35.209999,35.82,34.610001,35.73,35.73,193200,0.0,0.0
2025-09-23,36.130001,36.27,35.290001,35.610001,35.610001,164100,0.0,0.0
2025-09-24,35.509998,36.450001,35.0,35.924999,35.924999,217700,0.0,0.0
2025-09-25,35.48,35.950001,35.0,35.189999,35.189999,222000,0.0,0.0
2025-09-26,35.52,35.839001,34.994999,35.299999,35.299999,148400,0.0,0.0
2025-09-29,35.099998,36.139999,34.669998,36.02,36.02,287200,0.0,0.0
2025-09-30,35.919998,37.32,35.705002,37.27,37.27,247100,0.0,0.0
2025-10-01,37.27,37.68,36.810001,37.25,37.25,196100,0.0,0.0
