Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2026-03-10,15.83,17.43,15.77,16.639999,16.639999,171400,0.0,0.0,0.0
2026-03-11,16.1,16.559999,15.0,15.59,15.59,466100,0.0,0.0,0.0
2026-03-12,15.33,15.47,14.42,15.04,15.04,141000,0.0,0.0,0.0
2026-03-13,15.53,15.81,14.81,14.85,14.85,278200,0.0,0.0,0.0
2026-03-16,16.139999,16.290001,15.49,15.56,15.56,329100,0.0,0.0,0.0
2026-03-17,14.71,15.42,13.9,15.04,15.04,169400,0.0,0.0,0.0
2026-03-18,15.7,16.280001,15.0,15.07,15.07,325900,0.0,0.0,0.0
2026-03-19,14.43,16.0,13.67,15.83,15.83,201700,0.0,0.0,0.0
2026-03-20,15.75,16.24,13.76,13.82,13.82,284100,0.0,0.0,0.0
2026-03-23,14.27,16.09,14.27,15.22,15.22,353900,0.0,0.0,0.0
2026-03-24,15.12,18.540001,15.12,17.74,17.74,718900,0.0,0.0,0.0
2026-03-25,18.92,19.780001,18.08,18.77,18.77,553400,0.0,0.0,0.0
2026-03-26,17.799999,17.799999,15.76,16.0,16.0,983200,0.0,0.0,0.0
2026-03-27,15.77,16.969999,15.66,16.27,16.27,280800,0.0,0.0,0.0
2026-03-30,17.280001,17.280001,13.87,14.28,14.28,366200,0.0,0.0,0.0
2026-03-31,14.75,15.92,14.31,15.92,15.92,177200,0.0,0.0,0.0
2026-04-01,16.65,18.0,16.5,17.5,17.5,266100,0.0,0.0,0.0
2026-04-02,15.83,18.809999,15.62,18.73,18.73,211500,0.0,0.0,0.0
2026-04-06,18.67,19.01,17.27,18.35,18.35,910800,0.0,0.0,0.0
2026-04-07,17.42,18.99,17.049999,18.91,18.91,192500,0.0,0.0,0.0
2026-04-08,21.15,23.17,20.860001,23.110001,23.110001,450900,0.0,0.0,0.0
2026-04-09,23.85,25.07,23.559999,24.48,24.48,508400,0.0,0.0,0.0
2026-04-10,25.540001,26.1,24.0,24.809999,24.809999,537200,0.0,0.0,0.0
2026-04-13,24.709999,26.0,24.32,25.91,25.91,210000,0.0,0.0,0.0
2026-04-14,25.959999,25.959999,23.280001,25.209999,25.209999,464400,0.0,0.0,0.0
2026-04-15,24.74,25.18,22.68,23.870001,23.870001,295600,0.0,0.0,0.0
2026-04-16,22.4,23.4,21.120001,23.25,23.25,420400,0.0,0.0,0.0
2026-04-17,23.709999,24.370001,22.530001,22.790001,22.790001,230100,0.0,0.0,0.0
2026-04-20,23.209999,23.809999,22.389999,22.99,22.99,153900,0.0,0.0,0.0
2026-04-21,23.08,24.440001,22.66,23.129999,23.129999,252600,0.0,0.0,0.0
2026-04-22,23.91,25.040001,22.34,24.0,24.0,279900,0.0,0.0,0.0
2026-04-23,23.73,25.0,23.360001,24.139999,24.139999,176700,0.0,0.0,0.0
2026-04-24,24.93,26.889999,24.5,26.059999,26.059999,443700,0.0,0.0,0.0
2026-04-27,26.27,26.27,23.0,23.77,23.77,727600,0.0,0.0,0.0
2026-04-28,19.110001,21.950001,18.49,19.4,19.4,1300100,0.0,0.0,0.0
2026-04-29,20.209999,20.209999,18.23,19.190001,19.190001,502600,0.0,0.0,0.0
2026-04-30,20.209999,22.4,18.459999,22.110001,22.110001,500800,0.0,0.0,0.0
2026-05-01,22.209999,22.209999,20.43,20.620001,20.620001,450100,0.0,0.0,0.0
2026-05-04,21.959999,21.99,20.629999,21.16,21.16,431300,0.0,0.0,0.0
2026-05-05,21.83,23.67,21.1,21.639999,21.639999,796700,0.0,0.0,0.0
2026-05-06,29.040001,30.51,25.110001,26.68,26.68,3757900,0.0,0.0,0.0
2026-05-07,28.59,28.59,25.690001,27.059999,27.059999,2233400,0.0,0.0,0.0
2026-05-08,28.5,31.66,27.75,28.370001,28.370001,2817900,0.0,0.0,0.0
2026-05-11,30.540001,34.93,29.780001,34.43,34.43,2497700,0.0,0.0,0.0
2026-05-12,33.790001,33.790001,28.1,31.469999,31.469999,3047700,0.0,0.0,0.0
2026-05-13,34.619999,35.709999,30.73,34.029999,34.029999,2065200,0.0,0.0,0.0
2026-05-14,33.32,35.299999,32.0,34.509998,34.509998,935600,0.0,0.0,0.0
2026-05-15,31.440001,32.0,29.110001,29.110001,29.110001,1284700,0.0,0.0,0.0
2026-05-18,29.530001,29.780001,23.780001,25.059999,25.059999,1228600,0.0,0.0,0.0
2026-05-19,23.559999,25.6,22.6,24.41,24.41,790500,0.0,0.0,0.0
2026-05-20,25.700001,26.5,24.950001,25.58,25.58,1351800,0.0,0.0,0.0
2026-05-21,25.99,29.27,25.27,28.879999,28.879999,1313300,0.0,0.0,0.0
2026-05-22,29.6,29.68,28.0,29.290001,29.290001,1042500,0.0,0.0,0.0
2026-05-26,30.93,31.129999,28.559999,30.059999,30.059999,1376200,0.0,0.0,0.0
2026-05-27,30.0,30.0,26.67,28.4,28.4,1192400,0.0,0.0,0.0
2026-05-28,28.41,29.65,25.860001,26.01,26.01,815000,0.0,0.0,0.0
2026-05-29,26.4,26.4,23.610001,25.530001,25.530001,1379500,0.0,0.0,0.0
2026-06-01,23.9,24.889999,23.08,24.32,24.32,1116300,0.0,0.0,0.0
2026-06-02,27.07,31.09,26.65,30.82,30.82,3007600,0.0,0.0,0.0
2026-06-03,30.84,33.23,29.290001,30.950001,30.950001,2296700,0.0,0.0,0.0
2026-06-04,28.379999,30.5,25.690001,30.08,30.08,1575900,0.0,0.0,0.0
2026-06-05,27.209999,27.549999,22.860001,23.860001,23.860001,1599500,0.0,0.0,0.0
2026-06-08,27.9,28.0,25.620001,26.379999,26.379999,1829700,0.0,0.0,0.0
2026-06-09,27.16,27.299999,20.34,22.51,22.51,2123000,0.0,0.0,0.0
2026-06-10,22.6,23.76,20.73,21.01,21.01,1093500,0.0,0.0,0.0
2026-06-11,21.5,23.4,21.1,23.15,23.15,744000,0.0,0.0,0.0
2026-06-12,23.549999,24.23,22.35,23.91,23.91,768400,0.0,0.0,0.0
2026-06-15,26.0,26.700001,25.43,26.139999,26.139999,634600,0.0,0.0,0.0
2026-06-16,25.65,26.059999,22.889999,23.200001,23.200001,755700,0.0,0.0,0.0
2026-06-17,23.719999,24.0,22.08,22.75,22.75,534800,0.0,0.0,0.0
2026-06-18,24.309999,27.99,24.120001,27.67,27.67,1600300,0.0,0.0,0.0
2026-06-22,29.18,32.610001,28.0,31.959999,31.959999,2249500,0.0,0.0,0.0
2026-06-23,26.209999,27.290001,24.84,27.030001,27.030001,1495900,0.0,0.0,0.0
2026-06-24,27.299999,33.5,26.200001,30.379999,30.379999,3191900,0.0,0.0,0.0
2026-06-25,34.299999,37.650002,32.5,37.060001,37.060001,3457200,0.0,0.0,0.0
2026-06-26,35.5,36.029999,30.42,35.23,35.23,2070200,0.0,0.0,0.0
2026-06-29,36.599998,46.400002,32.689999,45.509998,45.509998,3259500,0.0,0.0,0.0
2026-06-30,44.380001,51.0,43.57,45.200001,45.200001,3264000,0.0,0.0,0.0
2026-07-01,39.880001,40.400002,32.130001,33.060001,33.060001,4516100,0.0,0.0,0.0
2026-07-02,33.93,33.950001,24.83,25.799999,25.799999,4574500,0.0,0.0,0.0
2026-07-06,26.23,28.440001,24.92,25.299999,25.299999,1706400,0.0,0.0,0.0
2026-07-07,23.219999,24.26,21.0,22.799999,22.799999,1589800,0.0,0.0,0.0
2026-07-08,22.5,23.57,21.610001,22.450001,22.450001,1044200,0.0,0.0,0.0
2026-07-09,26.48,27.42,24.459999,24.540001,24.540001,1762100,0.0,0.0,0.0
2026-07-10,23.76,24.57,22.940001,24.110001,24.110001,742900,0.0,0.0,0.0
2026-07-13,22.41,23.620001,21.0,22.26,22.26,855200,0.0,0.0,0.0
2026-07-14,24.559999,24.98,22.83,23.200001,23.200001,1286600,0.0,0.0,0.0
2026-07-15,23.16,23.17,18.1,19.889999,19.889999,1678800,0.0,0.0,0.0
2026-07-16,18.190001,18.209999,15.35,16.26,16.26,1456200,0.0,0.0,0.0
2026-07-17,14.63,16.2199,13.89,15.5,15.5,1524730,0.0,0.0,0.0
