Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-03-17,6.245,6.845,6.245,6.65,4.711996,68200,0.0,0.0
2014-03-18,6.65,7.45,6.625,7.125,5.048568,135600,0.0,0.0
2014-03-19,7.075,7.2,6.925,7.0,4.959997,25600,0.0,0.0
2014-03-20,7.0,7.0,6.9005,7.0,4.959997,8200,0.0,0.0
2014-03-21,6.95,6.95,6.5,6.62,4.690742,10600,0.0,0.0
2014-03-24,6.525,6.525,6.025,6.21,4.400227,57400,0.0,0.0
2014-03-25,6.3,6.72,6.1,6.72,4.761597,8200,0.0,0.0
2014-03-26,6.3,6.7,6.125,6.235,4.41794,25200,0.0,0.0
2014-03-27,6.275,6.6,6.275,6.565,4.651769,50600,0.0,0.0
2014-03-28,6.494,6.5,6.494,6.5,4.605711,4200,0.0,0.0
2014-03-31,6.695,6.695,6.525,6.56,4.648226,43200,0.0,0.0
2014-04-01,6.6,6.6,6.5275,6.54,4.634055,14600,0.0,0.0
2014-04-02,6.55,6.55,6.4,6.505,4.609255,9800,0.0,0.0
2014-04-03,6.545,6.545,6.405,6.44,4.563197,9400,0.0,0.0
2014-04-04,6.47,6.47,6.25,6.26,4.435655,20800,0.0,0.0
2014-04-07,6.25,6.255,6.0,6.25,4.428568,22600,0.0,0.0
2014-04-08,6.245,6.25,6.005,6.075,4.304569,17000,0.0,0.0
2014-04-09,6.0585,6.075,5.945,6.0,4.251425,8000,0.0,0.0
2014-04-10,5.95,6.015,5.876,6.005,4.25497,70600,0.0,0.0
2014-04-11,5.954,5.985,5.954,5.985,4.240798,13600,0.0,0.0
2014-04-14,5.875,5.97,5.825,5.97,4.230169,15200,0.0,0.0
2014-04-15,5.825,5.925,5.825,5.86,4.152226,18800,0.0,0.0
2014-04-16,5.9,5.975,5.895,5.95,4.215997,15400,0.0,0.0
2014-04-17,5.975,6.01,5.97,6.0,4.251425,79200,0.0,0.0
2014-04-21,6.005,6.005,5.825,5.85,4.145141,8600,0.0,0.0
2014-04-22,5.87,5.99,5.866,5.885,4.16994,10800,0.0,0.0
2014-04-23,5.84,5.95,5.245,5.875,4.162855,33800,0.0,0.0
2014-04-24,5.8,5.8,5.6055,5.63,3.989255,8000,0.0,0.0
2014-04-25,5.67,5.985,5.67,5.88,4.166397,7200,0.0,0.0
2014-04-28,5.985,5.995,5.895,5.9,4.18057,23800,0.0,0.0
2014-04-29,5.855,5.995,5.855,5.92,4.194741,12400,0.0,0.0
2014-04-30,5.825,5.825,5.78,5.79,4.102626,1200,0.0,0.0
2014-05-01,5.8475,5.8475,5.83,5.83,4.130968,1400,0.0,0.0
2014-05-02,5.975,5.975,5.86,5.86,4.152226,2200,0.0,0.0
2014-05-05,5.895,5.975,5.73,5.875,4.162855,22400,0.0,0.0
2014-05-06,5.865,5.865,5.75,5.75,4.074284,1400,0.0,0.0
2014-05-07,5.86,5.9,5.705,5.89,4.173483,6000,0.0,0.0
2014-05-08,5.9,5.9,5.9,5.9,4.18057,16800,0.0,0.0
2014-05-09,5.855,5.865,5.765,5.765,4.084911,4000,0.0,0.0
2014-05-12,5.86,5.91,5.8515,5.9,4.18057,11800,0.0,0.0
2014-05-13,5.755,5.805,5.7,5.8,4.109712,12200,0.0,0.0
2014-05-14,5.65,5.895,5.65,5.7755,4.092352,9600,0.0,0.0
2014-05-15,5.72,5.75,5.72,5.75,4.074284,2200,0.0,0.0
2014-05-16,5.685,5.745,5.685,5.745,4.070741,1200,0.0,0.0
2014-05-19,5.65,5.675,5.615,5.65,4.003426,28200,0.0,0.0
2014-05-20,5.6,5.725,5.6,5.725,4.056569,8400,0.0,0.0
2014-05-21,5.725,5.725,5.695,5.72,4.053026,2800,0.0,0.0
2014-05-22,5.71,5.72,5.5225,5.72,4.053026,4400,0.0,0.0
2014-05-23,5.72,5.72,5.72,5.72,4.053026,0,0.0,0.0
2014-05-27,5.51,5.555,5.51,5.52,3.911313,6200,0.0,0.0
2014-05-28,5.505,5.69,5.505,5.69,4.031769,400,0.0,0.0
2014-05-29,5.505,5.7,5.505,5.69,4.031769,13000,0.0,0.0
2014-05-30,5.53,5.695,5.525,5.6,3.967997,4200,0.0,0.0
2014-06-02,5.6,5.6,5.5,5.5,3.897141,16200,0.0,0.0
2014-06-03,5.5,5.555,5.5,5.51,3.904227,32600,0.0,0.0
2014-06-04,5.5,5.6,5.5,5.54,3.925483,23600,0.0,0.0
2014-06-05,5.535,5.75,5.53,5.68,4.024683,71200,0.0,0.0
2014-06-06,5.65,5.7,5.535,5.695,4.035311,9400,0.0,0.0
2014-06-09,5.715,5.74,5.7,5.72,4.053026,12200,0.0,0.0
2014-06-10,5.72,5.735,5.615,5.735,4.063654,34400,0.0,0.0
2014-06-11,5.66,5.685,5.56,5.665,4.014057,25800,0.0,0.0
2014-06-12,5.69,5.7925,5.655,5.75,4.074284,91600,0.0,0.0
2014-06-13,5.76,5.78,5.59,5.745,4.070741,33000,0.0,0.0
2014-06-16,5.67,6.0,5.67,5.995,4.247884,88200,0.0,0.0
2014-06-17,5.995,5.995,5.525,5.795,4.10617,101200,0.0,0.0
2014-06-18,5.96,6.0,5.73,5.99,4.244341,64000,0.0,0.0
2014-06-19,5.935,5.995,5.75,5.995,4.247884,72000,0.0,0.0
2014-06-20,5.7,5.985,5.255,5.435,3.851083,256600,0.0,0.0
2014-06-23,5.67,5.8,5.5,5.74,4.067198,50600,0.0,0.0
2014-06-24,5.74,5.75,5.555,5.575,3.950283,47600,0.0,0.0
2014-06-25,5.68,5.71,5.625,5.625,3.985712,21000,0.0,0.0
2014-06-26,5.655,5.725,5.505,5.695,4.035311,17200,0.0,0.0
2014-06-27,5.635,5.715,5.56,5.56,3.939655,34600,0.0,0.0
2014-06-30,5.71,5.71,5.505,5.58,3.953826,21000,0.0,0.0
2014-07-01,5.515,5.715,5.515,5.705,4.042397,25200,0.0,0.0
2014-07-02,5.715,5.965,5.6345,5.85,4.145141,124200,0.0,0.0
2014-07-03,5.9,5.9,5.755,5.84,4.138054,3200,0.0,0.0
2014-07-07,5.875,6.02,5.875,6.015,4.262053,450200,0.0,0.0
2014-07-08,6.005,6.005,5.88,5.935,4.205369,35600,0.0,0.0
2014-07-09,6.02,6.02,5.92,6.0,4.251425,120600,0.0,0.0
2014-07-10,6.02,6.02,5.9475,5.995,4.247884,50800,0.0,0.0
2014-07-11,6.015,6.015,5.96,6.015,4.262053,9800,0.0,0.0
2014-07-14,6.02,6.02,5.92,6.015,4.262053,56000,0.0,0.0
2014-07-15,6.02,6.02,5.955,5.985,4.240798,42800,0.0,0.0
2014-07-16,6.012,6.02,5.975,5.975,4.233712,36800,0.0,0.0
2014-07-17,6.005,6.02,5.975,5.975,4.233712,47200,0.0,0.0
2014-07-18,6.015,6.02,6.0,6.02,4.265596,21000,0.0,0.0
2014-07-21,5.95,6.015,5.85,5.975,4.233712,9000,0.0,0.0
2014-07-22,5.93,6.02,5.84,5.88,4.166397,20600,0.0,0.0
2014-07-23,5.815,5.965,5.815,5.86,4.152226,16200,0.0,0.0
2014-07-24,5.83,6.0,5.83,5.85,4.145141,14000,0.0,0.0
2014-07-25,5.775,5.92,5.775,5.875,4.162855,17400,0.0,0.0
2014-07-28,5.875,6.0,5.875,5.925,4.198283,19600,0.0,0.0
2014-07-29,5.99,5.99,5.885,5.99,4.244341,3000,0.0,0.0
2014-07-30,5.85,5.985,5.825,5.91,4.187654,12600,0.0,0.0
2014-07-31,5.86,5.93,5.85,5.9175,4.192969,3800,0.0,0.0
2014-08-01,5.9,5.9,5.76,5.77,4.088455,8000,0.0,0.0
2014-08-04,5.77,5.9,5.77,5.89,4.173483,8600,0.0,0.0
2014-08-05,5.846,5.882,5.84,5.85,4.145141,11200,0.0,0.0
2014-08-06,5.765,5.885,5.765,5.885,4.16994,18600,0.0,0.0
2014-08-07,5.8,5.875,5.77,5.87,4.159311,9600,0.0,0.0
2014-08-08,5.855,5.9,5.811,5.9,4.18057,7400,0.0,0.0
2014-08-11,5.895,5.92,5.8455,5.9,4.18057,7000,0.0,0.0
2014-08-12,5.9,5.905,5.83,5.87,4.159311,19200,0.0,0.0
2014-08-13,5.855,5.905,5.8,5.9,4.18057,7000,0.0,0.0
2014-08-14,5.86,5.875,5.84,5.875,4.162855,3400,0.0,0.0
2014-08-15,5.865,5.875,5.81,5.875,4.162855,7800,0.0,0.0
2014-08-18,5.76,5.9,5.7555,5.875,4.162855,6600,0.0,0.0
2014-08-19,5.82,5.9,5.81,5.87,4.159311,9800,0.0,0.0
2014-08-20,5.865,5.865,5.858,5.865,4.155769,1000,0.0,0.0
2014-08-21,5.785,5.885,5.785,5.82,4.123884,11200,0.0,0.0
2014-08-22,5.895,5.895,5.8025,5.865,4.155769,8800,0.0,0.0
2014-08-25,5.85,5.9,5.85,5.9,4.18057,8800,0.0,0.0
2014-08-26,5.875,5.875,5.78,5.86,4.152226,6600,0.0,0.0
2014-08-27,5.785,5.865,5.665,5.765,4.084911,30000,0.0,0.0
2014-08-28,5.805,5.805,5.805,5.805,4.113255,1400,0.0,0.0
2014-08-29,5.835,5.84,5.75,5.84,4.138054,5000,0.0,0.0
2014-09-02,5.8,5.845,5.685,5.79,4.102626,8000,0.0,0.0
2014-09-03,5.79,5.79,5.7,5.75,4.074284,21600,0.0,0.0
2014-09-04,5.675,5.87,5.56,5.6,3.967997,71800,0.0,0.0
2014-09-05,5.58,5.8,5.58,5.69,4.031769,92200,0.0,0.0
2014-09-08,5.59,5.72,5.59,5.72,4.053026,17000,0.0,0.0
2014-09-09,5.645,5.829,5.645,5.745,4.070741,23000,0.0,0.0
2014-09-10,5.675,5.9,5.67,5.825,4.127426,56000,0.0,0.0
2014-09-11,5.67,5.795,5.67,5.725,4.056569,33400,0.0,0.0
2014-09-12,5.635,5.8,5.63,5.7,4.038854,7800,0.0,0.0
2014-09-15,5.67,5.725,5.645,5.664,4.013346,7000,0.0,0.0
2014-09-16,5.655,5.699,5.63,5.699,4.038146,9400,0.0,0.0
2014-09-17,5.71,5.9,5.695,5.715,4.049484,5800,0.0,0.0
2014-09-18,5.845,5.845,5.73,5.755,4.077826,18000,0.0,0.0
2014-09-19,5.765,5.85,5.7,5.79,4.102626,18200,0.0,0.0
2014-09-22,5.76,5.76,5.705,5.755,4.077826,2400,0.0,0.0
2014-09-23,5.87,5.87,5.86,5.865,4.155769,14000,0.0,0.0
2014-09-24,5.835,5.865,5.835,5.865,4.155769,9600,0.0,0.0
2014-09-25,5.807,5.855,5.805,5.855,4.148683,2600,0.0,0.0
2014-09-26,5.855,5.855,5.81,5.855,4.148683,2400,0.0,0.0
2014-09-29,5.805,5.805,5.7,5.715,4.049484,51400,0.0,0.0
2014-09-30,5.77,5.77,5.6805,5.685,4.028225,17200,0.0,0.0
2014-10-01,5.52,5.795,5.1,5.245,3.716455,94600,0.0,0.0
2014-10-02,5.225,5.4,5.03,5.395,3.822741,105000,0.0,0.0
2014-10-03,5.35,5.595,5.3425,5.5,3.897141,70600,0.0,0.0
2014-10-06,5.38,5.5885,5.17,5.575,3.950283,45800,0.0,0.0
2014-10-07,5.31,5.425,5.31,5.425,3.843997,21400,0.0,0.0
2014-10-08,5.385,5.88,5.375,5.435,3.851083,24600,0.0,0.0
2014-10-09,5.3,5.45,5.3,5.33,3.776684,10200,0.0,0.0
2014-10-10,5.345,5.37,5.34,5.37,3.805027,3800,0.0,0.0
2014-10-13,5.375,5.375,5.285,5.285,3.744799,4600,0.0,0.0
2014-10-14,5.35,5.35,5.25,5.25,3.719999,14200,0.0,0.0
2014-10-15,5.245,5.3,5.245,5.255,3.723541,22400,0.0,0.0
2014-10-16,5.24,5.5,5.24,5.5,3.897141,4000,0.0,0.0
2014-10-17,5.425,5.505,5.4,5.5,3.897141,24600,0.0,0.0
2014-10-20,5.375,5.375,5.275,5.275,3.737712,9400,0.0,0.0
2014-10-21,5.45,5.595,5.32,5.445,3.858169,28600,0.0,0.0
2014-10-22,5.3025,5.495,5.255,5.495,3.893597,10600,0.0,0.0
2014-10-23,5.415,5.5,5.33,5.355,3.794399,5000,0.0,0.0
2014-10-24,5.21,5.5,5.21,5.4,3.826283,20600,0.0,0.0
2014-10-27,5.4,5.4,5.4,5.4,3.826283,0,0.0,0.0
2014-10-28,5.16,5.16,5.16,5.16,3.656226,400,0.0,0.0
2014-10-29,5.17,5.25,5.17,5.215,3.695198,14400,0.0,0.0
2014-10-30,5.225,5.31,5.225,5.295,3.751883,16200,0.0,0.0
2014-10-31,5.275,5.3,5.275,5.29,3.74834,12000,0.0,0.0
2014-11-03,5.265,5.265,5.2,5.2,3.684569,12800,0.0,0.0
2014-11-04,5.075,5.245,5.075,5.229,3.705118,4600,0.0,0.0
2014-11-05,5.27,5.27,5.155,5.155,3.652683,10600,0.0,0.0
2014-11-06,5.2,5.2,5.15,5.2,3.684569,14800,0.0,0.0
