Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-10-28,17.0,18.0,16.9,17.950001,15.231947,6904800,0.0,0.0
2016-10-31,18.08,18.08,17.41,17.41,14.773716,465400,0.0,0.0
2016-11-01,17.389999,17.754999,17.15,17.459999,14.81614,586000,0.0,0.0
2016-11-02,17.209999,17.610001,17.15,17.459999,14.81614,299100,0.0,0.0
2016-11-03,17.23,17.438999,17.200001,17.299999,14.680368,184900,0.0,0.0
2016-11-04,17.52,18.0,17.42,17.809999,15.113147,640300,0.0,0.0
2016-11-07,18.18,18.4,17.6,18.27,15.503496,665700,0.0,0.0
2016-11-08,18.200001,18.290001,17.722,18.24,15.478026,322200,0.0,0.0
2016-11-09,17.879999,18.4,17.68,18.360001,15.579861,276400,0.0,0.0
2016-11-10,18.309999,18.4,18.0,18.33,15.554403,268200,0.0,0.0
2016-11-11,18.17,18.67,18.16,18.459999,15.66472,238300,0.0,0.0
2016-11-14,18.620001,18.75,18.445999,18.540001,15.732605,268900,0.0,0.0
2016-11-15,18.43,18.743999,18.35,18.559999,15.749582,122300,0.0,0.0
2016-11-16,18.559999,18.74,18.521,18.620001,15.800493,126700,0.0,0.0
2016-11-17,18.34,18.91,18.32,18.59,15.77503,272300,0.0,0.0
2016-11-18,18.879999,19.129999,18.700001,18.950001,16.080521,377000,0.0,0.0
2016-11-21,19.0,19.18,18.99,19.02,16.139923,255500,0.0,0.0
2016-11-22,19.059999,20.280001,18.700001,20.02,16.988499,471500,0.0,0.0
2016-11-23,20.09,20.5,20.02,20.25,17.18367,309500,0.0,0.0
2016-11-25,20.15,20.450001,19.865,20.24,17.175188,89700,0.0,0.0
2016-11-28,20.49,20.49,19.844999,20.17,17.115786,325300,0.0,0.0
2016-11-29,20.1,20.24,19.799999,19.959999,16.937584,392600,0.0,0.0
2016-11-30,20.110001,20.23,19.83,19.959999,16.937584,775800,0.0,0.0
2016-12-01,19.84,20.115,19.500999,19.92,16.903637,343300,0.0,0.0
2016-12-02,19.959999,19.959999,18.485001,19.4,16.462381,414800,0.0,0.0
2016-12-05,19.43,19.889999,19.110001,19.24,16.326609,262200,0.0,0.0
2016-12-06,19.35,19.639999,18.65,19.0,16.122946,302600,0.0,0.0
2016-12-07,18.780001,19.629999,18.73,19.059999,16.173864,650400,0.0,0.0
2016-12-08,19.49,20.09,19.15,19.379999,16.445408,494700,0.0,0.0
2016-12-09,19.59,22.309999,19.42,21.440001,18.193472,740800,0.0,0.0
2016-12-12,21.35,21.709999,21.0,21.51,18.252874,287900,0.0,0.0
2016-12-13,21.6,21.6,21.01,21.389999,18.151047,277500,0.0,0.0
2016-12-14,21.280001,21.559999,20.200001,20.25,17.18367,449300,0.0,0.0
2016-12-15,20.35,21.1,20.15,20.219999,17.158216,542300,0.0,0.0
2016-12-16,20.120001,20.190001,18.952999,19.129999,16.233263,4537400,0.0,0.0
2016-12-19,19.129999,19.709999,19.129999,19.57,16.606646,386400,0.0,0.0
2016-12-20,19.57,20.0,19.495001,19.65,16.674526,286100,0.0,0.0
2016-12-21,19.6,19.790001,19.26,19.42,16.479353,402800,0.0,0.0
2016-12-22,19.379999,19.709999,19.1,19.469999,16.521784,196400,0.0,0.0
2016-12-23,19.549999,19.93,19.389999,19.610001,16.640581,206500,0.0,0.0
2016-12-27,19.48,19.700001,19.33,19.43,16.487844,180100,0.0,0.0
2016-12-28,19.360001,19.59,18.9,19.0,16.122946,132700,0.0,0.0
2016-12-29,19.01,19.33,18.889999,19.32,16.394503,115000,0.0,0.0
2016-12-30,19.27,19.76,19.1,19.709999,16.725445,336900,0.0,0.0
2017-01-03,19.84,19.870001,19.18,19.5,16.547245,287000,0.0,0.0
2017-01-04,19.65,19.68,19.030001,19.16,16.258726,258700,0.0,0.0
2017-01-05,19.200001,19.24,18.73,18.92,16.055067,909900,0.0,0.0
2017-01-06,18.9,19.110001,18.809999,19.049999,16.165377,272200,0.0,0.0
2017-01-09,19.049999,19.75,18.91,19.690001,16.708469,241000,0.0,0.0
2017-01-10,19.68,19.68,18.870001,19.040001,16.156898,292700,0.0,0.0
2017-01-11,19.120001,19.639999,18.926001,19.59,16.623613,181000,0.0,0.0
2017-01-12,19.459999,19.469999,18.950001,19.09,16.199322,166200,0.0,0.0
2017-01-13,19.129999,19.309999,18.77,18.870001,16.012636,1242400,0.0,0.0
2017-01-17,18.889999,19.25,18.785,18.82,15.970211,344100,0.0,0.0
2017-01-18,18.860001,19.33,18.860001,19.32,16.394503,157400,0.0,0.0
2017-01-19,19.440001,19.57,19.281,19.34,16.411463,352000,0.0,0.0
2017-01-20,19.360001,19.450001,19.129999,19.32,16.394503,253500,0.0,0.0
2017-01-23,19.23,19.469999,19.209999,19.25,16.335093,338100,0.0,0.0
2017-01-24,19.33,19.459999,19.18,19.360001,16.428438,104900,0.0,0.0
2017-01-25,19.469999,19.48,19.18,19.200001,16.292667,318000,0.0,0.0
2017-01-26,19.32,19.32,18.629999,18.879999,16.021122,278100,0.0,0.0
2017-01-27,18.790001,18.969999,18.691,18.719999,15.885348,75100,0.0,0.0
2017-01-30,18.610001,18.691,18.18,18.379999,15.59683,175800,0.0,0.0
2017-01-31,18.25,18.780001,17.85,18.549999,15.741087,252900,0.0,0.0
2017-02-01,18.73,18.775,18.389999,18.51,15.707152,197400,0.0,0.0
2017-02-02,18.58,18.58,18.0,18.15,15.401656,122500,0.0,0.0
2017-02-03,18.15,18.15,17.219999,17.860001,15.155574,216900,0.0,0.0
2017-02-06,17.73,17.93,17.683001,17.719999,15.036773,102800,0.0,0.0
2017-02-07,17.75,18.040001,17.639999,17.68,15.002831,137400,0.0,0.0
2017-02-08,17.6,17.870001,17.33,17.48,14.833112,308100,0.0,0.0
2017-02-09,17.43,17.879999,17.43,17.799999,15.104655,90800,0.0,0.0
2017-02-10,17.77,17.879999,17.700001,17.719999,15.036773,85000,0.0,0.0
2017-02-13,17.809999,17.870001,17.440001,17.68,15.002831,428500,0.0,0.0
2017-02-14,17.77,17.879999,17.718,17.809999,15.113147,207900,0.0,0.0
2017-02-15,17.690001,18.030001,17.690001,18.01,15.282858,211500,0.0,0.0
2017-02-16,17.83,17.940001,17.41,17.6,14.934941,95900,0.0,0.0
2017-02-17,17.639999,17.82,17.540001,17.639999,14.968883,104800,0.0,0.0
2017-02-21,17.74,17.74,17.459999,17.620001,14.95192,67700,0.0,0.0
2017-02-22,17.629999,17.629999,17.309999,17.559999,14.901002,166300,0.0,0.0
2017-02-23,17.65,17.709999,17.459999,17.559999,14.901002,95100,0.0,0.0
