Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2025-12-02,25.440001,25.530001,25.120001,25.153,25.153,2300,0.0,0.0,0.0
2025-12-03,25.6,26.049999,25.0,25.791,25.791,12300,0.0,0.0,0.0
2025-12-04,26.190001,26.190001,25.110001,25.296,25.296,9600,0.0,0.0,0.0
2025-12-05,26.191999,26.191999,25.639999,25.992001,25.992001,20500,0.0,0.0,0.0
2025-12-08,26.09,26.09,24.424999,24.660999,24.660999,17100,0.0,0.0,0.0
2025-12-09,24.799999,25.4,24.48,25.253,25.253,15100,0.0,0.0,0.0
2025-12-10,25.34,25.950001,25.23,25.764999,25.764999,10300,0.0,0.0,0.0
2025-12-11,25.799999,25.799999,23.917,24.542999,24.542999,5500,0.0,0.0,0.0
2025-12-12,24.540001,24.540001,23.5,23.948,23.948,10800,0.0,0.0,0.0
2025-12-15,23.76,23.865,23.4,23.780001,23.780001,7600,0.0,0.0,0.0
2025-12-16,23.08,24.059999,23.08,23.569,23.569,3500,0.0,0.0,0.0
2025-12-17,23.15,23.15,21.98,22.025,22.025,15600,0.0,0.0,0.0
2025-12-18,22.43,23.055,22.379999,22.844999,22.844999,14200,0.0,0.0,0.0
2025-12-19,22.74,23.483999,22.73,23.483999,23.483999,9300,0.0,0.0,0.0
2025-12-22,24.41,24.41,23.34,23.959999,23.959999,10900,0.0,0.0,0.0
2025-12-23,24.02,24.77,24.02,24.723,24.723,14200,0.0,0.0,0.0
2025-12-24,24.478001,24.620001,24.226999,24.618,24.618,6200,0.0,0.0,0.0
2025-12-26,24.6,24.6,24.25,24.451,24.451,4500,0.0,0.0,0.0
2025-12-29,24.389999,24.549999,24.16,24.507,24.507,10300,0.0,0.0,0.0
2025-12-30,23.99,24.84,23.99,24.549,24.549,6800,0.0,0.0,0.0
2025-12-31,24.540001,24.59,24.337,24.424,24.424,2800,0.0,0.0,0.0
2026-01-02,25.040001,25.549999,24.040001,24.641001,24.641001,6500,0.0,0.0,0.0
2026-01-05,24.995001,25.040001,24.75,24.902,24.902,9100,0.0,0.0,0.0
2026-01-06,25.485001,25.485001,24.34,24.554001,24.554001,8900,0.0,0.0,0.0
2026-01-07,24.875,26.33,24.875,25.715,25.715,21500,0.0,0.0,0.0
