Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2016-04-28,8.13,8.13,6.24,6.25,4.778197,258300,0.0,0.0
2016-04-29,6.39,6.45,6.3,6.4,4.892869,24600,0.0,0.0
2016-05-02,6.45,6.45,6.25,6.37,4.869936,33300,0.0,0.0
2016-05-03,6.4,6.59,6.25,6.39,4.885224,53700,0.0,0.0
2016-05-04,6.56,6.57,6.23,6.49,4.961678,72300,0.0,0.0
2016-05-05,6.58,7.1,6.53,7.0,5.351576,107600,0.0,0.0
2016-05-06,7.1,7.32,6.901,7.04,5.382159,72700,0.0,0.0
2016-05-09,7.19,7.25,7.02,7.2,5.504478,89000,0.0,0.0
2016-05-10,7.25,7.25,7.0,7.1,5.42803,33600,0.0,0.0
2016-05-11,7.24,7.24,6.85,7.05,5.389801,89200,0.0,0.0
2016-05-12,7.0,7.12,7.0,7.12,5.44332,44700,0.0,0.0
2016-05-13,7.1,7.12,6.9,7.1,5.443321,87300,0.02,0.0
2016-05-16,7.26,7.35,6.94,7.35,5.634984,17600,0.0,0.0
2016-05-17,7.0,7.27,6.96,7.27,5.573651,21000,0.0,0.0
2016-05-18,7.22,7.5,7.002,7.5,5.749985,7000,0.0,0.0
2016-05-19,7.5,7.5,7.11,7.18,5.504652,7600,0.0,0.0
2016-05-20,7.23,7.5,7.2,7.5,5.749985,6100,0.0,0.0
2016-05-23,7.41,7.75,7.36,7.44,5.703983,50800,0.0,0.0
2016-05-24,7.58,7.66,7.25,7.46,5.719318,12500,0.0,0.0
2016-05-25,7.45,7.45,7.17,7.29,5.588985,20400,0.0,0.0
2016-05-26,7.07,7.45,7.07,7.45,5.711652,19600,0.0,0.0
2016-05-27,7.45,7.45,6.99,7.26,5.565985,20300,0.0,0.0
2016-05-31,7.27,7.35,6.97,7.35,5.634984,4200,0.0,0.0
2016-06-01,7.02,7.2,7.02,7.08,5.427983,6500,0.0,0.0
2016-06-02,7.16,7.16,7.07,7.15,5.48165,2900,0.0,0.0
2016-06-03,7.36,7.4,7.12,7.4,5.673315,6800,0.0,0.0
2016-06-06,7.04,7.2,7.04,7.15,5.48165,19700,0.0,0.0
2016-06-07,7.11,7.2,7.09,7.14,5.473985,4700,0.0,0.0
2016-06-08,7.21,7.45,7.13,7.45,5.711652,24600,0.0,0.0
2016-06-09,7.45,7.45,7.15,7.15,5.48165,5700,0.0,0.0
2016-06-10,7.259,7.29,7.16,7.29,5.588985,13000,0.0,0.0
2016-06-13,7.37,7.74,7.355,7.62,5.841983,55400,0.0,0.0
2016-06-14,7.6,7.6,7.43,7.5,5.765118,28700,0.02,0.0
2016-06-15,7.384,7.61,7.384,7.5,5.765118,38300,0.0,0.0
2016-06-16,7.37,7.53,7.17,7.28,5.596005,46600,0.0,0.0
2016-06-17,7.54,7.54,7.17,7.23,5.557571,85000,0.0,0.0
2016-06-20,7.38,7.72,7.35,7.56,5.811233,30600,0.0,0.0
2016-06-21,7.5,7.62,7.5,7.62,5.857357,25400,0.0,0.0
2016-06-22,7.5,7.88,7.5,7.88,6.057215,38900,0.0,0.0
2016-06-23,7.9,8.0,7.77,7.96,6.11871,48100,0.0,0.0
2016-06-24,7.63,8.14,7.63,8.06,6.195579,731000,0.0,0.0
2016-06-27,8.12,8.13,7.87,7.99,6.141769,56700,0.0,0.0
2016-06-28,8.2,8.46,8.0,8.16,6.272446,68600,0.0,0.0
2016-06-29,8.27,8.47,8.2,8.42,6.472303,39100,0.0,0.0
2016-06-30,8.5,8.97,8.406,8.8,6.764405,129200,0.0,0.0
2016-07-01,8.8,8.88,8.47,8.86,6.810522,37600,0.0,0.0
2016-07-05,8.99,9.009,8.86,8.98,6.902763,76300,0.0,0.0
2016-07-06,9.09,9.09,8.86,8.97,6.895082,34300,0.0,0.0
2016-07-07,8.98,8.98,8.86,8.87,6.818208,8700,0.0,0.0
2016-07-08,8.97,8.98,8.7,8.91,6.848957,61000,0.0,0.0
2016-07-11,9.0,9.0,8.76,8.86,6.810522,41400,0.0,0.0
2016-07-12,8.76,8.93,8.72,8.91,6.848957,58600,0.0,0.0
2016-07-13,8.95,9.1,8.8,9.0,6.935265,40000,0.022,0.0
2016-07-14,9.02,9.109,9.02,9.08,6.99691,17600,0.0,0.0
2016-07-15,9.18,9.18,8.93,9.0,6.935265,36100,0.0,0.0
2016-07-18,8.98,9.09,8.95,9.06,6.9815,18700,0.0,0.0
2016-07-19,9.027,9.03,8.9,8.97,6.91215,14700,0.0,0.0
2016-07-20,8.89,8.99,8.82,8.89,6.850497,18300,0.0,0.0
2016-07-21,8.82,8.9,8.71,8.81,6.788853,25300,0.0,0.0
2016-07-22,8.769,8.77,8.6,8.63,6.650147,20900,0.0,0.0
2016-07-25,8.65,8.72,8.62,8.7,6.704084,9500,0.0,0.0
2016-07-26,8.71,8.75,8.38,8.42,6.488323,27600,0.0,0.0
2016-07-27,8.46,8.52,8.37,8.51,6.557675,21700,0.0,0.0
2016-07-28,8.53,8.53,8.41,8.43,6.496031,12500,0.0,0.0
2016-07-29,8.51,8.549,8.37,8.46,6.519144,18200,0.0,0.0
2016-08-01,8.52,8.52,8.37,8.46,6.519144,9300,0.0,0.0
2016-08-02,8.47,8.47,8.33,8.35,6.434381,12900,0.0,0.0
2016-08-03,8.32,8.436,8.14,8.17,6.295674,22900,0.0,0.0
2016-08-04,8.14,8.14,7.36,7.48,5.763973,109700,0.0,0.0
2016-08-05,7.48,7.7,7.41,7.67,5.910384,42100,0.0,0.0
2016-08-08,7.61,7.82,7.61,7.75,5.972031,12300,0.0,0.0
2016-08-09,7.75,7.95,7.75,7.94,6.118442,6900,0.0,0.0
2016-08-10,8.0,8.08,7.87,7.91,6.095325,21600,0.0,0.0
2016-08-11,8.31,8.31,7.897,8.09,6.234032,34500,0.0,0.0
2016-08-12,8.15,8.4,8.15,8.34,6.426678,43000,0.0,0.0
2016-08-15,8.34,8.52,7.97,7.99,6.173256,45900,0.022,0.0
2016-08-16,8.02,8.509,7.99,7.99,6.173256,22400,0.0,0.0
2016-08-17,8.33,8.33,8.122,8.23,6.358686,8300,0.0,0.0
2016-08-18,8.27,8.27,8.2,8.26,6.381863,7200,0.0,0.0
2016-08-19,8.28,8.29,8.2,8.21,6.343234,19700,0.0,0.0
2016-08-22,8.16,8.31,8.16,8.22,6.350962,8500,0.0,0.0
2016-08-23,8.24,8.414,8.24,8.33,6.435947,8100,0.0,0.0
2016-08-24,8.35,8.35,8.01,8.1,6.258243,14700,0.0,0.0
2016-08-25,8.05,8.075,7.99,8.0,6.180984,17300,0.0,0.0
2016-08-26,8.05,8.15,7.85,7.88,6.088268,26500,0.0,0.0
2016-08-29,7.9,7.9,7.85,7.89,6.095996,7900,0.0,0.0
2016-08-30,7.952,7.99,7.9,7.98,6.165531,7600,0.0,0.0
2016-08-31,8.0,8.07,7.85,7.98,6.165531,16100,0.0,0.0
2016-09-01,7.9,8.09,7.9,8.0,6.180984,4100,0.0,0.0
2016-09-02,8.005,8.032,7.92,7.97,6.157807,24000,0.0,0.0
2016-09-06,7.99,8.03,7.95,7.95,6.142354,11600,0.0,0.0
2016-09-07,7.99,7.99,7.9,7.92,6.119175,44900,0.0,0.0
2016-09-08,7.9,7.93,7.88,7.88,6.088268,6100,0.0,0.0
2016-09-09,7.89,7.927,7.69,7.69,5.94147,40400,0.0,0.0
2016-09-12,7.74,7.81,7.67,7.81,6.034184,15800,0.0,0.0
2016-09-13,7.72,7.735,7.65,7.67,5.926017,32000,0.0,0.0
2016-09-14,7.63,8.0,7.63,7.85,6.082536,25200,0.022,0.0
2016-09-15,7.77,7.98,7.77,7.95,6.160022,8200,0.0,0.0
2016-09-16,7.98,8.0,7.85,7.98,6.183265,43100,0.0,0.0
2016-09-19,8.06,8.07,8.0,8.01,6.206511,7100,0.0,0.0
2016-09-20,8.06,8.06,7.995,8.02,6.214259,9400,0.0,0.0
2016-09-21,7.99,8.08,7.94,8.02,6.214259,10000,0.0,0.0
2016-09-22,7.96,8.01,7.88,8.0,6.198763,23400,0.0,0.0
2016-09-23,7.93,7.95,7.89,7.89,6.113529,9900,0.0,0.0
2016-09-26,7.91,7.92,7.87,7.9,6.121279,15900,0.0,0.0
2016-09-27,7.86,8.0,7.86,7.99,6.191013,19400,0.0,0.0
2016-09-28,7.96,8.0,7.95,7.96,6.167768,16900,0.0,0.0
2016-09-29,8.0,8.002,7.5,7.62,5.904321,65500,0.0,0.0
2016-09-30,7.63,8.02,7.5,8.01,6.206511,38500,0.0,0.0
2016-10-03,8.0,8.05,7.86,7.95,6.160022,9600,0.0,0.0
2016-10-04,7.99,7.99,7.66,7.66,5.935315,53000,0.0,0.0
2016-10-05,7.72,7.87,7.72,7.83,6.067038,17400,0.0,0.0
2016-10-06,7.81,7.81,7.68,7.72,5.981807,35000,0.0,0.0
2016-10-07,7.7,7.79,7.7,7.71,5.974057,12900,0.0,0.0
2016-10-10,7.839,7.92,7.7,7.92,6.136775,6100,0.0,0.0
2016-10-11,7.88,7.89,7.71,7.79,6.036046,57900,0.0,0.0
2016-10-12,7.85,7.85,7.75,7.78,6.028296,12100,0.0,0.0
2016-10-13,7.76,7.8,7.72,7.72,5.998768,12800,0.022,0.0
2016-10-14,7.75,7.94,7.75,7.84,6.092013,39000,0.0,0.0
2016-10-17,8.0,8.0,7.74,7.8,6.060933,44200,0.0,0.0
2016-10-18,7.93,7.93,7.77,7.79,6.053161,18600,0.0,0.0
2016-10-19,7.85,7.85,7.72,7.76,6.029852,21400,0.0,0.0
2016-10-20,7.706,7.718,7.59,7.69,5.975461,36000,0.0,0.0
2016-10-21,7.69,7.8,7.67,7.73,6.006539,19300,0.0,0.0
2016-10-24,7.72,7.75,7.62,7.73,6.006539,3500,0.0,0.0
2016-10-25,7.76,7.77,7.69,7.73,6.006539,3100,0.0,0.0
2016-10-26,7.71,7.78,7.71,7.74,6.01431,6600,0.0,0.0
2016-10-27,7.76,7.76,7.64,7.67,5.959916,7200,0.0,0.0
2016-10-28,7.78,7.78,7.698,7.72,5.998768,14500,0.0,0.0
2016-10-31,7.72,7.82,7.65,7.82,6.076473,40400,0.0,0.0
2016-11-01,7.77,7.8,7.74,7.77,6.037621,15300,0.0,0.0
2016-11-02,7.7,7.8,7.67,7.73,6.006539,19500,0.0,0.0
2016-11-03,7.65,7.75,7.56,7.59,5.897752,22800,0.0,0.0
2016-11-04,7.56,7.79,7.56,7.63,5.928836,29200,0.0,0.0
2016-11-07,7.72,7.82,7.67,7.79,6.053161,38300,0.0,0.0
2016-11-08,7.82,7.82,7.75,7.8,6.060933,19300,0.0,0.0
2016-11-09,7.74,7.83,7.67,7.82,6.076473,36300,0.0,0.0
2016-11-10,7.85,7.85,7.67,7.79,6.053161,59100,0.0,0.0
2016-11-11,7.82,7.85,7.7,7.85,6.099785,48000,0.0,0.0
2016-11-14,7.85,7.85,7.66,7.8,6.077966,26300,0.022,0.0
2016-11-15,7.71,7.8,7.71,7.79,6.070174,10600,0.0,0.0
2016-11-16,7.69,7.88,7.67,7.87,6.132509,59800,0.0,0.0
2016-11-17,7.85,8.07,7.85,8.02,6.249395,64000,0.0,0.0
2016-11-18,8.07,8.24,7.95,8.18,6.374074,28500,0.0,0.0
2016-11-21,8.27,8.309,8.05,8.11,6.319526,29400,0.0,0.0
2016-11-22,8.07,8.19,8.0,8.14,6.342905,15300,0.0,0.0
2016-11-23,8.08,8.3,8.08,8.27,6.444205,17900,0.0,0.0
2016-11-25,8.31,8.31,8.0,8.16,6.358488,31000,0.0,0.0
2016-11-28,8.1,8.25,8.1,8.19,6.381866,20900,0.0,0.0
2016-11-29,8.12,8.73,8.04,8.53,6.646799,50300,0.0,0.0
2016-11-30,8.61,8.69,8.36,8.45,6.58446,11300,0.0,0.0
2016-12-01,8.545,8.55,8.33,8.44,6.576674,28200,0.0,0.0
2016-12-02,8.46,8.46,8.24,8.25,6.428618,9200,0.0,0.0
2016-12-05,8.35,8.52,8.3,8.48,6.607838,33900,0.0,0.0
2016-12-06,8.51,8.72,8.28,8.66,6.748099,29300,0.0,0.0
2016-12-07,8.637,8.86,8.55,8.65,6.740308,45600,0.0,0.0
2016-12-08,8.7,8.88,8.56,8.69,6.771477,59600,0.0,0.0
2016-12-09,8.65,8.76,8.58,8.72,6.794854,16900,0.0,0.0
2016-12-12,8.76,8.76,8.46,8.53,6.646799,30100,0.0,0.0
2016-12-13,8.48,8.499,8.27,8.42,6.578825,21500,0.023,0.0
2016-12-14,8.45,8.75,8.32,8.39,6.555387,21400,0.0,0.0
2016-12-15,8.42,8.59,8.4,8.54,6.672587,18800,0.0,0.0
2016-12-16,8.57,8.7,8.57,8.7,6.797597,294900,0.0,0.0
2016-12-19,8.7,9.02,8.7,8.99,7.024189,15500,0.0,0.0
2016-12-20,9.03,9.04,8.93,9.03,7.055439,18600,0.0,0.0
2016-12-21,8.99,9.17,8.89,9.12,7.125759,23800,0.0,0.0
2016-12-22,9.01,9.13,8.77,9.06,7.07888,29900,0.0,0.0
2016-12-23,9.0,9.13,8.91,9.09,7.102321,10200,0.0,0.0
2016-12-27,9.15,9.26,9.1,9.22,7.203892,17200,0.0,0.0
2016-12-28,9.29,9.29,8.972,9.09,7.102321,10900,0.0,0.0
2016-12-29,9.11,9.11,9.04,9.06,7.07888,7000,0.0,0.0
2016-12-30,9.11,9.13,8.98,9.1,7.110132,9500,0.0,0.0
2017-01-03,9.17,9.17,8.902,9.08,7.094506,15200,0.0,0.0
2017-01-04,9.13,9.21,9.07,9.21,7.196079,16300,0.0,0.0
2017-01-05,9.22,9.22,9.14,9.18,7.172641,5800,0.0,0.0
2017-01-06,9.22,9.22,9.14,9.17,7.164828,8700,0.0,0.0
2017-01-09,9.11,9.19,8.96,9.09,7.102321,12400,0.0,0.0
2017-01-10,9.19,9.2,9.1,9.14,7.141385,4600,0.0,0.0
2017-01-11,9.13,9.2,9.122,9.17,7.164828,9200,0.0,0.0
2017-01-12,9.19,9.19,9.018,9.08,7.112344,7200,0.023,0.0
2017-01-13,9.12,9.28,9.1,9.23,7.229837,29000,0.0,0.0
2017-01-17,9.0,9.125,8.8,8.91,6.979182,49300,0.0,0.0
2017-01-18,8.93,8.93,8.75,8.8,6.89302,16500,0.0,0.0
2017-01-19,8.73,8.75,8.65,8.67,6.791194,10800,0.0,0.0
2017-01-20,8.65,8.71,8.39,8.47,6.634533,24800,0.0,0.0
2017-01-23,8.46,8.475,8.1,8.13,6.368212,20700,0.0,0.0
2017-01-24,8.08,8.28,8.08,8.26,6.47004,13000,0.0,0.0
2017-01-25,8.52,8.688,8.0,8.08,6.329047,25200,0.0,0.0
2017-01-26,8.12,8.2,7.9,8.14,6.376046,15000,0.0,0.0
