Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
1973-02-21,4.546875,4.546875,4.546875,4.546875,2.368308,20000,0.0,0.0
1973-02-22,4.578125,4.578125,4.578125,4.578125,2.384586,6400,0.0,0.0
1973-02-23,4.734375,4.734375,4.734375,4.734375,2.465971,43200,0.0,0.0
1973-02-26,4.734375,4.734375,4.734375,4.734375,2.465971,4800,0.0,0.0
1973-02-27,4.671875,4.671875,4.671875,4.671875,2.433416,1600,0.0,0.0
1973-02-28,4.625,4.625,4.625,4.625,2.409003,65600,0.0,0.0
1973-03-01,4.640625,4.640625,4.640625,4.640625,2.41714,3200,0.0,0.0
1973-03-02,4.625,4.625,4.625,4.625,2.409003,1600,0.0,0.0
1973-03-05,4.59375,4.59375,4.59375,4.59375,2.392724,14400,0.0,0.0
1973-03-06,4.609375,4.609375,4.609375,4.609375,2.400863,108000,0.0,0.0
1973-03-07,4.5,4.5,4.5,4.5,2.343894,36000,0.0,0.0
1973-03-08,4.5,4.5,4.5,4.5,2.343894,8000,0.0,0.0
1973-03-09,4.375,4.375,4.375,4.375,2.278785,16800,0.0,0.0
1973-03-12,4.25,4.25,4.25,4.25,2.213678,17600,0.0,0.0
1973-03-13,4.3125,4.3125,4.3125,4.3125,2.246231,14400,0.0,0.0
1973-03-14,4.265625,4.265625,4.265625,4.265625,2.221817,13600,0.0,0.0
1973-03-15,4.25,4.25,4.25,4.25,2.213678,28000,0.0,0.0
1973-03-16,4.25,4.25,4.25,4.25,2.213678,121600,0.0,0.0
1973-03-19,4.265625,4.265625,4.265625,4.265625,2.221817,16800,0.0,0.0
1973-03-20,4.21875,4.21875,4.21875,4.21875,2.1974,20000,0.0,0.0
1973-03-21,4.15625,4.15625,4.15625,4.15625,2.164847,16800,0.0,0.0
1973-03-22,3.890625,3.890625,3.890625,3.890625,2.026492,16000,0.0,0.0
1973-03-23,3.8125,3.8125,3.8125,3.8125,1.9858,44000,0.0,0.0
1973-03-26,3.78125,3.78125,3.78125,3.78125,1.969521,25600,0.0,0.0
1973-03-27,4.0,4.0,4.0,4.0,2.083461,25600,0.0,0.0
1973-03-28,4.234375,4.234375,4.234375,4.234375,2.20554,12800,0.0,0.0
1973-03-29,4.375,4.375,4.375,4.375,2.278785,25600,0.0,0.0
1973-03-30,4.375,4.375,4.375,4.375,2.278785,35200,0.0,0.0
1973-04-02,4.34375,4.34375,4.34375,4.34375,2.262508,16000,0.0,0.0
1973-04-03,4.203125,4.203125,4.203125,4.203125,2.189261,127200,0.0,0.0
1973-04-04,4.09375,4.09375,4.09375,4.09375,2.132292,32800,0.0,0.0
1973-04-05,4.0,4.0,4.0,4.0,2.083461,29600,0.0,0.0
1973-04-06,3.90625,3.90625,3.90625,3.90625,2.03463,55200,0.0,0.0
1973-04-09,4.03125,4.03125,4.03125,4.03125,2.099736,36000,0.0,0.0
1973-04-10,4.125,4.125,4.125,4.125,2.148569,12000,0.0,0.0
1973-04-11,4.125,4.125,4.125,4.125,2.148569,53600,0.0,0.0
1973-04-12,4.125,4.125,4.125,4.125,2.148569,16000,0.0,0.0
1973-04-13,4.09375,4.09375,4.09375,4.09375,2.132292,12000,0.0,0.0
1973-04-16,3.96875,3.96875,3.96875,3.96875,2.067184,24000,0.0,0.0
1973-04-17,4.03125,4.03125,4.03125,4.03125,2.099736,12800,0.0,0.0
1973-04-18,4.03125,4.03125,4.03125,4.03125,2.099736,2400,0.0,0.0
1973-04-19,4.0625,4.0625,4.0625,4.0625,2.116016,25600,0.0,0.0
1973-04-23,4.125,4.125,4.125,4.125,2.148569,10400,0.0,0.0
1973-04-24,4.0625,4.0625,4.0625,4.0625,2.116016,3200,0.0,0.0
1973-04-25,4.0625,4.0625,4.0625,4.0625,2.116016,12800,0.0,0.0
1973-04-26,4.09375,4.09375,4.09375,4.09375,2.132292,25600,0.0,0.0
1973-04-27,4.078125,4.078125,4.078125,4.078125,2.124154,4000,0.0,0.0
