Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Capital Gains
2023-09-20,25.09,25.09,24.672001,24.672001,18.813381,1600,0.0,0.0,0.0
2023-09-21,24.67,24.67,24.534,24.534,18.708149,800,0.0,0.0,0.0
2023-09-22,24.52,24.52,24.427999,24.427999,18.627317,300,0.0,0.0,0.0
2023-09-25,24.51,24.719999,24.51,24.681,18.820234,800,0.0,0.0,0.0
2023-09-26,24.639999,24.639999,24.419001,24.419001,18.620445,800,0.0,0.0,0.0
2023-09-27,24.495001,24.614,24.495001,24.614,18.769146,500,0.0,0.0,0.0
2023-09-28,24.870001,24.870001,24.820999,24.820999,18.926991,100,0.0,0.0,0.0
2023-09-29,24.704,24.704,24.695999,24.695999,18.831673,200,0.0,0.0,0.0
2023-10-02,24.434,24.434,24.367001,24.367001,18.580795,200,0.0,0.0,0.0
2023-10-03,24.059999,24.120001,24.01,24.058001,18.345171,5800,0.0,0.0,0.0
2023-10-04,23.983,23.983,23.983,23.983,18.287983,100,0.0,0.0,0.0
2023-10-05,23.858999,23.858999,23.858999,23.858999,18.19343,100,0.0,0.0,0.0
2023-10-06,23.82,24.16,23.82,23.999001,18.300186,1500,0.0,0.0,0.0
2023-10-09,24.200001,24.312,24.200001,24.312,18.53886,400,0.0,0.0,0.0
2023-10-10,24.6,24.6,24.503,24.503,18.684504,500,0.0,0.0,0.0
2023-10-11,24.469999,24.469999,24.469999,24.469999,18.659338,100,0.0,0.0,0.0
2023-10-12,24.075001,24.075001,24.075001,24.075001,18.358137,100,0.0,0.0,0.0
2023-10-13,24.139,24.139,24.139,24.139,18.406939,100,0.0,0.0,0.0
2023-10-16,24.51,24.51,24.469999,24.469999,18.659338,1100,0.0,0.0,0.0
2023-10-17,24.691,24.691,24.691,24.691,18.827862,100,0.0,0.0,0.0
2023-10-18,24.549999,24.59,24.441,24.441,18.637222,4900,0.0,0.0,0.0
2023-10-19,24.285,24.34,24.285,24.34,18.560213,1300,0.0,0.0,0.0
2023-10-20,24.25,24.25,24.049999,24.084999,18.365759,6100,0.0,0.0,0.0
2023-10-23,24.120001,24.120001,23.818001,23.818001,18.162163,4700,0.0,0.0,0.0
2023-10-24,24.049999,24.049999,23.84,23.896,18.221647,2500,0.0,0.0,0.0
2023-10-25,23.655001,23.709999,23.540001,23.547001,17.955513,2800,0.0,0.0,0.0
2023-10-26,23.620001,23.620001,23.51,23.532,17.944078,600,0.0,0.0,0.0
2023-10-27,23.201,23.201,23.157,23.157,17.784334,2200,0.167,0.0,0.0
2023-10-30,23.291,23.291,23.291,23.291,17.887247,100,0.0,0.0,0.0
2023-10-31,23.5,23.51,23.4,23.466,18.021645,600,0.0,0.0,0.0
2023-11-01,23.620001,23.620001,23.530001,23.530001,18.070805,400,0.0,0.0,0.0
2023-11-02,23.82,24.098,23.82,24.098,18.507013,500,0.0,0.0,0.0
2023-11-03,24.330999,24.330999,24.330999,24.330999,18.685955,100,0.0,0.0,0.0
2023-11-06,24.049999,24.049999,23.98,23.989,18.423304,900,0.0,0.0,0.0
2023-11-07,23.865,23.865,23.737,23.737,18.229771,2700,0.0,0.0,0.0
2023-11-08,23.52,23.57,23.51,23.549,18.085394,1300,0.0,0.0,0.0
2023-11-09,23.540001,23.540001,23.309999,23.309999,17.90184,2400,0.0,0.0,0.0
2023-11-10,23.58,23.73,23.58,23.694,18.196747,800,0.0,0.0,0.0
2023-11-13,23.43,23.43,23.43,23.43,17.994001,400,0.0,0.0,0.0
2023-11-14,24.030001,24.309999,24.030001,24.214001,18.596102,6000,0.0,0.0,0.0
2023-11-15,24.370001,24.370001,24.16,24.219999,18.60071,1300,0.0,0.0,0.0
2023-11-16,24.190001,24.190001,23.879999,24.003,18.434059,3100,0.0,0.0,0.0
2023-11-17,24.059999,24.35,24.059999,24.313999,18.672897,2300,0.0,0.0,0.0
2023-11-20,24.34,24.469999,24.34,24.365999,18.712843,500,0.0,0.0,0.0
2023-11-21,24.200001,24.200001,24.150999,24.150999,18.547716,1300,0.0,0.0,0.0
2023-11-22,24.26,24.290001,24.26,24.290001,18.65447,1100,0.0,0.0,0.0
2023-11-24,24.379,24.379,24.379,24.379,18.72282,100,0.0,0.0,0.0
2023-11-27,24.24,24.319,24.24,24.319,18.676741,2800,0.0,0.0,0.0
2023-11-28,24.089001,24.089001,24.089001,24.089001,18.632652,200,0.173,0.0,0.0
2023-11-29,24.24,24.295,24.24,24.266001,18.769562,1300,0.0,0.0,0.0
2023-11-30,24.370001,24.417,24.360001,24.417,18.88636,1000,0.0,0.0,0.0
2023-12-01,24.66,24.891001,24.66,24.891001,19.252998,400,0.0,0.0,0.0
2023-12-04,24.91,24.91,24.805,24.805,19.18647,500,0.0,0.0,0.0
2023-12-05,24.629999,24.629999,24.469999,24.469999,18.927349,1500,0.0,0.0,0.0
2023-12-06,24.52,24.52,24.34,24.34,18.826797,700,0.0,0.0,0.0
2023-12-07,24.379999,24.533001,24.379999,24.533001,18.976078,400,0.0,0.0,0.0
2023-12-08,24.660999,24.660999,24.660999,24.660999,19.07509,200,0.0,0.0,0.0
2023-12-11,24.895,24.895,24.895,24.895,19.256086,100,0.0,0.0,0.0
2023-12-12,24.719999,24.719999,24.617001,24.617001,19.041054,200,0.0,0.0,0.0
2023-12-13,25.129999,25.129999,25.129999,25.129999,19.437857,200,0.0,0.0,0.0
2023-12-14,25.709999,25.75,25.57,25.73,19.901953,10200,0.0,0.0,0.0
2023-12-15,25.561001,25.561001,25.561001,25.561001,19.771227,100,0.0,0.0,0.0
2023-12-18,25.84,25.84,25.650999,25.650999,19.840841,900,0.0,0.0,0.0
2023-12-19,25.790001,25.985001,25.790001,25.985001,20.099192,600,0.0,0.0,0.0
2023-12-20,25.809999,25.9,25.533001,25.533001,19.749573,500,0.0,0.0,0.0
2023-12-21,25.85,26.007,25.85,26.007,20.116211,200,0.0,0.0,0.0
2023-12-22,26.0,26.0,25.940001,25.98,20.095327,300,0.0,0.0,0.0
2023-12-26,26.01,26.190001,26.0,26.187,20.255438,1500,0.0,0.0,0.0
2023-12-27,25.969,25.969,25.969,25.969,20.220402,200,0.173,0.0,0.0
2023-12-28,25.98,25.98,25.881001,25.881001,20.151875,300,0.0,0.0,0.0
2023-12-29,25.879999,25.879999,25.718,25.718,20.024961,600,0.0,0.0,0.0
2024-01-02,25.870001,25.870001,25.77,25.77,20.065453,200,0.0,0.0,0.0
2024-01-03,25.41,25.41,25.41,25.41,19.785141,100,0.0,0.0,0.0
2024-01-04,25.280001,25.280001,25.191,25.191,19.614616,200,0.0,0.0,0.0
2024-01-05,25.297001,25.297001,25.297001,25.297001,19.697155,100,0.0,0.0,0.0
2024-01-08,25.35,25.6,25.33,25.559999,19.901937,800,0.0,0.0,0.0
2024-01-09,25.27,25.33,25.27,25.280001,19.68392,1600,0.0,0.0,0.0
2024-01-10,25.190001,25.219,25.190001,25.219,19.636423,100,0.0,0.0,0.0
2024-01-11,25.15,25.179001,25.049999,25.179001,19.605278,800,0.0,0.0,0.0
2024-01-12,25.17,25.17,25.141001,25.141001,19.575689,300,0.0,0.0,0.0
2024-01-16,24.99,24.99,24.91,24.99,19.458115,700,0.0,0.0,0.0
2024-01-17,24.799999,24.799999,24.737,24.737,19.261118,100,0.0,0.0,0.0
2024-01-18,24.719999,24.91,24.709999,24.91,19.395823,1400,0.0,0.0,0.0
2024-01-19,24.77,25.077,24.77,25.077,19.525854,200,0.0,0.0,0.0
2024-01-22,25.309999,25.309999,25.309999,25.309999,19.707275,100,0.0,0.0,0.0
2024-01-23,25.471001,25.471001,25.32,25.33,19.722851,500,0.0,0.0,0.0
2024-01-24,25.219999,25.379999,25.219999,25.23,19.644991,400,0.0,0.0,0.0
2024-01-25,25.610001,25.610001,25.25,25.48,19.839651,400,0.0,0.0,0.0
2024-01-26,25.459999,25.549999,25.389999,25.549999,19.894146,600,0.0,0.0,0.0
2024-01-29,25.57,25.57,25.57,25.57,20.042297,200,0.169,0.0,0.0
2024-01-30,25.565001,25.565001,25.565001,25.565001,20.038374,100,0.0,0.0,0.0
2024-01-31,25.52,25.52,25.155001,25.155001,19.717009,700,0.0,0.0,0.0
2024-02-01,25.25,25.51,25.25,25.51,19.995266,400,0.0,0.0,0.0
2024-02-02,25.129999,25.360001,25.129999,25.26,19.799307,1000,0.0,0.0,0.0
2024-02-05,24.77,24.959999,24.73,24.879999,19.501457,2700,0.0,0.0,0.0
2024-02-06,25.055,25.055,25.055,25.055,19.638626,100,0.0,0.0,0.0
2024-02-07,25.02,25.02,25.02,25.02,19.611193,100,0.0,0.0,0.0
2024-02-08,25.083,25.083,25.083,25.083,19.660572,100,0.0,0.0,0.0
2024-02-09,25.219999,25.219999,25.219999,25.219999,19.767958,100,0.0,0.0,0.0
2024-02-12,25.530001,25.530001,25.530001,25.530001,20.010941,100,0.0,0.0,0.0
2024-02-13,24.709999,24.99,24.709999,24.882,19.503019,500,0.0,0.0,0.0
2024-02-14,25.243,25.243,25.243,25.243,19.785982,100,0.0,0.0,0.0
2024-02-15,25.299999,25.572001,25.299999,25.572001,20.043863,200,0.0,0.0,0.0
2024-02-16,25.334999,25.334999,25.334999,25.334999,19.858095,100,0.0,0.0,0.0
2024-02-20,25.268,25.268,25.268,25.268,19.805578,100,0.0,0.0,0.0
2024-02-21,25.34,25.34,25.34,25.34,19.86202,100,0.0,0.0,0.0
2024-02-22,25.635,25.635,25.635,25.635,20.093243,100,0.0,0.0,0.0
2024-02-23,25.478001,25.601999,25.478001,25.601999,20.067375,500,0.0,0.0,0.0
2024-02-26,25.657,25.657,25.657,25.657,20.110487,100,0.0,0.0,0.0
2024-02-27,25.67,25.67,25.620001,25.620001,20.216219,700,0.171,0.0,0.0
2024-02-28,25.49,25.549999,25.49,25.549999,20.160988,200,0.0,0.0,0.0
2024-02-29,25.66,25.66,25.66,25.66,20.247784,200,0.0,0.0,0.0
2024-03-01,25.99,26.15,25.99,26.15,20.634436,700,0.0,0.0,0.0
2024-03-04,26.110001,26.110001,25.870001,25.870001,20.413494,200,0.0,0.0,0.0
2024-03-05,25.867001,25.867001,25.867001,25.867001,20.411125,400,0.0,0.0,0.0
2024-03-06,25.870001,25.870001,25.870001,25.870001,20.413494,100,0.0,0.0,0.0
2024-03-07,26.200001,26.209999,26.200001,26.209999,20.681778,800,0.0,0.0,0.0
2024-03-08,26.129999,26.139999,26.018999,26.018999,20.531069,1300,0.0,0.0,0.0
2024-03-11,25.99,26.121,25.99,26.121,20.611551,200,0.0,0.0,0.0
2024-03-12,26.219999,26.219999,26.148001,26.148001,20.632858,300,0.0,0.0,0.0
2024-03-13,26.504999,26.504999,26.504999,26.504999,20.91456,100,0.0,0.0,0.0
2024-03-14,26.5,26.5,26.320999,26.320999,20.769367,200,0.0,0.0,0.0
2024-03-15,26.499001,26.499001,26.499001,26.499001,20.909826,200,0.0,0.0,0.0
2024-03-18,26.51,26.51,26.51,26.51,20.918503,100,0.0,0.0,0.0
2024-03-19,26.74,26.75,26.700001,26.75,21.107882,500,0.0,0.0,0.0
2024-03-20,26.98,26.990999,26.98,26.990999,21.298044,200,0.0,0.0,0.0
2024-03-21,27.209999,27.25,27.209999,27.24,21.49453,400,0.0,0.0,0.0
2024-03-22,27.379999,27.379999,27.01,27.030001,21.328829,3400,0.0,0.0,0.0
2024-03-25,27.075001,27.075001,27.075001,27.075001,21.364334,100,0.0,0.0,0.0
2024-03-26,26.83,26.83,26.83,26.83,21.312702,100,0.18,0.0,0.0
2024-03-27,27.110001,27.238001,27.07,27.238001,21.636805,1100,0.0,0.0,0.0
2024-03-28,27.33,27.454,27.273001,27.454,21.808376,900,0.0,0.0,0.0
2024-04-01,28.73,28.73,27.337999,27.337999,21.716234,400,0.0,0.0,0.0
2024-04-02,27.24,27.24,27.190001,27.190001,21.598667,2300,0.0,0.0,0.0
2024-04-03,27.43,27.43,27.43,27.43,21.78931,200,0.0,0.0,0.0
